,state,city,song,artist
0, California,Avalon (Catalina Isl.),Avalon,  Lionel Hampton
1, California,Bakersfield,Bakersfield,  Social Distortion
2, California,Bakersfield,Mexicali Blues,  Grateful Dead
3, California,Bakersfield,Streets of Bakersfield,  Dwight Yoakam
4, California,Garden Grove,Garden Grove,"  Sublime, covered  Camper Van Beethoven"
5, California,Garden Grove,Home Again Garden Grove,  The Mountain Goats
6, California,Malibu,L.A. Boyz,  Victoria Justice and Ariana Grande
7, California,Malibu,Malibu,  Hole
8, California,Malibu,Malibu,  Miley Cyrus
9, California,Malibu,Malibu Gas Station,  Sonic Youth
10, California,Marina del Rey,Marina del Rey,  George Strait
11, California,Olema,Hippie From Olema,  The Youngbloods
12, California,Pasadena,The Little Old Lady (From Pasadena),  Jan and Dean
13, California,Riverside,Socal Thugsta,  Saint Dog
14, California,Sacramento,Arco Arena,  CAKE
15, California,Sacramento,Sacramento,  Middle of the Road
16, California,Salinas,Me and Bob McGee,
17, California,San Diego,Going to San Diego,  The Mountain Goats
18, California,San Diego,San Diego,  Blink 182
19, California,San Diego,San Diego,  Burning Brides
20, California,San Jose,Do You Know The Way To San Jose?,  Burt Bacharach and Hal David
21, California,Sausalito,Sausalito Summer Night,  Diesel
22, California,Simi Valley,Simi California,  Fisher
23, California,Tulare,Tulare Dust,  Merle Haggard
24, California,Los Angeles,10th & Crenshaw,  Fatboy Slim
25, California,Los Angeles,100 Miles and Runnin',  N.W.A
26, California,Los Angeles,101 Eastbound,  Fourplay
27, California,Los Angeles,The 103rd St. Theme,  Watts 103rd Street Rhythm Band
28, California,Los Angeles,1977 Sunset Strip,  Low Numbers
29, California,Los Angeles,2 A.M. on Mulholland Drive,  Bob Please & The Pleasers
30, California,Los Angeles,2 Fingers,  David Banner
31, California,Los Angeles,21 Jumpstreet,  Snoop Dogg feat. Tray Deee
32, California,Los Angeles,26 Miles (Santa Catalina),  The Four Preps
33, California,Los Angeles,2 Nigs United 4 West Compton,  Prince
34, California,Los Angeles,29th Street,  David Benoit
35, California,Los Angeles,213 to 619 Adjacent,  Abstract Rude
36, California,Los Angeles,3 A.M. in L.A.,  Jo Mama
37, California,Los Angeles,30 Pier Avenue,  Andrew Hill
