,state,city,song,artist
0, D.C.,Washington,Banned in DC,  Bad Brains
1, D.C.,Washington,The Bourgeois Blues,  Lead Belly
2, D.C.,Washington,Chocolate City,  Parliament
3, D.C.,Washington,The Community of Hope,  PJ Harvey
4, D.C.,Washington,The District Sleeps Alone Tonight,  The Postal Service
5, D.C.,Washington,Drop the Bomb,  Trouble Funk
6, D.C.,Washington,"Washington, D.C.",  The Magnetic Fields
7, D.C.,Washington,The Washington Post March,  John Philip Sousa
8, D.C.,Washington,Fifteenth and T,  Swingin' Utters
9, D.C.,Washington,And the Washington Monument Blinks Goodnight,  Q And Not U
10, D.C.,Washington,Washington D.C.,  Gil Scott-Heron
11, D.C.,Washington,Welcome to D.C.,  Mambo Sauce
12, D.C.,Washington,D.C. or Nothing,  Wale
