,state,city,song,artist
0, Illinois,Decatur,"Decatur, or, Round of Applause for Your Stepmother!",  Sufjan Stevens
1, Illinois,Highland,"Concerning the UFO Sighting near Highland, Illinois",  Sufjan Stevens
2, Illinois,Jacksonville,Jacksonville,  Sufjan Stevens
3, Illinois,Peoria,Prairie Fire That Wanders About,  Sufjan Stevens
4, Illinois,Pittsfield,Pittsfield,  Sufjan Stevens
5, Illinois,Springfield,"Springfield, or Bob Got a Shadfly Caught in his Hair",  Sufjan Stevens
6, Illinois,Chicago,1215 W. Belmont,  Carey Bell & Lurrie Bell
7, Illinois,Chicago,19th Street Blues,  Johnny Dodds & Tiny Parham
8, Illinois,Chicago,2120 South Michigan Avenue, – Rolling Stones
9, Illinois,Chicago,29th and Dearborn, – Richard M Jones
10, Illinois,Chicago,31st And State,  Johnny Griffin And Wilbur Ware With Junior Mance
11, Illinois,Chicago,39th And Indiana,  Charley Musselwhite
12, Illinois,Chicago,42 in Chicago,  Merle Kilgore
13, Illinois,Chicago,43rd Street Jump,"  David ""Honeyboy"" Edwards, Sunnyland Slim, Big Walter Horton, Kansas City Red, Floyd Jones"
14, Illinois,Chicago,47th Street Stomp, – Jimmy Bertrand's Washboard Wizards
15, Illinois,Chicago,53104,", 2000 – Maybe I'll Catch Fire  Alkaline Trio"
16, Illinois,Chicago,55th Street,  Lidell Townsell
17, Illinois,Chicago,65th and Ingleside,  Chance the Rapper
18, Illinois,Chicago,70th & King Drive, – Hot Hanas Hula
19, Illinois,Chicago,A Cicada Of Chicago,  Pepe Ahlqvist
20, Illinois,Chicago,An Afternoon in Midway Plaisance. Fantasie for Piano.,", 1893 – composer: Gustav Luders[1]"
21, Illinois,Chicago,Angels," – Chance the Rapper from Coloring Book, 2016 (music video shows him rapping on top of the ""L"" train)"
22, Illinois,Chicago,Apex Blues, – Jimmie Noone & His Apex Club Orchestra
23, Illinois,Chicago,Apostrophe to Chicago, – composer & lyricist: Mrs. Emily M. (Blakeslee) Boyden
24, Illinois,Chicago,Area 312, – Resurrection Band
25, Illinois,Chicago,At McKie's, – Sonny Rollins & Coleman Hawkins (McKie's was a famous Chicago jazz venue)
26, Illinois,Chicago,Ation, – Frode Gjerstad Trio With Steve Swell
27, Illinois,Chicago,Auch Chikago War Einmal Jung, – Katja Ebstein
28, Illinois,Chicago,Awake! Awake!, – composer & lyricist: Mrs. Emily M. (Blakeslee) Boyden
29, Illinois,Chicago,Back Down On State Street, – Ben Sidran
30, Illinois,Chicago,Back Streets of Lombard, – Ground Zero
31, Illinois,Chicago,Back to Chicago," – Styx, from Edge of the Century, 1990"
32, Illinois,Chicago,"Bad, Bad Leroy Brown", – Jim Croce
33, Illinois,Chicago,The Ballad Of Jesse James,  various versions  see Jesse James (folk song)
34, Illinois,Chicago,Bamako Chicago Express,  Don Moye
35, Illinois,Chicago,Baseball Dreams, – Ralph's World
36, Illinois,Chicago,Battle of Chicago, – Berkshire Seven
37, Illinois,Chicago,Bear Down Chicago Bears,  John Frigo
38, Illinois,Chicago,The Belle of Chicago,", 1892 – composer: John Philip Sousa"
39, Illinois,Chicago,The Belle of Chicago Barn Dance, – composer: Theo. Bonheur
40, Illinois,Chicago,The Belle of Lincoln Park, – composer & lyricist: Geo. Maywood
41, Illinois,Chicago,Best Wishes to your Black Lung, – Less Than Jake
42, Illinois,Chicago,Big Bill the Builder," (mayor), 1928 – composers & lyricists: Milton Weil, Bernie Grossman & Larry Shay"
43, Illinois,Chicago,The Big Brass Band from Brazil,  Art Mooney & His Orchestra
44, Illinois,Chicago,The Big Unit, – The Mountain Goats
45, Illinois,Chicago,Big Windy City,  Troy Shondell
46, Illinois,Chicago,The Billiken Man,", 1909 – composer: Melville J. Gideon; lyricist: E. Ray Goetz; sung  Blanche Ring"
47, Illinois,Chicago,Black Sox Two Step (Noir Chaussette's Two Step), – Sidney Brown
48, Illinois,Chicago,Blowin' in from Chicago,", 2005 – composer: Hank Hirsh; Six Perfections Music; Around and Back"
49, Illinois,Chicago,Blue Line, – Local H
50, Illinois,Chicago,Blues for the South Side, – Ronnie Earl
51, Illinois,Chicago,Blues for the West Side, – Eddie Shaw
52, Illinois,Chicago,Boogie Woogie Bugle Boy,  Andrews Sisters
53, Illinois,Chicago,Boost Chicago, – composer: Armin P. Bauer
54, Illinois,Chicago,Born in Chicago," – Paul Butterfield 1965, blues"
55, Illinois,Chicago,Born in Illinois," (in a place they call Chicago) Music & Lyrics  Mark ""Big Poppa"" Stampley (Chicago Native)Recorded  Award Winning Blues Artist Mark ""Big Poppa"" Stampley"
56, Illinois,Chicago,Bow to the Masta,", 1999 – Kool Keith"
