,state,city,song,artist
0, Louisiana,Baton Rouge,Calling Baton Rouge,  Garth Brooks
1, Louisiana,Bossier City,Bossier City,  the Turnpike Troubadours
2, Louisiana,Thibodaux,Amos Moses,  Jerry Reed
3, Louisiana,New Orleans,1220 Lyons Street,  Idris Muhammad
4, Louisiana,New Orleans,35th Street Blues,  Jelly Roll Morton
5, Louisiana,New Orleans,912 Greens,  Ramblin' Jack Elliot
6, Louisiana,New Orleans,A Little Lovin',  Neil Sedaka
7, Louisiana,New Orleans,A Nueva Orleans (A New Orleans),  Adriano Celentano
8, Louisiana,New Orleans,After The Mardi Gras,  Al Anderson (NRBQ)
9, Louisiana,New Orleans,Ain't No City Like New Orleans,  Earl King
10, Louisiana,New Orleans,Ain't Nothin' Like It (Mad Mad Mardi Gras),  AJ Loria
11, Louisiana,New Orleans,Alexis,  The James Gang
12, Louisiana,New Orleans,Algiers Bounce,  Bob Wallis Storyville Jazzmen
13, Louisiana,New Orleans,Algiers Stomp,  Mills Blue Rhythm Band
14, Louisiana,New Orleans,Algiers Strut,  Kid Thomas Valentine
15, Louisiana,New Orleans,Alive and Kickin',  Fats Domino
16, Louisiana,New Orleans,All I Need,  Mat Kearney
17, Louisiana,New Orleans,All On A Mardi Gras Day,  Wild Magnolias
18, Louisiana,New Orleans,Allen Toussaint,  Christopher Marsceill aka Reverend Chris
19, Louisiana,New Orleans,Alone In New Orleans,  Frances Wayne
20, Louisiana,New Orleans,Along The Pontchartrain,  Tony Carey
21, Louisiana,New Orleans,Amos Moses',  Jerry Reed
22, Louisiana,New Orleans,Annie New Orleans,  Elf
23, Louisiana,New Orleans,Another Murder In New Orleans,  Bob Rush
24, Louisiana,New Orleans,Apache Rose Peacock,  the Red Hot Chili Peppers
25, Louisiana,New Orleans,Appointment In New Orleans,  Tiziana Ghiglioni
26, Louisiana,New Orleans,Arc of Bar,  Japandroids
27, Louisiana,New Orleans,Astoria Strut,  Jones & Collins Astoria Hot Eight
28, Louisiana,New Orleans,At The Mardi Gras,  Beatrice Lillie
29, Louisiana,New Orleans,At The Mardi Gras,  The Dynamics
30, Louisiana,New Orleans,At The Mardi Gras,"  Huey ""Piano"" Smith & Curley Moore"
31, Louisiana,New Orleans,At The Mardi Gras Parade,  Ray Anthony
32, Louisiana,New Orleans,The Avenue,  Cowboy Mouth
33, Louisiana,New Orleans,"BaBu Padee Dupa, A HonkyTonk Too",  Little Tom Tranker
34, Louisiana,New Orleans,Ba Please (All The Shrimp In New Orleans),  Keith Sykes
35, Louisiana,New Orleans,"Ba, Please Don't Go"," performed  Big Joe Williams, Boozoo Chavis, Them"
36, Louisiana,New Orleans,Back In Blue Orleans,  Les Hooper
37, Louisiana,New Orleans,Back in My Home Town,  Champion Jack Dupree
38, Louisiana,New Orleans,Back In New Orleans,  Houston Person
39, Louisiana,New Orleans,Back O' Town Blues,  Louis Armstrong
40, Louisiana,New Orleans,Back On Front Street,  Roomful of Blues
41, Louisiana,New Orleans,Back to New Orleans,  Buddy Knox
42, Louisiana,New Orleans,Back to New Orleans,  Laurel Aitken
43, Louisiana,New Orleans,Back to New Orleans,  Old Crow Medicine Show
44, Louisiana,New Orleans,Ballet New Orleans,  JeanJacques Debout & Pierre Porte
45, Louisiana,New Orleans,Bamboo Road,  Willy DeVille
46, Louisiana,New Orleans,Barrelhouse Bessie From Basin Street,  Bob Cros and his Orchestra
47, Louisiana,New Orleans,Basin Street,"  Clarence ""Frogman"" Henry"
48, Louisiana,New Orleans,Basin Street Ball,  Harry Roy
49, Louisiana,New Orleans,Basin Street Beat,  Jimmy McPartland
50, Louisiana,New Orleans,Basin Street Blues,  Spencer Williams
51, Louisiana,New Orleans,Basin Street Boogie,  Pete Daily's Chicagoans
52, Louisiana,New Orleans,Basin Street Brass,  Rahmlee
53, Louisiana,New Orleans,Basin Street East,  Pete Rugolo and his Orchestra
54, Louisiana,New Orleans,Basin Street Lover,  J. C. Johnson
55, Louisiana,New Orleans,Basin Street Rumble,  The Jordan Brothers
56, Louisiana,New Orleans,Basin Street Stomp,  Basin Street Six
57, Louisiana,New Orleans,Baton Rouge,  The Nixons
58, Louisiana,New Orleans,Battle At New Orleans,  Jim Weaver & Levy Singers[1]
59, Louisiana,New Orleans,The Battle of New Orleans,"  Jimmy Driftwood, made popular  Johnny Horton, 1959"
60, Louisiana,New Orleans,The Battle of New Orleans,  Zachary Richard
61, Louisiana,New Orleans,Bayou Lena,[2]  Widespread Panic
62, Louisiana,New Orleans,The Bayou Savings Bank Of New Orleans,  Tony Lee Sybert
63, Louisiana,New Orleans,Bayou St John,  Paul Weston
64, Louisiana,New Orleans,Bayou Teche,  Doug Kershaw
