,state,city,song,artist
0, Maryland,Aberdeen,I-95,  Fountains of Wayne
1, Maryland,Baltimore,Baltimore,  The Extra Lens
2, Maryland,Baltimore,Baltimore,  Lyle Lovett
3, Maryland,Baltimore,Baltimore,  Mal Blum
4, Maryland,Baltimore,Baltimore,  Prince
5, Maryland,Baltimore,Baltimore,"  Randy Newman, Nina Simone"
6, Maryland,Baltimore,Baltimore,  Sonny James
7, Maryland,Baltimore,Baltimore's Fireflies,  Woodkid
8, Maryland,Baltimore,Barefoot in Baltimore,  Strawberry Alarm Clock
9, Maryland,Baltimore,Blue Skies Over Dundalk,  Mary Prankster
10, Maryland,Baltimore,Engine Engine Number 9,  Roger Miller
11, Maryland,Baltimore,The Girl From Baltimore,  The Fleshtones
12, Maryland,Baltimore,Good Morning Baltimore, from Hairspray!
13, Maryland,Baltimore,Heaven in Baltimore,  Dale Watson
14, Maryland,Baltimore,Hungry Heart,  Bruce Springsteen
15, Maryland,Baltimore,Moonlight Feels Right,  Starbuck
16, Maryland,Baltimore,Raining in Baltimore,  Counting Crows
17, Maryland,Baltimore,Streets of Baltimore,  Bob Bare
18, Maryland,Baltimore,Willie Jones,  the Charlie Daniels Band
19, Maryland,Baltimore,Baltimore To Washington,  Woody Guthrie & Cisco Houston
20, Maryland,Baltimore,The Lady Came from Baltimore,  Tim Hardin
21, Maryland,Baltimore,For Baltimore,  All Time Low
22, Maryland,Baltimore,The Star-Spangled Banner,  Francis Scott Key
