,state,city,song,artist
0, Massachusetts,Boston,528,  Nervous Eaters
1, Massachusetts,Boston,All Kindsa Girls,  Real Kids
2, Massachusetts,Boston,"Allston, Mass",  The Allstonians
3, Massachusetts,Boston,The Allston Beat,  The Allstonians
4, Massachusetts,Boston,An Open Letter to Boston,  Mark Lind & The Unloved
5, Massachusetts,Boston,As We Walk to Fenway Park in Boston Town,  Jonathan Richman
6, Massachusetts,Boston,Back Bay Shuffle,  Artie Shaw
7, Massachusetts,Boston,Back to Boston,  The Rosebuds
8, Massachusetts,Boston,Bank of Boston Beauty Queen,  The Dresden Dolls
9, Massachusetts,Boston,Beantown,  John Cena
10, Massachusetts,Boston,Bigger Things in Mind,  Westbound Train
11, Massachusetts,Boston,Bill Lee," (Boston Red Sox pitcher, 1969–1978)  Warren Zevon"
12, Massachusetts,Boston,Blue Thunder,  Galaxie 500
13, Massachusetts,Boston,Billy Ruane,  Varsity Drag (Ben Deily)
14, Massachusetts,Boston,Boston,  Augustana
15, Massachusetts,Boston,Boston,  Ed OG
16, Massachusetts,Boston,Boston,  The Byrds
17, Massachusetts,Boston,Boston,  The Dresden Dolls
18, Massachusetts,Boston,Boston,  emmet swimming
19, Massachusetts,Boston,Boston,  Horror Show
20, Massachusetts,Boston,Boston,  Kenny Chesney
21, Massachusetts,Boston,Boston,  Paulson
22, Massachusetts,Boston,Boston,  The Party of Helicopters
23, Massachusetts,Boston,Boston,  Patty Griffin
24, Massachusetts,Boston,Boston (Ladies of Cambridge),  Vampire Weekend
25, Massachusetts,Boston,Boston (My Hometown),"  Freddy ""Boom Boom"" Cannon"
26, Massachusetts,Boston,Boston and St. John's,  Great Big Sea
27, Massachusetts,Boston,Boston Asphalt,  the Dropkick Murphys
28, Massachusetts,Boston,Boston Babies,  G.B.H.
29, Massachusetts,Boston,Boston Babies,  Slaughter & The Dogs
30, Massachusetts,Boston,Boston Band,  Jim's Big Ego
31, Massachusetts,Boston,Boston Belongs To Me,  Death Before Dishonor
32, Massachusetts,Boston,The Boston Beguine,  Sheldon Harnick
33, Massachusetts,Boston,Boston Bound,  The Kings of Nuthin'
34, Massachusetts,Boston,Boston Girl,  Didn't Planet
35, Massachusetts,Boston,Boston Jail,  Porter Wagoner
36, Massachusetts,Boston,A Boston Peace,  Say Anything
37, Massachusetts,Boston,Boston Rag,  Steely Dan
38, Massachusetts,Boston,Boston Rose,  Liam Reilly
39, Massachusetts,Boston,Boston Strong,  Jeffrey Nottonson
40, Massachusetts,Boston,Boston Subway,  The Pubcrawlers
41, Massachusetts,Boston,Boston Tea Party,"  Alex Harvey (and, more recently,  Fish)"
42, Massachusetts,Boston,The Boston Tea Party,"  Jimmy Dorsey,(Decca, DLA456A)"
43, Massachusetts,Boston,Boston United,  The Unseen
44, Massachusetts,Boston,"Boston, USA",  The Ducky Boys
45, Massachusetts,Boston,Bostons,  Have Heart
46, Massachusetts,Boston,"Bridges, Squares",  Ted Leo and the Pharmacists
47, Massachusetts,Boston,Brighton Memories,  The Allstonians
48, Massachusetts,Boston,Bunker Hill,  Michael Penn
49, Massachusetts,Boston,Carl Yastrzemski,  Jess Cain
50, Massachusetts,Boston,The Chosen Few,  the Dropkick Murphys
51, Massachusetts,Boston,Christmas Time,  the Dogmatics (takes place in Kenmore Square)
52, Massachusetts,Boston,Crutch,  Buffalo Tom
53, Massachusetts,Boston,The Devil Came Up To Boston,  Adam Ezra Group
54, Massachusetts,Boston,Devils in Boston,  Samantha Crain
55, Massachusetts,Boston,Dirty Water,  The Standells
56, Massachusetts,Boston,Down Around Here,  Big D and the Kids Table
57, Massachusetts,Boston,Drivin' in Boston is Drivin' Me to Drink,  Howie Newman
58, Massachusetts,Boston,The End of Radio,  Shellac
59, Massachusetts,Boston,Etoh,  The Avalanches
60, Massachusetts,Boston,Fairmount Hill,  the Dropkick Murphys
61, Massachusetts,Boston,The Fenway,  Jonathan Richman (Jonathan Richman and the Modern Lovers)
62, Massachusetts,Boston,Fly Into the Mystery,  Jonathan Richman (The Modern Lovers)
63, Massachusetts,Boston,For Boston," originally  T.J. Hurley (and, more recently,  the Dropkick Murphys)"
64, Massachusetts,Boston,For Boston,  The Hold Steady
65, Massachusetts,Boston,Girlfriend,  Jonathan Richman (The Modern Lovers)
66, Massachusetts,Boston,Going Out in Style,  the Dropkick Murphys
67, Massachusetts,Boston,Government Center,  Jonathan Richman (The Modern Lovers)
68, Massachusetts,Boston,Homecoming King,  Guster
69, Massachusetts,Boston,,
70, Massachusetts,Boston,I Want My City Back,  The Mighty Mighty Bosstones
71, Massachusetts,Boston,The Ice of Boston,  The Dismemberment Plan
72, Massachusetts,Boston,I'm Shipping up to Boston,"  Woody Guthrie and the Dropkick Murphys from The Warrior's Code 2005, music video filmed in East Boston, (Celtic punk)"
