,state,city,song,artist
0, Michigan,Ann Arbor,I Want to Go Back to Michigan,"  Anonymous, popularized  University of Michigan Men's Glee Club[41]"
1, Michigan,Ann Arbor,Last Parade on Ann Street,  Chris Bathgate
2, Michigan,Bad Axe,"Bad Axe, Michigan",  Air Traffic Controller[42]
3, Michigan,Flint,Flint (For the Unemployed and Underpaid),  Sufjan Stevens
4, Michigan,Holland,Holland,  Sufjan Stevens
5, Michigan,Kalamazoo,I've Got A Gal In Kalamazoo,  the Glenn Miller Orchestra
6, Michigan,Kalamazoo,Gotta Get Away,  The Black Keys
7, Michigan,Kalamazoo,Kalamazoo,  Primus
8, Michigan,Kalamazoo,Kalamazoo,  Ben Folds
9, Michigan,Muskegon,They Also Mourn Who Do Not Wear Black,  Sufjan Stevens
10, Michigan,Saginaw,America,  Simon & Garfunkel
11, Michigan,Saginaw,"Saginaw, Michigan",  Lefty Frizzell
