,state,city,song,artist
0, Nevada,Las Vegas,Alone in Vegas,  Pusha T
1, Nevada,Las Vegas,Checkout Time In Vegas,  Drive-By Truckers
2, Nevada,Las Vegas,Gone Country,  Alan Jackson
3, Nevada,Las Vegas,Heaven or Las Vegas,  Cocteau Twins
4, Nevada,Las Vegas,Las Vegas Nights,  Verona Grove
5, Nevada,Las Vegas,Leaving Las Vegas,  Sheryl Crow
6, Nevada,Las Vegas,Let's Go To Vegas,  Faith Hill
7, Nevada,Las Vegas,Vegas,  Sara Bareilles
8, Nevada,Las Vegas,Pretty Vegas,  INXS
9, Nevada,Las Vegas,Pyramids,  Frank Ocean
10, Nevada,Las Vegas,Sam's Town,  The Killers
11, Nevada,Las Vegas,She Let Herself Go,  George Strait
12, Nevada,Las Vegas,Vegas,  Calvin Harris
13, Nevada,Las Vegas,Vegas Lights,  Panic! At The Disco
14, Nevada,Las Vegas,Viva Las Vegas,  Elvis Presley
15, Nevada,Las Vegas,Waking Up in Vegas,  Katy Perry
16, Nevada,Las Vegas,Welcome to Fabulous Las Vegas,  Brandon Flowers
17, Nevada,Reno,Reno Bound,  Southern Pacific
18, Nevada,Reno,Folsom Prison Blues,  Johnny Cash
19, Nevada,Reno,Don't go Down to Reno,  Tony Christie
20, Nevada,Reno,All the Way to Reno (You're Gonna Be a Star),  R.E.M.
21, Nevada,Reno,Friend of the Devil,  The Grateful Dead
22, Nevada,Reno,"Reno, Reno, Reno",  Jonathan Richman
23, Nevada,Reno,Reno Blues,  Willie Dixon
