,state,city,song,artist
0, New Mexico,Albuquerque,Albuquerque,  Neil Young
1, New Mexico,Albuquerque,Albuquerque,  Sons of the Desert
2, New Mexico,Albuquerque,Albuquerque,"  ""Weird"" Al Yankovic"
3, New Mexico,Albuquerque,Blue Bedroom, To Keith
4, New Mexico,Albuquerque,Bring Em Out,  T.I.
5, New Mexico,Albuquerque,By the Time I Get to Phoenix," Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers"
6, New Mexico,Albuquerque,Cowboy Movie, David Cros
7, New Mexico,Albuquerque,Get Your Kicks on Route 66, Perry Como
8, New Mexico,Albuquerque,I Hope Your Whole Life Sux, Blackbear
9, New Mexico,Albuquerque,Make it Clap, Busta Rhymes
10, New Mexico,Albuquerque,Space Between Us, Sister Hazel
11, New Mexico,Albuquerque,The King of Rock 'n' Roll,  Prefab Sprout
12, New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,  Tony Romeo
13, New Mexico,Albuquerque,The Promised Land, Chuck Berry
14, New Mexico,Albuquerque,Train Kept A Rollin', Stray Cats
15, New Mexico,Albuquerque,Wanted Man," Johnny Cash, Bob Dylan, Nick Cave"
16, New Mexico,Santa Fe,Amarillo  Morning,  George Strait
17, New Mexico,Santa Fe,Drive By,  Train
18, New Mexico,Santa Fe,Santa Fe,  Bon Jovi
19, New Mexico,Santa Fe,Santa Fe,  The Bellamy Brothers
20, New Mexico,Santa Fe,Santa Fe,  The Bluescasters
21, New Mexico,Santa Fe,Santa Fe,  Beirut
22, New Mexico,Santa Fe,Santa Fe, from Newsies
23, New Mexico,Santa Fe,Santa Fe, from Rent
24, New Mexico,Santa Fe,Santa Fe,  Bob Dylan
25, New Mexico,Santa Fe,Me and My Uncle,  Grateful Dead
26, New Mexico,Santa Fe,Oblivion, Mudhoney
27, New Mexico,Santa Fe,Gone to Santa Fe, David Wilcox
28, New Mexico,Santa Fe,"Hair of Gold, Eyes of Blue", Frank Sinatra
29, New Mexico,Santa Fe,Coyote, Better Than Ezra
30, New Mexico,Santa Fe,G.I. Five, Johnny Mercer
31, New Mexico,Santa Fe,Lose That Girl, Saint Etienne
32, New Mexico,Santa Fe,New Mexico's no Breeze, Iron & Wine
33, New Mexico,Santa Fe,Midnight Train, Charlie Daniels Band
34, New Mexico,Tucumcari,Coyote,  Better Than Ezra
35, New Mexico,Tucumcari,Dead End Diner,  Lost Dogs
36, New Mexico,Tucumcari,Goode Tennessee,  Jim Post
37, New Mexico,Tucumcari,Hungry Man,  Louis Jordan
38, New Mexico,Tucumcari,I Don't Care,  Justin Townes Earle
39, New Mexico,Tucumcari,Il Treno a Tucumcari,  Bloodhorse
40, New Mexico,Tucumcari,Last Hobo,  John Denver
41, New Mexico,Tucumcari,Ode to the Road, By Larry Gatlin
42, New Mexico,Tucumcari,Route 40,  Leslie Fish
43, New Mexico,Tucumcari,Route 66,  Perry Como
44, New Mexico,Tucumcari,Truckstop Gospel,  Parker Millsap
45, New Mexico,Tucumcari,Tucumcari,  Cex
46, New Mexico,Tucumcari,Tucumcari,  Freedy Johnston
47, New Mexico,Tucumcari,Tucumcari,  Hugues Aufray
48, New Mexico,Tucumcari,Tucumcari,  Jimmie Rodgers
49, New Mexico,Tucumcari,Tucumcari,  Randy Kaplan
50, New Mexico,Tucumcari,"Tucumcari, Here I Come",  Dale Watson
51, New Mexico,Tucumcari,Tucumcari Woman,  Dan Roberts
52, New Mexico,Tucumcari,Two-Gun Harry from Tucumcari,  Dorothy Shay
53, New Mexico,Tucumcari,Willin',  Little Feat
