,state,city,song,artist
0, Pennsylvania,Allentown,Allentown,  Billy Joel
1, Pennsylvania,Allentown,Allentown Jail,  Kingston Trio
2, Pennsylvania,Philadelphia,I-76,  G. Love & Special Sauce
3, Pennsylvania,Philadelphia,Bury me in Philly,  Dave Hause
4, Pennsylvania,Philadelphia,Freedom of '76,  Ween
5, Pennsylvania,Philadelphia,Fall in Philadelphia,  Hall & Oates
6, Pennsylvania,Philadelphia,Goode Philadelphia,  Peter Cincotti
7, Pennsylvania,Philadelphia,Is This America,  Skyhooks
8, Pennsylvania,Philadelphia,Lancaster Avenue Blues,  Mischief Brew
9, Pennsylvania,Philadelphia,Miss Philadelphia,  Musiq Soulchild
10, Pennsylvania,Philadelphia,Motown Philly,  Boyz II Men
11, Pennsylvania,Philadelphia,Philadelphia,  Neil Young
12, Pennsylvania,Philadelphia,Philadelphia Freedom,  Elton John
13, Pennsylvania,Philadelphia,Punk Rock Girl,  The Dead Milkmen
14, Pennsylvania,Philadelphia,Sailing to Philadelphia,  Mark Knopfler
15, Pennsylvania,Philadelphia,"Sit Down, John", from the musical 1776
16, Pennsylvania,Philadelphia,Streets of Philadelphia,  Bruce Springsteen
17, Pennsylvania,Philadelphia,Summertime,  DJ Jazzy Jeff & The Fresh Prince
18, Pennsylvania,Philadelphia,Tenth Street,  Valencia
19, Pennsylvania,Philadelphia,TSOP (The Sound of Philadelphia),  MFSB
20, Pennsylvania,Philadelphia,South Street,  The Orlons
21, Pennsylvania,Philadelphia,Yo Home to Bel-Air,  DJ Jazzy Jeff & The Fresh Prince
22, Pennsylvania,Philadelphia,You Got Me,  The Roots
23, Pennsylvania,Pittsburgh,31 (For Pittsburgh I Am Bound),  Ceann
24, Pennsylvania,Pittsburgh,I'll Get  in Pittsburgh,  Jona Lewie
25, Pennsylvania,Pittsburgh,I'm in Pittsburgh,  The Outcasts
26, Pennsylvania,Pittsburgh,Ode to Pittsburgh,  Loudon Wainwright III
27, Pennsylvania,Pittsburgh,Pittsburgh,"  Mary Lou Williams, featuring Leon Thomas[44][45]"
28, Pennsylvania,Pittsburgh,Pittsburgh Makes Me Drunk,  Ceann
29, Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania",  Guy Mitchell
30, Pennsylvania,Pittsburgh,Pittsburgh Sound (All In My Blood),  Wiz Khalifa
31, Pennsylvania,Pittsburgh,Pittsburgh Town,  Pete Seeger
32, Pennsylvania,Pittsburgh,Six Days on the Road,  Dave Dudley
