,state,city,song,artist
0, Texas,Amarillo,Amarillo,  Gorillaz
1, Texas,Amarillo,Amarillo,  Emmylou Harris
2, Texas,Amarillo,Amarillo Sky,  Jason Aldean
3, Texas,Amarillo,If Hollywood Don't Need You (Honey I Still Do),  Don Williams
4, Texas,Amarillo,Is This the Way to Amarillo,  Neil Sedaka and Howard Greenfield
5, Texas,Austin,Amy's Back In Austin,  Little Texas
6, Texas,Austin,Austin,  Blake Shelton
7, Texas,Austin,Austin in My Sights,  The Bluescasters
8, Texas,Austin,Austin to Ashes,  the Turnpike Troubadours
9, Texas,Beaumont,Beaumont,  Hayes Carll
10, Texas,Beaumont,"Pretty Little Lady From Beaumont, Texas",  George Jones
11, Texas,Beaumont,The Night's Too Long,  Patty Loveless
12, Texas,Brownsville,It's All Here in Brownsville,  The Mountain Goats
13, Texas,Dallas,Big D, from The Most Happy Fella
14, Texas,Dallas,Dallas,  Alan Jackson
15, Texas,Dallas,Dallas,  The Flatlanders
16, Texas,Dallas,Dallas,  Holly McNarland
17, Texas,Dallas,Dallas,  Silver Jews
18, Texas,Dallas,Dallas,  Johnny Winter
19, Texas,Dallas,Dallas 1pm,  Saxon
20, Texas,Dallas,Dallas After Midnight,  Ray Wylie Hubbard (with Jack Ingram)
21, Texas,Dallas,Goin Through The Big D,  Mark Chesnutt
22, Texas,Dallas,He's in Dallas,- Reba McEntire
23, Texas,Dallas,Hot Night in Dallas,  Moon Martin
24, Texas,Dallas,I Drove Her To Dallas,  Ty England
25, Texas,Dallas,People In Dallas Got Hair,  Waylon Jennings
26, Texas,Dallas,Run,  George Strait
27, Texas,Dallas,Truckin',  Grateful Dead
28, Texas,Dallas,Trudy,  the Charlie Daniels Band
29, Texas,El Paso,All The Way Down To El Paso,  Elton John
30, Texas,El Paso,El Paso,  The Gourds
31, Texas,El Paso,El Paso,  Marty Robbins
32, Texas,El Paso,El Paso,  Old 97's
33, Texas,El Paso,El Paso,  Taking Back Sunday
34, Texas,El Paso,El Paso City,  Marty Robbins
35, Texas,El Paso,Feleena (From El Paso),  Marty Robbins
36, Texas,El Paso,Texas Women,  Hank Williams Jr.
37, Texas,Fort Worth,Dallas Days and Fort Worth Nights,  Chris LeDoux
38, Texas,Fort Worth,Does Fort Worth Ever Cross Your Mind,  George Strait
39, Texas,Galveston,Darling I Need You,  John Cale
40, Texas,Galveston,Galveston,  Jimmy Webb
41, Texas,Galveston,Pecos Promenade,  Tanya Tucker
42, Texas,Houston,Bloody Mary Morning,  Willie Nelson
43, Texas,Houston,Dixie On My Mind,  Hank Williams Jr.
44, Texas,Houston,Dracula From Houston,  Butthole Surfers
45, Texas,Houston,Houston,  R.E.M.
46, Texas,Houston,Houston,  Lee Hazlewood
47, Texas,Houston,Houston,  Soul Coughing
48, Texas,Houston,Houston (Means I'm One Day Closer to You),  Larry Gatlin & The Gatlin Brothers
49, Texas,Houston,Houston,  Dean Martin
50, Texas,Houston,Houston Heights,  Blue October
51, Texas,Houston,Midnight Special,  Lead Belly
52, Texas,Houston,Houston Town'  Buddy Ace,
53, Texas,Houston,Telephone Road,  Rodney Crowell
54, Texas,Houston,Telephone Road,  Steve Earle
55, Texas,Houston,Uneasy Rider '88,  the Charlie Daniels Band
56, Texas,Houston,Welcome 2 Houston,  Slim Thug and The Texas All Stars
57, Texas,Houston,Welcome to H-Town,  Lecrae ft. Dre Murray
58, Texas,Houston,Won't Let You Down Texas,  Chamillionaire
59, Texas,La Grange,La Grange,  ZZ Top
60, Texas,Laredo,Laredo,  Band of Horses
61, Texas,Laredo,Me & Paul,  Willie Nelson
62, Texas,Laredo,New Year's Day,  Charlie Robison
63, Texas,Laredo,Streets of Laredo, (old cowboy song)
64, Texas,Lubbock,Going to Lubbock,  The Extra Lens
65, Texas,Lubbock,Lubbock Or Leave It,  Dixie Chicks
66, Texas,Luckenbach,"Luckenbach, Texas (Back to the Basics of Love)",  Waylon Jennings
67, Texas,Palestine,Wheels,  Kanude
68, Texas,San Angelo,San Angelo,  Aaron Watson
69, Texas,San Angelo,San Angelo,  Marty Robbins
70, Texas,San Angelo,San Angelo,  Third Day
71, Texas,San Antonio,Across the Alley from the Alamo,  Bob Wills
72, Texas,San Antonio,Anybody Going To San Antone,  Charlie Pride
73, Texas,San Antonio,It Came from San Antonio,  Bruce Robison
74, Texas,San Antonio,Johnny Come Lately,  Steve Earle
75, Texas,San Antonio,New San Antonio Rose,  Bob Wills
76, Texas,San Antonio,Remember the Alamo,  George Strait
77, Texas,San Antonio,San Antonio,  Willie Nelson from Texas in My Soul
78, Texas,San Antonio,San Antonio Rose,"  Lee Ann Womack, and Willie Nelson & Ray Price"
79, Texas,San Antonio,San Antonio Nights,  Eddy Raven
80, Texas,San Antonio,San Antonio Romeo,  Tish Hinojosa
81, Texas,San Antonio,San Antonio Stroll,  Tanya Tucker
82, Texas,San Antonio,"San Antonio, TX",  Frank Black and the Catholics
83, Texas,San Antonio,San Antone,  Whiskeytown
84, Texas,San Antonio,What am I Doing Hangin' 'Round?,  The Monkees
