,song_city,song_state,song_artist,song_name
0,Texas,Alabama,Lyle Lovett,That's Right (You're Not from Texas)
1,Texas,Alabama,Lyle Lovett,That's Right (You're Not fromTexas)
2,Texas,Alabama,Gene Autry,Gonna Build A Big Fence Around Texas
3,Texas,Alabama,Ray Wylie Hubbard,"Screw You, We're From Texas [Live at American Airlines Center]"
4,Texas,Alabama,Asleep at the Wheel,Boogie Back to Texas
5,Texas,Alabama,Young Thug,Texas Love
6,Texas,Alabama,Paul Wall,Cup Up Top Down
7,Texas,Alabama,Elvis Presley,Yellow Rose of Texas/The Eyes of Texas
8,Texas,Alabama,Ray Wylie Hubbard,"Screw You, We're From Texas"
9,Texas,Alabama,Elvis Presley,Yellow Rose of Texas
10,Texas,Alabama,Asleep at the Wheel,Boogie Back to Texas
11,Texas,Alabama,Bob Wills,Texas Playboy Rag
12,Texas,Alabama,Ry Cooder,The Girls From Texas
13,Texas,Alabama,Jimmy Buffett,Hello Texas
14,Texas,Alabama,Gary Moore,Texas Strut
15,Texas,Alabama,Gary Moore,Moving On
16,Texas,Alabama,Ry Cooder,The Girls from Texas
17,Texas,Alabama,Ry Cooder,The Girls from Texas
18,Texas,Alabama,George Strait,Take Me to Texas
19,Texas,Alabama,Delbert McClinton,Lone Star Blues
20,Texas,Alabama,"The Head, DJ Screw, Lil' Keke",Don't Mess Wit Texas
21,Texas,Alabama,Big Black,Texas
22,Texas,Alabama,Loretta Lynn,I've Got Texas in My Heart
23,Texas,Alabama,Willie Nelson,Texas in My Soul
24,Texas,Alabama,George Strait,Dance Time in Texas
25,Texas,Alabama,Lil' Keke,Don't Mess Wit Texas
26,Texas,Alabama,Jerry Jeff Walker,Keep Texas Beautiful
27,Texas,Alabama,"Leon Bridges, Khruangbin",Texas Sun
28,Texas,Alabama,Austin Lounge Lizards,Stupid Texas Song
29,Texas,Alabama,Terry Allen,Gone to Texas
30,Texas,Alabama,Lil' Flip,Texas Takeover
31,Texas,Alabama,Tanya Tucker,Texas (When I Die)
32,Texas,Alabama,Tanya Tucker,Texas (When I Die)
33,Texas,Alabama,George Strait,All My Ex's Live in Texas
34,Texas,Alabama,Willie Nelson,Texas on a Saturday Night
35,Texas,Alabama,Hank Thompson,There's a Little Bit of Everything in Texas
36,Texas,Alabama,Old 97's,A State of Texas
37,Texas,Alabama,Trace Adkins,There's a Girl in Texas [DVD]
38,Texas,Alabama,Trace Adkins,There's a Girl in Texas
39,Texas,Alabama,George Strait,All My Exes Live in Texas (as used in the film Cold Comfort Manor)
40,Texas,Alabama,The Beach Boys,Long Tall Texan
41,Texas,Alabama,Nickel Creek,Deep in the Heart of Texas
42,Texas,Alabama,The Beach Boys,"Long, Tall Texan"
43,Texas,Alabama,George Strait,When It's Christmas Time In Texas
44,Texas,Alabama,George Strait,When It's Christmas Time In Texas
45,Texas,Alabama,George Strait,All My Ex's Live in Texas
46,Texas,Alabama,Asleep at the Wheel,Don't Ask Me Why (I'm Going to Texas)
47,Texas,Alabama,George Strait,All My Ex's Live in Texas [Live]
48,Texas,Alabama,Lyle Lovett,That's Right (You're Not from Texas)
49,Texas,Alabama,Lyle Lovett,That's Right (You're Not fromTexas)
50,Texas,Alabama,Gene Autry,Gonna Build A Big Fence Around Texas
51,Texas,Alabama,Ray Wylie Hubbard,"Screw You, We're From Texas [Live at American Airlines Center]"
52,Texas,Alabama,Asleep at the Wheel,Boogie Back to Texas
53,Texas,Alabama,Young Thug,Texas Love
54,Texas,Alabama,Paul Wall,Cup Up Top Down
55,Texas,Alabama,Elvis Presley,Yellow Rose of Texas/The Eyes of Texas
56,Texas,Alabama,Ray Wylie Hubbard,"Screw You, We're From Texas"
57,Texas,Alabama,Elvis Presley,Yellow Rose of Texas
58,Texas,Alabama,Asleep at the Wheel,Boogie Back to Texas
59,Texas,Alabama,Bob Wills,Texas Playboy Rag
60,Texas,Alabama,Ry Cooder,The Girls From Texas
61,Texas,Alabama,Jimmy Buffett,Hello Texas
62,Texas,Alabama,Gary Moore,Texas Strut
63,Texas,Alabama,Gary Moore,Moving On
