song_city,song_state,song_artist,song_name
Alaska,Alaska,John Denver,Alaska and Me
Alaska,Alaska,John Denver,Alaska & Me
Alaska,Alaska,Shawn Mullins,Talkin' Goin' to Alaska Blues
Alaska,Alaska,Hank Snow,When It's Springtime in Alaska (It's Forty Below)
Alaska,Alaska,Johnny Horton,North to Alaska
Alaska,Alaska,John Denver,American Child
Alaska,Alaska,John Denver,Postcard from Paris
Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska (It's Forty Below)
Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska
Alaska,Alaska,Lou Reed,Caroline Says II
Alaska,Alaska,The Velvet Underground,Stephanie Says
Alaska,Alaska,Archers of Loaf,Distance Comes in Droves
Alaska,Alaska,Casper,Alaska
Alaska,Alaska,Jerry Lee Lewis,North to Alaska
Alaska,Alaska,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track]
Alaska,Alaska,Bee Gees,Road to Alaska
Alaska,Alaska,Johnny Horton,North to Alaska [From North to Alaska]
Alaska,Alaska,Frankie Laine,North To Alaska
Alaska,Alaska,Brenner,Richtung Alaska
Alaska,Alaska,"Hank Williams, Jr.",North to Alaska
Alaska,Alaska,Johnny Cash,North to Alaska
Alaska,Alaska,Dan Bern,Alaska Highway
Alaska,Alaska,Marie Bothmer,Alaska
Alaska,Alaska,Dwight Yoakam,North to Alaska
Alaska,Alaska,NRBQ,North to Alaska [Live]
Alaska,Alaska,Ted Hawkins,North to Alaska
Alaska,Alaska,Human Drama,Caroline Says II
Alaska,Alaska,Ellis Paul,Alice's Champagne Palace
Alaska,Alaska,Eyes Adrift,Alaska
Alaska,Alaska,Elif,ALASKA
Alaska,Alaska,Johnny Cash,When It's Springtime in Alaska (It's Forty Below)
Alaska,Alaska,Johnny Cash,When It's Springtime in Alaska (It's Forty Below) [Mono Version]
Alaska,Alaska,Claude King,North to Alaska
Alaska,Alaska,Johnnie Allan,South to Louisiana (North to Alaska)
Alaska,Alaska,Rose Maddox,North to Alaska
Alaska,Alaska,Relative Ways,Alaska
Alaska,Alaska,Mozart La Para,Cola
Alaska,Alaska,Lady & Bird,Stephanie Says
Alaska,Alaska,Boxcar Willie,North to Alaska
Alaska,Alaska,Amanda Palmer,Blake Says
Alaska,Alaska,"Millyz, Doble Porción",Alaska
Alaska,Alaska,Banks,Alaska
Alaska,Alaska,Mantra,Alaska
Alaska,Alaska,Darrell McCall,North to Alaska
Alaska,Alaska,Softies,Alaska
Alaska,Alaska,Big Joe Duskin,North to Alaska
Alaska,Alaska,Jack Cooke,North to Alaska
Alaska,Alaska,Unlinked Artist,North to Alaska
Alaska,Alaska,Connie & Babe,North to Alaska
Alaska,Alaska,Wee Willie Harris,North To Alaska
Alaska,Alaska,David Houston,My Elusive Dreams
Alaska,Alaska,Tammy Wynette,My Elusive Dreams
Alaska,Alaska,Peter Gabriel,Excuse Me
Alaska,Alaska,George Jones,Saginaw Michigan
Alaska,Alaska,Bobby Bare,Saginaw Michigan
Alaska,Alaska,Charlie Rich,On My Knees
Alaska,Alaska,Perry Como,Delaware
Alaska,Alaska,George Jones,My Elusive Dreams
Alaska,Alaska,Johnny Cash,"Saginaw, Michigan [Previously Unreleased Track]"
Alaska,Alaska,Jethro Tull,Far Alaska
Alaska,Alaska,"Neil Young, Neil Young & Crazy Horse",Be the Rain
Alaska,Alaska,Neil Young,Be the Rain
Alaska,Alaska,Islands,Volcanoes
Alaska,Alaska,Brennen Leigh,North to Alaska
Alaska,Alaska,David Mays,North to Alaska
Alaska,Alaska,Rita MacNeil,North to Alaska
Alaska,Alaska,Brian Gale,North to Alaska
Alaska,Alaska,Dermot O'Brien,North To Alaska
Alaska,Alaska,Michel Polnareff,BESOIN DE TOI
Alaska,Alaska,Club Dogo,Confessioni Di Una Banconota
Alaska,Alaska,John Denver,A Song for All Lovers
Alaska,Alaska,Tom Jones,My Elusive Dreams
Alaska,Alaska,Roger Miller,My Elusive Dreams
Alaska,Alaska,George Jones,"Saginaw, Michigan"
Alaska,Alaska,Lefty Frizzell,"Saginaw, Michigan"
Alaska,Alaska,Bobby Bare,My Elusive Dreams
Alaska,Alaska,Faron Young,"Saginaw, Michigan [Live]"
Alaska,Alaska,America,Tall Treasures
Alaska,Alaska,YBN Cordae,Scotty Pippen
Alaska,Alaska,Tru King,Frosty
Alaska,Alaska,Bobby Vinton,My Elusive Dreams
Alaska,Alaska,Bill Anderson,Saginaw Michigan
Alaska,Alaska,Mac Wiseman,"Saginaw, Michigan"
Alaska,Alaska,Faron Young,Saginaw Michigan
Alaska,Alaska,Don Gibson,My Elusive Dreams
Alaska,Alaska,Porter Wagoner,My Elusive Dreams
Alaska,Alaska,Marty Robbins,My Elusive Dreams
Alaska,Alaska,Faron Young,"Saginaw, Michigan"
Alaska,Alaska,Tex Ritter,My Elusive Dreams
Alaska,Alaska,Tyga,Est. (80's Baby)
Alaska,Alaska,Joseph Arthur,Stephanie Says
Alaska,Alaska,Bill Anderson,My Elusive Dreams
Alaska,Alaska,Modest Mouse,Truckers Atlas
Alaska,Alaska,Modest Mouse,Grey Ice Water
Alaska,Alaska,Roy Drusky,When It's Springtime in Alaska
Alaska,Alaska,Part-Time Friends,Summertime Burns
Alaska,Alaska,Max Giesinger,Wenn sie tanzt
Alaska,Alaska,Joe Walsh,Fairbanks Alaska
Alaska,Alaska,Marty Stuart,Maria (Love to See You Again)
Alaska,Alaska,Nancy Sinatra & Lee Hazlewood,Elusive Dreams
Alaska,Alaska,Norma Jean,Your Elusive Dreams
Alaska,Alaska,Carlos Sadness,Bikini
Alaska,Alaska,Paulino Monroy,Alaska
