song_city,song_state,song_artist,song_name
American Samoa,American Samoa,Clutch,How to Shake Hands
American Samoa,American Samoa,Jedi Mind Tricks,Shadow Business
Pago Pago,American Samoa,Jake La Furia,Zombie
Pago Pago,American Samoa,Santi DJ,"El Cubanito, Pt. 2"
Pago Pago,American Samoa,Santi DJ,El Cubanito
Pago Pago,American Samoa,Banda Corona del Rey,Mañana Te Pago
Pago Pago,American Samoa,Japanese,Govana
Pago Pago,American Samoa,Atahualpa Yupanqui,Cantor del Sur
Pago Pago,American Samoa,Sharlene,Yo Pago Lo Mío
Pago Pago,American Samoa,Biagio Antonacci,Pago Il Conto
Pago Pago,American Samoa,Bugo,Che Ci Vuole
Pago Pago,American Samoa,El Canto del Loco,Fin de Semana
Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera de Las Piedras
Pago Pago,American Samoa,Alex Sant'Anna,Cansado
Pago Pago,American Samoa,Sofiane,Ça bicrave la mort
Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera De Las Peidras
Pago Pago,American Samoa,Marina Noélia,Encontro
Pago Pago,American Samoa,Trabalhadores do Comércio,Chamem A Polícia
Pago Pago,American Samoa,"Duki, Khea, C.R.O., Lucho SSJ",Jimmy Fallon [Remix]
Pago Pago,American Samoa,Marcelo Nova,Brincando Com A Vida Alheia
Pago Pago,American Samoa,"MC Igu, Klyn, Derek",Nicole Bahls
Pago Pago,American Samoa,Fabrizio De André,Canzone del Padre
Pago Pago,American Samoa,Ozuna,Yo Tengo Una Gata
Pago Pago,American Samoa,Grupo Niche,Verdades Que Saben
Pago Pago,American Samoa,Noyz Narcos,Street Advisor
Pago Pago,American Samoa,Salomé Camargo,Karma
'Ili'ili,American Samoa,Capercaillie,'s Fhada Leam an Oidhche Gheamhraidh
'Ili'ili,American Samoa,Azra,Mon Ami
'Ili'ili,American Samoa,Azra,Nemir I Strast
