song_city,song_state,song_artist,song_name
Arizona,Arizona,The Beach Boys,Arizona
Arizona,Arizona,Mark Lindsay,Arizona
Arizona,Arizona,Leslie Clio,"Arizona Man [Sing meinen Song, Vol. 5]"
Arizona,Arizona,Hey Monday,Arizona
Arizona,Arizona,"TaiMO, Shadow030",Arizona
Arizona,Arizona,Rich Brian,Arizona
Arizona,Arizona,3 of Hearts,Arizona Rain
Arizona,Arizona,Randy Newman,Rider in the Rain
Arizona,Arizona,Mano Negra,Indios de Barcelona
Arizona,Arizona,George Strait,Ocean Front Property
Arizona,Arizona,Kota the Friend,Sedona
Arizona,Arizona,Eddy Mitchell,Arizona
Arizona,Arizona,"Robert Earl Keen, Jr.",Furnace Fan
Arizona,Arizona,Everclear,Your Arizona Room
Arizona,Arizona,Alejandro Escovedo,Arizona
Arizona,Arizona,"Now, Now",AZ
Arizona,Arizona,Jamie O'Neal,There Is No Arizona
Arizona,Arizona,Steve Martin,King Tut
Arizona,Arizona,Dr. Demento,King Tut
Arizona,Arizona,"Steve Winwood, Eric Clapton",Voodoo Chile [Live]
Arizona,Arizona,Unlinked Artist,There Is No Arizona
Arizona,Arizona,Hit Crew,There Is No Arizona
Arizona,Arizona,Sybersound,There Is No Arizona
Arizona,Arizona,Eric Slingo,Sweet Arizona
Arizona,Arizona,The Sidekicks,There Is No Arizona
Arizona,Arizona,Rednext Level,Get lit
Arizona,Arizona,Guy Clark,Arizona Star
Arizona,Arizona,Pusha T,Got 'Em Covered
Arizona,Arizona,Dave East,Arizona
Arizona,Arizona,Saliva,Here with You
Arizona,Arizona,MCI Players (1956-60),Arizona Bank 2
Arizona,Arizona,Megadeth,Coming Home [Bonus Track]
Arizona,Arizona,The Orb,Little Fluffy Clouds
Arizona,Arizona,Doug Sahm,(Is Anybody Goin' to) San Antone
Arizona,Arizona,Steve Wariner,Snowfall on the Sand
Arizona,Arizona,Yves Montand,DANS LES PLAINES DU FAR WEST
Arizona,Arizona,Damien Jurado,"Yuma, Az"
Arizona,Arizona,Pere Ubu,Mona
Arizona,Arizona,Dahaha,Arizona Thursday
Arizona,Arizona,French Montana,When I Want
Arizona,Arizona,Glenn Hughes,Orion
Arizona,Arizona,A Rocket to the Moon,Call It All Home [Bonus Track]
Arizona,Arizona,The Orb,Little Fluffy Clouds [Dance Mk 2]
Arizona,Arizona,Bad Books,"Mesa, AZ"
Arizona,Arizona,Chuck Berry,Route 66
Arizona,Arizona,Marty Robbins,I'm Gonna Be a Cowboy
Arizona,Arizona,Jimi Hendrix,Voodoo Chile
Arizona,Arizona,Charley Pride,(Is Anybody Going To) San Antone
Arizona,Arizona,Depeche Mode,Route 66
Arizona,Arizona,Daniel O'Donnell,Is Anybody Going to San Antone
Arizona,Arizona,Charlie Daniels,Cowboy Hat in Dallas
Arizona,Arizona,Tina Turner,Never Been to Spain
Arizona,Arizona,Roy Rogers,Ragtime Cowboy Joe
Arizona,Arizona,Rod Stewart,Get Back
Arizona,Arizona,The Manhattan Transfer,Route 66
Arizona,Arizona,Jo Stafford,Ragtime Cowboy Joe
Arizona,Arizona,Steve Miller,Rock 'N Me
Arizona,Arizona,Spike Jones,Ragtime Cowboy Joe
Arizona,Arizona,The Rolling Stones,Route 66
Arizona,Arizona,Rosemary Clooney,Route 66
Arizona,Arizona,Tim McGraw,Everywhere
Arizona,Arizona,Steve Miller,Rock'n Me
Arizona,Arizona,Rod Stewart,Get Back [Alternate Version]
Arizona,Arizona,John Mayall,Sleeping by Her Side
Arizona,Arizona,Mel Tormé,Route 66
Arizona,Arizona,"iLoveMakonnen, Mike WiLL Made It",Wishing You Well
Arizona,Arizona,Perry Como,Route 66
Arizona,Arizona,Buck Owens,Hello California
Arizona,Arizona,Cher,Never Been to Spain
Arizona,Arizona,Charley Pride,Is Anybody Going to San Antone
Arizona,Arizona,Judy Collins,Song for Martin
Arizona,Arizona,John Mayer,Route 66
Arizona,Arizona,Steve Miller Band,Rock Me Baby
Arizona,Arizona,Ron Sexsmith,Is Anybody Going to San Antone [Bonus Track]
Arizona,Arizona,Lucky Boys Confusion,Arizona Stand
Arizona,Arizona,Tom Jones,Rockin' Me
Arizona,Arizona,Public Enemy,By the Time I Get to Arizona
Arizona,Arizona,The Bobs,Angels of Mercy
Arizona,Arizona,Josh Rouse,Simple Pleasure
Arizona,Arizona,Tool,Ænema
Arizona,Arizona,David Allan Coe,Just To Prove My Love For You
Arizona,Arizona,Lee Ann Womack,When You Get to Me
Arizona,Arizona,Asleep at the Wheel,Route 66
Arizona,Arizona,Asleep at the Wheel,(Get Your Kicks On) Route 66
Arizona,Arizona,Three Dog Night,Never Been to Spain
Arizona,Arizona,Asleep at the Wheel,Route 66 (Get Your Kicks On)
Arizona,Arizona,Asleep at the Wheel,Get Your Kicks on Route 66
Arizona,Arizona,The Chipmunks,Ragtime Cowboy Joe
Arizona,Arizona,MCI Players (1956-60),Arizona Bank 1
Arizona,Arizona,MCI Players (1956-60),Arizona Bank 3
Arizona,Arizona,the pure,mirage2
Arizona,Arizona,Trace Adkins,When I Stop Loving You
Arizona,Arizona,Asleep at the Wheel,Route 66 [DVD; Live]
Arizona,Arizona,Ella Mae Morse,Ragtime Cowboy Joe
Arizona,Arizona,Bo Diddley,Route 66
Arizona,Arizona,Public Enemy,By the Time I Get to Arizona [the Moleman Mix]
Arizona,Arizona,The Sons of the Pioneers,Ragtime Cowboy Joe
Arizona,Arizona,Glenn Frey,Route 66
Arizona,Arizona,The Darcys,Arizona Hwy
Arizona,Arizona,Asleep at the Wheel,Route 66 [Live]
Arizona,Arizona,Modest Mouse,Truckers Atlas
Arizona,Arizona,Steve Miller Band,Rock 'N Me
Arizona,Arizona,"10,000 Maniacs",The Painted Desert
Arizona,Arizona,Eddy Howard,Ragtime Cowboy Joe
Arizona,Arizona,Scorpions,Arizona
Arizona,Arizona,Steve Miller Band,Rock'n Me
Arizona,Arizona,Shane MacGowan,Wanted Man
Arizona,Arizona,Ike & Tina Turner,Never Been To Spain
Arizona,Arizona,Little Texas,Missing Years
Arizona,Arizona,Odd Future,NY (Ned Flander)
Arizona,Arizona,Asleep at the Wheel,(Get Your Kicks On) Route 66 [DVD]
Arizona,Arizona,Sammy Hagar,Red Voodoo
Arizona,Arizona,Jimmy Durante,Ragtime Cowboy Joe
Arizona,Arizona,Dave Dudley,Singing Away
Arizona,Arizona,The Pistoleros,Sara Says
Arizona,Arizona,Them,(Get Your Kicks On) Route 66
Arizona,Arizona,Status Quo,Rock 'N' Me
Arizona,Arizona,Falco,Vienna Calling
Arizona,Arizona,Jessie Baylin,Yuma
Arizona,Arizona,Sarah Darling,Home To Me
Arizona,Arizona,Tim Ponzek,Lovingly Longingly Too
Arizona,Arizona,Betty Hutton,Ragtime Cowboy Joe
Arizona,Arizona,Blue Rodeo,Arizona Dust
Arizona,Arizona,Noel Torres,La Estructura
Arizona,Arizona,Falco,Vienna Calling [Donauinsel 2017 Live]
Arizona,Arizona,Falco,Vienna Calling [Parov Stelar Remix]
Arizona,Arizona,Hawkwind,The Secret Agent
Arizona,Arizona,The Cramps,Route 66
Arizona,Arizona,Remi Rhymez,Page 1
Arizona,Arizona,Iamsu!,On My Own
Arizona,Arizona,Rachel COUSINS,WANNA LOVE YOU
Arizona,Arizona,Pedro the Lion,Arizona
Arizona,Arizona,Louise Massey,Ragtime Cowboy Joe
Arizona,Arizona,Riders of the Purple Sage,Ragtime Cowboy Joe
Arizona,Arizona,The JudyBats,When Things Get Slow Around Here
Arizona,Arizona,Foy Willing & the Riders of the Purple Sage,Ragtime Cowboy Joe
Arizona,Arizona,Jo Anne Castle,Ragtime Cowboy Joe
