song_city,song_state,song_artist,song_name
California,California,"Young Thug, Future, Problem, Mike WiLL Made It",California Rari
California,California,Slim,California
California,California,Vampire Weekend,"California English, Pt. 2"
California,California,Bilal,Cali Sunshine
California,California,"Snoop Dogg, Ray J",Hallelujah
California,California,T.I.,California
California,California,Tyga,It Neva Rains
California,California,Joey McIntyre,California
California,California,Chilliwack,California Girl
California,California,Rob Zombie,(Go to) California
California,California,Rob Zombie,(Go To) California
California,California,Rob Zombie,Go to California
California,California,Brian Wilson,California Girls
California,California,Roy Orbison,California Blue
California,California,Snoop Dogg,California Dreaming
California,California,Amen,California's Bleeding
California,California,Tony! Toni! Toné!,It Never Rains in Southern California
California,California,Cleavage,So California
California,California,Tony! Toni! Toné!,It Never Rains (In Southern California)
California,California,Lenny Kravitz,Leaves
California,California,Kid Ink,Cali Dreamin'
California,California,Rihanna,California King Bed [Album Version; Version]
California,California,The Beach Boys,California Girls
California,California,Hollywood Undead,California [Live]
California,California,Hollywood Undead,California
California,California,Sugar Ray,Speed Home California
California,California,pre)Thing,Staay Alive
California,California,Meat Loaf,California Dreamin'
California,California,Eddie Floyd,California Girl
California,California,The Beach Boys,California Dreaming
California,California,Too Short,California Girls
California,California,Marvin Gaye,California Soul
California,California,Smile Empty Soul,California's Lonely
California,California,Mario Joy,California
California,California,monobright,"California Sun, California Rain"
California,California,Snoop Dogg,California Gurls
California,California,Phantom Planet,California [Tchad Blake Mix]
California,California,Phantom Planet,California
California,California,David Lee Roth,California Girls
California,California,Lil Rob,California
California,California,Roy Orbison,California Sunshine Woman
California,California,Kidz Bop Kids,California Girls
California,California,Dada,California Gold
California,California,Dr. Dre,California Love
California,California,Chuck Berry,California
California,California,Bob Seger,California Stars
California,California,Cheap Trick,California Man
California,California,Beth Hart,My California
California,California,Smokey Robinson & the Miracles,California Soul
California,California,Gatlin Brothers,All the Gold in California [DVD]
California,California,Buck Owens,Hello California
California,California,The Madden Brothers,California Rain
California,California,PJ Harvey,Leaving California
California,California,Hootie & the Blowfish,Miss California
California,California,Wilco,California Stars
California,California,Kenny Chesney,California
California,California,Hollywood Undead,California Dreaming
California,California,海龟先生,California (加州)
California,California,Billy Bragg,California Stars
California,California,Wanda Jackson,California Stars
California,California,Red,California
California,California,Audio Adrenaline,Jesus and the California Kid
California,California,Edwin Starr,California Soul
California,California,Jon Pardi,California Sunrise
California,California,ScHoolboy Q,California Heaven
California,California,Phantom Planet,California 2005
California,California,3.6MILK,California
California,California,Styles P,California
California,California,Shawn Mullins,California
California,California,Y.G.,La La Land
California,California,Ice Cube,State of Emergency
California,California,The Wallflowers,Back to California
California,California,P.O.D.,Always Southern California
California,California,"Craig Xen, Lil Peep",California World
California,California,Boy In Space,California
California,California,Jelay,California
California,California,Kendrick Lamar,California Love
California,California,Dr. Dre,California Love [Single Version]
California,California,Funkadelic,Holly Wants to Go to California
California,California,Merle Haggard,A Friend in California
California,California,Lana Del Rey,Fuck It I Love You
California,California,Dead Kennedys,California Über Alles
California,California,Cam,Cold in California
California,California,Jonah Jones,California Soul
California,California,Eminem,California
California,California,Ice Cube,Life in California
California,California,Red Hot Chili Peppers,Dani California
California,California,RYUJI IMAICHI,Kiss & Tell
California,California,KadyRoxz,Orange 2 Blue (California) [Extended]
California,California,Tim McGraw,California
California,California,Phish,California Love
California,California,AWOLNATION,California Halo Blue
California,California,Too Short,Cash Sniffin' Noses
California,California,Paper Tongues,Ride to California
California,California,Bobby Womack,California Dreamin'
California,California,Joni Mitchell,California
California,California,"Yung Pinch, Guapdad 4000, Harikiri",California
California,California,The Miracals,California Girls
California,California,Laura Nyro,California Shoeshine Boys
California,California,SHERBETS,カリフォルニアドリーミング
California,California,America,Everyone I Meet Is From California
California,California,"Hank Williams, Jr.",California Zephyr
California,California,The Adicts,California
California,California,Bobby Womack,California Dreaming
California,California,Slipknot,Eyeless
California,California,Alice in Chains,Check My Brain
California,California,Weezer,California Snow
California,California,John Mayall,California
California,California,Gerald Wilson Orchestra,California Soul
California,California,Jungle,"Heavy, California"
California,California,Bobby Bare,California Dreams
California,California,Carpenters,California Dreamin'
California,California,Brenda & the Tabulations,California Soul
California,California,The Seekers,California Dreamin'
California,California,The Seekers,California Dreamin
California,California,DJ Sammy,California Dreamin'
California,California,Dopetrackz,World Wide Kush [Album Version]
