song_city,song_state,song_artist,song_name
Colorado,Colorado,"Justin Timberlake, Lil Wayne",Light Up
Colorado,Colorado,CJ Vana,Colorado
Colorado,Colorado,Henri Salvador,COLORADO
Colorado,Colorado,Jimmie Dale Gilmore,Another Colorado
Colorado,Colorado,Tech N9ne,Colorado [Bonus Track]
Colorado,Colorado,Dierks Bentley,My Religion
Colorado,Colorado,Steve Earle & the Dukes,News From Colorado
Colorado,Colorado,Mr. Big,Colorado Bulldog
Colorado,Colorado,John Denver,Rocky Mountain High
Colorado,Colorado,John Denver,I Guess He'd Rather Be in Colorado
Colorado,Colorado,Chris LeDoux,Colorado
Colorado,Colorado,Johnny Paycheck,Colorado Cool-Aid
Colorado,Colorado,Sons of the Desert,Colorado
Colorado,Colorado,Brett Dennen,Rocky Mountain High
Colorado,Colorado,Allen Stone,Rocky Mountain High
Colorado,Colorado,Mary Chapin Carpenter,I Guess He'd Rather Be in Colorado
Colorado,Colorado,Stephen Stills,Colorado
Colorado,Colorado,Merle Haggard,Colorado
Colorado,Colorado,Hank Snow,Colorado Country Morning
Colorado,Colorado,Judy Collins,The Blizzard
Colorado,Colorado,3OH!3,Colorado Sunrise
Colorado,Colorado,3OH!3,Coloradosunrise
Colorado,Colorado,Mr. Sancho,In My Eyes
Colorado,Colorado,Linda Ronstadt,Colorado
Colorado,Colorado,Townes Van Zandt,Colorado Girl
Colorado,Colorado,Ray LaMontagne,Rocky Mountain Healin'
Colorado,Colorado,Mike Manuel,His Colorado
Colorado,Colorado,Jimmy Buffett,Rocky Mountain High [Live]
Colorado,Colorado,Tech N9ne,Fire in AC
Colorado,Colorado,Corb Lund,Goodbye Colorado
Colorado,Colorado,The Flying Burrito Brothers,Colorado
Colorado,Colorado,Banda Cuisillos,La Del Moño Colorado
Colorado,Colorado,Banda Cuisillos,La del Moño Colorado
Colorado,Colorado,Steve Holy,A Cliff in Colorado
Colorado,Colorado,Steve Earle,Colorado Girl
Colorado,Colorado,Antonio Aguilar,El Caballo Mojino
Colorado,Colorado,George Strait,Baby Blue
Colorado,Colorado,Nanci Griffith,You Can't Go Home Again
Colorado,Colorado,The Platters,Have Mercy
Colorado,Colorado,Florida Georgia Line,Colorado
Colorado,Colorado,The Beach Boys,The Little Old Lady from Pasadena
Colorado,Colorado,Reba McEntire,The Great Divide
Colorado,Colorado,Johnny Cash,Restless Kid [Previously Unreleased Track; Demo Version]
Colorado,Colorado,Blake Shelton,Came Here to Forget
Colorado,Colorado,Pedernales,La del Moño Colorado
Colorado,Colorado,El Poder del Norte,La del Moño Colorado
Colorado,Colorado,The Bluetones,Colorado Beetle
Colorado,Colorado,"Travis Scott, Rich Homie Quan, Young Thug",Mamacita
Colorado,Colorado,Townes Van Zandt,My Proud Mountains
Colorado,Colorado,Disney,The Little Old Lady from Pasadena
Colorado,Colorado,Tech N9ne,Don't Tweet This
Colorado,Colorado,"Colorado Do Brás, Chitão Martins",Que Rei Sou Eu?
Colorado,Colorado,Jan & Dean,The Little Old Lady from Pasadena
Colorado,Colorado,Jan & Dean,The Little Old Lady (From Pasadena)
Colorado,Colorado,Julio Ade,Life Of Pablo [Studio Version]
Colorado,Colorado,Dan + Shay,Tequila
Colorado,Colorado,Sawyer Brown,Smokin' in the Rockies
Colorado,Colorado,Big Kenny,Trip
Colorado,Colorado,Shannon McNally,Colorado
Colorado,Colorado,Lagwagon,Drag
Colorado,Colorado,Oscar Chávez,La Mariguana
Colorado,Colorado,Carry Me Ohio,Colorado Love [Album Version]
Colorado,Colorado,Craig Morgan,Being Alive and Livin'
Colorado,Colorado,Rebelution,Inhale Exhale
Colorado,Colorado,"Lee Greenwood, Country Christmas",Tender Tennessee Christmas [Live]
Colorado,Colorado,Amy Grant,Tennessee Christmas
Colorado,Colorado,"Hank Williams, Jr.",California Zephyr
Colorado,Colorado,Rod Stewart,Man of Constant Sorrow
Colorado,Colorado,The Kingston Trio,Colorado Trail
Colorado,Colorado,Alabama,Tennessee Christmas
Colorado,Colorado,Johnny Cash,She Came from the Mountains
Colorado,Colorado,Willie Nelson,Texas on a Saturday Night
Colorado,Colorado,Bob Dylan,Man of Constant Sorrow
Colorado,Colorado,Zac Brown Band,Colder Weather
Colorado,Colorado,Gilberto Santa Rosa,Fulana
Colorado,Colorado,Arlo Guthrie,Uncle Jeff
Colorado,Colorado,Emmylou Harris,Ft. Worth Blues
Colorado,Colorado,Los Tigres del Norte,El Rengo del Gallo Giro
Colorado,Colorado,Jimmy Buffett,A Mile High in Denver
Colorado,Colorado,The Nitty Gritty Dirt Band,Colorado Christmas
Colorado,Colorado,John Denver,The Harder They Fall
Colorado,Colorado,Reba McEntire,Great Divide
Colorado,Colorado,Eddie from Ohio,Old Dominion
Colorado,Colorado,Chris LeDoux,Silence on the Line
Colorado,Colorado,Kidz Bop Kids,Good Life
Colorado,Colorado,Porter Wagoner,Tennessee Christmas
Colorado,Colorado,Nav,My Business
Colorado,Colorado,Willie Nelson,We Are the Cowboys
Colorado,Colorado,Jim Lauderdale,Love's Voice
Colorado,Colorado,Doug Dillard,The Radio Song
Colorado,Colorado,David Olney,The Colorado Kid
Colorado,Colorado,Unlinked Artist,The Little Old Lady from Pasadena
Colorado,Colorado,Bowling for Soup,Surf Colorado
Colorado,Colorado,Joni Mitchell,My Secret Place
Colorado,Colorado,David Allan Coe,Just To Prove My Love For You
Colorado,Colorado,"Zakk Wylde, Morgan Wallen, Hardy",Turn You Down
Colorado,Colorado,Blondie,Under the Gun
Colorado,Colorado,Townes Van Zandt,Colorado Bound
Colorado,Colorado,Lee Ann Womack,Songs for Sale
Colorado,Colorado,Trace Adkins,When I Stop Loving You
Colorado,Colorado,"B.o.B, OneRepublic",Good Life
Colorado,Colorado,Dixie Chicks,She'll Find Better Things to Do
Colorado,Colorado,Nana Mouskouri,Apples Won't Grow
Colorado,Colorado,Dixie Chicks,West Texas Wind
Colorado,Colorado,The Freshmen,Go Granny Go (The Little Old Lady from Pasadena)
Colorado,Colorado,Alela Diane,Colorado Blue
Colorado,Colorado,OneRepublic,Good Life
Colorado,Colorado,Blondie,Under the Gun (For Jeffery Lee Pierce)
Colorado,Colorado,B.J. Thomas,Tennessee Christmas
Colorado,Colorado,OneRepublic,Good Life [Demolition Crew Remix]
Colorado,Colorado,Atahualpa Yupanqui,Chacarera de Las Piedras
Colorado,Colorado,Modest Mouse,Truckers Atlas
Colorado,Colorado,Steve Earle,Ft. Worth Blues
Colorado,Colorado,Pepe Aguilar,Juan Colorado/Chaparrita
Colorado,Colorado,Chris LeDoux,Silence on the Line [DVD]
Colorado,Colorado,The Vamps,Tequila
Colorado,Colorado,Johnny Socko,Rocks in My Head
Colorado,Colorado,J.J. Cale,Teardrops in My Tequila
Colorado,Colorado,Guy Clark,Fort Worth Blues
Colorado,Colorado,Terence Trent D'Arby,Sayin' About You
Colorado,Colorado,Steve Earle,Rex's Blues/Ft. Worth Blues
Colorado,Colorado,Steve Earle,The Gringo's Tale
Colorado,Colorado,Mel Tillis,Texas on a Saturday Night
Colorado,Colorado,Patrulla 81,Que Bonita Es Mi Tierra
Colorado,Colorado,Young Thug,Might Not Give Up
Colorado,Colorado,Steve Wariner,Tennessee Christmas
Colorado,Colorado,Endless Summer,Tequila
Colorado,Colorado,Kalash Criminel,Pronostic
Colorado,Colorado,Dillard & Clark,Radio Song
Colorado,Colorado,Dillard & Clark,The Radio Song
Colorado,Colorado,Kevin Gates,100it Gang (Marijuana Time)
Colorado,Colorado,Lee Greenwood,Tennessee Christmas
Colorado,Colorado,Terri Clark,I Just Called to Say Goodbye
Colorado,Colorado,Marina and the Diamonds,Gold
Colorado,Colorado,Jalopy Five,The Little Old Lady from Pasadena
Colorado,Colorado,Ice Nine Kills,What I Should Have Learned in Study Hall
Colorado,Colorado,Atahualpa Yupanqui,Chacarera De Las Peidras
Colorado,Colorado,Greg Bates,Lost In Caroline
Colorado,Colorado,Matt Stell ,Everywhere But On
Colorado,Colorado,Jimmy Rankin,Cool Car
Colorado,Colorado,Blue October,Colorado 5591
Colorado,Colorado,The Flatlanders,Rose from the Mountain
Colorado,Colorado,Chris LeDoux,The Buckskin Lady
Colorado,Colorado,Night Ranger,Night Ranger
Colorado,Colorado,Butch Walker,Joan
Colorado,Colorado,Le Tigre,New Kicks
Colorado,Colorado,Devendra Banhart,Carmensita
Colorado,Colorado,Nicolas Peyrac,So far away from L.A.
Colorado,Colorado,Jaden Smith,The Passion
Colorado,Colorado,Sadat X,Hang 'Em High
Colorado,Colorado,GEORGETTE PLANA,MEXICANA (LA)
Colorado,Colorado,Black Prez & K!NG KVNG,Lemon
Colorado,Colorado,Alec King,Keep It Real
Colorado,Colorado,Zeballos,Nadir
Colorado,Colorado,Champ Abrams & Black Seoul,Snowtime
Colorado,Colorado,Ozma,Rocks
Colorado,Colorado,Shovels & Rope,C'mon Utah!
Colorado,Colorado,Hanalei,Better Days
Colorado,Colorado,Chris Walla,A Bird Is a Song
Colorado,Colorado,Mew,Twist Quest
Colorado,Colorado,Aaron Watson,Going to Texas
Colorado,Colorado,Mark Burchfield,Tennessee Christmas
Colorado,Colorado,Alec Benjamin,Outrunning Karma
Colorado,Colorado,Rachel Proctor,We Did It Our Way
Colorado,Colorado,Five Iron Frenzy,You Probably Shouldn't Move Here
Colorado,Colorado,Bill Gaither,Tennessee Christmas
Colorado,Colorado,"Alfredo Ríos ""El Komander""",La Princesa
Colorado,Colorado,Fuerza de Tijuana,El Tricolor
Colorado,Colorado,Token,Flamingo Video Shoot
Colorado,Colorado,Mikolas Josef,Colorado
Colorado,Colorado,Grateful Dead,I Know You Rider
Colorado,Colorado,The Lovin' Spoonful,Never Going Back
Colorado,Colorado,Grateful Dead,Me & My Uncle
Colorado,Colorado,Woody Guthrie,The Great Dust Storm (Dust Storm Disaster)
Colorado,Colorado,Hank Snow,I've Been Everywhere [Live]
Colorado,Colorado,Bob Seger,Get Out of Denver
Colorado,Colorado,Johnny Cash,Wanted Man
Colorado,Colorado,The Kingston Trio,Chilly Winds
Colorado,Colorado,Johnny Cash,Highwayman
Colorado,Colorado,Glen Campbell,Highwayman
Colorado,Colorado,The Yardbirds,Psycho Daisies
Colorado,Colorado,Johnny Cash,Highwayman [Live]
Colorado,Colorado,Willie Nelson,Highwayman
Colorado,Colorado,Grateful Dead,Me and My Uncle
Colorado,Colorado,Woody Guthrie,Dust Storm Disaster
Colorado,Colorado,Woody Guthrie,Ludlow Massacre
Colorado,Colorado,Mary J. Blige,Can't Knock the Hustle
Colorado,Colorado,"Hank Williams, Jr.",O.D.'d In Denver
Colorado,Colorado,Alabama,If It Ain't Dixie (It Won't Do)
Colorado,Colorado,Barbara Mandrell,There's No Love in Tennessee
Colorado,Colorado,Reba McEntire,(You Lift Me) Up to Heaven
Colorado,Colorado,Johnny Cash,Drums
