song_city,song_state,song_artist,song_name
Delaware,Delaware,Perry Como,Delaware
Delaware,Delaware,Kate & Anna McGarrigle,Schooldays
Delaware,Delaware,Capital Lights,His Favorite Christmas Story
Delaware,Delaware,A Tribe Called Quest,Award Tour [LP Version]
Delaware,Delaware,A Tribe Called Quest,Award Tour
Delaware,Delaware,The Kinks,Kentucky Moon [Bonus Track]
Delaware,Delaware,The Kinks,Kentucky Moon
Delaware,Delaware,Red Hot Chili Peppers,We Turn Red
Delaware,Delaware,Fleetwood Mac,Bermuda Triangle
Delaware,Delaware,A Tribe Called Quest,Award Tour [Radio Version]
Delaware,Delaware,James McMurtry,Down Across the Delaware
Delaware,Delaware,Steve Forbert,The Oil Song
Delaware,Delaware,Timbuk 3 ,The Little Things
Delaware,Delaware,The Promise Ring,Is This Thing On?
Delaware,Delaware,Chuck Berry,Back In The U.S.A.
Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba)
Delaware,Delaware,Harold Arlen,"Lydia, The Tattooed Lady"
Delaware,Delaware,Chuck Berry,Back in the U.S.A.
Delaware,Delaware,Johnny Cash,Ragged Old Flag
Delaware,Delaware,The Muppets,"Lydia, the Tattooed Lady"
Delaware,Delaware,Lou Reed,New Sensations
Delaware,Delaware,Linda Ronstadt,Back in the U.S.A.
Delaware,Delaware,The Rolling Stones,Hold Back
Delaware,Delaware,LL Cool J,My Rhyme Ain't Done
Delaware,Delaware,Bing Crosby,"Lydia, the Tattooed Lady"
Delaware,Delaware,James Taylor,Sailing to Philadelphia
Delaware,Delaware,Nas,Street Dreams [Remix]
Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba )
Delaware,Delaware,Chicago,Vote for Me
Delaware,Delaware,Nicki Minaj,Beez In The Trap
Delaware,Delaware,Robin Williams,Evening Out [Includes Lydia the Tattooed Lady]
Delaware,Delaware,Eminem,Remember the Name
Delaware,Delaware,Nas,Street Dreams [Bonus Track]
Delaware,Delaware,John Gorka,Promnight in Pigtown
Delaware,Delaware,Underworld,Moaner
Delaware,Delaware,Allan Sherman,Holiday for States
Delaware,Delaware,The Roots,In the Music
Delaware,Delaware,Dire Straits,Sailing to Philadelphia
Delaware,Delaware,Busta Rhymes,Everybody Rise Again
Delaware,Delaware,The Roots,No Alibi
Delaware,Delaware,Nas,Street Dreams
Delaware,Delaware,Nas,Street Dreams [Bonus Verse]
Delaware,Delaware,Public Enemy,Here I Go
Delaware,Delaware,The Goo Goo Dolls,No Way Out
Delaware,Delaware,Method Man,Criminology 2.5
Delaware,Delaware,Wu-Block,Stella
Delaware,Delaware,Fetty Wap,$ave Dat Money
Delaware,Delaware,Rich Homie Quan,$ave Dat Money
Delaware,Delaware,Seal,America's Song
Delaware,Delaware,DJ Drama,Get Dis Money
Delaware,Delaware,Salt-N-Pepa,I Desire
Delaware,Delaware,The Hollies,Delaware Taggett and the Outlaw Boys
Delaware,Delaware,MC5,Back in the U.S.A.
Delaware,Delaware,Mott the Hoople,Walkin' with a Mountain
Delaware,Delaware,MC5,Back in the USA
Delaware,Delaware,Ted Nugent,Hammerdown
Delaware,Delaware,Wreckx-N-Effect,Rump Shaker
Delaware,Delaware,Bobby Short,"Lydia, the Tatooed Lady"
Delaware,Delaware,Bobby Short,Lydia the Tattooed Lady
Delaware,Delaware,Pusha T,Numbers on the Boards
Delaware,Delaware,Michael Feinstein,"Lydia, the Tattooed Lady"
Delaware,Delaware,De La Soul,Eye Patch
Delaware,Delaware,T-Pain,Mix'd Girl
Delaware,Delaware,Cam'ron,Bubble Music
Delaware,Delaware,Jonathan Richman & the Modern Lovers,Back in the USA
Delaware,Delaware,Julie Wilson,"Lydia the Tattooed Lady, song (for the film ""At the Circus"")"
Delaware,Delaware,Animaniacs,Wakko's America
Delaware,Delaware,Blackalicious,Do This My Way
Delaware,Delaware,Pato Banton,Go Pato
Delaware,Delaware,Pete Rock & C.L. Smooth,All Souled Out
Delaware,Delaware,Fish,Chasing Miss Pretty
Delaware,Delaware,Unlinked Artist,Roof Is on Fire
Delaware,Delaware,Ian Hunter,Walkin' With a Mountain
Delaware,Delaware,Clutch,The Incomparable Mr. Flannery
Delaware,Delaware,"Sean Price, Vic Spencer, Rim P",Lord Have Mercy
Delaware,Delaware,The Marx Brothers,"Lydia, the Tattooed Lady [At the Circus]"
Delaware,Delaware,Ray Wylie Hubbard,"Screw You, We're From Texas"
Delaware,Delaware,Above & Beyond,Northern Soul
Delaware,Delaware,Ellis Paul,Hurricane Angel
Delaware,Delaware,Tru,Stay Real
Delaware,Delaware,Kane & Abel,The Possibility
Delaware,Delaware,Joey Bada$$,Killuminati Pt. 2
Delaware,Delaware,黄莺莺,Dong Dikki Dikki Dong
Delaware,Delaware,Peter Sivo Band ,New Jersey
Delaware,Delaware,Kollegah,"Drogen, Cash & Gangstersound"
Delaware,Delaware,John Dartnell,Gasoline Cowboy
Delaware,Delaware,Herald Powers,85 Pennons
Delaware,Delaware,Kids Learning Tube ,50 States Of America
Delaware,Delaware,Kenny Raye,Atlantic City
Delaware,Delaware,DJ Homewreckr & Player 4,Flights (feat. P$ychii)
Delaware,Delaware,"E.Y. ""Yip"" Harburg","Lydia, the Tattooed Lady"
Delaware,Delaware,Gary Lucas,"Lydia, the Tattooed Lady"
Delaware,Delaware,"Nathan Lane, Matthew Broderick",We Can Do It
Delaware,Delaware,Richard Shindell,Transit
Delaware,Delaware,Rock Master Scott & the Dynamic Three,The Roof Is on Fire [Club DJ]
Delaware,Delaware,Steve Earle & the Dukes,Fastest Man Alive
Delaware,Delaware,Tru,I'm the Funkiest
Delaware,Delaware,Orrin Tucker,"Lydia, the Tattooed Lady"
Delaware,Delaware,Fruit Bats,Magic Hour
Delaware,Delaware,Valencia,The Space Between
Delaware,Delaware,Shovels & Rope,Mary Ann & One Eyed Dan
Delaware,Delaware,mewithoutYou,Blue Hen
Delaware,Delaware,Unlinked Artist,"Lydia, the Tattooed Lady/Daddy"
Delaware,Delaware,Josh Ritter,Hotel Song
Delaware,Delaware,Renald Francoeur,Tour The States
Delaware,Delaware,DMG,Ridaz
Delaware,Delaware,Grey Eye Glances,In the Company of You
Delaware,Delaware,CupcakKe,Bird Box
Delaware,Delaware,Rowlf,"Lydia, the Tattooed Lady"
Delaware,Delaware,David Berkeley,Jefferson
Delaware,Delaware,Rock Master Scott & the Dynamic Three,The Roof Is on Fire
Delaware,Delaware,Girlyman,I Know Where You Are
Delaware,Delaware,Grand Daddy I.U.,Low Key
Delaware,Delaware,Benjamin Sears,"Lydia, the Tattooed Lady"
Delaware,Delaware,Feeling Left Out,Gravy Fries and Dirty Lollipops
Delaware,Delaware,The Menzingers,Hello Exile
Delaware,Delaware,Lil Tjay,Dream That I Had
Wilmington,Delaware,Boogie,Roped Off
Wilmington,Delaware,"J3, Payso B, The Game",Support Compton
Wilmington,Delaware,The Game,Freeway
Wilmington,Delaware,Lucky Boys Confusion,Mr. Wilmington
Wilmington,Delaware,Erykah Badu,On Me
Wilmington,Delaware,Lil Wayne,From Adam
Wilmington,Delaware,The Game,True Colors / It's On
Wilmington,Delaware,The Game,Bompton
Wilmington,Delaware,"Lil Wayne, The Game",From Adam
Wilmington,Delaware,Game,Mr. Potato Head
Wilmington,Delaware,"DJ Quik, Problem, Candice Boyd, The Game",Rosecrans
Wilmington,Delaware,Justin Townes Earle,Over Alameda
Wilmington,Delaware,Cracker,Time Machine
Wilmington,Delaware,The Flirtations,Biko
Wilmington,Delaware,Jay Picante,Big Baller
Wilmington,Delaware,Left Alone,New York City
Wilmington,Delaware,Left Alone,Justino
Wilmington,Delaware,Chiddy Bang,All Over
Wilmington,Delaware,Royal Crown Revue,Watts Local
Wilmington,Delaware,Fuerza Regida,18 Llantas
Wilmington,Delaware,Joe Firstman,Get Your Kisses From Me
Wilmington,Delaware,Byron Bank,"Hello, Goodbye"
Dover,Delaware,Dolly Parton,Down from Dover
Dover,Delaware,Van Morrison,There There Child
Dover,Delaware,Parallels,Dover
Dover,Delaware,Skeeter Davis,Down from Dover
Dover,Delaware,The Police,Too Much Information
Dover,Delaware,The Mills Brothers,Put on Your Old Grey Bonnet
Dover,Delaware,Louis Prima,The White Cliffs of Dover
Dover,Delaware,Richie Cole,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Sertab Erener,İstanbul
Dover,Delaware,Glenn Miller,The White Cliffs of Dover
Dover,Delaware,Jim Reeves,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Rosemary Clooney,(There'll Be Blue Birds Over) The White Cliffs of Dover
Dover,Delaware,Glenn Miller & His Orchestra,The White Cliffs of Dover
Dover,Delaware,Rosemary Clooney,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Kate Smith,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Josh Groban,L' Ora Dell'addio
Dover,Delaware,Kate Smith,The White Cliffs of Dover
Dover,Delaware,Benny Goodman,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Kate Smith,Adeste Fideles (O Come All Ye Faithful)
Dover,Delaware,Blur,Clover Over Dover
Dover,Delaware,Coil,Ostia (The Death of Pasolini)
Dover,Delaware,Vera Lynn,The White Cliffs of Dover
Dover,Delaware,Vera Lynn,(There'll Be Bluebirds Over) The White Cliffs Of Dover [(2017 Version)]
Dover,Delaware,Rockardìa,Cuore di glicine
Dover,Delaware,Nesli,Andrà Tutto Bene
Dover,Delaware,Rick Nelson ,A Wonder Like You
Dover,Delaware,Garth Brooks,Cold Shoulder
Dover,Delaware,Jimmy Cliff,Many Rivers To Cross
Dover,Delaware,Jimmy Cliff,Many Rivers to Cross
Dover,Delaware,Rick Nelson ,Wonder Like You [Bonus Track]
Dover,Delaware,Linda Ronstadt,Many Rivers to Cross
Dover,Delaware,Glenn Miller,White Cliffs of Dover
Dover,Delaware,Woody Allen,White Cliffs of Dover [From Radio Days]
Dover,Delaware,P!nk,Humble Neighborhoods
Dover,Delaware,Josh Groban,L' Ora Dell’Addio
Dover,Delaware,Kay Kyser & His Orchestra,(There'll Be Bluebirds Over) The White Cliffs of Dover
Dover,Delaware,Noël Coward,There Are Bad Times Just Around the Corner
Dover,Delaware,Joe Cocker,Many Rivers to Cross
Dover,Delaware,UB40,Many Rivers to Cross
Dover,Delaware,UB40,Many Rivers To Cross
Dover,Delaware,blink-182,Degenerate
Dover,Delaware,Steeleye Span,The White Cliffs of Dover
Dover,Delaware,Vera Lynn,The White Cliffs Of Dover
Dover,Delaware,Gioele,4 Note
Dover,Delaware,Jim Reeves,There'll Be Bluebirds Over the White Cliffs of Dover
Dover,Delaware,K's Choice,Mr. Freeze
