song_city,song_state,song_artist,song_name
Kentucky,Kentucky,Dolly Parton,Kentucky Gambler
Kentucky,Kentucky,Merle Haggard,Kentucky Gambler
Kentucky,Kentucky,Bill Monroe,I'm Going Back to Old Kentucky
Kentucky,Kentucky,Deep Purple,Kentucky Woman [30th Anniversary Remaster; Version]
Kentucky,Kentucky,Fast Food Rockers,Fast Food Song [Festive Version]
Kentucky,Kentucky,The Move,Kentucky Woman
Kentucky,Kentucky,Bing Crosby,My Old Kentucky Home
Kentucky,Kentucky,Elvis Presley,Kentucky Rain [Bonus Track]
Kentucky,Kentucky,Elvis Presley,Kentucky Rain
Kentucky,Kentucky,Glen Campbell,Bowling Green
Kentucky,Kentucky,The Everly Brothers,Bowling Green [Bonus Track]
Kentucky,Kentucky,Michael W. Smith,Kentucky Rose
Kentucky,Kentucky,The Everly Brothers,Bowling Green [Demo Version]
Kentucky,Kentucky,Sarah Brightman,Bowling Green
Kentucky,Kentucky,Johnny Cash,Kentucky Straight
Kentucky,Kentucky,The Kingston Trio,Old Kentucky Land
Kentucky,Kentucky,Dolly Parton,"Blackie, Kentucky"
Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live]
Kentucky,Kentucky,Waylon Jennings,Kentucky Woman
Kentucky,Kentucky,Neil Diamond,Kentucky Woman
Kentucky,Kentucky,John Prine,"My Old Kentucky Home, Goodnight"
Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live; Bonus Track]
Kentucky,Kentucky,Deep Purple,Kentucky Woman
Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version]
Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version; Version]
Kentucky,Kentucky,Del McCoury,I'm Going Back to Old Kentucky
Kentucky,Kentucky,Kate Smith,My Old Kentucky Home
Kentucky,Kentucky,The Everly Brothers,Kentucky
Kentucky,Kentucky,Bill Monroe,Blue Moon of Kentucky
Kentucky,Kentucky,Elvis Presley,Blue Moon of Kentucky
Kentucky,Kentucky,Patsy Cline,Blue Moon of Kentucky
Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,Blue Moon of Kentucky
Kentucky,Kentucky,Johnny Cash,New Cut Road
Kentucky,Kentucky,Johnny Cash,My Old Kentucky Home (Turpentine and Dandelion Wine)
Kentucky,Kentucky,Paul McCartney,Blue Moon of Kentucky
Kentucky,Kentucky,Alan Jackson,Blue Moon of Kentucky
Kentucky,Kentucky,Neko Case,Bowling Green
Kentucky,Kentucky,Flatt & Scruggs,Blue Moon of Kentucky
Kentucky,Kentucky,Rosemary Clooney,Sweet Kentucky Ham
Kentucky,Kentucky,Eddy Arnold,Kentucky Babe
Kentucky,Kentucky,Phil Ochs,No Christmas in Kentucky
Kentucky,Kentucky,Phil Ochs,"Hazard, Kentucky"
Kentucky,Kentucky,George Hamilton IV,Kentucky
Kentucky,Kentucky,Kid Rock,Johnny Cash
Kentucky,Kentucky,Billie Joe Armstrong,Kentucky
Kentucky,Kentucky,Hermano,Kentucky
Kentucky,Kentucky,Laura Bell Bundy,Kentucky Dirty
Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,I'm Going Back to Old Kentucky
Kentucky,Kentucky,Elvis Presley,Blue Moon Of Kentucky
Kentucky,Kentucky,Elvis Presley,Blue Moon on Kentucky
Kentucky,Kentucky,Steven Curtis Chapman,Christmas in Kentucky
Kentucky,Kentucky,LeAnn Rimes,Blue Moon of Kentucky
Kentucky,Kentucky,Nappy Roots,Kentucky Mud
Kentucky,Kentucky,Dionne Warwick,Message to Michael
Kentucky,Kentucky,Lou Johnson,Kentucky Bluebird (Send a Message to Martha)
Kentucky,Kentucky,George Jones,Blue Moon of Kentucky
Kentucky,Kentucky,Emmylou Harris,Blue Kentucky Girl
Kentucky,Kentucky,The Kinks,Kentucky Moon [Bonus Track]
Kentucky,Kentucky,The Kinks,Kentucky Moon
Kentucky,Kentucky,Burt Bacharach,Message to Michael
Kentucky,Kentucky,Dennis Brown,Message to Martha
Kentucky,Kentucky,Guy Clark,New Cut Road
Kentucky,Kentucky,Kenny Price,Comin' Home to Kentucky
Kentucky,Kentucky,Dionne Warwick,Message to Michael [A.K.A. Message to Martha]
Kentucky,Kentucky,James Brown,A Message to Michael
Kentucky,Kentucky,Wanda Jackson,Blue Moon of Kentucky
Kentucky,Kentucky,Dwight Yoakam,Bury Me
Kentucky,Kentucky,Deacon Blue,Message to Michael
Kentucky,Kentucky,Dierks Bentley,Bourbon in Kentucky
Kentucky,Kentucky,Gary Allan,Songs About Rain
Kentucky,Kentucky,Tom T. Hall,It's Got to Be Kentucky for Me
Kentucky,Kentucky,Alecia Nugent,I Cried All the Way to Kentucky
Kentucky,Kentucky,Dionne Warwick,Message to Michael [Live]
Kentucky,Kentucky,The Carter Family,I'm Going Back to Old Kentucky
Kentucky,Kentucky,Dierks Bentley,Bourbon In Kentucky [Album Version]
Kentucky,Kentucky,Deacon Blue,Message To Michael
Kentucky,Kentucky,Aaron Tippin,Cold Gray Kentucky Morning
Kentucky,Kentucky,Hank Locklin,Blue Moon of Kentucky
Kentucky,Kentucky,Tom T. Hall,Kentucky in the Morning
Kentucky,Kentucky,Curtis Stigers,Sweet Kentucky Ham
Kentucky,Kentucky,The Marvelettes,Message to Michael
Kentucky,Kentucky,Hank Snow,Roll Along Kentucky Moon
Kentucky,Kentucky,Bill Monroe,Kentucky Waltz
Kentucky,Kentucky,Loretta Lynn,Blue Kentucky Girl
Kentucky,Kentucky,John Hiatt,Haulin'
Kentucky,Kentucky,Neil Diamond,You're So Sweet
Kentucky,Kentucky,Eddie Rabbitt,Kentucky Rain
Kentucky,Kentucky,Charlie Sizemore,Kentucky in the Morning
Kentucky,Kentucky,Rosemary Clooney,You're in Kentucky
Kentucky,Kentucky,Neil Diamond,You're So Sweet Horseflies Keep Hangin' 'Round Your Face
Kentucky,Kentucky,Roberta Flack,Message to Michael
Kentucky,Kentucky,Princess Nokia,Chinese Slippers
Kentucky,Kentucky,David Lee Murphy,Kentucky Girl
Kentucky,Kentucky,Doc Watson,My Rose of Old Kentucky
Kentucky,Kentucky,Craig Smith,My Old Kentucky Home (Turpentine and Dandelion Wine)
Kentucky,Kentucky,Steve Earle & the Dukes,New Cut Road
Kentucky,Kentucky,Ry Cooder,My Old Kentucky Home (Turpentine and Dandelion Wine)
Kentucky,Kentucky,Adam Faith,Message to Martha (Kentucky Bluebird)
Kentucky,Kentucky,Trace Adkins,Ain't Just the Whiskey Talkin'
Kentucky,Kentucky,The The,Global Eyes
Kentucky,Kentucky,Keith Whitley,Kentucky Bluebird
Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,My Rose of Old Kentucky
Kentucky,Kentucky,Conway Twitty,Boogie Grass Band
Kentucky,Kentucky,Bill Monroe,My Rose of Old Kentucky
Kentucky,Kentucky,The Nitty Gritty Dirt Band,Grand Ole Opry Song
Kentucky,Kentucky,Louis Armstrong,Struttin' with Some Barbecue
Kentucky,Kentucky,Bessie Smith,St. Louis Blues
Kentucky,Kentucky,Eddy Arnold,Kentucky Waltz [Bonus Track]
Kentucky,Kentucky,Louis Armstrong,Long Gone
Kentucky,Kentucky,The Temptations,Treat Her Like a Lady
Kentucky,Kentucky,Rick Nelson ,Kentucky Means Paradise
Kentucky,Kentucky,Hot Club of Derbytown,Kentucky Means Paradise
Kentucky,Kentucky,Eddy Arnold,Roll Along Kentucky Moon [Bonus Track]
Kentucky,Kentucky,Bobby Hackett,Struttin' with Some Barbecue
Kentucky,Kentucky,Al Jolson,Hello 'Tucky
Kentucky,Kentucky,Dolly Parton,Bluer Pastures
