song_city,song_state,song_artist,song_name
Michigan,Michigan,David Houston,Saginaw Michigan
Michigan,Michigan,Albert King,Cadillac Assembly Line
Michigan,Michigan,Leif Vollebekk,Michigan
Michigan,Michigan,Everclear,Detroit
Michigan,Michigan,John Linnell,Michigan
Michigan,Michigan,David Frizzell,"Saginaw, Michigan"
Michigan,Michigan,The Milk Carton Kids,Michigan
Michigan,Michigan,Wilco,Spiders (Kidsmoke)
Michigan,Michigan,Protomartyr,Michigan Hammers
Michigan,Michigan,Tylor Carl,Girl from Michigan
Michigan,Michigan,Melkbelly,LCR
Michigan,Michigan,Fireworks,One More Creature Dizzy W/ Love
Michigan,Michigan,Sufjan Stevens,Say Yes! to M!ch!gan!
Michigan,Michigan,The Dayton Family,Flint Town
Michigan,Michigan,Michel Sardou,Monsieur le President de France
Michigan,Michigan,Johnny Cash,Highway Patrolman
Michigan,Michigan,Bruce Springsteen,Highway Patrolman
Michigan,Michigan,Bruce Springsteen,Used Cars
Michigan,Michigan,Kate Smith,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Glenn Miller,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Glenn Miller & His Orchestra,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Benny Goodman,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Buddy Guy,My Baby She Left Me (She Left Me a Mule to Ride)
Michigan,Michigan,Glenn Miller,I've Got a Gal in Kalamazoo
Michigan,Michigan,Johnny Cash,Wrinkled Crinkled Wadded Dollar Bill
Michigan,Michigan,Glenn Miller & His Orchestra,I've Got a Gal in Kalamazoo
Michigan,Michigan,The Andrews Sisters,Kalamazoo
Michigan,Michigan,Chris Martin,Homecoming
Michigan,Michigan,Sonny Boy Williamson II,Sonny Boy's Jump
Michigan,Michigan,Louis Armstrong,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Kanye West,Homecoming
Michigan,Michigan,Benny Goodman & His Orchestra,I've Got a Gal in Kalamazoo
Michigan,Michigan,Bruce Springsteen,Highway Patrolman [DVD]
Michigan,Michigan,Glenn Miller,Kalamazoo
Michigan,Michigan,Eminem,W.T.P.
Michigan,Michigan,Stephen Simmons,Highway Patrolman
Michigan,Michigan,Jetty Rae,Michigan
Michigan,Michigan,The Andrews Sisters,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Sonny Boy Williamson I,Sonny Boy's Jump
Michigan,Michigan,Allan Sherman,There's No Governor Like Our New Governor
Michigan,Michigan,Art Lund,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Eydie Gorme,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Guardrail,Quicksand
Michigan,Michigan,Louis Armstrong,I've Got a Gal in Kalamazoo
Michigan,Michigan,Big Sean,Higher
Michigan,Michigan,Ted Heath,I've Got a Gal in Kalamazoo
Michigan,Michigan,Dick Haymes,I've Got a Gal in Kalamazoo
Michigan,Michigan,"Yo Gotti, 42 Dugg",You Da One
Michigan,Michigan,Billy Eckstine,(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Insane Clown Posse,Posse On Verner
Michigan,Michigan,Tee Grizzley,First Day Out
Michigan,Michigan,BROCKHAMPTON,MICHIGAN
Michigan,Michigan,Tenacious D,The Road
Michigan,Michigan,The Hold Steady,Sweet Payne
Michigan,Michigan,Josh Rouse,Michigan
Michigan,Michigan,Less than Jake,Jay Frenzal
Michigan,Michigan,Proof,Pimplikeness
Michigan,Michigan,The Royal Me,Never Michigan
Michigan,Michigan,The Plastic Bears,Garage Sale
Michigan,Michigan,Spacecadet,Detroitland
Michigan,Michigan,Lipstick Generation,Christmastime Machine
Michigan,Michigan,Natas,Football
Michigan,Michigan,Jaylib,L.A. to Detroit
Michigan,Michigan,Tex Beneke,I've Got a Gal in Kalamazoo
Michigan,Michigan,"Tex Beneke, Marion Hutton",(I've Got a Gal In) Kalamazoo
Michigan,Michigan,Hem,Half Acre
Michigan,Michigan,Western Michigan University Jazz Orchestra,I've Got a Gal in Kalamazoo
Michigan,Michigan,Rogue Wave,Lake Michigan
Michigan,Michigan,Gino Vannelli,Great Lake Canoe
Michigan,Michigan,"The Alchemist, Boldy James, Benny the Butcher",Scrape The Bowl
Michigan,Michigan,Diffuser,Why
Michigan,Michigan,BBC Big Band,I've Got a Gal in Kalamazoo
Michigan,Michigan,Hollywood All Stars,I've Got a Gal in Kalamazoo
Michigan,Michigan,Trout Fishing in America,There's a Panther in Michigan
Michigan,Michigan,Colin James,Shout Baby Shout
Michigan,Michigan,BBC Big Band Orchestra,I've Got a Gal in Kalamazoo
Michigan,Michigan,Theo Bleckmann,I've Got a Gal in Kalamazoo
Michigan,Michigan,Glenn Miller & His Orchestra,I've Got a Gal In Kalamazoo
Michigan,Michigan,"Jetty Rae, Pen Pals, Heath McNease",Camp
Michigan,Michigan,New Hollow,Boyfriend
Michigan,Michigan,Simon & Garfunkel,America
Michigan,Michigan,Woody Guthrie,1913 Massacre
Michigan,Michigan,Bob Seger,Heavy Music
Michigan,Michigan,Yes,America
Michigan,Michigan,Ice Cube,My Summer Vacation
Michigan,Michigan,Gordon Lightfoot,Go-Go Round
Michigan,Michigan,Elvis Presley,Startin' Tonight
Michigan,Michigan,The Yardbirds,Psycho Daisies
Michigan,Michigan,Brownie McGhee,Betty and Dupree
Michigan,Michigan,Gordon Lightfoot,Go Go Round
Michigan,Michigan,Gordon Lightfoot,Wreck of the Edmund Fitzgerald
Michigan,Michigan,Frank Sinatra,(There'll Be A) Hot Time in the Town of Berlin (When the Yanks Go ...)
Michigan,Michigan,Johnny Cash,Southwestward
Michigan,Michigan,Glenn Miller,Hot Time in the Town of Berlin
