song_city,song_state,song_artist,song_name
North Dakota,North Dakota,Tom Roble,North Dakota
North Dakota,North Dakota,Doc Walker,North Dakota Boy
North Dakota,North Dakota,Thrush Hermit,North Dakota
North Dakota,North Dakota,Lyle Lovett,North Dakota
North Dakota,North Dakota,Nanci Griffith,Across America
North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had
North Dakota,North Dakota,King Slinkz,Rack It Up
North Dakota,North Dakota,Lexi Wyman,Good Woman
North Dakota,North Dakota,Amy Millan,Ruby II
North Dakota,North Dakota,Allan Sherman,Holiday for States
North Dakota,North Dakota,Woody Guthrie,Hard Travelin'
North Dakota,North Dakota,Porter Wagoner,Highway Headin' South
North Dakota,North Dakota,Dolly Parton,Highway Headin' South
North Dakota,North Dakota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota
North Dakota,North Dakota,Phish,Nellie Kane
North Dakota,North Dakota,Dr. Demento,The Biggest Ball of Twine in Minnesota
North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man [Demo Version]
North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man
North Dakota,North Dakota,Buck Owens,Alabama Louisiana or Maybe Tennessee
North Dakota,North Dakota,Charlie Daniels,Let Freedom Ring
North Dakota,North Dakota,Bob Seger,Face the Promise
North Dakota,North Dakota,Red Hot Chili Peppers,Dani California
North Dakota,North Dakota,The Dillards,Hard Travelin'
North Dakota,North Dakota,Grandmaster Flash,Adventures of Grandmaster Flash on the Wheels of Steel
North Dakota,North Dakota,Ramblin' Jack Elliott,Hard Travelin'
North Dakota,North Dakota,Hot Rize,Nellie Kane
North Dakota,North Dakota,Joni Mitchell,Song for Sharon
North Dakota,North Dakota,Coolio,Get Up Get Down
North Dakota,North Dakota,The Killers,The Ballad of Michael Valentine
North Dakota,North Dakota,Kevin Hart,All Falls Down
North Dakota,North Dakota,Busta Rhymes,More Dangerous
North Dakota,North Dakota,Das EFX,Dum Dums
North Dakota,North Dakota,Tom Waits,Had Me a Girl
North Dakota,North Dakota,Counting Crows,August & Everything After
North Dakota,North Dakota,The Partridge Family,Some Kind of a Summer
North Dakota,North Dakota,Neal McCoy,The Shake
North Dakota,North Dakota,Harry Chapin,Mail Order Annie
North Dakota,North Dakota,David Cassidy,Some Kind of a Summer
North Dakota,North Dakota,Animaniacs,Wakko's America
North Dakota,North Dakota,Melissa Etheridge,The Medicine Show
North Dakota,North Dakota,Misfits,Unexplained
North Dakota,North Dakota,"Lil Pump, Ronny J",TRIXXX
North Dakota,North Dakota,Cisco Houston,Hard Travelin'
North Dakota,North Dakota,Ashley Monroe,Like A Rose
