song_city,song_state,song_artist,song_name
Wisconsin,Wisconsin,Tim Angsten,A Girl from Wisconsin
Wisconsin,Wisconsin,Joan Baez,The River in the Pines
Wisconsin,Wisconsin,Lil Wayne,Can't Believe It
Wisconsin,Wisconsin,T-Pain,Can't Believe It
Wisconsin,Wisconsin,Art Paul Schlosser,Madison
Wisconsin,Wisconsin,The Velvet Underground,The Gift
Wisconsin,Wisconsin,Static-X,Wisconsin Death Trip
Wisconsin,Wisconsin,David Allan Coe,Juanita
Wisconsin,Wisconsin,Mohan Zhang,Promontory
Wisconsin,Wisconsin,Lloyd Cole,The Gift
Wisconsin,Wisconsin,Bon Iver,Wisconsin
Wisconsin,Wisconsin,Tom Waits,Diamonds on My Windshield
Wisconsin,Wisconsin,Atom and His Package,Upside Down From Here
Wisconsin,Wisconsin,Whitehorse,Wisconsin
Wisconsin,Wisconsin,Hank Snow,The Ballad of Hard Luck Henry
Wisconsin,Wisconsin,Robert Johnson,32-20 Blues
Wisconsin,Wisconsin,Bruce Springsteen,Cadillac Ranch
Wisconsin,Wisconsin,Gordon Lightfoot,Wreck of the Edmund Fitzgerald
Milwaukee,Wisconsin,Rod Stewart,What Made Milwaukee Famous
Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous
Milwaukee,Wisconsin,Rod Stewart,What Made Milwaukee Famous (Has Made a Loser Out of Me)
Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous Made a Loser Out of Me
Milwaukee,Wisconsin,Jerry Lee Lewis,What Made Milwaukee Famous [DVD]
Milwaukee,Wisconsin,Rod Stewart,What's Made Milwaukee Famous (Has Made a Loser Out of Me)
Milwaukee,Wisconsin,George Jones,"Milwaukee, Here I Come"
Milwaukee,Wisconsin,Biz Markie,Dedication
Milwaukee,Wisconsin,Ella Fitzgerald,My Cousin in Milwaukee
Milwaukee,Wisconsin,Jerry Lee Lewis,What's Made Milwaukee Famous (Has Made a Loser Out of Me)
Milwaukee,Wisconsin,Jerry Lee Lewis,What's Made Milwaukee Famous (Has Made a Loser Out of Me) [Live]
