,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Alabama,Alabama,Lynyrd Skynyrd,Sweet Home Alabama,spotify:track:7e89621JPkKaeDSTQ3avtg,83,1974-04-15,0.596,0.605,7.0,-12.145,1.0,0.0255,0.18100000000000002,0.000331,0.0863,0.8859999999999999,97.79799999999999,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800.0,4.0
1,Alabama,Alabama,Grateful Dead,Alabama Getaway,spotify:track:5WVF1Ftv5oxspRac9km99R,49,1980,0.634,0.809,4.0,-10.025,0.0,0.0335,0.163,0.00199,0.309,0.927,77.256,audio_features,5WVF1Ftv5oxspRac9km99R,spotify:track:5WVF1Ftv5oxspRac9km99R,https://api.spotify.com/v1/tracks/5WVF1Ftv5oxspRac9km99R,https://api.spotify.com/v1/audio-analysis/5WVF1Ftv5oxspRac9km99R,216569.0,4.0
2,Alabama,Alabama,Kid Rock,All Summer Long,spotify:track:5rX6C5QVvvZB7XckETNych,76,2007-10-09,0.7,0.8640000000000001,7.0,-3.6289999999999996,1.0,0.0283,0.0212,0.0,0.0956,0.887,102.99700000000001,audio_features,5rX6C5QVvvZB7XckETNych,spotify:track:5rX6C5QVvvZB7XckETNych,https://api.spotify.com/v1/tracks/5rX6C5QVvvZB7XckETNych,https://api.spotify.com/v1/audio-analysis/5rX6C5QVvvZB7XckETNych,297587.0,4.0
3,Alabama,Alabama,Stone Temple Pilots,Art School Girl,spotify:track:4jI15xh4txiG1emdIhw2lk,41,1996-03-26,0.5489999999999999,0.718,4.0,-9.055,1.0,0.0922,0.0607,0.0,0.0871,0.893,120.006,audio_features,4jI15xh4txiG1emdIhw2lk,spotify:track:4jI15xh4txiG1emdIhw2lk,https://api.spotify.com/v1/tracks/4jI15xh4txiG1emdIhw2lk,https://api.spotify.com/v1/audio-analysis/4jI15xh4txiG1emdIhw2lk,215360.0,4.0
4,Alabama,Alabama,Kid Rock,All Summer Long,spotify:track:5rX6C5QVvvZB7XckETNych,76,2007-10-09,0.7,0.8640000000000001,7.0,-3.6289999999999996,1.0,0.0283,0.0212,0.0,0.0956,0.887,102.99700000000001,audio_features,5rX6C5QVvvZB7XckETNych,spotify:track:5rX6C5QVvvZB7XckETNych,https://api.spotify.com/v1/tracks/5rX6C5QVvvZB7XckETNych,https://api.spotify.com/v1/audio-analysis/5rX6C5QVvvZB7XckETNych,297587.0,4.0
5,Alabama,Alabama,Jerry Reed,Big Daddy,spotify:track:15YA50YBpFhwRAxALIhcmb,0,2010-11-02,0.7070000000000001,0.49,11.0,-14.452,0.0,0.0481,2.07e-05,0.735,0.245,0.401,124.999,audio_features,15YA50YBpFhwRAxALIhcmb,spotify:track:15YA50YBpFhwRAxALIhcmb,https://api.spotify.com/v1/tracks/15YA50YBpFhwRAxALIhcmb,https://api.spotify.com/v1/audio-analysis/15YA50YBpFhwRAxALIhcmb,409178.0,4.0
6,Alabama,Alabama,The Louvin Brothers,Alabama,spotify:track:4mBYupeEa1e5Ep2HU7xToZ,56,2011-04-12,0.474,0.556,4.0,-10.125,1.0,0.0314,0.327,0.0,0.111,0.258,100.26100000000001,audio_features,4mBYupeEa1e5Ep2HU7xToZ,spotify:track:4mBYupeEa1e5Ep2HU7xToZ,https://api.spotify.com/v1/tracks/4mBYupeEa1e5Ep2HU7xToZ,https://api.spotify.com/v1/audio-analysis/4mBYupeEa1e5Ep2HU7xToZ,231884.0,4.0
7,Alabama,Alabama,Neil Young,Oh Susannah,spotify:track:7j55ENuo0ejEmkDark9p6h,23,2012-05-30,0.547,0.71,7.0,-7.643,1.0,0.0307,0.0543,2.9199999999999998e-05,0.69,0.623,117.119,audio_features,7j55ENuo0ejEmkDark9p6h,spotify:track:7j55ENuo0ejEmkDark9p6h,https://api.spotify.com/v1/tracks/7j55ENuo0ejEmkDark9p6h,https://api.spotify.com/v1/audio-analysis/7j55ENuo0ejEmkDark9p6h,302747.0,4.0
8,Alabama,Alabama,Neil Young,Alabama,spotify:track:6PVa4pTYFPv2Sew9wLoyrz,49,1972-02-14,0.429,0.47200000000000003,7.0,-13.08,0.0,0.0347,0.5660000000000001,0.00402,0.152,0.37799999999999995,147.501,audio_features,6PVa4pTYFPv2Sew9wLoyrz,spotify:track:6PVa4pTYFPv2Sew9wLoyrz,https://api.spotify.com/v1/tracks/6PVa4pTYFPv2Sew9wLoyrz,https://api.spotify.com/v1/audio-analysis/6PVa4pTYFPv2Sew9wLoyrz,242200.0,4.0
9,Alabama,Alabama,"Neil Young, Stray Gators",Alabama,spotify:track:37Ioc70fLs2bcTK2RE0JdY,28,2019-05-17,0.405,0.465,9.0,-10.18,0.0,0.0256,0.365,0.449,0.489,0.58,77.657,audio_features,37Ioc70fLs2bcTK2RE0JdY,spotify:track:37Ioc70fLs2bcTK2RE0JdY,https://api.spotify.com/v1/tracks/37Ioc70fLs2bcTK2RE0JdY,https://api.spotify.com/v1/audio-analysis/37Ioc70fLs2bcTK2RE0JdY,230920.0,4.0
