,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Arizona,Arizona,The Beach Boys,Arizona,spotify:track:16LmskiO3GmVMbRExr2rpe,30,2015-06-16,0.272,0.504,6.0,-9.207,0.0,0.0433,0.708,0.053,0.131,0.121,99.321,audio_features,16LmskiO3GmVMbRExr2rpe,spotify:track:16LmskiO3GmVMbRExr2rpe,https://api.spotify.com/v1/tracks/16LmskiO3GmVMbRExr2rpe,https://api.spotify.com/v1/audio-analysis/16LmskiO3GmVMbRExr2rpe,265040.0,4.0
1,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
2,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
4,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
5,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
6,Arizona,Arizona,Hey Monday,Arizona,spotify:track:54jGdUgkPfGNVPVj0wlS3v,30,2008-10-07,0.418,0.9440000000000001,4.0,-1.3980000000000001,1.0,0.0559,0.00439,0.0,0.127,0.557,154.92700000000002,audio_features,54jGdUgkPfGNVPVj0wlS3v,spotify:track:54jGdUgkPfGNVPVj0wlS3v,https://api.spotify.com/v1/tracks/54jGdUgkPfGNVPVj0wlS3v,https://api.spotify.com/v1/audio-analysis/54jGdUgkPfGNVPVj0wlS3v,216627.0,4.0
8,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
9,Arizona,Arizona,Mark Lindsay,Arizona,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,41,1970-03-04,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,81.18,audio_features,2RtmMC4btQbvQ9w5KxPZpy,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/tracks/2RtmMC4btQbvQ9w5KxPZpy,https://api.spotify.com/v1/audio-analysis/2RtmMC4btQbvQ9w5KxPZpy,188133.0,4.0
10,Arizona,Arizona,Rich Brian,Arizona,spotify:track:3q0UN40vV6mI7TT560Ry5l,50,2018-02-02,0.6509999999999999,0.526,8.0,-10.886,1.0,0.35600000000000004,0.695,0.0,0.386,0.509,95.04899999999999,audio_features,3q0UN40vV6mI7TT560Ry5l,spotify:track:3q0UN40vV6mI7TT560Ry5l,https://api.spotify.com/v1/tracks/3q0UN40vV6mI7TT560Ry5l,https://api.spotify.com/v1/audio-analysis/3q0UN40vV6mI7TT560Ry5l,292381.0,4.0
11,Arizona,Arizona,3 of Hearts,Arizona Rain,spotify:track:6Aq4aOXA6dSeCuh2MzgLdo,3,2001-07-23,0.525,0.561,7.0,-7.402,1.0,0.0282,0.428,0.0,0.413,0.275,76.819,audio_features,6Aq4aOXA6dSeCuh2MzgLdo,spotify:track:6Aq4aOXA6dSeCuh2MzgLdo,https://api.spotify.com/v1/tracks/6Aq4aOXA6dSeCuh2MzgLdo,https://api.spotify.com/v1/audio-analysis/6Aq4aOXA6dSeCuh2MzgLdo,229645.0,4.0
