,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Arkansas,Arkansas,Glen Campbell,"Too Late to Worry, Too Blue to Cry",spotify:track:1Zm98o9F5fTIOGRkj7iqQj,17,2019-06-21,0.313,0.165,10.0,-15.804,1.0,0.0337,0.857,0.00010700000000000001,0.247,0.19,109.51,audio_features,1Zm98o9F5fTIOGRkj7iqQj,spotify:track:1Zm98o9F5fTIOGRkj7iqQj,https://api.spotify.com/v1/tracks/1Zm98o9F5fTIOGRkj7iqQj,https://api.spotify.com/v1/audio-analysis/1Zm98o9F5fTIOGRkj7iqQj,156627.0,4.0
1,Arkansas,Arkansas,Glen Campbell,Arkansas,spotify:track:3Xg8JHpq6YIi4PARURoO1F,21,2017-06-09,0.521,0.501,2.0,-7.225,1.0,0.0298,0.7879999999999999,0.0,0.23800000000000002,0.511,127.01799999999999,audio_features,3Xg8JHpq6YIi4PARURoO1F,spotify:track:3Xg8JHpq6YIi4PARURoO1F,https://api.spotify.com/v1/tracks/3Xg8JHpq6YIi4PARURoO1F,https://api.spotify.com/v1/audio-analysis/3Xg8JHpq6YIi4PARURoO1F,211413.0,3.0
2,Arkansas,Arkansas,Roger Miller,Arkansas,spotify:track:56mX6dqd9eYNf2fojfZ99f,14,1985-01-01,0.509,0.0878,0.0,-20.064,1.0,0.0506,0.8320000000000001,0.0,0.106,0.46799999999999997,84.58,audio_features,56mX6dqd9eYNf2fojfZ99f,spotify:track:56mX6dqd9eYNf2fojfZ99f,https://api.spotify.com/v1/tracks/56mX6dqd9eYNf2fojfZ99f,https://api.spotify.com/v1/audio-analysis/56mX6dqd9eYNf2fojfZ99f,244867.0,3.0
3,Arkansas,Arkansas,Don Williams,Where the Arkansas River Leaves Oklahoma,spotify:track:0vzeh0TYMoozxt9xUTgT5g,15,1976-04-05,0.604,0.22399999999999998,0.0,-16.349,1.0,0.0303,0.907,0.0136,0.0702,0.275,114.691,audio_features,0vzeh0TYMoozxt9xUTgT5g,spotify:track:0vzeh0TYMoozxt9xUTgT5g,https://api.spotify.com/v1/tracks/0vzeh0TYMoozxt9xUTgT5g,https://api.spotify.com/v1/audio-analysis/0vzeh0TYMoozxt9xUTgT5g,249853.0,3.0
4,Arkansas,Arkansas,Johnny Cash,Arkansas Lovin' Man,spotify:track:2RcV6Q5HBqnjmSAvd6QKCu,15,1972-04-01,0.752,0.425,1.0,-12.597000000000001,1.0,0.068,0.5429999999999999,0.0359,0.068,0.757,76.602,audio_features,2RcV6Q5HBqnjmSAvd6QKCu,spotify:track:2RcV6Q5HBqnjmSAvd6QKCu,https://api.spotify.com/v1/tracks/2RcV6Q5HBqnjmSAvd6QKCu,https://api.spotify.com/v1/audio-analysis/2RcV6Q5HBqnjmSAvd6QKCu,169773.0,4.0
5,Arkansas,Arkansas,"Robert Earl Keen, Jr.",Here in Arkansas,spotify:track:5u4tqIYaitvEqq010Xj8Ww,12,2004-08-10,0.247,0.183,2.0,-16.003,0.0,0.040999999999999995,0.746,0.0208,0.0887,0.278,80.432,audio_features,5u4tqIYaitvEqq010Xj8Ww,spotify:track:5u4tqIYaitvEqq010Xj8Ww,https://api.spotify.com/v1/tracks/5u4tqIYaitvEqq010Xj8Ww,https://api.spotify.com/v1/audio-analysis/5u4tqIYaitvEqq010Xj8Ww,283600.0,4.0
7,Arkansas,Arkansas,The Almanac Singers,State of Arkansas,spotify:track:7vsvoQZjmBjYe4pJvvoN9r,7,2011-09-01,0.585,0.177,0.0,-17.221,1.0,0.153,0.995,0.526,0.292,0.8759999999999999,151.803,audio_features,7vsvoQZjmBjYe4pJvvoN9r,spotify:track:7vsvoQZjmBjYe4pJvvoN9r,https://api.spotify.com/v1/tracks/7vsvoQZjmBjYe4pJvvoN9r,https://api.spotify.com/v1/audio-analysis/7vsvoQZjmBjYe4pJvvoN9r,169493.0,4.0
8,Arkansas,Arkansas,Anne Murray,I Can See Arkansas,spotify:track:5fHrht9bsyelb2XsW8yJX6,6,1991-01-01,0.664,0.354,0.0,-10.705,1.0,0.0295,0.386,0.0,0.0519,0.35100000000000003,127.786,audio_features,5fHrht9bsyelb2XsW8yJX6,spotify:track:5fHrht9bsyelb2XsW8yJX6,https://api.spotify.com/v1/tracks/5fHrht9bsyelb2XsW8yJX6,https://api.spotify.com/v1/audio-analysis/5fHrht9bsyelb2XsW8yJX6,251600.0,4.0
9,Arkansas,Arkansas,Damien Jurado,Arkansas,spotify:track:1Q8Y36l005q2EFaw1RrF2m,28,2010-05-25,0.762,0.507,5.0,-8.975,1.0,0.0287,0.11699999999999999,0.0043,0.105,0.753,106.234,audio_features,1Q8Y36l005q2EFaw1RrF2m,spotify:track:1Q8Y36l005q2EFaw1RrF2m,https://api.spotify.com/v1/tracks/1Q8Y36l005q2EFaw1RrF2m,https://api.spotify.com/v1/audio-analysis/1Q8Y36l005q2EFaw1RrF2m,191613.0,4.0
10,Arkansas,Arkansas,The Tony Rice Unit,Blackberry Blossom,spotify:track:3rGzzWcBktMg6x1yyTiTLA,16,2003-01-01,0.43700000000000006,0.6559999999999999,7.0,-9.65,1.0,0.0311,0.23199999999999998,0.87,0.191,0.861,131.678,audio_features,3rGzzWcBktMg6x1yyTiTLA,spotify:track:3rGzzWcBktMg6x1yyTiTLA,https://api.spotify.com/v1/tracks/3rGzzWcBktMg6x1yyTiTLA,https://api.spotify.com/v1/audio-analysis/3rGzzWcBktMg6x1yyTiTLA,156933.0,3.0
11,Arkansas,Arkansas,Norman Blake,Blackberry Blossom,spotify:track:3v7UoCL1JYDxXjzcYmB5hv,15,1990-01-01,0.435,0.516,4.0,-17.95,0.0,0.0353,0.752,0.7390000000000001,0.0957,0.965,127.36399999999999,audio_features,3v7UoCL1JYDxXjzcYmB5hv,spotify:track:3v7UoCL1JYDxXjzcYmB5hv,https://api.spotify.com/v1/tracks/3v7UoCL1JYDxXjzcYmB5hv,https://api.spotify.com/v1/audio-analysis/3v7UoCL1JYDxXjzcYmB5hv,194507.0,4.0
12,Arkansas,Arkansas,Norman Blake,Blackberry Blossom,spotify:track:3v7UoCL1JYDxXjzcYmB5hv,15,1990-01-01,0.435,0.516,4.0,-17.95,0.0,0.0353,0.752,0.7390000000000001,0.0957,0.965,127.36399999999999,audio_features,3v7UoCL1JYDxXjzcYmB5hv,spotify:track:3v7UoCL1JYDxXjzcYmB5hv,https://api.spotify.com/v1/tracks/3v7UoCL1JYDxXjzcYmB5hv,https://api.spotify.com/v1/audio-analysis/3v7UoCL1JYDxXjzcYmB5hv,194507.0,4.0
13,Arkansas,Arkansas,James House and The Blues Cowboys,Arkansas Woman,spotify:track:3pUF4FLAxHiTvqGEDISubE,0,2018-08-03,0.591,0.643,11.0,-6.229,1.0,0.0254,0.0199,6.86e-05,0.0879,0.613,78.972,audio_features,3pUF4FLAxHiTvqGEDISubE,spotify:track:3pUF4FLAxHiTvqGEDISubE,https://api.spotify.com/v1/tracks/3pUF4FLAxHiTvqGEDISubE,https://api.spotify.com/v1/audio-analysis/3pUF4FLAxHiTvqGEDISubE,191000.0,4.0
14,Arkansas,Arkansas,John Linnell,Arkansas,spotify:track:4tJYhkF7y3H7ibTq2V6kpY,6,1999-10-26,0.628,0.336,4.0,-9.744,1.0,0.0245,0.552,0.0,0.0959,0.19699999999999998,86.16799999999999,audio_features,4tJYhkF7y3H7ibTq2V6kpY,spotify:track:4tJYhkF7y3H7ibTq2V6kpY,https://api.spotify.com/v1/tracks/4tJYhkF7y3H7ibTq2V6kpY,https://api.spotify.com/v1/audio-analysis/4tJYhkF7y3H7ibTq2V6kpY,207693.0,4.0
15,Arkansas,Arkansas,Jimmy McCracklin,Arkansas,spotify:track:2YepAqQQaPKFCnipHrDRCt,0,1991-06-01,0.7290000000000001,0.633,5.0,-13.364,1.0,0.0465,0.011000000000000001,0.000168,0.212,0.889,134.156,audio_features,2YepAqQQaPKFCnipHrDRCt,spotify:track:2YepAqQQaPKFCnipHrDRCt,https://api.spotify.com/v1/tracks/2YepAqQQaPKFCnipHrDRCt,https://api.spotify.com/v1/audio-analysis/2YepAqQQaPKFCnipHrDRCt,168333.0,4.0
16,Arkansas,Arkansas,Loretta Lynn,We've Come a Long Way Baby,spotify:track:0Z4bxAHeu3r7efMiIzi4dd,3,2010-11-29,0.659,0.517,2.0,-13.334000000000001,1.0,0.0548,0.478,2.8100000000000002e-05,0.395,0.5529999999999999,114.551,audio_features,0Z4bxAHeu3r7efMiIzi4dd,spotify:track:0Z4bxAHeu3r7efMiIzi4dd,https://api.spotify.com/v1/tracks/0Z4bxAHeu3r7efMiIzi4dd,https://api.spotify.com/v1/audio-analysis/0Z4bxAHeu3r7efMiIzi4dd,118653.0,4.0
17,Arkansas,Arkansas,Blind Willie McTell,Hillbilly Willie's Blues,spotify:track:6cTOrOa5bBy1Tj7XlhuWj4,5,1999,0.664,0.0518,5.0,-18.91,1.0,0.162,0.978,8.92e-06,0.0887,0.574,127.09299999999999,audio_features,6cTOrOa5bBy1Tj7XlhuWj4,spotify:track:6cTOrOa5bBy1Tj7XlhuWj4,https://api.spotify.com/v1/tracks/6cTOrOa5bBy1Tj7XlhuWj4,https://api.spotify.com/v1/audio-analysis/6cTOrOa5bBy1Tj7XlhuWj4,164387.0,4.0
18,Arkansas,Arkansas,George Strait,Arkansas Dave,spotify:track:7Lzb3S8At5Dij9ozYDN0ks,29,2014-09-16,0.304,0.659,7.0,-9.885,1.0,0.0614,0.6990000000000001,1.1e-05,0.987,0.405,179.81900000000002,audio_features,7Lzb3S8At5Dij9ozYDN0ks,spotify:track:7Lzb3S8At5Dij9ozYDN0ks,https://api.spotify.com/v1/tracks/7Lzb3S8At5Dij9ozYDN0ks,https://api.spotify.com/v1/audio-analysis/7Lzb3S8At5Dij9ozYDN0ks,231400.0,4.0
19,Arkansas,Arkansas,The String Cheese Incident,Blackberry Blossom,spotify:track:4pq580GX2AGWJuf03OUjn9,14,2014-01-07,0.49,0.88,2.0,-5.56,1.0,0.0425,0.695,0.867,0.0621,0.8370000000000001,122.046,audio_features,4pq580GX2AGWJuf03OUjn9,spotify:track:4pq580GX2AGWJuf03OUjn9,https://api.spotify.com/v1/tracks/4pq580GX2AGWJuf03OUjn9,https://api.spotify.com/v1/audio-analysis/4pq580GX2AGWJuf03OUjn9,469720.0,4.0
20,Arkansas,Arkansas,Sylvia Rose Novak,Arkansas,spotify:track:3R1KPvAYArhatmc3J2KuVf,1,2020-05-08,0.47,0.455,0.0,-8.735,1.0,0.0318,0.445,0.78,0.161,0.359,63.038999999999994,audio_features,3R1KPvAYArhatmc3J2KuVf,spotify:track:3R1KPvAYArhatmc3J2KuVf,https://api.spotify.com/v1/tracks/3R1KPvAYArhatmc3J2KuVf,https://api.spotify.com/v1/audio-analysis/3R1KPvAYArhatmc3J2KuVf,188885.0,4.0
21,Arkansas,Arkansas,Goose Gossett,Arkansas,spotify:track:6jlFluMxCEE8wOiEjSxTQN,0,2019-02-01,0.579,0.88,2.0,-4.976,1.0,0.0659,0.0514,0.0,0.151,0.8859999999999999,92.87,audio_features,6jlFluMxCEE8wOiEjSxTQN,spotify:track:6jlFluMxCEE8wOiEjSxTQN,https://api.spotify.com/v1/tracks/6jlFluMxCEE8wOiEjSxTQN,https://api.spotify.com/v1/audio-analysis/6jlFluMxCEE8wOiEjSxTQN,168134.0,4.0
22,Arkansas,Arkansas,Waylon Jennings,Up in Arkansas,spotify:track:0l0mM6oGCJ56wkmUCcQsSV,10,1994-09-13,0.6890000000000001,0.614,1.0,-9.056000000000001,0.0,0.0386,0.11,0.0715,0.13,0.621,98.529,audio_features,0l0mM6oGCJ56wkmUCcQsSV,spotify:track:0l0mM6oGCJ56wkmUCcQsSV,https://api.spotify.com/v1/tracks/0l0mM6oGCJ56wkmUCcQsSV,https://api.spotify.com/v1/audio-analysis/0l0mM6oGCJ56wkmUCcQsSV,246293.0,4.0
23,Arkansas,Arkansas,Carly Simon,Coming to Get You,spotify:track:17OyS0Oax7gYaa0y28WDEN,5,1979,0.523,0.58,6.0,-8.435,1.0,0.0483,0.0676,0.0,0.10300000000000001,0.457,81.422,audio_features,17OyS0Oax7gYaa0y28WDEN,spotify:track:17OyS0Oax7gYaa0y28WDEN,https://api.spotify.com/v1/tracks/17OyS0Oax7gYaa0y28WDEN,https://api.spotify.com/v1/audio-analysis/17OyS0Oax7gYaa0y28WDEN,169200.0,4.0
25,Arkansas,Arkansas,The Marshall Tucker Band,24 Hours at a Time,spotify:track:5PxXsVZnFjrRFcgVrGY2kJ,35,2011-01-01,0.38799999999999996,0.893,9.0,-3.625,1.0,0.0361,0.0016699999999999998,0.262,0.147,0.937,78.903,audio_features,5PxXsVZnFjrRFcgVrGY2kJ,spotify:track:5PxXsVZnFjrRFcgVrGY2kJ,https://api.spotify.com/v1/tracks/5PxXsVZnFjrRFcgVrGY2kJ,https://api.spotify.com/v1/audio-analysis/5PxXsVZnFjrRFcgVrGY2kJ,300253.0,4.0
26,Arkansas,Arkansas,Buddy Jewell,Dyess Arkansas,spotify:track:4ae10EWeI3a3pzyBF3bdou,3,2005-04-26,0.627,0.564,0.0,-10.142000000000001,1.0,0.0285,0.5820000000000001,0.00028399999999999996,0.233,0.6459999999999999,90.022,audio_features,4ae10EWeI3a3pzyBF3bdou,spotify:track:4ae10EWeI3a3pzyBF3bdou,https://api.spotify.com/v1/tracks/4ae10EWeI3a3pzyBF3bdou,https://api.spotify.com/v1/audio-analysis/4ae10EWeI3a3pzyBF3bdou,285960.0,4.0
27,Arkansas,Arkansas,Melissa Etheridge,Stranger Road,spotify:track:16S1qkiTIKemJWLpkrYv5Q,10,2014-09-30,0.568,0.6709999999999999,0.0,-6.254,1.0,0.0348,0.0698,0.0,0.29600000000000004,0.733,77.033,audio_features,16S1qkiTIKemJWLpkrYv5Q,spotify:track:16S1qkiTIKemJWLpkrYv5Q,https://api.spotify.com/v1/tracks/16S1qkiTIKemJWLpkrYv5Q,https://api.spotify.com/v1/audio-analysis/16S1qkiTIKemJWLpkrYv5Q,205159.0,4.0
28,Arkansas,Arkansas,Bruce Springsteen,Mary Queen of Arkansas,spotify:track:6owaottm8Mrk2B4BSuVBe4,34,1973-01-05,0.361,0.261,2.0,-11.436,1.0,0.0362,0.643,0.0,0.136,0.257,112.286,audio_features,6owaottm8Mrk2B4BSuVBe4,spotify:track:6owaottm8Mrk2B4BSuVBe4,https://api.spotify.com/v1/tracks/6owaottm8Mrk2B4BSuVBe4,https://api.spotify.com/v1/audio-analysis/6owaottm8Mrk2B4BSuVBe4,321427.0,1.0
30,Arkansas,Arkansas,Skip James,Illinois Blues,spotify:track:5SlzbblabrdybDrlWTF772,10,1968,0.43200000000000005,0.0988,4.0,-22.730999999999998,0.0,0.0488,0.818,1.11e-06,0.17800000000000002,0.557,86.71,audio_features,5SlzbblabrdybDrlWTF772,spotify:track:5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/tracks/5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/audio-analysis/5SlzbblabrdybDrlWTF772,194667.0,4.0
