,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Connecticut,Connecticut,Gilberto Gil,Pela Internet,spotify:track:3lRndkaQyNhn8ZtZLcNhWv,29,2018-08-17,0.857,0.573,9.0,-6.939,0.0,0.059000000000000004,0.0116,0.00172,0.0243,0.609,137.986,audio_features,3lRndkaQyNhn8ZtZLcNhWv,spotify:track:3lRndkaQyNhn8ZtZLcNhWv,https://api.spotify.com/v1/tracks/3lRndkaQyNhn8ZtZLcNhWv,https://api.spotify.com/v1/audio-analysis/3lRndkaQyNhn8ZtZLcNhWv,260954.0,4.0
1,Connecticut,Connecticut,Gilberto Gil,Pela Internet [Ao Vivo No YouTube Space],spotify:track:309Sl9st0zGMZUspMVoNCj,23,2018-07-13,0.602,0.597,5.0,-7.961,1.0,0.0608,0.807,2.2899999999999998e-05,0.122,0.354,104.74799999999999,audio_features,309Sl9st0zGMZUspMVoNCj,spotify:track:309Sl9st0zGMZUspMVoNCj,https://api.spotify.com/v1/tracks/309Sl9st0zGMZUspMVoNCj,https://api.spotify.com/v1/audio-analysis/309Sl9st0zGMZUspMVoNCj,196530.0,4.0
2,Connecticut,Connecticut,Eminem,Ken Kaniff (Skit) [The Slim Shady LP],spotify:track:1A6N0uZ1gp5BGU7fv7PUlu,43,1999-02-23,0.78,0.368,5.0,-20.590999999999998,1.0,0.897,0.9840000000000001,0.0,0.6890000000000001,0.185,108.11200000000001,audio_features,1A6N0uZ1gp5BGU7fv7PUlu,spotify:track:1A6N0uZ1gp5BGU7fv7PUlu,https://api.spotify.com/v1/tracks/1A6N0uZ1gp5BGU7fv7PUlu,https://api.spotify.com/v1/audio-analysis/1A6N0uZ1gp5BGU7fv7PUlu,76293.0,5.0
3,Connecticut,Connecticut,Michael Feinstein,Connecticut,spotify:track:3YimWjRHweeKPNOJS3qfwA,0,1995-09-15,0.629,0.115,11.0,-12.945,0.0,0.0953,0.97,0.0,0.0641,0.455,96.434,audio_features,3YimWjRHweeKPNOJS3qfwA,spotify:track:3YimWjRHweeKPNOJS3qfwA,https://api.spotify.com/v1/tracks/3YimWjRHweeKPNOJS3qfwA,https://api.spotify.com/v1/audio-analysis/3YimWjRHweeKPNOJS3qfwA,175400.0,4.0
4,Connecticut,Connecticut,Ben Folds,Kylie from Connecticut,spotify:track:4eDRyS17Tr4ITd8BaxYcLB,25,2008-09-29,0.455,0.29100000000000004,7.0,-9.295,0.0,0.0323,0.626,0.00031600000000000004,0.0988,0.19399999999999998,125.9,audio_features,4eDRyS17Tr4ITd8BaxYcLB,spotify:track:4eDRyS17Tr4ITd8BaxYcLB,https://api.spotify.com/v1/tracks/4eDRyS17Tr4ITd8BaxYcLB,https://api.spotify.com/v1/audio-analysis/4eDRyS17Tr4ITd8BaxYcLB,283267.0,3.0
6,Connecticut,Connecticut,Carly Simon,The Wives Are in Connecticut,spotify:track:7vuQ0oZ6WeJOmQXVisQX99,7,1985-06-01,0.767,0.449,7.0,-14.027000000000001,1.0,0.0351,0.26899999999999996,2.1000000000000002e-06,0.0506,0.735,101.76799999999999,audio_features,7vuQ0oZ6WeJOmQXVisQX99,spotify:track:7vuQ0oZ6WeJOmQXVisQX99,https://api.spotify.com/v1/tracks/7vuQ0oZ6WeJOmQXVisQX99,https://api.spotify.com/v1/audio-analysis/7vuQ0oZ6WeJOmQXVisQX99,268747.0,4.0
7,Connecticut,Connecticut,Glambat,Cole Gate (Demo),spotify:track:22DV3UVwBAZcEqCqOaRsR9,1,2018-03-12,0.743,0.883,2.0,-5.696000000000001,1.0,0.0279,0.0426,0.0262,0.109,0.623,114.959,audio_features,22DV3UVwBAZcEqCqOaRsR9,spotify:track:22DV3UVwBAZcEqCqOaRsR9,https://api.spotify.com/v1/tracks/22DV3UVwBAZcEqCqOaRsR9,https://api.spotify.com/v1/audio-analysis/22DV3UVwBAZcEqCqOaRsR9,205076.0,4.0
8,Connecticut,Connecticut,Allan Sherman,When I Was a Lad,spotify:track:3d0mXOs0zRyAzymH8KTVnA,5,2005-02-08,0.758,0.7020000000000001,0.0,-15.51,0.0,0.252,0.748,0.0,0.76,0.722,100.13799999999999,audio_features,3d0mXOs0zRyAzymH8KTVnA,spotify:track:3d0mXOs0zRyAzymH8KTVnA,https://api.spotify.com/v1/tracks/3d0mXOs0zRyAzymH8KTVnA,https://api.spotify.com/v1/audio-analysis/3d0mXOs0zRyAzymH8KTVnA,157867.0,4.0
9,Connecticut,Connecticut,William Daniels,"But, Mr. Adams",spotify:track:67OTdsPKNCLaAkZfrqH6Nz,26,1969,0.627,0.32,5.0,-14.046,1.0,0.203,0.8240000000000001,0.0,0.18100000000000002,0.62,128.434,audio_features,67OTdsPKNCLaAkZfrqH6Nz,spotify:track:67OTdsPKNCLaAkZfrqH6Nz,https://api.spotify.com/v1/tracks/67OTdsPKNCLaAkZfrqH6Nz,https://api.spotify.com/v1/audio-analysis/67OTdsPKNCLaAkZfrqH6Nz,308827.0,4.0
10,Connecticut,Connecticut,Coheed and Cambria,The Camper Velourium II: Backend of Forever,spotify:track:1dqP98znuj0gU9EWoBK43N,38,2003-03-30,0.523,0.8590000000000001,1.0,-6.5329999999999995,1.0,0.159,0.0073,0.0,0.0981,0.6579999999999999,162.22799999999998,audio_features,1dqP98znuj0gU9EWoBK43N,spotify:track:1dqP98znuj0gU9EWoBK43N,https://api.spotify.com/v1/tracks/1dqP98znuj0gU9EWoBK43N,https://api.spotify.com/v1/audio-analysis/1dqP98znuj0gU9EWoBK43N,332613.0,3.0
