,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Delaware,Delaware,Perry Como,Delaware,spotify:track:7moaXjSX1RHksmk6qanoPY,19,1993-10-25,0.831,0.741,4.0,-14.312000000000001,1.0,0.0707,0.5820000000000001,0.0,0.057999999999999996,0.79,99.705,audio_features,7moaXjSX1RHksmk6qanoPY,spotify:track:7moaXjSX1RHksmk6qanoPY,https://api.spotify.com/v1/tracks/7moaXjSX1RHksmk6qanoPY,https://api.spotify.com/v1/audio-analysis/7moaXjSX1RHksmk6qanoPY,139400.0,4.0
1,Delaware,Delaware,Kate & Anna McGarrigle,Schooldays,spotify:track:404hgM2P4bhH2QQbri8kER,10,1998,0.48200000000000004,0.361,5.0,-11.802,1.0,0.0257,0.10400000000000001,0.00020800000000000001,0.122,0.344,97.56700000000001,audio_features,404hgM2P4bhH2QQbri8kER,spotify:track:404hgM2P4bhH2QQbri8kER,https://api.spotify.com/v1/tracks/404hgM2P4bhH2QQbri8kER,https://api.spotify.com/v1/audio-analysis/404hgM2P4bhH2QQbri8kER,171000.0,4.0
2,Delaware,Delaware,Capital Lights,His Favorite Christmas Story,spotify:track:0zrbISwByqUAWssIhgQwQr,25,2008-01-01,0.675,0.631,9.0,-5.127000000000001,1.0,0.0305,0.0528,0.0,0.146,0.6759999999999999,139.987,audio_features,0zrbISwByqUAWssIhgQwQr,spotify:track:0zrbISwByqUAWssIhgQwQr,https://api.spotify.com/v1/tracks/0zrbISwByqUAWssIhgQwQr,https://api.spotify.com/v1/audio-analysis/0zrbISwByqUAWssIhgQwQr,212680.0,4.0
4,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
5,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
6,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
7,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
8,Delaware,Delaware,The Kinks,Kentucky Moon,spotify:track:4l5b9e6Mfp3XHJNWeaki2Y,13,1971-11-24,0.462,0.16699999999999998,2.0,-17.409000000000002,1.0,0.0361,0.963,0.6940000000000001,0.28,0.215,163.062,audio_features,4l5b9e6Mfp3XHJNWeaki2Y,spotify:track:4l5b9e6Mfp3XHJNWeaki2Y,https://api.spotify.com/v1/tracks/4l5b9e6Mfp3XHJNWeaki2Y,https://api.spotify.com/v1/audio-analysis/4l5b9e6Mfp3XHJNWeaki2Y,234307.0,4.0
10,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
11,Delaware,Delaware,A Tribe Called Quest,Award Tour,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,63,1993-11-09,0.812,0.6,7.0,-9.414,1.0,0.254,0.0030800000000000003,8.38e-06,0.17300000000000001,0.555,97.338,audio_features,5YTM7OgQDt9EJAYcfHLniJ,spotify:track:5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/tracks/5YTM7OgQDt9EJAYcfHLniJ,https://api.spotify.com/v1/audio-analysis/5YTM7OgQDt9EJAYcfHLniJ,226440.0,4.0
