,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,District of Columbia,District of Columbia,Wale,Chillin',spotify:track:4HYc74wPEfUAhlQFm4fZHa,49,2009-01-01,0.7609999999999999,0.915,6.0,-3.0189999999999997,0.0,0.195,0.0146,0.0,0.332,0.402,99.024,audio_features,4HYc74wPEfUAhlQFm4fZHa,spotify:track:4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/tracks/4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/audio-analysis/4HYc74wPEfUAhlQFm4fZHa,204533.0,4.0
2,District of Columbia,District of Columbia,Wale,Chillin',spotify:track:4HYc74wPEfUAhlQFm4fZHa,49,2009-01-01,0.7609999999999999,0.915,6.0,-3.0189999999999997,0.0,0.195,0.0146,0.0,0.332,0.402,99.024,audio_features,4HYc74wPEfUAhlQFm4fZHa,spotify:track:4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/tracks/4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/audio-analysis/4HYc74wPEfUAhlQFm4fZHa,204533.0,4.0
3,District of Columbia,District of Columbia,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,4,2005-02-08,0.556,0.609,9.0,-7.494,1.0,0.489,0.8590000000000001,0.0,0.727,0.6659999999999999,81.688,audio_features,1rXVU5w2M16RULGVoqp6y9,spotify:track:1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/tracks/1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/audio-analysis/1rXVU5w2M16RULGVoqp6y9,95800.0,4.0
4,District of Columbia,District of Columbia,Swollen Members,Counterparts,spotify:track:5hMaVhzMWakw3faIvm70CG,2,2009-09-15,0.9059999999999999,0.466,1.0,-10.363,0.0,0.121,0.00031600000000000004,0.7559999999999999,0.0815,0.866,89.01700000000001,audio_features,5hMaVhzMWakw3faIvm70CG,spotify:track:5hMaVhzMWakw3faIvm70CG,https://api.spotify.com/v1/tracks/5hMaVhzMWakw3faIvm70CG,https://api.spotify.com/v1/audio-analysis/5hMaVhzMWakw3faIvm70CG,274560.0,4.0
5,District of Columbia,District of Columbia,Blackalicious,Passion,spotify:track:1DzoBoEn3Gytug94dfsdtS,25,2002-01-01,0.802,0.8959999999999999,5.0,-4.887,0.0,0.262,0.114,0.0,0.319,0.381,88.10700000000001,audio_features,1DzoBoEn3Gytug94dfsdtS,spotify:track:1DzoBoEn3Gytug94dfsdtS,https://api.spotify.com/v1/tracks/1DzoBoEn3Gytug94dfsdtS,https://api.spotify.com/v1/audio-analysis/1DzoBoEn3Gytug94dfsdtS,234773.0,4.0
6,District of Columbia,District of Columbia,Shy Glizzy,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,74,2017-03-24,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,audio_features,15EPc80XuFrb2LmOzGjuRg,spotify:track:15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,176702.0,4.0
7,District of Columbia,District of Columbia,GoldLink,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,74,2017-03-24,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,audio_features,15EPc80XuFrb2LmOzGjuRg,spotify:track:15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,176702.0,4.0
8,District of Columbia,District of Columbia,Professor X,Close the Crackhouse,spotify:track:1DAD52MSycCo0se6EnmnCk,2,1993-01-01,0.85,0.7909999999999999,4.0,-8.935,0.0,0.23800000000000002,0.153,4.51e-06,0.0931,0.278,98.698,audio_features,1DAD52MSycCo0se6EnmnCk,spotify:track:1DAD52MSycCo0se6EnmnCk,https://api.spotify.com/v1/tracks/1DAD52MSycCo0se6EnmnCk,https://api.spotify.com/v1/audio-analysis/1DAD52MSycCo0se6EnmnCk,554707.0,4.0
9,District of Columbia,District of Columbia,Jay-Z,Tom Ford,spotify:track:1PNGJBI1Lx0h8QCpkHKZLU,53,2013-07-04,0.863,0.705,8.0,-6.202000000000001,1.0,0.31,0.05,2.2100000000000002e-05,0.524,0.599,145.099,audio_features,1PNGJBI1Lx0h8QCpkHKZLU,spotify:track:1PNGJBI1Lx0h8QCpkHKZLU,https://api.spotify.com/v1/tracks/1PNGJBI1Lx0h8QCpkHKZLU,https://api.spotify.com/v1/audio-analysis/1PNGJBI1Lx0h8QCpkHKZLU,189013.0,4.0
10,District of Columbia,District of Columbia,"GoldLink, Gucci Mane, Shy Glizzy, Brent Faiyaz",Crew (Remix),spotify:track:5geeTRRcsIg0MS5TvtBtHU,60,2017-06-22,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.6940000000000001,129.966,audio_features,5geeTRRcsIg0MS5TvtBtHU,spotify:track:5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/tracks/5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/audio-analysis/5geeTRRcsIg0MS5TvtBtHU,240375.0,4.0
