,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Georgia,Georgia,Jamie Foxx,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,47,1/1/05,0.611,0.8809999999999999,0.0,-7.522,0.0,0.389,0.0867,0.0,0.214,0.525,88.976,audio_features,4Oany7rm9uIi7TLlaBjouD,spotify:track:4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/tracks/4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/audio-analysis/4Oany7rm9uIi7TLlaBjouD,261293.0,5.0
1,Georgia,Georgia,Field Mob,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,47,1/1/05,0.611,0.8809999999999999,0.0,-7.522,0.0,0.389,0.0867,0.0,0.214,0.525,88.976,audio_features,4Oany7rm9uIi7TLlaBjouD,spotify:track:4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/tracks/4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/audio-analysis/4Oany7rm9uIi7TLlaBjouD,261293.0,5.0
2,Georgia,Georgia,Jamie Foxx,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,47,1/1/05,0.611,0.8809999999999999,0.0,-7.522,0.0,0.389,0.0867,0.0,0.214,0.525,88.976,audio_features,4Oany7rm9uIi7TLlaBjouD,spotify:track:4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/tracks/4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/audio-analysis/4Oany7rm9uIi7TLlaBjouD,261293.0,5.0
5,Georgia,Georgia,The Coasters,Sweet Georgia Brown,spotify:track:2MNxZYRfHgHZsLxmAqUJJ0,10,12/7/07,0.6729999999999999,0.345,11.0,-6.825,0.0,0.0297,0.51,0.0,0.247,0.48100000000000004,83.691,audio_features,2MNxZYRfHgHZsLxmAqUJJ0,spotify:track:2MNxZYRfHgHZsLxmAqUJJ0,https://api.spotify.com/v1/tracks/2MNxZYRfHgHZsLxmAqUJJ0,https://api.spotify.com/v1/audio-analysis/2MNxZYRfHgHZsLxmAqUJJ0,165667.0,4.0
6,Georgia,Georgia,Matt Monro,Georgia on My Mind,spotify:track:6vqkGNRdAMBUYQBNHJlCe4,12,2/7/11,0.34299999999999997,0.275,8.0,-10.758,1.0,0.0309,0.722,0.0,0.289,0.244,68.684,audio_features,6vqkGNRdAMBUYQBNHJlCe4,spotify:track:6vqkGNRdAMBUYQBNHJlCe4,https://api.spotify.com/v1/tracks/6vqkGNRdAMBUYQBNHJlCe4,https://api.spotify.com/v1/audio-analysis/6vqkGNRdAMBUYQBNHJlCe4,273973.0,3.0
7,Georgia,Georgia,Field Mob,Georgia,spotify:track:4Oany7rm9uIi7TLlaBjouD,47,1/1/05,0.611,0.8809999999999999,0.0,-7.522,0.0,0.389,0.0867,0.0,0.214,0.525,88.976,audio_features,4Oany7rm9uIi7TLlaBjouD,spotify:track:4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/tracks/4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/audio-analysis/4Oany7rm9uIi7TLlaBjouD,261293.0,5.0
8,Georgia,Georgia,Blind Willie McTell,Georgia Rag,spotify:track:20n6du8b5EF2q0pW587VSG,15,1990,0.6709999999999999,0.262,3.0,-15.423,1.0,0.0487,0.99,0.7070000000000001,0.111,0.927,128.548,audio_features,20n6du8b5EF2q0pW587VSG,spotify:track:20n6du8b5EF2q0pW587VSG,https://api.spotify.com/v1/tracks/20n6du8b5EF2q0pW587VSG,https://api.spotify.com/v1/audio-analysis/20n6du8b5EF2q0pW587VSG,185548.0,4.0
9,Georgia,Georgia,Louie Bellson,Sweet Georgia Brown,spotify:track:2omiknZlfFpoN3oU1xSBDM,5,4/30/60,0.537,0.667,3.0,-8.821,1.0,0.0467,0.8959999999999999,0.5920000000000001,0.231,0.885,119.766,audio_features,2omiknZlfFpoN3oU1xSBDM,spotify:track:2omiknZlfFpoN3oU1xSBDM,https://api.spotify.com/v1/tracks/2omiknZlfFpoN3oU1xSBDM,https://api.spotify.com/v1/audio-analysis/2omiknZlfFpoN3oU1xSBDM,236864.0,4.0
10,Georgia,Georgia,Ray Charles,Georgia on My Mind,spotify:track:4Mckv604NWFSw11g4iCgG0,51,5/18/18,0.33,0.23,0.0,-14.538,1.0,0.0484,0.789,0.000213,0.0678,0.183,68.473,audio_features,4Mckv604NWFSw11g4iCgG0,spotify:track:4Mckv604NWFSw11g4iCgG0,https://api.spotify.com/v1/tracks/4Mckv604NWFSw11g4iCgG0,https://api.spotify.com/v1/audio-analysis/4Mckv604NWFSw11g4iCgG0,257040.0,4.0
11,Georgia,Georgia,Ray Charles,Georgia on My Mind,spotify:track:4Mckv604NWFSw11g4iCgG0,51,5/18/18,0.33,0.23,0.0,-14.538,1.0,0.0484,0.789,0.000213,0.0678,0.183,68.473,audio_features,4Mckv604NWFSw11g4iCgG0,spotify:track:4Mckv604NWFSw11g4iCgG0,https://api.spotify.com/v1/tracks/4Mckv604NWFSw11g4iCgG0,https://api.spotify.com/v1/audio-analysis/4Mckv604NWFSw11g4iCgG0,257040.0,4.0
12,Georgia,Georgia,Têtes Raides,Georgia,spotify:track:1wY1Itl0JlM6b85pR9p9Sj,6,4/15/13,0.501,0.41200000000000003,0.0,-12.3,1.0,0.055,0.623,4.32e-06,0.113,0.413,86.07799999999999,audio_features,1wY1Itl0JlM6b85pR9p9Sj,spotify:track:1wY1Itl0JlM6b85pR9p9Sj,https://api.spotify.com/v1/tracks/1wY1Itl0JlM6b85pR9p9Sj,https://api.spotify.com/v1/audio-analysis/1wY1Itl0JlM6b85pR9p9Sj,100387.0,5.0
13,Georgia,Georgia,"Pearl Bailey, Louie Bellson",Sweet Georgia Brown,spotify:track:2Xv3R0xwaK47woBTV3ugQw,0,1/1/57,0.46799999999999997,0.499,1.0,-7.882000000000001,1.0,0.124,0.76,0.0,0.171,0.747,82.219,audio_features,2Xv3R0xwaK47woBTV3ugQw,spotify:track:2Xv3R0xwaK47woBTV3ugQw,https://api.spotify.com/v1/tracks/2Xv3R0xwaK47woBTV3ugQw,https://api.spotify.com/v1/audio-analysis/2Xv3R0xwaK47woBTV3ugQw,171520.0,4.0
14,Georgia,Georgia,Maxine Sullivan,Sweet Georgia Brown,spotify:track:1zmqSYYrcMyWP8OoIE2bDs,0,1998,0.748,0.505,0.0,-11.800999999999998,0.0,0.17,0.809,0.674,0.225,0.885,107.6,audio_features,1zmqSYYrcMyWP8OoIE2bDs,spotify:track:1zmqSYYrcMyWP8OoIE2bDs,https://api.spotify.com/v1/tracks/1zmqSYYrcMyWP8OoIE2bDs,https://api.spotify.com/v1/audio-analysis/1zmqSYYrcMyWP8OoIE2bDs,249107.0,4.0
15,Georgia,Georgia,Lil Wayne,Outro,spotify:track:6xzV1SAarFrTCYMzWjxy97,42,1/1/11,0.7340000000000001,0.8640000000000001,8.0,-4.841,1.0,0.141,0.0553,0.0,0.305,0.652,131.14600000000002,audio_features,6xzV1SAarFrTCYMzWjxy97,spotify:track:6xzV1SAarFrTCYMzWjxy97,https://api.spotify.com/v1/tracks/6xzV1SAarFrTCYMzWjxy97,https://api.spotify.com/v1/audio-analysis/6xzV1SAarFrTCYMzWjxy97,232667.0,4.0
16,Georgia,Georgia,Alberta Hunter,Sweet Georgia Brown,spotify:track:0QGibgogZe5Wu1D9HsdhGv,26,1978,0.8009999999999999,0.324,2.0,-14.325999999999999,0.0,0.125,0.285,0.0,0.0964,0.613,131.217,audio_features,0QGibgogZe5Wu1D9HsdhGv,spotify:track:0QGibgogZe5Wu1D9HsdhGv,https://api.spotify.com/v1/tracks/0QGibgogZe5Wu1D9HsdhGv,https://api.spotify.com/v1/audio-analysis/0QGibgogZe5Wu1D9HsdhGv,249707.0,4.0
17,Georgia,Georgia,Big K.R.I.T.,Miss Georgia Fornia,spotify:track:28qOm0MgUE3hJfO6i84Jls,35,10/27/17,0.58,0.758,9.0,-4.605,0.0,0.174,0.22899999999999998,2.4299999999999998e-05,0.131,0.188,103.84700000000001,audio_features,28qOm0MgUE3hJfO6i84Jls,spotify:track:28qOm0MgUE3hJfO6i84Jls,https://api.spotify.com/v1/tracks/28qOm0MgUE3hJfO6i84Jls,https://api.spotify.com/v1/audio-analysis/28qOm0MgUE3hJfO6i84Jls,360666.0,4.0
18,Georgia,Georgia,Georgia Bill,Georgia Rag,spotify:track:1999xlVlPOGob8FLJEmoUm,1,5/10/94,0.63,0.46,3.0,-11.880999999999998,1.0,0.0401,0.977,0.19899999999999998,0.135,0.889,131.091,audio_features,1999xlVlPOGob8FLJEmoUm,spotify:track:1999xlVlPOGob8FLJEmoUm,https://api.spotify.com/v1/tracks/1999xlVlPOGob8FLJEmoUm,https://api.spotify.com/v1/audio-analysis/1999xlVlPOGob8FLJEmoUm,182093.0,4.0
19,Georgia,Georgia,Louis Armstrong,Georgia Grind,spotify:track:3mWcoPBHsrmcs1lj6uBfvz,6,1925,0.73,0.213,8.0,-14.635,1.0,0.0554,0.897,0.0,0.152,0.706,140.34,audio_features,3mWcoPBHsrmcs1lj6uBfvz,spotify:track:3mWcoPBHsrmcs1lj6uBfvz,https://api.spotify.com/v1/tracks/3mWcoPBHsrmcs1lj6uBfvz,https://api.spotify.com/v1/audio-analysis/3mWcoPBHsrmcs1lj6uBfvz,151600.0,4.0
20,Georgia,Georgia,Louis Armstrong,Georgia on My Mind,spotify:track:1Vkab3Yn1NjKBMtXHgfimR,27,10/19/99,0.53,0.317,5.0,-8.4,1.0,0.0398,0.831,8.89e-06,0.149,0.532,100.618,audio_features,1Vkab3Yn1NjKBMtXHgfimR,spotify:track:1Vkab3Yn1NjKBMtXHgfimR,https://api.spotify.com/v1/tracks/1Vkab3Yn1NjKBMtXHgfimR,https://api.spotify.com/v1/audio-analysis/1Vkab3Yn1NjKBMtXHgfimR,202107.0,4.0
21,Georgia,Georgia,Frankie Laine,Georgia on My Mind,spotify:track:5ai4t8H4PW88DffT9G0buN,10,5/9/07,0.535,0.0245,7.0,-24.24,0.0,0.0356,0.9790000000000001,0.000202,0.0823,0.34600000000000003,73.324,audio_features,5ai4t8H4PW88DffT9G0buN,spotify:track:5ai4t8H4PW88DffT9G0buN,https://api.spotify.com/v1/tracks/5ai4t8H4PW88DffT9G0buN,https://api.spotify.com/v1/audio-analysis/5ai4t8H4PW88DffT9G0buN,176907.0,4.0
22,Georgia,Georgia,Dean Martin,Georgia on My Mind,spotify:track:3ONwv1Bkxp2rdGwYS22RD1,15,1954,0.456,0.17300000000000001,11.0,-13.779000000000002,0.0,0.0487,0.856,9.499999999999999e-05,0.147,0.22699999999999998,75.057,audio_features,3ONwv1Bkxp2rdGwYS22RD1,spotify:track:3ONwv1Bkxp2rdGwYS22RD1,https://api.spotify.com/v1/tracks/3ONwv1Bkxp2rdGwYS22RD1,https://api.spotify.com/v1/audio-analysis/3ONwv1Bkxp2rdGwYS22RD1,185000.0,4.0
23,Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia,spotify:track:34e1mfaKrX6Z1HiusQM3lf,42,10/17/14,0.6459999999999999,0.897,2.0,-5.61,1.0,0.0707,0.267,0.0,0.38,0.46,96.00200000000001,audio_features,34e1mfaKrX6Z1HiusQM3lf,spotify:track:34e1mfaKrX6Z1HiusQM3lf,https://api.spotify.com/v1/tracks/34e1mfaKrX6Z1HiusQM3lf,https://api.spotify.com/v1/audio-analysis/34e1mfaKrX6Z1HiusQM3lf,261320.0,4.0
24,Georgia,Georgia,Glenn Miller,Georgia on My Mind,spotify:track:5SilVP4XGqxwAcjkgagQwX,10,1/1/06,0.32899999999999996,0.319,7.0,-14.248,0.0,0.0297,0.7120000000000001,0.98,0.263,0.39399999999999996,87.306,audio_features,5SilVP4XGqxwAcjkgagQwX,spotify:track:5SilVP4XGqxwAcjkgagQwX,https://api.spotify.com/v1/tracks/5SilVP4XGqxwAcjkgagQwX,https://api.spotify.com/v1/audio-analysis/5SilVP4XGqxwAcjkgagQwX,165600.0,4.0
25,Georgia,Georgia,Louis Armstrong,Georgia on My Mind,spotify:track:1Vkab3Yn1NjKBMtXHgfimR,27,10/19/99,0.53,0.317,5.0,-8.4,1.0,0.0398,0.831,8.89e-06,0.149,0.532,100.618,audio_features,1Vkab3Yn1NjKBMtXHgfimR,spotify:track:1Vkab3Yn1NjKBMtXHgfimR,https://api.spotify.com/v1/tracks/1Vkab3Yn1NjKBMtXHgfimR,https://api.spotify.com/v1/audio-analysis/1Vkab3Yn1NjKBMtXHgfimR,202107.0,4.0
