,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana,spotify:track:52U8yCfWVAg3O5nkVzv2D4,34,1970-09-08,0.74,0.765,10.0,-6.949,1.0,0.03,0.152,8.640000000000001e-05,0.262,0.972,127.961,audio_features,52U8yCfWVAg3O5nkVzv2D4,spotify:track:52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/tracks/52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/audio-analysis/52U8yCfWVAg3O5nkVzv2D4,210533.0,4.0
1,Indiana,Indiana,Lyle Lovett,Up in Indiana,spotify:track:0dTogMkdAvh8KKNr4Ceysn,16,2007-10-02,0.32799999999999996,0.903,4.0,-5.944,1.0,0.0833,0.39299999999999996,0.0198,0.0861,0.7390000000000001,184.49599999999998,audio_features,0dTogMkdAvh8KKNr4Ceysn,spotify:track:0dTogMkdAvh8KKNr4Ceysn,https://api.spotify.com/v1/tracks/0dTogMkdAvh8KKNr4Ceysn,https://api.spotify.com/v1/audio-analysis/0dTogMkdAvh8KKNr4Ceysn,275760.0,4.0
2,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana,spotify:track:52U8yCfWVAg3O5nkVzv2D4,34,1970-09-08,0.74,0.765,10.0,-6.949,1.0,0.03,0.152,8.640000000000001e-05,0.262,0.972,127.961,audio_features,52U8yCfWVAg3O5nkVzv2D4,spotify:track:52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/tracks/52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/audio-analysis/52U8yCfWVAg3O5nkVzv2D4,210533.0,4.0
3,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana,spotify:track:52U8yCfWVAg3O5nkVzv2D4,34,1970-09-08,0.74,0.765,10.0,-6.949,1.0,0.03,0.152,8.640000000000001e-05,0.262,0.972,127.961,audio_features,52U8yCfWVAg3O5nkVzv2D4,spotify:track:52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/tracks/52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/audio-analysis/52U8yCfWVAg3O5nkVzv2D4,210533.0,4.0
4,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana,spotify:track:52U8yCfWVAg3O5nkVzv2D4,34,1970-09-08,0.74,0.765,10.0,-6.949,1.0,0.03,0.152,8.640000000000001e-05,0.262,0.972,127.961,audio_features,52U8yCfWVAg3O5nkVzv2D4,spotify:track:52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/tracks/52U8yCfWVAg3O5nkVzv2D4,https://api.spotify.com/v1/audio-analysis/52U8yCfWVAg3O5nkVzv2D4,210533.0,4.0
5,Indiana,Indiana,Hombres G,Indiana,spotify:track:6JqDuynlvAlI4QYvXqhY8P,49,2006-03-06,0.57,0.958,7.0,-4.282,1.0,0.0506,0.00415,0.000726,0.131,0.753,167.019,audio_features,6JqDuynlvAlI4QYvXqhY8P,spotify:track:6JqDuynlvAlI4QYvXqhY8P,https://api.spotify.com/v1/tracks/6JqDuynlvAlI4QYvXqhY8P,https://api.spotify.com/v1/audio-analysis/6JqDuynlvAlI4QYvXqhY8P,173560.0,4.0
6,Indiana,Indiana,Sawyer Brown,Going Back to Indiana,spotify:track:4RyZipXzR8JMDmG5pyza0z,5,1985,0.7659999999999999,0.645,7.0,-14.853,1.0,0.0305,0.0262,0.000245,0.106,0.968,126.491,audio_features,4RyZipXzR8JMDmG5pyza0z,spotify:track:4RyZipXzR8JMDmG5pyza0z,https://api.spotify.com/v1/tracks/4RyZipXzR8JMDmG5pyza0z,https://api.spotify.com/v1/audio-analysis/4RyZipXzR8JMDmG5pyza0z,184560.0,4.0
7,Indiana,Indiana,Hombres G,Indiana [En Vivo],spotify:track:65k02uDdK15jHqfMzcrW0Y,35,2018-06-15,0.36200000000000004,0.9690000000000001,0.0,-5.614,1.0,0.36200000000000004,0.0050799999999999994,2.18e-05,0.9670000000000001,0.309,174.00900000000001,audio_features,65k02uDdK15jHqfMzcrW0Y,spotify:track:65k02uDdK15jHqfMzcrW0Y,https://api.spotify.com/v1/tracks/65k02uDdK15jHqfMzcrW0Y,https://api.spotify.com/v1/audio-analysis/65k02uDdK15jHqfMzcrW0Y,170827.0,4.0
8,Indiana,Indiana,Straight No Chaser,Indiana Christmas,spotify:track:4MJ9OdEgljnKsYlQ1EQ3xJ,22,2008-10-27,0.486,0.166,6.0,-15.07,1.0,0.0299,0.9490000000000001,1.06e-05,0.0981,0.201,145.016,audio_features,4MJ9OdEgljnKsYlQ1EQ3xJ,spotify:track:4MJ9OdEgljnKsYlQ1EQ3xJ,https://api.spotify.com/v1/tracks/4MJ9OdEgljnKsYlQ1EQ3xJ,https://api.spotify.com/v1/audio-analysis/4MJ9OdEgljnKsYlQ1EQ3xJ,205240.0,3.0
10,Indiana,Indiana,Meg & Dia,Indiana,spotify:track:0OA0gO2MrQSLzC8GQDOkCq,26,2006,0.43200000000000005,0.9079999999999999,7.0,-4.029,1.0,0.094,0.0113,0.0,0.321,0.38299999999999995,159.96200000000002,audio_features,0OA0gO2MrQSLzC8GQDOkCq,spotify:track:0OA0gO2MrQSLzC8GQDOkCq,https://api.spotify.com/v1/tracks/0OA0gO2MrQSLzC8GQDOkCq,https://api.spotify.com/v1/audio-analysis/0OA0gO2MrQSLzC8GQDOkCq,167827.0,4.0
11,Indiana,Indiana,Joe Simon,Indiana Wants Me,spotify:track:0mdCqEToI0WLCP2vnhMCej,1,2008-07-07,0.541,0.5479999999999999,7.0,-10.66,1.0,0.0796,0.0727,0.0,0.0505,0.496,95.25,audio_features,0mdCqEToI0WLCP2vnhMCej,spotify:track:0mdCqEToI0WLCP2vnhMCej,https://api.spotify.com/v1/tracks/0mdCqEToI0WLCP2vnhMCej,https://api.spotify.com/v1/audio-analysis/0mdCqEToI0WLCP2vnhMCej,183431.0,4.0
12,Indiana,Indiana,Eddy Arnold,(Back Home Again In) Indiana,spotify:track:1GEzA1KO5Gk6UesO7dMxeg,0,1973-12-05,0.5,0.375,9.0,-12.457,0.0,0.0716,0.922,0.9259999999999999,0.192,0.883,186.709,audio_features,1GEzA1KO5Gk6UesO7dMxeg,spotify:track:1GEzA1KO5Gk6UesO7dMxeg,https://api.spotify.com/v1/tracks/1GEzA1KO5Gk6UesO7dMxeg,https://api.spotify.com/v1/audio-analysis/1GEzA1KO5Gk6UesO7dMxeg,167179.0,4.0
