,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kansas,Kansas,Van Morrison,The Eternal Kansas City,spotify:track:5CD5E7K0QqoQhHgKnAqO7Z,24,2015-03-16,0.6559999999999999,0.6679999999999999,8.0,-6.227,1.0,0.0348,0.485,0.0,0.0691,0.7909999999999999,105.943,audio_features,5CD5E7K0QqoQhHgKnAqO7Z,spotify:track:5CD5E7K0QqoQhHgKnAqO7Z,https://api.spotify.com/v1/tracks/5CD5E7K0QqoQhHgKnAqO7Z,https://api.spotify.com/v1/audio-analysis/5CD5E7K0QqoQhHgKnAqO7Z,250680.0,4.0
1,Kansas,Kansas,Tech N9ne,Kansas City,spotify:track:6ELw6EW47p2CSIKWFrZiPQ,31,2016-12-09,0.81,0.662,1.0,-7.087999999999999,1.0,0.3,0.0465,0.0,0.35200000000000004,0.736,86.962,audio_features,6ELw6EW47p2CSIKWFrZiPQ,spotify:track:6ELw6EW47p2CSIKWFrZiPQ,https://api.spotify.com/v1/tracks/6ELw6EW47p2CSIKWFrZiPQ,https://api.spotify.com/v1/audio-analysis/6ELw6EW47p2CSIKWFrZiPQ,177760.0,4.0
2,Kansas,Kansas,The Wolfgang Press,Kansas,spotify:track:1FWAxR02jNsNPIF07YPROb,18,1988-11-07,0.754,0.667,2.0,-14.18,1.0,0.0326,0.00045,0.905,0.203,0.956,110.02,audio_features,1FWAxR02jNsNPIF07YPROb,spotify:track:1FWAxR02jNsNPIF07YPROb,https://api.spotify.com/v1/tracks/1FWAxR02jNsNPIF07YPROb,https://api.spotify.com/v1/audio-analysis/1FWAxR02jNsNPIF07YPROb,232933.0,4.0
3,Kansas,Kansas,Paul McCartney,Kansas City,spotify:track:4ncz59xiPdY9H4fGitaBOU,18,1988-10-31,0.528,0.853,7.0,-8.405,1.0,0.0308,0.0495,1.24e-06,0.885,0.871,135.157,audio_features,4ncz59xiPdY9H4fGitaBOU,spotify:track:4ncz59xiPdY9H4fGitaBOU,https://api.spotify.com/v1/tracks/4ncz59xiPdY9H4fGitaBOU,https://api.spotify.com/v1/audio-analysis/4ncz59xiPdY9H4fGitaBOU,243627.0,4.0
4,Kansas,Kansas,Frank Zappa,It Can't Happen Here,spotify:track:7eIyQ6QsAypL1EmUN8liCg,23,1966-06-27,0.439,0.425,1.0,-17.444000000000003,0.0,0.254,0.8009999999999999,0.0,0.27,0.511,115.99700000000001,audio_features,7eIyQ6QsAypL1EmUN8liCg,spotify:track:7eIyQ6QsAypL1EmUN8liCg,https://api.spotify.com/v1/tracks/7eIyQ6QsAypL1EmUN8liCg,https://api.spotify.com/v1/audio-analysis/7eIyQ6QsAypL1EmUN8liCg,236693.0,3.0
6,Kansas,Kansas,Tech N9ne,Kansas City King,spotify:track:7xpdBNVRsZ7Jn7A1uqnvwm,7,2004-06-15,0.862,0.621,1.0,-7.017,0.0,0.27,0.0648,0.0,0.154,0.41,89.59,audio_features,7xpdBNVRsZ7Jn7A1uqnvwm,spotify:track:7xpdBNVRsZ7Jn7A1uqnvwm,https://api.spotify.com/v1/tracks/7xpdBNVRsZ7Jn7A1uqnvwm,https://api.spotify.com/v1/audio-analysis/7xpdBNVRsZ7Jn7A1uqnvwm,335133.0,4.0
7,Kansas,Kansas,Chris Barber,Kansas City,spotify:track:4MYgAaHJwPlovjnRDPTQOl,3,2011-04-20,0.637,0.675,9.0,-6.665,0.0,0.0475,0.774,3.4399999999999996e-05,0.20600000000000002,0.847,119.26100000000001,audio_features,4MYgAaHJwPlovjnRDPTQOl,spotify:track:4MYgAaHJwPlovjnRDPTQOl,https://api.spotify.com/v1/tracks/4MYgAaHJwPlovjnRDPTQOl,https://api.spotify.com/v1/audio-analysis/4MYgAaHJwPlovjnRDPTQOl,422040.0,4.0
8,Kansas,Kansas,Alexis Korner,Kansas City Blues,spotify:track:5CCjrRWdZGipNLEyC51XjA,0,2011-06-01,0.45799999999999996,0.491,0.0,-6.206,1.0,0.033,0.711,0.0,0.127,0.645,109.04700000000001,audio_features,5CCjrRWdZGipNLEyC51XjA,spotify:track:5CCjrRWdZGipNLEyC51XjA,https://api.spotify.com/v1/tracks/5CCjrRWdZGipNLEyC51XjA,https://api.spotify.com/v1/audio-analysis/5CCjrRWdZGipNLEyC51XjA,173893.0,4.0
9,Kansas,Kansas,Muddy Waters,Kansas City,spotify:track:1qCQ8n7quH6mWOhnAJm08E,32,2003-09-02,0.5589999999999999,0.685,5.0,-8.641,1.0,0.0623,0.38799999999999996,0.00058,0.7290000000000001,0.805,109.12100000000001,audio_features,1qCQ8n7quH6mWOhnAJm08E,spotify:track:1qCQ8n7quH6mWOhnAJm08E,https://api.spotify.com/v1/tracks/1qCQ8n7quH6mWOhnAJm08E,https://api.spotify.com/v1/audio-analysis/1qCQ8n7quH6mWOhnAJm08E,569933.0,4.0
10,Kansas,Kansas,The New Basement Tapes,Six Months In Kasas City (Liberty Street),spotify:track:4ZnnMMW8YhCDix2M5IhPiM,19,2014-08-19,0.402,0.775,0.0,-6.702000000000001,1.0,0.0609,0.0427,0.0,0.154,0.48200000000000004,96.54,audio_features,4ZnnMMW8YhCDix2M5IhPiM,spotify:track:4ZnnMMW8YhCDix2M5IhPiM,https://api.spotify.com/v1/tracks/4ZnnMMW8YhCDix2M5IhPiM,https://api.spotify.com/v1/audio-analysis/4ZnnMMW8YhCDix2M5IhPiM,216467.0,4.0
