,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kentucky,Kentucky,Dolly Parton,Kentucky Gambler,spotify:track:6XzMG9UYFMKeRlUGhmXI5x,22,1975-02-17,0.745,0.425,8.0,-10.452,1.0,0.0383,0.88,0.00011999999999999999,0.0872,0.892,102.883,audio_features,6XzMG9UYFMKeRlUGhmXI5x,spotify:track:6XzMG9UYFMKeRlUGhmXI5x,https://api.spotify.com/v1/tracks/6XzMG9UYFMKeRlUGhmXI5x,https://api.spotify.com/v1/audio-analysis/6XzMG9UYFMKeRlUGhmXI5x,158040.0,4.0
1,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler,spotify:track:1r717VaFVWg0GpgMGwWssL,20,1975,0.37799999999999995,0.57,8.0,-12.024000000000001,1.0,0.114,0.723,1.67e-05,0.151,0.851,198.882,audio_features,1r717VaFVWg0GpgMGwWssL,spotify:track:1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/tracks/1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/audio-analysis/1r717VaFVWg0GpgMGwWssL,162533.0,4.0
2,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler,spotify:track:1r717VaFVWg0GpgMGwWssL,20,1975,0.37799999999999995,0.57,8.0,-12.024000000000001,1.0,0.114,0.723,1.67e-05,0.151,0.851,198.882,audio_features,1r717VaFVWg0GpgMGwWssL,spotify:track:1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/tracks/1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/audio-analysis/1r717VaFVWg0GpgMGwWssL,162533.0,4.0
3,Kentucky,Kentucky,Bill Monroe,I'm Going Back to Old Kentucky,spotify:track:7KsoEeRB8aq6C9omTarim3,14,1946,0.466,0.479,4.0,-11.556,1.0,0.0322,0.618,0.00155,0.293,0.722,146.208,audio_features,7KsoEeRB8aq6C9omTarim3,spotify:track:7KsoEeRB8aq6C9omTarim3,https://api.spotify.com/v1/tracks/7KsoEeRB8aq6C9omTarim3,https://api.spotify.com/v1/audio-analysis/7KsoEeRB8aq6C9omTarim3,176467.0,4.0
4,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler,spotify:track:1r717VaFVWg0GpgMGwWssL,20,1975,0.37799999999999995,0.57,8.0,-12.024000000000001,1.0,0.114,0.723,1.67e-05,0.151,0.851,198.882,audio_features,1r717VaFVWg0GpgMGwWssL,spotify:track:1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/tracks/1r717VaFVWg0GpgMGwWssL,https://api.spotify.com/v1/audio-analysis/1r717VaFVWg0GpgMGwWssL,162533.0,4.0
6,Kentucky,Kentucky,Fast Food Rockers,Fast Food Song [Festive Version],spotify:track:6BzbyMQpk3cwVyoI0cwBds,4,2003,0.716,0.997,8.0,-5.824,1.0,0.0621,0.0189,0.00307,0.23,0.8290000000000001,129.97799999999998,audio_features,6BzbyMQpk3cwVyoI0cwBds,spotify:track:6BzbyMQpk3cwVyoI0cwBds,https://api.spotify.com/v1/tracks/6BzbyMQpk3cwVyoI0cwBds,https://api.spotify.com/v1/audio-analysis/6BzbyMQpk3cwVyoI0cwBds,189627.0,4.0
7,Kentucky,Kentucky,The Move,Kentucky Woman,spotify:track:6qgTa1576okxuCV35oRoGe,47,1968,0.635,0.6779999999999999,11.0,-6.2620000000000005,1.0,0.0384,0.21100000000000002,0.00040599999999999995,0.11199999999999999,0.7070000000000001,81.40899999999999,audio_features,6qgTa1576okxuCV35oRoGe,spotify:track:6qgTa1576okxuCV35oRoGe,https://api.spotify.com/v1/tracks/6qgTa1576okxuCV35oRoGe,https://api.spotify.com/v1/audio-analysis/6qgTa1576okxuCV35oRoGe,145467.0,4.0
8,Kentucky,Kentucky,Bing Crosby,My Old Kentucky Home,spotify:track:1Lw0CX9cgXeuzw9Fg4OfrN,1,2010-01-01,0.639,0.10300000000000001,0.0,-18.924,1.0,0.716,0.9309999999999999,0.0,0.12300000000000001,0.325,79.796,audio_features,1Lw0CX9cgXeuzw9Fg4OfrN,spotify:track:1Lw0CX9cgXeuzw9Fg4OfrN,https://api.spotify.com/v1/tracks/1Lw0CX9cgXeuzw9Fg4OfrN,https://api.spotify.com/v1/audio-analysis/1Lw0CX9cgXeuzw9Fg4OfrN,177720.0,4.0
10,Kentucky,Kentucky,Elvis Presley,Kentucky Rain,spotify:track:2jZ0RcOfjdhoyvylgqNrvh,41,2007,0.431,0.444,0.0,-8.919,1.0,0.0332,0.626,3.81e-06,0.125,0.5589999999999999,105.65700000000001,audio_features,2jZ0RcOfjdhoyvylgqNrvh,spotify:track:2jZ0RcOfjdhoyvylgqNrvh,https://api.spotify.com/v1/tracks/2jZ0RcOfjdhoyvylgqNrvh,https://api.spotify.com/v1/audio-analysis/2jZ0RcOfjdhoyvylgqNrvh,197880.0,4.0
11,Kentucky,Kentucky,Glen Campbell,Bowling Green,spotify:track:3e5RDTUrPhbPDh3zpd1xQW,19,1967,0.54,0.465,7.0,-11.047,1.0,0.0312,0.184,0.0,0.063,0.7879999999999999,125.579,audio_features,3e5RDTUrPhbPDh3zpd1xQW,spotify:track:3e5RDTUrPhbPDh3zpd1xQW,https://api.spotify.com/v1/tracks/3e5RDTUrPhbPDh3zpd1xQW,https://api.spotify.com/v1/audio-analysis/3e5RDTUrPhbPDh3zpd1xQW,140360.0,4.0
