,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Maryland,Maryland,Nelly,"Maryland, Massachusetts",spotify:track:4go6Yen1c1JPcbkVtnpsxX,9,2013-09-30,0.742,0.711,7.0,-5.983,1.0,0.162,0.0907,0.0,0.0854,0.8440000000000001,159.961,audio_features,4go6Yen1c1JPcbkVtnpsxX,spotify:track:4go6Yen1c1JPcbkVtnpsxX,https://api.spotify.com/v1/tracks/4go6Yen1c1JPcbkVtnpsxX,https://api.spotify.com/v1/audio-analysis/4go6Yen1c1JPcbkVtnpsxX,228160.0,4.0
1,Maryland,Maryland,Nelly,"Maryland, Massachusetts",spotify:track:4go6Yen1c1JPcbkVtnpsxX,9,2013-09-30,0.742,0.711,7.0,-5.983,1.0,0.162,0.0907,0.0,0.0854,0.8440000000000001,159.961,audio_features,4go6Yen1c1JPcbkVtnpsxX,spotify:track:4go6Yen1c1JPcbkVtnpsxX,https://api.spotify.com/v1/tracks/4go6Yen1c1JPcbkVtnpsxX,https://api.spotify.com/v1/audio-analysis/4go6Yen1c1JPcbkVtnpsxX,228160.0,4.0
2,Maryland,Maryland,Pink Elefants,Maryland,spotify:track:05ut30aXCKoMeuDoQ9oG1D,18,2019-12-06,0.514,0.596,7.0,-7.254,1.0,0.0754,0.099,3.5000000000000004e-06,0.6559999999999999,0.26,167.889,audio_features,05ut30aXCKoMeuDoQ9oG1D,spotify:track:05ut30aXCKoMeuDoQ9oG1D,https://api.spotify.com/v1/tracks/05ut30aXCKoMeuDoQ9oG1D,https://api.spotify.com/v1/audio-analysis/05ut30aXCKoMeuDoQ9oG1D,200000.0,4.0
3,Maryland,Maryland,Trinidad James,M.M.M.,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,70,2013-08-19,0.841,0.733,1.0,-5.077,1.0,0.142,0.0246,0.0,0.174,0.284,130.009,audio_features,7xVLFuuYdAvcTfcP3IG3dS,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,https://api.spotify.com/v1/tracks/7xVLFuuYdAvcTfcP3IG3dS,https://api.spotify.com/v1/audio-analysis/7xVLFuuYdAvcTfcP3IG3dS,283693.0,4.0
4,Maryland,Maryland,Jesus Jones,Maryland,spotify:track:0C7QQFNWCDf28MqrDALXoi,9,1991-01-28,0.593,0.9840000000000001,4.0,-11.126,1.0,0.0446,0.0502,0.34299999999999997,0.0836,0.662,123.514,audio_features,0C7QQFNWCDf28MqrDALXoi,spotify:track:0C7QQFNWCDf28MqrDALXoi,https://api.spotify.com/v1/tracks/0C7QQFNWCDf28MqrDALXoi,https://api.spotify.com/v1/audio-analysis/0C7QQFNWCDf28MqrDALXoi,220360.0,4.0
5,Maryland,Maryland,Good Charlotte,There She Goes,spotify:track:1S3dKgErZIEvpSL6ccPe10,30,2010-01-01,0.51,0.927,0.0,-3.5439999999999996,1.0,0.0462,0.0424,0.0,0.172,0.609,135.086,audio_features,1S3dKgErZIEvpSL6ccPe10,spotify:track:1S3dKgErZIEvpSL6ccPe10,https://api.spotify.com/v1/tracks/1S3dKgErZIEvpSL6ccPe10,https://api.spotify.com/v1/audio-analysis/1S3dKgErZIEvpSL6ccPe10,202133.0,4.0
6,Maryland,Maryland,Logic,Last Call,spotify:track:202RUoPIUYZLyg6VtosWci,49,2018-09-28,0.778,0.818,8.0,-5.29,0.0,0.33,0.301,0.0,0.10099999999999999,0.812,86.947,audio_features,202RUoPIUYZLyg6VtosWci,spotify:track:202RUoPIUYZLyg6VtosWci,https://api.spotify.com/v1/tracks/202RUoPIUYZLyg6VtosWci,https://api.spotify.com/v1/audio-analysis/202RUoPIUYZLyg6VtosWci,645667.0,4.0
7,Maryland,Maryland,"Elephanz, Eugénie",Maryland,spotify:track:0l2ACXP9Hqr5tbxYmkrykl,49,2018-04-04,0.6990000000000001,0.8190000000000001,5.0,-4.42,0.0,0.0446,0.0188,0.0,0.344,0.797,102.34100000000001,audio_features,0l2ACXP9Hqr5tbxYmkrykl,spotify:track:0l2ACXP9Hqr5tbxYmkrykl,https://api.spotify.com/v1/tracks/0l2ACXP9Hqr5tbxYmkrykl,https://api.spotify.com/v1/audio-analysis/0l2ACXP9Hqr5tbxYmkrykl,180707.0,4.0
8,Maryland,Maryland,Logic,100 Miles and Running,spotify:track:4CstQ0SUkl0YkoeZkIZlIx,59,2018-09-28,0.835,0.929,7.0,-3.595,1.0,0.0653,0.579,1.28e-06,0.38,0.96,119.04700000000001,audio_features,4CstQ0SUkl0YkoeZkIZlIx,spotify:track:4CstQ0SUkl0YkoeZkIZlIx,https://api.spotify.com/v1/tracks/4CstQ0SUkl0YkoeZkIZlIx,https://api.spotify.com/v1/audio-analysis/4CstQ0SUkl0YkoeZkIZlIx,353453.0,4.0
9,Maryland,Maryland,Future,Just Like Bruddas,spotify:track:59amCplABrmgoBI6oZ3Ey7,43,2015-01-15,0.7170000000000001,0.674,0.0,-7.73,1.0,0.107,0.0499,0.000333,0.12300000000000001,0.42700000000000005,150.03,audio_features,59amCplABrmgoBI6oZ3Ey7,spotify:track:59amCplABrmgoBI6oZ3Ey7,https://api.spotify.com/v1/tracks/59amCplABrmgoBI6oZ3Ey7,https://api.spotify.com/v1/audio-analysis/59amCplABrmgoBI6oZ3Ey7,230547.0,4.0
