,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Michigan,Michigan,Mac Wiseman,"Saginaw, Michigan",spotify:track:0vQqY1wypoNwKmxtCUnLcY,19,2007-04-24,0.568,0.445,0.0,-10.137,1.0,0.038,0.5539999999999999,0.0,0.386,0.81,79.367,audio_features,0vQqY1wypoNwKmxtCUnLcY,spotify:track:0vQqY1wypoNwKmxtCUnLcY,https://api.spotify.com/v1/tracks/0vQqY1wypoNwKmxtCUnLcY,https://api.spotify.com/v1/audio-analysis/0vQqY1wypoNwKmxtCUnLcY,175280.0,4.0
1,Michigan,Michigan,Bobby Bare,Saginaw Michigan,spotify:track:2yJRhPJEckrnr6612BwwKQ,11,1966-08-22,0.499,0.371,0.0,-13.94,1.0,0.0318,0.852,0.0,0.28800000000000003,0.784,139.37,audio_features,2yJRhPJEckrnr6612BwwKQ,spotify:track:2yJRhPJEckrnr6612BwwKQ,https://api.spotify.com/v1/tracks/2yJRhPJEckrnr6612BwwKQ,https://api.spotify.com/v1/audio-analysis/2yJRhPJEckrnr6612BwwKQ,192027.0,4.0
2,Michigan,Michigan,Kid Rock,"Detroit, Michigan",spotify:track:46FREplepEkR9bYvxHdBru,31,2012-11-16,0.785,0.716,1.0,-3.925,1.0,0.028999999999999998,0.14400000000000002,0.0,0.11800000000000001,0.508,112.001,audio_features,46FREplepEkR9bYvxHdBru,spotify:track:46FREplepEkR9bYvxHdBru,https://api.spotify.com/v1/tracks/46FREplepEkR9bYvxHdBru,https://api.spotify.com/v1/audio-analysis/46FREplepEkR9bYvxHdBru,236573.0,4.0
3,Michigan,Michigan,Kid Rock,"Detroit, Michigan",spotify:track:46FREplepEkR9bYvxHdBru,31,2012-11-16,0.785,0.716,1.0,-3.925,1.0,0.028999999999999998,0.14400000000000002,0.0,0.11800000000000001,0.508,112.001,audio_features,46FREplepEkR9bYvxHdBru,spotify:track:46FREplepEkR9bYvxHdBru,https://api.spotify.com/v1/tracks/46FREplepEkR9bYvxHdBru,https://api.spotify.com/v1/audio-analysis/46FREplepEkR9bYvxHdBru,236573.0,4.0
4,Michigan,Michigan,Lefty Frizzell,"Saginaw, Michigan",spotify:track:6kGTegnkVO7NQuu5DFXRSw,40,1959,0.579,0.307,10.0,-13.899000000000001,1.0,0.0381,0.858,0.0007570000000000001,0.156,0.74,145.168,audio_features,6kGTegnkVO7NQuu5DFXRSw,spotify:track:6kGTegnkVO7NQuu5DFXRSw,https://api.spotify.com/v1/tracks/6kGTegnkVO7NQuu5DFXRSw,https://api.spotify.com/v1/audio-analysis/6kGTegnkVO7NQuu5DFXRSw,186973.0,3.0
6,Michigan,Michigan,George Jones,Saginaw Michigan,spotify:track:6sQmxZkhTGclC9ONj5kPIk,18,2019-06-05,0.517,0.523,4.0,-10.659,1.0,0.0446,0.595,6.96e-05,0.146,0.903,154.195,audio_features,6sQmxZkhTGclC9ONj5kPIk,spotify:track:6sQmxZkhTGclC9ONj5kPIk,https://api.spotify.com/v1/tracks/6sQmxZkhTGclC9ONj5kPIk,https://api.spotify.com/v1/audio-analysis/6sQmxZkhTGclC9ONj5kPIk,171053.0,4.0
7,Michigan,Michigan,Bill Anderson,Saginaw Michigan,spotify:track:2DK18NNbJyZsl7uLhJKH0H,0,2011-03-25,0.73,0.662,0.0,-9.673,1.0,0.0287,0.429,6.13e-06,0.327,0.753,119.712,audio_features,2DK18NNbJyZsl7uLhJKH0H,spotify:track:2DK18NNbJyZsl7uLhJKH0H,https://api.spotify.com/v1/tracks/2DK18NNbJyZsl7uLhJKH0H,https://api.spotify.com/v1/audio-analysis/2DK18NNbJyZsl7uLhJKH0H,230280.0,4.0
8,Michigan,Michigan,Moxy Früvous,Michigan Militia,spotify:track:3l30nq1ezVCr6RQZegXCpV,14,1997,0.6809999999999999,0.875,7.0,-3.952,0.0,0.0455,0.00761,0.0017800000000000001,0.358,0.747,97.022,audio_features,3l30nq1ezVCr6RQZegXCpV,spotify:track:3l30nq1ezVCr6RQZegXCpV,https://api.spotify.com/v1/tracks/3l30nq1ezVCr6RQZegXCpV,https://api.spotify.com/v1/audio-analysis/3l30nq1ezVCr6RQZegXCpV,198067.0,4.0
9,Michigan,Michigan,Faron Young,Saginaw Michigan,spotify:track:0o0nmTBC7Y7YBfxGnB4LFf,0,2010-09-08,0.564,0.36200000000000004,2.0,-12.584000000000001,1.0,0.10300000000000001,0.8109999999999999,0.0,0.10300000000000001,0.807,146.247,audio_features,0o0nmTBC7Y7YBfxGnB4LFf,spotify:track:0o0nmTBC7Y7YBfxGnB4LFf,https://api.spotify.com/v1/tracks/0o0nmTBC7Y7YBfxGnB4LFf,https://api.spotify.com/v1/audio-analysis/0o0nmTBC7Y7YBfxGnB4LFf,197667.0,4.0
10,Michigan,Michigan,Faron Young,"Saginaw, Michigan",spotify:track:0o0nmTBC7Y7YBfxGnB4LFf,0,2010-09-08,0.564,0.36200000000000004,2.0,-12.584000000000001,1.0,0.10300000000000001,0.8109999999999999,0.0,0.10300000000000001,0.807,146.247,audio_features,0o0nmTBC7Y7YBfxGnB4LFf,spotify:track:0o0nmTBC7Y7YBfxGnB4LFf,https://api.spotify.com/v1/tracks/0o0nmTBC7Y7YBfxGnB4LFf,https://api.spotify.com/v1/audio-analysis/0o0nmTBC7Y7YBfxGnB4LFf,197667.0,4.0
