,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Minnesota,Minnesota,Young Thug,Minnesota,spotify:track:4XkOcWt0C2JX1s2RXybosk,58,2016-07-05,0.812,0.648,2.0,-4.994,1.0,0.0887,0.0951,0.0,0.11,0.24600000000000002,130.02200000000002,audio_features,4XkOcWt0C2JX1s2RXybosk,spotify:track:4XkOcWt0C2JX1s2RXybosk,https://api.spotify.com/v1/tracks/4XkOcWt0C2JX1s2RXybosk,https://api.spotify.com/v1/audio-analysis/4XkOcWt0C2JX1s2RXybosk,268115.0,4.0
1,Minnesota,Minnesota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota,spotify:track:3i3HEXZRAQ4d7SQeB0098V,26,1989-01-01,0.7120000000000001,0.5589999999999999,8.0,-12.325,1.0,0.0349,0.627,0.0,0.11,0.741,100.435,audio_features,3i3HEXZRAQ4d7SQeB0098V,spotify:track:3i3HEXZRAQ4d7SQeB0098V,https://api.spotify.com/v1/tracks/3i3HEXZRAQ4d7SQeB0098V,https://api.spotify.com/v1/audio-analysis/3i3HEXZRAQ4d7SQeB0098V,408013.0,4.0
3,Minnesota,Minnesota,Frank Zappa,It Can't Happen Here,spotify:track:7eIyQ6QsAypL1EmUN8liCg,23,1966-06-27,0.439,0.425,1.0,-17.444000000000003,0.0,0.254,0.8009999999999999,0.0,0.27,0.511,115.99700000000001,audio_features,7eIyQ6QsAypL1EmUN8liCg,spotify:track:7eIyQ6QsAypL1EmUN8liCg,https://api.spotify.com/v1/tracks/7eIyQ6QsAypL1EmUN8liCg,https://api.spotify.com/v1/audio-analysis/7eIyQ6QsAypL1EmUN8liCg,236693.0,3.0
4,Minnesota,Minnesota,Kidz Bop Kids,Truth Hurts,spotify:track:4JzAcIjtO0yQ3refHgCWfE,52,2019-09-06,0.715,0.618,8.0,-4.975,1.0,0.0543,0.29,0.0,0.0908,0.6759999999999999,157.786,audio_features,4JzAcIjtO0yQ3refHgCWfE,spotify:track:4JzAcIjtO0yQ3refHgCWfE,https://api.spotify.com/v1/tracks/4JzAcIjtO0yQ3refHgCWfE,https://api.spotify.com/v1/audio-analysis/4JzAcIjtO0yQ3refHgCWfE,163640.0,4.0
5,Minnesota,Minnesota,"Lizzo, DaBaby",Truth Hurts [DaBaby Remix],spotify:track:01jBJGEa9Ex9W2IjkIzuY6,50,2019-08-23,0.706,0.628,4.0,-2.94,0.0,0.201,0.193,0.0,0.126,0.38,158.036,audio_features,01jBJGEa9Ex9W2IjkIzuY6,spotify:track:01jBJGEa9Ex9W2IjkIzuY6,https://api.spotify.com/v1/tracks/01jBJGEa9Ex9W2IjkIzuY6,https://api.spotify.com/v1/audio-analysis/01jBJGEa9Ex9W2IjkIzuY6,197610.0,4.0
6,Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock",spotify:track:2VTy9WNfs1bG9OvNu4ybn0,27,1966-06-27,0.654,0.607,2.0,-13.63,1.0,0.0428,0.0237,0.0175,0.282,0.927,120.493,audio_features,2VTy9WNfs1bG9OvNu4ybn0,spotify:track:2VTy9WNfs1bG9OvNu4ybn0,https://api.spotify.com/v1/tracks/2VTy9WNfs1bG9OvNu4ybn0,https://api.spotify.com/v1/audio-analysis/2VTy9WNfs1bG9OvNu4ybn0,283067.0,3.0
7,Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock",spotify:track:2VTy9WNfs1bG9OvNu4ybn0,27,1966-06-27,0.654,0.607,2.0,-13.63,1.0,0.0428,0.0237,0.0175,0.282,0.927,120.493,audio_features,2VTy9WNfs1bG9OvNu4ybn0,spotify:track:2VTy9WNfs1bG9OvNu4ybn0,https://api.spotify.com/v1/tracks/2VTy9WNfs1bG9OvNu4ybn0,https://api.spotify.com/v1/audio-analysis/2VTy9WNfs1bG9OvNu4ybn0,283067.0,3.0
8,Minnesota,Minnesota,Lizzo,Truth Hurts,spotify:track:3HWzoMvoF3TQfYg4UPszDq,80,2019-04-19,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0
9,Minnesota,Minnesota,Saint Asonia,Leaving Minnesota,spotify:track:1IZYN7TusuqNqZowSchJ7l,31,2015-07-31,0.498,0.852,4.0,-4.253,1.0,0.0427,0.113,0.0,0.0901,0.385,136.047,audio_features,1IZYN7TusuqNqZowSchJ7l,spotify:track:1IZYN7TusuqNqZowSchJ7l,https://api.spotify.com/v1/tracks/1IZYN7TusuqNqZowSchJ7l,https://api.spotify.com/v1/audio-analysis/1IZYN7TusuqNqZowSchJ7l,208293.0,4.0
11,Minnesota,Minnesota,The Push Stars,Minnesota,spotify:track:1SbPdP6KOhxznaPPAHHHiW,8,1999-01-01,0.614,0.983,7.0,-5.268,1.0,0.0466,0.027999999999999997,5.85e-05,0.11699999999999999,0.818,109.70700000000001,audio_features,1SbPdP6KOhxznaPPAHHHiW,spotify:track:1SbPdP6KOhxznaPPAHHHiW,https://api.spotify.com/v1/tracks/1SbPdP6KOhxznaPPAHHHiW,https://api.spotify.com/v1/audio-analysis/1SbPdP6KOhxznaPPAHHHiW,205293.0,4.0
12,Minnesota,Minnesota,Atmosphere,Jason,spotify:track:5xGxUQ8IxQP3oi8mrS4yQq,18,2003-09-23,0.927,0.741,7.0,-8.086,1.0,0.213,0.7240000000000001,0.8540000000000001,0.0935,0.542,102.04,audio_features,5xGxUQ8IxQP3oi8mrS4yQq,spotify:track:5xGxUQ8IxQP3oi8mrS4yQq,https://api.spotify.com/v1/tracks/5xGxUQ8IxQP3oi8mrS4yQq,https://api.spotify.com/v1/audio-analysis/5xGxUQ8IxQP3oi8mrS4yQq,47147.0,4.0
13,Minnesota,Minnesota,The Dresden Dolls,Shores of California,spotify:track:2VDRy5dwcSRE6C39I6jiLv,27,2006-03-29,0.642,0.79,8.0,-3.676,1.0,0.0379,0.157,0.0483,0.0711,0.5820000000000001,121.344,audio_features,2VDRy5dwcSRE6C39I6jiLv,spotify:track:2VDRy5dwcSRE6C39I6jiLv,https://api.spotify.com/v1/tracks/2VDRy5dwcSRE6C39I6jiLv,https://api.spotify.com/v1/audio-analysis/2VDRy5dwcSRE6C39I6jiLv,215760.0,3.0
14,Minnesota,Minnesota,Kid Dakota,Ten Thousand Lakes,spotify:track:7ybEKJRAbbxga27r1ZUEjw,7,2004-05-01,0.555,0.409,2.0,-9.231,0.0,0.0265,0.244,0.0104,0.0682,0.226,104.677,audio_features,7ybEKJRAbbxga27r1ZUEjw,spotify:track:7ybEKJRAbbxga27r1ZUEjw,https://api.spotify.com/v1/tracks/7ybEKJRAbbxga27r1ZUEjw,https://api.spotify.com/v1/audio-analysis/7ybEKJRAbbxga27r1ZUEjw,306867.0,3.0
15,Minnesota,Minnesota,Trisha Yearwood,On a Bus to St. Cloud,spotify:track:4EyOqAYdmJqS5Q4zHiox9Z,29,1995-01-01,0.406,0.14,0.0,-14.912,1.0,0.0297,0.9059999999999999,0.00445,0.335,0.0836,89.962,audio_features,4EyOqAYdmJqS5Q4zHiox9Z,spotify:track:4EyOqAYdmJqS5Q4zHiox9Z,https://api.spotify.com/v1/tracks/4EyOqAYdmJqS5Q4zHiox9Z,https://api.spotify.com/v1/audio-analysis/4EyOqAYdmJqS5Q4zHiox9Z,284200.0,4.0
16,Minnesota,Minnesota,Andre Nickatina,Bakin' Soda in Minnesota,spotify:track:05jNrrouvvb07kGZ75ML2q,30,2000-06-02,0.746,0.8390000000000001,11.0,-6.204,0.0,0.28,0.0111,0.0,0.231,0.336,115.34100000000001,audio_features,05jNrrouvvb07kGZ75ML2q,spotify:track:05jNrrouvvb07kGZ75ML2q,https://api.spotify.com/v1/tracks/05jNrrouvvb07kGZ75ML2q,https://api.spotify.com/v1/audio-analysis/05jNrrouvvb07kGZ75ML2q,183920.0,4.0
17,Minnesota,Minnesota,Migos,Payola,spotify:track:4LIOAEnCzA3ymmKZFD8brU,30,2014-06-03,0.8590000000000001,0.684,11.0,-4.742,0.0,0.321,0.149,0.0,0.115,0.47,135.042,audio_features,4LIOAEnCzA3ymmKZFD8brU,spotify:track:4LIOAEnCzA3ymmKZFD8brU,https://api.spotify.com/v1/tracks/4LIOAEnCzA3ymmKZFD8brU,https://api.spotify.com/v1/audio-analysis/4LIOAEnCzA3ymmKZFD8brU,181972.0,4.0
18,Minnesota,Minnesota,Bombadil,Wisconsin Wedding,spotify:track:4N5hVYKowkARwP7TYTstAu,11,2019-09-20,0.7040000000000001,0.294,11.0,-13.729000000000001,1.0,0.0302,0.584,0.18100000000000002,0.113,0.361,130.06,audio_features,4N5hVYKowkARwP7TYTstAu,spotify:track:4N5hVYKowkARwP7TYTstAu,https://api.spotify.com/v1/tracks/4N5hVYKowkARwP7TYTstAu,https://api.spotify.com/v1/audio-analysis/4N5hVYKowkARwP7TYTstAu,215700.0,4.0
19,Minnesota,Minnesota,Hole,Drown Soda,spotify:track:4uYldSGNQ9kjUHMEh2u5Nt,18,1995-02-09,0.331,0.573,9.0,-9.715,0.0,0.0513,0.0158,0.00048300000000000003,0.11699999999999999,0.22699999999999998,111.15100000000001,audio_features,4uYldSGNQ9kjUHMEh2u5Nt,spotify:track:4uYldSGNQ9kjUHMEh2u5Nt,https://api.spotify.com/v1/tracks/4uYldSGNQ9kjUHMEh2u5Nt,https://api.spotify.com/v1/audio-analysis/4uYldSGNQ9kjUHMEh2u5Nt,230733.0,4.0
20,Minnesota,Minnesota,"Raekwon, Ghostface Killah",Outta Town Shit,spotify:track:6UQvAqp994a76fSNXlm2ft,15,2006-01-01,0.6629999999999999,0.763,9.0,-4.328,0.0,0.342,0.0266,1e-05,0.965,0.725,89.12,audio_features,6UQvAqp994a76fSNXlm2ft,spotify:track:6UQvAqp994a76fSNXlm2ft,https://api.spotify.com/v1/tracks/6UQvAqp994a76fSNXlm2ft,https://api.spotify.com/v1/audio-analysis/6UQvAqp994a76fSNXlm2ft,225413.0,4.0
21,Minnesota,Minnesota,NOFX,Seeing Double at the Triple Rock,spotify:track:5QegaMGMY7mORFEBngkFxy,53,2006-04-18,0.5489999999999999,0.981,0.0,-4.308,1.0,0.11800000000000001,0.00011999999999999999,3.81e-06,0.41,0.593,120.866,audio_features,5QegaMGMY7mORFEBngkFxy,spotify:track:5QegaMGMY7mORFEBngkFxy,https://api.spotify.com/v1/tracks/5QegaMGMY7mORFEBngkFxy,https://api.spotify.com/v1/audio-analysis/5QegaMGMY7mORFEBngkFxy,129667.0,4.0
22,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0
23,Minnesota,Minnesota,Del Reeves,The Philadelphia Fillies,spotify:track:3873wECBMdrdOhjoxNjLqM,10,2013-01-01,0.662,0.596,5.0,-11.113,1.0,0.0363,0.635,0.0,0.6509999999999999,0.8370000000000001,110.57799999999999,audio_features,3873wECBMdrdOhjoxNjLqM,spotify:track:3873wECBMdrdOhjoxNjLqM,https://api.spotify.com/v1/tracks/3873wECBMdrdOhjoxNjLqM,https://api.spotify.com/v1/audio-analysis/3873wECBMdrdOhjoxNjLqM,148373.0,4.0
24,Minnesota,Minnesota,Atmosphere,Onemosphere,spotify:track:0mCdU4D48196aAW8CUyYgm,33,2002,0.835,0.8290000000000001,11.0,-1.694,0.0,0.34,0.146,2.27e-05,0.12300000000000001,0.659,87.76299999999999,audio_features,0mCdU4D48196aAW8CUyYgm,spotify:track:0mCdU4D48196aAW8CUyYgm,https://api.spotify.com/v1/tracks/0mCdU4D48196aAW8CUyYgm,https://api.spotify.com/v1/audio-analysis/0mCdU4D48196aAW8CUyYgm,137093.0,4.0
25,Minnesota,Minnesota,Trampled by Turtles,The Darkness and the Light,spotify:track:2MhhYrCk7u8UXZPeErvK5h,31,2008,0.44,0.938,3.0,-4.36,1.0,0.0492,0.615,0.024,0.11900000000000001,0.895,139.975,audio_features,2MhhYrCk7u8UXZPeErvK5h,spotify:track:2MhhYrCk7u8UXZPeErvK5h,https://api.spotify.com/v1/tracks/2MhhYrCk7u8UXZPeErvK5h,https://api.spotify.com/v1/audio-analysis/2MhhYrCk7u8UXZPeErvK5h,204040.0,4.0
26,Minnesota,Minnesota,Triple J,Seeing Double at the Triple Rock,spotify:track:5QegaMGMY7mORFEBngkFxy,53,2006-04-18,0.5489999999999999,0.981,0.0,-4.308,1.0,0.11800000000000001,0.00011999999999999999,3.81e-06,0.41,0.593,120.866,audio_features,5QegaMGMY7mORFEBngkFxy,spotify:track:5QegaMGMY7mORFEBngkFxy,https://api.spotify.com/v1/tracks/5QegaMGMY7mORFEBngkFxy,https://api.spotify.com/v1/audio-analysis/5QegaMGMY7mORFEBngkFxy,129667.0,4.0
27,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0
28,Minnesota,Minnesota,Unlinked Artist,On a Bus to St. Cloud,spotify:track:7dMIgUExafsPNo39yLt4Tt,0,2010-11-24,0.5539999999999999,0.262,0.0,-12.719000000000001,1.0,0.0311,0.272,0.635,0.163,0.128,90.77799999999999,audio_features,7dMIgUExafsPNo39yLt4Tt,spotify:track:7dMIgUExafsPNo39yLt4Tt,https://api.spotify.com/v1/tracks/7dMIgUExafsPNo39yLt4Tt,https://api.spotify.com/v1/audio-analysis/7dMIgUExafsPNo39yLt4Tt,225744.0,4.0
29,Minnesota,Minnesota,Sadat X,Game's Sober,spotify:track:3NgTcYiwxjrLvXmZApWIPd,13,1996-03-01,0.7,0.6679999999999999,1.0,-6.301,1.0,0.4,0.0303,0.0,0.146,0.307,87.21799999999999,audio_features,3NgTcYiwxjrLvXmZApWIPd,spotify:track:3NgTcYiwxjrLvXmZApWIPd,https://api.spotify.com/v1/tracks/3NgTcYiwxjrLvXmZApWIPd,https://api.spotify.com/v1/audio-analysis/3NgTcYiwxjrLvXmZApWIPd,279293.0,4.0
30,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0
31,Minnesota,Minnesota,The Complex Dialect,Radar,spotify:track:19kGTa7Ylag1Fi8Vov6hpy,1,2017-12-01,0.377,0.826,9.0,-5.7170000000000005,0.0,0.147,0.00162,4.13e-06,0.0804,0.485,149.697,audio_features,19kGTa7Ylag1Fi8Vov6hpy,spotify:track:19kGTa7Ylag1Fi8Vov6hpy,https://api.spotify.com/v1/tracks/19kGTa7Ylag1Fi8Vov6hpy,https://api.spotify.com/v1/audio-analysis/19kGTa7Ylag1Fi8Vov6hpy,269333.0,3.0
32,Minnesota,Minnesota,Demir Demirkan,It's a Texas Christmas,spotify:track:1tirn0xecmyhAR7m64HvSb,1,2018-11-29,0.5379999999999999,0.945,4.0,-4.583,0.0,0.0433,0.000859,2.8600000000000004e-05,0.203,0.764,106.124,audio_features,1tirn0xecmyhAR7m64HvSb,spotify:track:1tirn0xecmyhAR7m64HvSb,https://api.spotify.com/v1/tracks/1tirn0xecmyhAR7m64HvSb,https://api.spotify.com/v1/audio-analysis/1tirn0xecmyhAR7m64HvSb,207243.0,4.0
33,Minnesota,Minnesota,Devendra Banhart,Lagoon,spotify:track:4ma24gnDTYE3n1uYsvoM9Q,14,2003-05-19,0.581,0.39799999999999996,4.0,-6.78,0.0,0.0466,0.8590000000000001,0.00274,0.322,0.255,122.44,audio_features,4ma24gnDTYE3n1uYsvoM9Q,spotify:track:4ma24gnDTYE3n1uYsvoM9Q,https://api.spotify.com/v1/tracks/4ma24gnDTYE3n1uYsvoM9Q,https://api.spotify.com/v1/audio-analysis/4ma24gnDTYE3n1uYsvoM9Q,144653.0,4.0
34,Minnesota,Minnesota,BlocBoy JB,Turnt Up,spotify:track:1fsZ15Jv2Na4x8PZAqvnfW,32,2018-05-04,0.8029999999999999,0.7440000000000001,11.0,-5.587000000000001,0.0,0.363,0.0941,4.61e-05,0.807,0.726,75.003,audio_features,1fsZ15Jv2Na4x8PZAqvnfW,spotify:track:1fsZ15Jv2Na4x8PZAqvnfW,https://api.spotify.com/v1/tracks/1fsZ15Jv2Na4x8PZAqvnfW,https://api.spotify.com/v1/audio-analysis/1fsZ15Jv2Na4x8PZAqvnfW,178118.0,4.0
35,Minnesota,Minnesota,Jimmy LaFave,On a Bus to St. Cloud,spotify:track:0yT2U9DgOWGJJ2kyzztHr0,17,2010-07-20,0.47,0.252,9.0,-11.151,1.0,0.0323,0.8009999999999999,0.0066099999999999996,0.106,0.114,74.063,audio_features,0yT2U9DgOWGJJ2kyzztHr0,spotify:track:0yT2U9DgOWGJJ2kyzztHr0,https://api.spotify.com/v1/tracks/0yT2U9DgOWGJJ2kyzztHr0,https://api.spotify.com/v1/audio-analysis/0yT2U9DgOWGJJ2kyzztHr0,348440.0,4.0
37,Minnesota,Minnesota,Kartky,CTRL Z (minnesota),spotify:track:3aE4RWed5ozvqfpmvjeNLT,57,2020-07-05,0.564,0.7140000000000001,5.0,-5.9110000000000005,0.0,0.335,0.195,0.0,0.0993,0.5920000000000001,113.244,audio_features,3aE4RWed5ozvqfpmvjeNLT,spotify:track:3aE4RWed5ozvqfpmvjeNLT,https://api.spotify.com/v1/tracks/3aE4RWed5ozvqfpmvjeNLT,https://api.spotify.com/v1/audio-analysis/3aE4RWed5ozvqfpmvjeNLT,175059.0,5.0
