,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,New Hampshire,New Hampshire,John Linnell,New Hampshire,spotify:track:45DCJCNFOLrmy09CLzsPTM,6,1999-10-26,0.466,0.511,0.0,-7.388,1.0,0.0274,0.44799999999999995,0.0,0.537,0.7240000000000001,103.469,audio_features,45DCJCNFOLrmy09CLzsPTM,spotify:track:45DCJCNFOLrmy09CLzsPTM,https://api.spotify.com/v1/tracks/45DCJCNFOLrmy09CLzsPTM,https://api.spotify.com/v1/audio-analysis/45DCJCNFOLrmy09CLzsPTM,170293.0,4.0
2,New Hampshire,New Hampshire,Virginia Coalition,Last Goodbye,spotify:track:1J9A7cLBVSa265EXy1lsNX,5,2004-09-21,0.5660000000000001,0.855,4.0,-4.095,1.0,0.0359,0.0817,0.0,0.365,0.465,127.024,audio_features,1J9A7cLBVSa265EXy1lsNX,spotify:track:1J9A7cLBVSa265EXy1lsNX,https://api.spotify.com/v1/tracks/1J9A7cLBVSa265EXy1lsNX,https://api.spotify.com/v1/audio-analysis/1J9A7cLBVSa265EXy1lsNX,240067.0,4.0
3,New Hampshire,New Hampshire,matt pond PA,New Hampshire,spotify:track:0QMc6XTkC6JYZCLLSq10fz,23,2004,0.718,0.46799999999999997,1.0,-9.455,1.0,0.033,0.706,0.843,0.10099999999999999,0.46,124.06299999999999,audio_features,0QMc6XTkC6JYZCLLSq10fz,spotify:track:0QMc6XTkC6JYZCLLSq10fz,https://api.spotify.com/v1/tracks/0QMc6XTkC6JYZCLLSq10fz,https://api.spotify.com/v1/audio-analysis/0QMc6XTkC6JYZCLLSq10fz,290992.0,4.0
4,New Hampshire,New Hampshire,Dispatch,Josaphine,spotify:track:00izcDmYuisJ2k1LDfPCWZ,30,2012-08-21,0.535,0.42700000000000005,4.0,-9.144,1.0,0.0298,0.743,8.43e-06,0.12,0.307,132.96,audio_features,00izcDmYuisJ2k1LDfPCWZ,spotify:track:00izcDmYuisJ2k1LDfPCWZ,https://api.spotify.com/v1/tracks/00izcDmYuisJ2k1LDfPCWZ,https://api.spotify.com/v1/audio-analysis/00izcDmYuisJ2k1LDfPCWZ,353213.0,4.0
5,New Hampshire,New Hampshire,Dark Lotus,Untitled Track,spotify:track:36FblptchgUU2wGyXPctgU,6,1976-09-01,0.42,0.315,5.0,-17.674,1.0,0.0578,0.441,0.735,0.102,0.33,92.74,audio_features,36FblptchgUU2wGyXPctgU,spotify:track:36FblptchgUU2wGyXPctgU,https://api.spotify.com/v1/tracks/36FblptchgUU2wGyXPctgU,https://api.spotify.com/v1/audio-analysis/36FblptchgUU2wGyXPctgU,526867.0,4.0
6,New Hampshire,New Hampshire,Dark Lotus,Untitled Track,spotify:track:36FblptchgUU2wGyXPctgU,6,1976-09-01,0.42,0.315,5.0,-17.674,1.0,0.0578,0.441,0.735,0.102,0.33,92.74,audio_features,36FblptchgUU2wGyXPctgU,spotify:track:36FblptchgUU2wGyXPctgU,https://api.spotify.com/v1/tracks/36FblptchgUU2wGyXPctgU,https://api.spotify.com/v1/audio-analysis/36FblptchgUU2wGyXPctgU,526867.0,4.0
7,New Hampshire,New Hampshire,Cam'ron,Got It For Cheap,spotify:track:4GKjnCdZkkuhQokzueYo9l,16,2009-05-12,0.541,0.885,7.0,-2.147,1.0,0.297,0.0513,0.0,0.5770000000000001,0.674,75.044,audio_features,4GKjnCdZkkuhQokzueYo9l,spotify:track:4GKjnCdZkkuhQokzueYo9l,https://api.spotify.com/v1/tracks/4GKjnCdZkkuhQokzueYo9l,https://api.spotify.com/v1/audio-analysis/4GKjnCdZkkuhQokzueYo9l,251187.0,4.0
8,New Hampshire,New Hampshire,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,4,2005-02-08,0.556,0.609,9.0,-7.494,1.0,0.489,0.8590000000000001,0.0,0.727,0.6659999999999999,81.688,audio_features,1rXVU5w2M16RULGVoqp6y9,spotify:track:1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/tracks/1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/audio-analysis/1rXVU5w2M16RULGVoqp6y9,95800.0,4.0
9,New Hampshire,New Hampshire,Ray Davies,The Great Highway,spotify:track:532BT51YjnbjK6NbyCIZ0L,14,2017-04-21,0.545,0.555,2.0,-8.219,1.0,0.0255,0.0282,2.3199999999999998e-05,0.114,0.647,103.414,audio_features,532BT51YjnbjK6NbyCIZ0L,spotify:track:532BT51YjnbjK6NbyCIZ0L,https://api.spotify.com/v1/tracks/532BT51YjnbjK6NbyCIZ0L,https://api.spotify.com/v1/audio-analysis/532BT51YjnbjK6NbyCIZ0L,283573.0,4.0
10,New Hampshire,New Hampshire,Indigo Girls,Jonas and Ezekial,spotify:track:2Amq0JDe3advuFcW2wwZD0,31,1992-06-03,0.688,0.7120000000000001,11.0,-6.681,0.0,0.0315,0.40399999999999997,0.000139,0.787,0.624,117.181,audio_features,2Amq0JDe3advuFcW2wwZD0,spotify:track:2Amq0JDe3advuFcW2wwZD0,https://api.spotify.com/v1/tracks/2Amq0JDe3advuFcW2wwZD0,https://api.spotify.com/v1/audio-analysis/2Amq0JDe3advuFcW2wwZD0,248427.0,4.0
