,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Northern Mariana Islands,Northern Mariana Islands,Kenny Chesney,Every Heart,spotify:track:5LNe2e8ABKkCFrCpkPUicZ,46,2018-07-27,0.715,0.518,2.0,-9.369,1.0,0.0267,0.634,1.74e-05,0.16699999999999998,0.564,137.965,audio_features,5LNe2e8ABKkCFrCpkPUicZ,spotify:track:5LNe2e8ABKkCFrCpkPUicZ,https://api.spotify.com/v1/tracks/5LNe2e8ABKkCFrCpkPUicZ,https://api.spotify.com/v1/audio-analysis/5LNe2e8ABKkCFrCpkPUicZ,234612.0,4.0
1,Northern Mariana Islands,Northern Mariana Islands,Al Stewart,Murmansk Run/Ellis Island,spotify:track:1m9NUEhYSVDVJY4mRoymjm,5,1980-01-01,0.515,0.48,5.0,-14.869000000000002,1.0,0.0402,0.0208,0.00175,0.218,0.648,125.546,audio_features,1m9NUEhYSVDVJY4mRoymjm,spotify:track:1m9NUEhYSVDVJY4mRoymjm,https://api.spotify.com/v1/tracks/1m9NUEhYSVDVJY4mRoymjm,https://api.spotify.com/v1/audio-analysis/1m9NUEhYSVDVJY4mRoymjm,433547.0,4.0
2,Northern Mariana Islands,Northern Mariana Islands,Owl City,Madeline Island,spotify:track:0NsR9xQaIapK6MFi0Mgr6T,36,2018-06-01,0.69,0.499,1.0,-7.225,1.0,0.0331,0.142,0.0,0.0957,0.634,141.987,audio_features,0NsR9xQaIapK6MFi0Mgr6T,spotify:track:0NsR9xQaIapK6MFi0Mgr6T,https://api.spotify.com/v1/tracks/0NsR9xQaIapK6MFi0Mgr6T,https://api.spotify.com/v1/audio-analysis/0NsR9xQaIapK6MFi0Mgr6T,276381.0,4.0
3,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,Where I Belong,spotify:track:4n2hxhwEDSkKWPlrA6htVm,15,1985-06-10,0.649,0.4,2.0,-11.140999999999998,1.0,0.0239,0.763,0.0,0.10400000000000001,0.358,94.016,audio_features,4n2hxhwEDSkKWPlrA6htVm,spotify:track:4n2hxhwEDSkKWPlrA6htVm,https://api.spotify.com/v1/tracks/4n2hxhwEDSkKWPlrA6htVm,https://api.spotify.com/v1/audio-analysis/4n2hxhwEDSkKWPlrA6htVm,178427.0,4.0
4,Northern Mariana Islands,Northern Mariana Islands,"Curren$y, Rick Ross, Harry Fraud",Mugello Red,spotify:track:0eQ6SX5ihCxcSkZXSFmxM8,53,2020-07-24,0.48200000000000004,0.687,0.0,-8.492,1.0,0.384,0.131,0.000125,0.147,0.41100000000000003,139.99,audio_features,0eQ6SX5ihCxcSkZXSFmxM8,spotify:track:0eQ6SX5ihCxcSkZXSFmxM8,https://api.spotify.com/v1/tracks/0eQ6SX5ihCxcSkZXSFmxM8,https://api.spotify.com/v1/audio-analysis/0eQ6SX5ihCxcSkZXSFmxM8,219429.0,4.0
5,Northern Mariana Islands,Northern Mariana Islands,Busta Rhymes,Live It Up,spotify:track:7FLkNxebm6cNnu19lIMqW9,23,2000-06-09,0.958,0.33399999999999996,6.0,-8.172,0.0,0.345,0.00385,1.07e-06,0.113,0.62,105.93,audio_features,7FLkNxebm6cNnu19lIMqW9,spotify:track:7FLkNxebm6cNnu19lIMqW9,https://api.spotify.com/v1/tracks/7FLkNxebm6cNnu19lIMqW9,https://api.spotify.com/v1/audio-analysis/7FLkNxebm6cNnu19lIMqW9,221960.0,4.0
6,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,63,1965-07-05,0.503,0.62,11.0,-6.069,1.0,0.0296,0.47100000000000003,0.0,0.159,0.713,116.59899999999999,audio_features,6bJuuCtXYiwOcKT9s8uRh8,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/tracks/6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/audio-analysis/6bJuuCtXYiwOcKT9s8uRh8,160360.0,4.0
7,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,63,1965-07-05,0.503,0.62,11.0,-6.069,1.0,0.0296,0.47100000000000003,0.0,0.159,0.713,116.59899999999999,audio_features,6bJuuCtXYiwOcKT9s8uRh8,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/tracks/6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/audio-analysis/6bJuuCtXYiwOcKT9s8uRh8,160360.0,4.0
8,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,63,1965-07-05,0.503,0.62,11.0,-6.069,1.0,0.0296,0.47100000000000003,0.0,0.159,0.713,116.59899999999999,audio_features,6bJuuCtXYiwOcKT9s8uRh8,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/tracks/6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/audio-analysis/6bJuuCtXYiwOcKT9s8uRh8,160360.0,4.0
9,Northern Mariana Islands,Northern Mariana Islands,Rosanne Cash,Modern Blue,spotify:track:3UZTN7lF8EVPa5NcnCxjmZ,26,2013-01-01,0.599,0.72,11.0,-5.6739999999999995,1.0,0.0324,0.21,0.00023799999999999998,0.195,0.74,116.928,audio_features,3UZTN7lF8EVPa5NcnCxjmZ,spotify:track:3UZTN7lF8EVPa5NcnCxjmZ,https://api.spotify.com/v1/tracks/3UZTN7lF8EVPa5NcnCxjmZ,https://api.spotify.com/v1/audio-analysis/3UZTN7lF8EVPa5NcnCxjmZ,181420.0,4.0
