,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Ohio,Ohio,The Ohio Players,O-H-I-O,spotify:track:7hOx8FTNJ1LsBnzapL4B3l,5,1995-06-06,0.81,0.7490000000000001,7.0,-10.95,0.0,0.0592,0.154,0.541,0.0842,0.966,124.56,audio_features,7hOx8FTNJ1LsBnzapL4B3l,spotify:track:7hOx8FTNJ1LsBnzapL4B3l,https://api.spotify.com/v1/tracks/7hOx8FTNJ1LsBnzapL4B3l,https://api.spotify.com/v1/audio-analysis/7hOx8FTNJ1LsBnzapL4B3l,188853.0,4.0
1,Ohio,Ohio,Connie Smith,"Cincinnati, Ohio",spotify:track:0ALQjBvuNCz7VFnNxxz7Nb,20,2018-10-19,0.588,0.551,0.0,-11.159,1.0,0.0332,0.759,0.0,0.395,0.895,124.805,audio_features,0ALQjBvuNCz7VFnNxxz7Nb,spotify:track:0ALQjBvuNCz7VFnNxxz7Nb,https://api.spotify.com/v1/tracks/0ALQjBvuNCz7VFnNxxz7Nb,https://api.spotify.com/v1/audio-analysis/0ALQjBvuNCz7VFnNxxz7Nb,131987.0,4.0
2,Ohio,Ohio,Bill Anderson,Cincinnati Ohio,spotify:track:5l72Av74DlDutMisUibCQ1,13,1967-05-22,0.588,0.551,0.0,-11.159,1.0,0.0332,0.759,0.0,0.395,0.895,124.805,audio_features,5l72Av74DlDutMisUibCQ1,spotify:track:5l72Av74DlDutMisUibCQ1,https://api.spotify.com/v1/tracks/5l72Av74DlDutMisUibCQ1,https://api.spotify.com/v1/audio-analysis/5l72Av74DlDutMisUibCQ1,131987.0,4.0
3,Ohio,Ohio,"Neil Young, Crosby, Stills, Nash & Young",Ohio,spotify:track:5Ixo7kVPzQlpdn7VVHET7b,39,2009-05-29,0.444,0.721,0.0,-6.337000000000001,1.0,0.0261,0.225,0.0021100000000000003,0.242,0.785,78.453,audio_features,5Ixo7kVPzQlpdn7VVHET7b,spotify:track:5Ixo7kVPzQlpdn7VVHET7b,https://api.spotify.com/v1/tracks/5Ixo7kVPzQlpdn7VVHET7b,https://api.spotify.com/v1/audio-analysis/5Ixo7kVPzQlpdn7VVHET7b,179973.0,4.0
4,Ohio,Ohio,Neil Young,Ohio,spotify:track:0eFqH9smOTiNNecXMpFIi2,30,2007-03-06,0.48100000000000004,0.509,7.0,-9.996,1.0,0.0476,0.7859999999999999,0.007890000000000001,0.738,0.212,137.471,audio_features,0eFqH9smOTiNNecXMpFIi2,spotify:track:0eFqH9smOTiNNecXMpFIi2,https://api.spotify.com/v1/tracks/0eFqH9smOTiNNecXMpFIi2,https://api.spotify.com/v1/audio-analysis/0eFqH9smOTiNNecXMpFIi2,220027.0,4.0
5,Ohio,Ohio,Tribo de Jah,Roots Rock Reggae,spotify:track:1NjYf2rjqq2Ogp4vPLC1MM,27,2001-04-24,0.718,0.713,11.0,-7.077000000000001,0.0,0.19,0.0616,0.00024900000000000004,0.971,0.778,146.375,audio_features,1NjYf2rjqq2Ogp4vPLC1MM,spotify:track:1NjYf2rjqq2Ogp4vPLC1MM,https://api.spotify.com/v1/tracks/1NjYf2rjqq2Ogp4vPLC1MM,https://api.spotify.com/v1/audio-analysis/1NjYf2rjqq2Ogp4vPLC1MM,249600.0,4.0
6,Ohio,Ohio,Jack Greene,Cincinnati Ohio,spotify:track:3A7TzLEWiDI5EOVWhbOev6,0,2004-11-09,0.718,0.154,1.0,-23.051,1.0,0.941,0.835,6.58e-06,0.11800000000000001,0.5589999999999999,120.43299999999999,audio_features,3A7TzLEWiDI5EOVWhbOev6,spotify:track:3A7TzLEWiDI5EOVWhbOev6,https://api.spotify.com/v1/tracks/3A7TzLEWiDI5EOVWhbOev6,https://api.spotify.com/v1/audio-analysis/3A7TzLEWiDI5EOVWhbOev6,1610600.0,4.0
7,Ohio,Ohio,John Hiatt,All the Lilacs in Ohio,spotify:track:3yH72sTffDCgOsymq5PxF1,14,2001-09-11,0.307,0.938,7.0,-7.697,1.0,0.0922,0.0126,0.00381,0.0702,0.494,215.75,audio_features,3yH72sTffDCgOsymq5PxF1,spotify:track:3yH72sTffDCgOsymq5PxF1,https://api.spotify.com/v1/tracks/3yH72sTffDCgOsymq5PxF1,https://api.spotify.com/v1/audio-analysis/3yH72sTffDCgOsymq5PxF1,217548.0,4.0
8,Ohio,Ohio,Sleepy John Estes,You Shouldn't Do That,spotify:track:6gPwZmVe8cZRx7LTCrAIVx,0,2006,0.747,0.746,3.0,-3.22,0.0,0.10800000000000001,0.953,2e-06,0.324,0.828,96.661,audio_features,6gPwZmVe8cZRx7LTCrAIVx,spotify:track:6gPwZmVe8cZRx7LTCrAIVx,https://api.spotify.com/v1/tracks/6gPwZmVe8cZRx7LTCrAIVx,https://api.spotify.com/v1/audio-analysis/6gPwZmVe8cZRx7LTCrAIVx,154200.0,4.0
9,Ohio,Ohio,Pretenders,My City Was Gone,spotify:track:3CTxcImER2VN4xGVF4mJCV,47,1984,0.75,0.782,9.0,-6.834,1.0,0.0244,0.18100000000000002,0.54,0.142,0.941,107.699,audio_features,3CTxcImER2VN4xGVF4mJCV,spotify:track:3CTxcImER2VN4xGVF4mJCV,https://api.spotify.com/v1/tracks/3CTxcImER2VN4xGVF4mJCV,https://api.spotify.com/v1/audio-analysis/3CTxcImER2VN4xGVF4mJCV,325173.0,4.0
