,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Oklahoma,Oklahoma,Van Zant,Oklahoma,spotify:track:4egvZz4CR6GkyCi9kgMEUm,5,2001-01-01,0.444,0.894,4.0,-6.906000000000001,1.0,0.0502,0.000508,0.0051,0.121,0.344,91.49799999999999,audio_features,4egvZz4CR6GkyCi9kgMEUm,spotify:track:4egvZz4CR6GkyCi9kgMEUm,https://api.spotify.com/v1/tracks/4egvZz4CR6GkyCi9kgMEUm,https://api.spotify.com/v1/audio-analysis/4egvZz4CR6GkyCi9kgMEUm,327600.0,4.0
2,Oklahoma,Oklahoma,Keb' Mo',Oklahoma,spotify:track:6DI1TMsZ2olvD3QHSNG07v,34,2019-06-14,0.737,0.708,11.0,-5.922000000000001,0.0,0.0309,0.43799999999999994,0.0019399999999999999,0.1,0.619,131.995,audio_features,6DI1TMsZ2olvD3QHSNG07v,spotify:track:6DI1TMsZ2olvD3QHSNG07v,https://api.spotify.com/v1/tracks/6DI1TMsZ2olvD3QHSNG07v,https://api.spotify.com/v1/audio-analysis/6DI1TMsZ2olvD3QHSNG07v,293107.0,4.0
3,Oklahoma,Oklahoma,Keb' Mo',Oklahoma,spotify:track:6DI1TMsZ2olvD3QHSNG07v,34,2019-06-14,0.737,0.708,11.0,-5.922000000000001,0.0,0.0309,0.43799999999999994,0.0019399999999999999,0.1,0.619,131.995,audio_features,6DI1TMsZ2olvD3QHSNG07v,spotify:track:6DI1TMsZ2olvD3QHSNG07v,https://api.spotify.com/v1/tracks/6DI1TMsZ2olvD3QHSNG07v,https://api.spotify.com/v1/audio-analysis/6DI1TMsZ2olvD3QHSNG07v,293107.0,4.0
4,Oklahoma,Oklahoma,Charley Pride,Oklahoma Morning,spotify:track:6jDLaDZImoqzUGez8SUJbN,4,1975-11-01,0.612,0.46399999999999997,4.0,-11.751,1.0,0.0282,0.449,0.000162,0.0794,0.84,97.56700000000001,audio_features,6jDLaDZImoqzUGez8SUJbN,spotify:track:6jDLaDZImoqzUGez8SUJbN,https://api.spotify.com/v1/tracks/6jDLaDZImoqzUGez8SUJbN,https://api.spotify.com/v1/audio-analysis/6jDLaDZImoqzUGez8SUJbN,143840.0,4.0
5,Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline,spotify:track:7AY9eem2CjKh2cmSZm8qNJ,26,1995-03-28,0.635,0.74,0.0,-10.594000000000001,1.0,0.0319,0.015,0.0108,0.0857,0.919,108.62899999999999,audio_features,7AY9eem2CjKh2cmSZm8qNJ,spotify:track:7AY9eem2CjKh2cmSZm8qNJ,https://api.spotify.com/v1/tracks/7AY9eem2CjKh2cmSZm8qNJ,https://api.spotify.com/v1/audio-analysis/7AY9eem2CjKh2cmSZm8qNJ,219933.0,4.0
6,Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home,spotify:track:7dqmragLm9YMSqy4UCKO5P,33,2006,0.359,0.735,4.0,-7.135,1.0,0.0585,0.318,8e-06,0.182,0.652,109.45700000000001,audio_features,7dqmragLm9YMSqy4UCKO5P,spotify:track:7dqmragLm9YMSqy4UCKO5P,https://api.spotify.com/v1/tracks/7dqmragLm9YMSqy4UCKO5P,https://api.spotify.com/v1/audio-analysis/7dqmragLm9YMSqy4UCKO5P,361773.0,4.0
8,Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline,spotify:track:7AY9eem2CjKh2cmSZm8qNJ,26,1995-03-28,0.635,0.74,0.0,-10.594000000000001,1.0,0.0319,0.015,0.0108,0.0857,0.919,108.62899999999999,audio_features,7AY9eem2CjKh2cmSZm8qNJ,spotify:track:7AY9eem2CjKh2cmSZm8qNJ,https://api.spotify.com/v1/tracks/7AY9eem2CjKh2cmSZm8qNJ,https://api.spotify.com/v1/audio-analysis/7AY9eem2CjKh2cmSZm8qNJ,219933.0,4.0
10,Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Nights,spotify:track:7p3lUVtypWbG3lJBeA8hnI,1,1981-11-17,0.6579999999999999,0.488,5.0,-9.517999999999999,1.0,0.0326,0.36200000000000004,0.0,0.156,0.498,93.51899999999999,audio_features,7p3lUVtypWbG3lJBeA8hnI,spotify:track:7p3lUVtypWbG3lJBeA8hnI,https://api.spotify.com/v1/tracks/7p3lUVtypWbG3lJBeA8hnI,https://api.spotify.com/v1/audio-analysis/7p3lUVtypWbG3lJBeA8hnI,203000.0,4.0
11,Oklahoma,Oklahoma,Van Zant,Oklahoma,spotify:track:4egvZz4CR6GkyCi9kgMEUm,5,2001-01-01,0.444,0.894,4.0,-6.906000000000001,1.0,0.0502,0.000508,0.0051,0.121,0.344,91.49799999999999,audio_features,4egvZz4CR6GkyCi9kgMEUm,spotify:track:4egvZz4CR6GkyCi9kgMEUm,https://api.spotify.com/v1/tracks/4egvZz4CR6GkyCi9kgMEUm,https://api.spotify.com/v1/audio-analysis/4egvZz4CR6GkyCi9kgMEUm,327600.0,4.0
12,Oklahoma,Oklahoma,Blake Shelton,Oklahoma Christmas,spotify:track:1zhw0SSeMnVSLLAKKZzffH,17,2012-10-02,0.713,0.48100000000000004,11.0,-7.631,1.0,0.0364,0.579,0.0,0.32,0.55,119.874,audio_features,1zhw0SSeMnVSLLAKKZzffH,spotify:track:1zhw0SSeMnVSLLAKKZzffH,https://api.spotify.com/v1/tracks/1zhw0SSeMnVSLLAKKZzffH,https://api.spotify.com/v1/audio-analysis/1zhw0SSeMnVSLLAKKZzffH,208707.0,4.0
