,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Texas,Texas,Lyle Lovett,That's Right (You're Not from Texas),spotify:track:2sp1WWlYt2jr2UarU0gTDq,31,2015-09-04,0.613,0.741,10.0,-12.216,1.0,0.349,0.63,1.57e-06,0.9690000000000001,0.579,135.904,audio_features,2sp1WWlYt2jr2UarU0gTDq,spotify:track:2sp1WWlYt2jr2UarU0gTDq,https://api.spotify.com/v1/tracks/2sp1WWlYt2jr2UarU0gTDq,https://api.spotify.com/v1/audio-analysis/2sp1WWlYt2jr2UarU0gTDq,353058.0,4.0
1,Texas,Texas,Lyle Lovett,That's Right (You're Not fromTexas),spotify:track:2sp1WWlYt2jr2UarU0gTDq,31,2015-09-04,0.613,0.741,10.0,-12.216,1.0,0.349,0.63,1.57e-06,0.9690000000000001,0.579,135.904,audio_features,2sp1WWlYt2jr2UarU0gTDq,spotify:track:2sp1WWlYt2jr2UarU0gTDq,https://api.spotify.com/v1/tracks/2sp1WWlYt2jr2UarU0gTDq,https://api.spotify.com/v1/audio-analysis/2sp1WWlYt2jr2UarU0gTDq,353058.0,4.0
2,Texas,Texas,Gene Autry,Gonna Build A Big Fence Around Texas,spotify:track:7gbhhTcactAb6qwBdmIoiH,2,2001-01-01,0.745,0.376,0.0,-11.218,1.0,0.0375,0.7829999999999999,0.0,0.294,0.97,101.346,audio_features,7gbhhTcactAb6qwBdmIoiH,spotify:track:7gbhhTcactAb6qwBdmIoiH,https://api.spotify.com/v1/tracks/7gbhhTcactAb6qwBdmIoiH,https://api.spotify.com/v1/audio-analysis/7gbhhTcactAb6qwBdmIoiH,115227.0,4.0
3,Texas,Texas,Ray Wylie Hubbard,"Screw You, We're From Texas [Live at American Airlines Center]",spotify:track:4ffCJZ6jUZyjtbAHgKDb1e,25,2017-09-15,0.517,0.9690000000000001,9.0,-6.452999999999999,1.0,0.0906,0.0743,0.0,0.975,0.5660000000000001,117.99700000000001,audio_features,4ffCJZ6jUZyjtbAHgKDb1e,spotify:track:4ffCJZ6jUZyjtbAHgKDb1e,https://api.spotify.com/v1/tracks/4ffCJZ6jUZyjtbAHgKDb1e,https://api.spotify.com/v1/audio-analysis/4ffCJZ6jUZyjtbAHgKDb1e,270000.0,4.0
4,Texas,Texas,Asleep at the Wheel,Boogie Back to Texas,spotify:track:1acHUSdlj0FredmirwVtt9,23,2004-04-04,0.501,0.6859999999999999,7.0,-5.582000000000001,1.0,0.0637,0.085,1.06e-05,0.15,0.43,170.62400000000002,audio_features,1acHUSdlj0FredmirwVtt9,spotify:track:1acHUSdlj0FredmirwVtt9,https://api.spotify.com/v1/tracks/1acHUSdlj0FredmirwVtt9,https://api.spotify.com/v1/audio-analysis/1acHUSdlj0FredmirwVtt9,207600.0,4.0
5,Texas,Texas,Young Thug,Texas Love,spotify:track:3yMHYhw13BwMHJH0QuXu7E,23,2019-09-13,0.436,0.46399999999999997,0.0,-8.274,1.0,0.252,0.111,3.37e-05,0.295,0.268,184.192,audio_features,3yMHYhw13BwMHJH0QuXu7E,spotify:track:3yMHYhw13BwMHJH0QuXu7E,https://api.spotify.com/v1/tracks/3yMHYhw13BwMHJH0QuXu7E,https://api.spotify.com/v1/audio-analysis/3yMHYhw13BwMHJH0QuXu7E,201169.0,5.0
6,Texas,Texas,Paul Wall,Cup Up Top Down,spotify:track:5y65hJuWUGqxSnG76MvMO0,32,2013-08-12,0.72,0.773,2.0,-5.944,1.0,0.0604,0.0776,0.0,0.155,0.457,132.123,audio_features,5y65hJuWUGqxSnG76MvMO0,spotify:track:5y65hJuWUGqxSnG76MvMO0,https://api.spotify.com/v1/tracks/5y65hJuWUGqxSnG76MvMO0,https://api.spotify.com/v1/audio-analysis/5y65hJuWUGqxSnG76MvMO0,349267.0,4.0
7,Texas,Texas,Elvis Presley,Yellow Rose of Texas/The Eyes of Texas,spotify:track:5y0PXkDyefSKQauonvsB4O,29,1968-10-01,0.606,0.40399999999999997,8.0,-13.28,1.0,0.121,0.606,2.13e-06,0.124,0.7879999999999999,119.79299999999999,audio_features,5y0PXkDyefSKQauonvsB4O,spotify:track:5y0PXkDyefSKQauonvsB4O,https://api.spotify.com/v1/tracks/5y0PXkDyefSKQauonvsB4O,https://api.spotify.com/v1/audio-analysis/5y0PXkDyefSKQauonvsB4O,175440.0,4.0
8,Texas,Texas,Ray Wylie Hubbard,"Screw You, We're From Texas",spotify:track:2ixiBzwtbRv5AKSTrU2KVQ,37,2003-04-01,0.603,0.847,9.0,-6.4639999999999995,1.0,0.0718,0.28,1.31e-05,0.373,0.846,137.754,audio_features,2ixiBzwtbRv5AKSTrU2KVQ,spotify:track:2ixiBzwtbRv5AKSTrU2KVQ,https://api.spotify.com/v1/tracks/2ixiBzwtbRv5AKSTrU2KVQ,https://api.spotify.com/v1/audio-analysis/2ixiBzwtbRv5AKSTrU2KVQ,242240.0,4.0
9,Texas,Texas,Elvis Presley,Yellow Rose of Texas,spotify:track:5y0PXkDyefSKQauonvsB4O,29,1968-10-01,0.606,0.40399999999999997,8.0,-13.28,1.0,0.121,0.606,2.13e-06,0.124,0.7879999999999999,119.79299999999999,audio_features,5y0PXkDyefSKQauonvsB4O,spotify:track:5y0PXkDyefSKQauonvsB4O,https://api.spotify.com/v1/tracks/5y0PXkDyefSKQauonvsB4O,https://api.spotify.com/v1/audio-analysis/5y0PXkDyefSKQauonvsB4O,175440.0,4.0
