,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Vermont,Vermont,Frank Sinatra,Moonlight in Vermont,spotify:track:1ymaji9iiLLfPOq91srHeH,54,1958,0.309,0.0887,1.0,-19.458,1.0,0.0342,0.743,4.02e-05,0.18100000000000002,0.237,84.79,audio_features,1ymaji9iiLLfPOq91srHeH,spotify:track:1ymaji9iiLLfPOq91srHeH,https://api.spotify.com/v1/tracks/1ymaji9iiLLfPOq91srHeH,https://api.spotify.com/v1/audio-analysis/1ymaji9iiLLfPOq91srHeH,212907.0,3.0
1,Vermont,Vermont,Oscar Peterson,Moonlight in Vermont,spotify:track:1KVHFwaspL3JpuJTFr8dBP,6,1958-01-01,0.391,0.17600000000000002,7.0,-21.331999999999997,1.0,0.0492,0.94,0.539,0.778,0.32,121.32799999999999,audio_features,1KVHFwaspL3JpuJTFr8dBP,spotify:track:1KVHFwaspL3JpuJTFr8dBP,https://api.spotify.com/v1/tracks/1KVHFwaspL3JpuJTFr8dBP,https://api.spotify.com/v1/audio-analysis/1KVHFwaspL3JpuJTFr8dBP,365200.0,4.0
2,Vermont,Vermont,"Harry James, Margaret Whiting",Moonlight in Vermont,spotify:track:5O6GMBy1yboaIYchg5pIjj,7,2009-11-17,0.325,0.171,3.0,-14.994000000000002,1.0,0.0448,0.99,0.48,0.11,0.125,79.63,audio_features,5O6GMBy1yboaIYchg5pIjj,spotify:track:5O6GMBy1yboaIYchg5pIjj,https://api.spotify.com/v1/tracks/5O6GMBy1yboaIYchg5pIjj,https://api.spotify.com/v1/audio-analysis/5O6GMBy1yboaIYchg5pIjj,199040.0,4.0
3,Vermont,Vermont,"Sammy Davis, Jr.",Moonlight in Vermont,spotify:track:2Mljv3b4CNX2nRZ8uNmHTB,0,2011-08-17,0.564,0.228,3.0,-17.695,1.0,0.0978,0.9009999999999999,0.907,0.135,0.258,125.321,audio_features,2Mljv3b4CNX2nRZ8uNmHTB,spotify:track:2Mljv3b4CNX2nRZ8uNmHTB,https://api.spotify.com/v1/tracks/2Mljv3b4CNX2nRZ8uNmHTB,https://api.spotify.com/v1/audio-analysis/2Mljv3b4CNX2nRZ8uNmHTB,193829.0,4.0
4,Vermont,Vermont,Frank Sinatra,Moonlight in Vermont,spotify:track:1ymaji9iiLLfPOq91srHeH,54,1958,0.309,0.0887,1.0,-19.458,1.0,0.0342,0.743,4.02e-05,0.18100000000000002,0.237,84.79,audio_features,1ymaji9iiLLfPOq91srHeH,spotify:track:1ymaji9iiLLfPOq91srHeH,https://api.spotify.com/v1/tracks/1ymaji9iiLLfPOq91srHeH,https://api.spotify.com/v1/audio-analysis/1ymaji9iiLLfPOq91srHeH,212907.0,3.0
5,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,46,1997-05-20,0.36200000000000004,0.0387,0.0,-19.935,1.0,0.0448,0.9740000000000001,0.000171,0.0902,0.139,170.937,audio_features,6zK83IKs3vP6Uxm2UpYYpo,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/tracks/6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/audio-analysis/6zK83IKs3vP6Uxm2UpYYpo,223000.0,5.0
6,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,46,1997-05-20,0.36200000000000004,0.0387,0.0,-19.935,1.0,0.0448,0.9740000000000001,0.000171,0.0902,0.139,170.937,audio_features,6zK83IKs3vP6Uxm2UpYYpo,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/tracks/6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/audio-analysis/6zK83IKs3vP6Uxm2UpYYpo,223000.0,5.0
7,Vermont,Vermont,"Chet Baker, Gerry Mulligan",Moonlight in Vermont,spotify:track:62awZyAIA9X5rGq9Ub3eEn,8,2008,0.321,0.0763,5.0,-19.186,0.0,0.0388,0.9740000000000001,0.907,0.111,0.48200000000000004,60.6,audio_features,62awZyAIA9X5rGq9Ub3eEn,spotify:track:62awZyAIA9X5rGq9Ub3eEn,https://api.spotify.com/v1/tracks/62awZyAIA9X5rGq9Ub3eEn,https://api.spotify.com/v1/audio-analysis/62awZyAIA9X5rGq9Ub3eEn,250665.0,4.0
8,Vermont,Vermont,Paul Desmond,Moonlight In Vermont,spotify:track:5og5IOWqs9L3T4qpwo9G7v,2,2003-01-01,0.439,0.19399999999999998,2.0,-22.729,1.0,0.11900000000000001,0.7809999999999999,0.861,0.674,0.33799999999999997,136.977,audio_features,5og5IOWqs9L3T4qpwo9G7v,spotify:track:5og5IOWqs9L3T4qpwo9G7v,https://api.spotify.com/v1/tracks/5og5IOWqs9L3T4qpwo9G7v,https://api.spotify.com/v1/audio-analysis/5og5IOWqs9L3T4qpwo9G7v,206498.0,4.0
9,Vermont,Vermont,"Paul Desmond, Gerry Mulligan",Moonlight in Vermont,spotify:track:5og5IOWqs9L3T4qpwo9G7v,2,2003-01-01,0.439,0.19399999999999998,2.0,-22.729,1.0,0.11900000000000001,0.7809999999999999,0.861,0.674,0.33799999999999997,136.977,audio_features,5og5IOWqs9L3T4qpwo9G7v,spotify:track:5og5IOWqs9L3T4qpwo9G7v,https://api.spotify.com/v1/tracks/5og5IOWqs9L3T4qpwo9G7v,https://api.spotify.com/v1/audio-analysis/5og5IOWqs9L3T4qpwo9G7v,206498.0,4.0
10,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,46,1997-05-20,0.36200000000000004,0.0387,0.0,-19.935,1.0,0.0448,0.9740000000000001,0.000171,0.0902,0.139,170.937,audio_features,6zK83IKs3vP6Uxm2UpYYpo,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/tracks/6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/audio-analysis/6zK83IKs3vP6Uxm2UpYYpo,223000.0,5.0
11,Vermont,Vermont,Ella Fitzgerald,Moonlight In Vermont,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,46,1997-05-20,0.36200000000000004,0.0387,0.0,-19.935,1.0,0.0448,0.9740000000000001,0.000171,0.0902,0.139,170.937,audio_features,6zK83IKs3vP6Uxm2UpYYpo,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/tracks/6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/audio-analysis/6zK83IKs3vP6Uxm2UpYYpo,223000.0,5.0
12,Vermont,Vermont,"Ella Fitzgerald, Louis Armstrong",Moonlight in Vermont,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,46,1997-05-20,0.36200000000000004,0.0387,0.0,-19.935,1.0,0.0448,0.9740000000000001,0.000171,0.0902,0.139,170.937,audio_features,6zK83IKs3vP6Uxm2UpYYpo,spotify:track:6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/tracks/6zK83IKs3vP6Uxm2UpYYpo,https://api.spotify.com/v1/audio-analysis/6zK83IKs3vP6Uxm2UpYYpo,223000.0,5.0
