,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Virgin Islands (U.S.),Virgin Islands (U.S.),R. City,Like This,spotify:track:1MfU6mWCehJGaTI0dvW5Kx,26,2015-10-09,0.763,0.602,2.0,-8.133,1.0,0.18,0.0278,0.0,0.121,0.402,85.061,audio_features,1MfU6mWCehJGaTI0dvW5Kx,spotify:track:1MfU6mWCehJGaTI0dvW5Kx,https://api.spotify.com/v1/tracks/1MfU6mWCehJGaTI0dvW5Kx,https://api.spotify.com/v1/audio-analysis/1MfU6mWCehJGaTI0dvW5Kx,170653.0,4.0
3,Virgin Islands (U.S.),Virgin Islands (U.S.),Shaggy,Follow Me,spotify:track:54QIrSIsS9ySnvLzQT2OWU,9,1993-01-01,0.818,0.818,1.0,-8.66,1.0,0.138,0.12300000000000001,0.0,0.349,0.737,178.18599999999998,audio_features,54QIrSIsS9ySnvLzQT2OWU,spotify:track:54QIrSIsS9ySnvLzQT2OWU,https://api.spotify.com/v1/tracks/54QIrSIsS9ySnvLzQT2OWU,https://api.spotify.com/v1/audio-analysis/54QIrSIsS9ySnvLzQT2OWU,238427.0,4.0
4,Virgin Islands (U.S.),Virgin Islands (U.S.),Ghostface Killah,We Made It,spotify:track:76V0gfcS8adKqVUIGGOugP,30,2000-02-08,0.7,0.862,9.0,-6.117000000000001,0.0,0.27899999999999997,0.10800000000000001,0.0,0.377,0.6629999999999999,94.185,audio_features,76V0gfcS8adKqVUIGGOugP,spotify:track:76V0gfcS8adKqVUIGGOugP,https://api.spotify.com/v1/tracks/76V0gfcS8adKqVUIGGOugP,https://api.spotify.com/v1/audio-analysis/76V0gfcS8adKqVUIGGOugP,277933.0,4.0
5,Virgin Islands (U.S.),Virgin Islands (U.S.),Ghostface Killah,We Made It,spotify:track:76V0gfcS8adKqVUIGGOugP,30,2000-02-08,0.7,0.862,9.0,-6.117000000000001,0.0,0.27899999999999997,0.10800000000000001,0.0,0.377,0.6629999999999999,94.185,audio_features,76V0gfcS8adKqVUIGGOugP,spotify:track:76V0gfcS8adKqVUIGGOugP,https://api.spotify.com/v1/tracks/76V0gfcS8adKqVUIGGOugP,https://api.spotify.com/v1/audio-analysis/76V0gfcS8adKqVUIGGOugP,277933.0,4.0
7,Virgin Islands (U.S.),Virgin Islands (U.S.),World Party,Hawaiian Island World,spotify:track:4K8rO92yvxMArnxBYmjZvA,15,1987-03-03,0.5820000000000001,0.723,4.0,-7.835,1.0,0.0284,0.326,6.39e-05,0.0739,0.855,80.217,audio_features,4K8rO92yvxMArnxBYmjZvA,spotify:track:4K8rO92yvxMArnxBYmjZvA,https://api.spotify.com/v1/tracks/4K8rO92yvxMArnxBYmjZvA,https://api.spotify.com/v1/audio-analysis/4K8rO92yvxMArnxBYmjZvA,260133.0,4.0
8,Virgin Islands (U.S.),Virgin Islands (U.S.),Nas,Live Now,spotify:track:0ran26DV4RjKp80Db1Tp25,25,2004-11-30,0.634,0.693,5.0,-9.464,0.0,0.326,0.0863,0.0,0.237,0.0584,73.881,audio_features,0ran26DV4RjKp80Db1Tp25,spotify:track:0ran26DV4RjKp80Db1Tp25,https://api.spotify.com/v1/tracks/0ran26DV4RjKp80Db1Tp25,https://api.spotify.com/v1/audio-analysis/0ran26DV4RjKp80Db1Tp25,268747.0,4.0
9,Virgin Islands (U.S.),Virgin Islands (U.S.),Nas,Live Now,spotify:track:0ran26DV4RjKp80Db1Tp25,25,2004-11-30,0.634,0.693,5.0,-9.464,0.0,0.326,0.0863,0.0,0.237,0.0584,73.881,audio_features,0ran26DV4RjKp80Db1Tp25,spotify:track:0ran26DV4RjKp80Db1Tp25,https://api.spotify.com/v1/tracks/0ran26DV4RjKp80Db1Tp25,https://api.spotify.com/v1/audio-analysis/0ran26DV4RjKp80Db1Tp25,268747.0,4.0
10,Virgin Islands (U.S.),Virgin Islands (U.S.),Azealia Banks,1991,spotify:track:0UTmS76yJwuCpiKEn16uN5,51,2012-05-28,0.853,0.6859999999999999,10.0,-8.314,0.0,0.268,0.0424,2.79e-06,0.0866,0.5379999999999999,122.97,audio_features,0UTmS76yJwuCpiKEn16uN5,spotify:track:0UTmS76yJwuCpiKEn16uN5,https://api.spotify.com/v1/tracks/0UTmS76yJwuCpiKEn16uN5,https://api.spotify.com/v1/audio-analysis/0UTmS76yJwuCpiKEn16uN5,210479.0,4.0
11,Virgin Islands (U.S.),Virgin Islands (U.S.),JIL,Virgin Atlantic,spotify:track:7kUEPtvwwmokIxAdNq7HaU,14,2017-06-09,0.281,0.6859999999999999,8.0,-7.558,1.0,0.0704,0.18600000000000003,0.009729999999999999,0.157,0.135,86.63,audio_features,7kUEPtvwwmokIxAdNq7HaU,spotify:track:7kUEPtvwwmokIxAdNq7HaU,https://api.spotify.com/v1/tracks/7kUEPtvwwmokIxAdNq7HaU,https://api.spotify.com/v1/audio-analysis/7kUEPtvwwmokIxAdNq7HaU,255938.0,4.0
12,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo,spotify:track:3fV2ZnSsxgvXUHshkGCBdR,56,2010-02-08,0.73,0.728,11.0,-3.113,1.0,0.0291,0.19699999999999998,0.0,0.19699999999999998,0.68,130.061,audio_features,3fV2ZnSsxgvXUHshkGCBdR,spotify:track:3fV2ZnSsxgvXUHshkGCBdR,https://api.spotify.com/v1/tracks/3fV2ZnSsxgvXUHshkGCBdR,https://api.spotify.com/v1/audio-analysis/3fV2ZnSsxgvXUHshkGCBdR,194267.0,4.0
