,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Virginia,Virginia,Frank Sinatra,I Went Down to Virginia,spotify:track:0pkocPtEHRULr9CjcQm8yt,3,1993-10-17,0.794,0.0997,1.0,-16.585,1.0,0.0516,0.96,0.0,0.0714,0.624,122.802,audio_features,0pkocPtEHRULr9CjcQm8yt,spotify:track:0pkocPtEHRULr9CjcQm8yt,https://api.spotify.com/v1/tracks/0pkocPtEHRULr9CjcQm8yt,https://api.spotify.com/v1/audio-analysis/0pkocPtEHRULr9CjcQm8yt,188893.0,4.0
1,Virginia,Virginia,Prism,Virginia,spotify:track:7pURiKn9hnv1oUBwnOZioQ,12,1979,0.6759999999999999,0.6809999999999999,11.0,-8.385,1.0,0.0289,0.0301,4.29e-05,0.136,0.777,125.137,audio_features,7pURiKn9hnv1oUBwnOZioQ,spotify:track:7pURiKn9hnv1oUBwnOZioQ,https://api.spotify.com/v1/tracks/7pURiKn9hnv1oUBwnOZioQ,https://api.spotify.com/v1/audio-analysis/7pURiKn9hnv1oUBwnOZioQ,238040.0,4.0
2,Virginia,Virginia,King Virtue,Virginia,spotify:track:1Szz9M7OAnt0Pj5HfHiTQT,17,2018-01-29,0.961,0.266,9.0,-9.77,0.0,0.106,0.10400000000000001,0.0,0.107,0.0776,115.03299999999999,audio_features,1Szz9M7OAnt0Pj5HfHiTQT,spotify:track:1Szz9M7OAnt0Pj5HfHiTQT,https://api.spotify.com/v1/tracks/1Szz9M7OAnt0Pj5HfHiTQT,https://api.spotify.com/v1/audio-analysis/1Szz9M7OAnt0Pj5HfHiTQT,123820.0,4.0
3,Virginia,Virginia,Waylon Jennings,"Yes, Virginia",spotify:track:0xA7xFAjOzzqueH3yFJyqP,10,1970-01-01,0.589,0.433,0.0,-12.039000000000001,1.0,0.028999999999999998,0.7879999999999999,0.0,0.156,0.8009999999999999,107.544,audio_features,0xA7xFAjOzzqueH3yFJyqP,spotify:track:0xA7xFAjOzzqueH3yFJyqP,https://api.spotify.com/v1/tracks/0xA7xFAjOzzqueH3yFJyqP,https://api.spotify.com/v1/audio-analysis/0xA7xFAjOzzqueH3yFJyqP,156747.0,4.0
4,Virginia,Virginia,Rod Stewart,Leave Virginia Alone,spotify:track:0mxf00t6M7TpfOtLG9aPvL,20,1995-05-26,0.7709999999999999,0.616,1.0,-7.837000000000001,1.0,0.026000000000000002,0.389,1.61e-06,0.0621,0.9009999999999999,119.825,audio_features,0mxf00t6M7TpfOtLG9aPvL,spotify:track:0mxf00t6M7TpfOtLG9aPvL,https://api.spotify.com/v1/tracks/0mxf00t6M7TpfOtLG9aPvL,https://api.spotify.com/v1/audio-analysis/0mxf00t6M7TpfOtLG9aPvL,247400.0,4.0
5,Virginia,Virginia,Phil Ochs,Hills of West Virginia,spotify:track:0OvW5WjO0lnOKoPmkg92no,16,1965,0.519,0.18,2.0,-16.123,1.0,0.0546,0.863,0.0,0.10800000000000001,0.45299999999999996,106.84299999999999,audio_features,0OvW5WjO0lnOKoPmkg92no,spotify:track:0OvW5WjO0lnOKoPmkg92no,https://api.spotify.com/v1/tracks/0OvW5WjO0lnOKoPmkg92no,https://api.spotify.com/v1/audio-analysis/0OvW5WjO0lnOKoPmkg92no,201000.0,3.0
7,Virginia,Virginia,Clipse,Virginia,spotify:track:7dpFJmdFiahlgzzEmgUwoN,40,2002-04-01,0.643,0.878,11.0,-2.7289999999999996,0.0,0.341,0.0589,0.0,0.626,0.613,159.709,audio_features,7dpFJmdFiahlgzzEmgUwoN,spotify:track:7dpFJmdFiahlgzzEmgUwoN,https://api.spotify.com/v1/tracks/7dpFJmdFiahlgzzEmgUwoN,https://api.spotify.com/v1/audio-analysis/7dpFJmdFiahlgzzEmgUwoN,237440.0,4.0
8,Virginia,Virginia,The Carter Family,My Clinch Mountain Home,spotify:track:0NaUyTNqI4ojDNa0UhF0JZ,16,2013-11-19,0.573,0.21899999999999997,8.0,-13.777000000000001,1.0,0.031,0.9620000000000001,3.71e-06,0.125,0.455,104.869,audio_features,0NaUyTNqI4ojDNa0UhF0JZ,spotify:track:0NaUyTNqI4ojDNa0UhF0JZ,https://api.spotify.com/v1/tracks/0NaUyTNqI4ojDNa0UhF0JZ,https://api.spotify.com/v1/audio-analysis/0NaUyTNqI4ojDNa0UhF0JZ,188120.0,4.0
9,Virginia,Virginia,Old Crow Medicine Show,Carry Me Back to Virginia,spotify:track:3PKCDlvqRcVHEg5fys4l7g,44,2013-06-25,0.402,0.7040000000000001,7.0,-5.638,1.0,0.0474,0.42700000000000005,0.00022200000000000003,0.24100000000000002,0.639,147.744,audio_features,3PKCDlvqRcVHEg5fys4l7g,spotify:track:3PKCDlvqRcVHEg5fys4l7g,https://api.spotify.com/v1/tracks/3PKCDlvqRcVHEg5fys4l7g,https://api.spotify.com/v1/audio-analysis/3PKCDlvqRcVHEg5fys4l7g,294643.0,4.0
10,Virginia,Virginia,Jimmie's Chicken Shack,Virginia County Line,spotify:track:7aiVyLj1QnoqafX3Plt1Sg,5,1999-02-23,0.49700000000000005,0.847,1.0,-9.969,0.0,0.0578,0.0233,2.33e-05,0.0562,0.9470000000000001,165.952,audio_features,7aiVyLj1QnoqafX3Plt1Sg,spotify:track:7aiVyLj1QnoqafX3Plt1Sg,https://api.spotify.com/v1/tracks/7aiVyLj1QnoqafX3Plt1Sg,https://api.spotify.com/v1/audio-analysis/7aiVyLj1QnoqafX3Plt1Sg,171467.0,4.0
11,Virginia,Virginia,Pat Green,Virginia Belle,spotify:track:0IrjF0oFYCIroroVSIL65q,9,2006-08-22,0.57,0.8290000000000001,0.0,-3.002,1.0,0.0293,0.0432,0.0,0.866,0.669,122.944,audio_features,0IrjF0oFYCIroroVSIL65q,spotify:track:0IrjF0oFYCIroroVSIL65q,https://api.spotify.com/v1/tracks/0IrjF0oFYCIroroVSIL65q,https://api.spotify.com/v1/audio-analysis/0IrjF0oFYCIroroVSIL65q,196907.0,4.0
12,Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads",spotify:track:5b8x2tQCEFgjc7iwPc8TGI,25,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0
13,Virginia,Virginia,Jerry Lee Lewis,Carry Me Back to Old Virginia,spotify:track:5RlB3dA2tPAY4sRAwBKHKW,7,1970-01-01,0.512,0.9229999999999999,7.0,-6.821000000000001,1.0,0.0736,0.465,1.21e-05,0.565,0.889,154.97299999999998,audio_features,5RlB3dA2tPAY4sRAwBKHKW,spotify:track:5RlB3dA2tPAY4sRAwBKHKW,https://api.spotify.com/v1/tracks/5RlB3dA2tPAY4sRAwBKHKW,https://api.spotify.com/v1/audio-analysis/5RlB3dA2tPAY4sRAwBKHKW,139000.0,4.0
15,Virginia,Virginia,Marty Robbins,Oh Virginia,spotify:track:3r2oCpNkhcWQ2cZer36DR8,25,1996-09-13,0.41100000000000003,0.245,2.0,-12.5,1.0,0.054000000000000006,0.9279999999999999,1.51e-06,0.131,0.424,202.855,audio_features,3r2oCpNkhcWQ2cZer36DR8,spotify:track:3r2oCpNkhcWQ2cZer36DR8,https://api.spotify.com/v1/tracks/3r2oCpNkhcWQ2cZer36DR8,https://api.spotify.com/v1/audio-analysis/3r2oCpNkhcWQ2cZer36DR8,224347.0,4.0
16,Virginia,Virginia,Olivia Newton-John,Take Me Home Country Roads,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,25,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0
17,Virginia,Virginia,Old Crow Medicine Show,New Virginia Creeper,spotify:track:7gtfwg4hokBBQA2ETApINV,28,2006-08-29,0.631,0.7959999999999999,7.0,-4.511,1.0,0.0734,0.684,2.11e-06,0.275,0.96,163.415,audio_features,7gtfwg4hokBBQA2ETApINV,spotify:track:7gtfwg4hokBBQA2ETApINV,https://api.spotify.com/v1/tracks/7gtfwg4hokBBQA2ETApINV,https://api.spotify.com/v1/audio-analysis/7gtfwg4hokBBQA2ETApINV,141387.0,4.0
18,Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads",spotify:track:5b8x2tQCEFgjc7iwPc8TGI,25,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0
19,Virginia,Virginia,Corduroy Kid,Too Late Virginia,spotify:track:5eXFT0RC7Mi69PQ13qYTCq,0,2012-08-01,0.8109999999999999,0.39399999999999996,3.0,-8.91,0.0,0.0915,0.188,0.0212,0.26899999999999996,0.657,130.116,audio_features,5eXFT0RC7Mi69PQ13qYTCq,spotify:track:5eXFT0RC7Mi69PQ13qYTCq,https://api.spotify.com/v1/tracks/5eXFT0RC7Mi69PQ13qYTCq,https://api.spotify.com/v1/audio-analysis/5eXFT0RC7Mi69PQ13qYTCq,256733.0,4.0
20,Virginia,Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0
21,Virginia,Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0
22,Virginia,Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0
23,Virginia,Virginia,Miranda Lambert,Virginia Bluebell,spotify:track:6Th15XMQ1UIuPrE2y3qKav,34,2009-09-24,0.423,0.63,11.0,-4.953,1.0,0.0258,0.0884,1.27e-05,0.142,0.21600000000000003,142.11,audio_features,6Th15XMQ1UIuPrE2y3qKav,spotify:track:6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/tracks/6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/audio-analysis/6Th15XMQ1UIuPrE2y3qKav,226600.0,4.0
24,Virginia,Virginia,The Jeevas,Virginia,spotify:track:0lziUaJJUAZAZtGdzHhE3T,38,2016-10-07,0.254,0.945,5.0,-5.138,1.0,0.10099999999999999,0.102,0.21,0.251,0.684,90.443,audio_features,0lziUaJJUAZAZtGdzHhE3T,spotify:track:0lziUaJJUAZAZtGdzHhE3T,https://api.spotify.com/v1/tracks/0lziUaJJUAZAZtGdzHhE3T,https://api.spotify.com/v1/audio-analysis/0lziUaJJUAZAZtGdzHhE3T,394867.0,4.0
25,Virginia,Virginia,Daniel Johnston,Wild West Virginia,spotify:track:5WeKep4cLMI4V8iaYeqa2C,12,1980,0.391,0.541,0.0,-9.814,1.0,0.11,0.956,0.00541,0.322,0.727,86.994,audio_features,5WeKep4cLMI4V8iaYeqa2C,spotify:track:5WeKep4cLMI4V8iaYeqa2C,https://api.spotify.com/v1/tracks/5WeKep4cLMI4V8iaYeqa2C,https://api.spotify.com/v1/audio-analysis/5WeKep4cLMI4V8iaYeqa2C,159800.0,3.0
26,Virginia,Virginia,Miranda Lambert,Virginia Bluebell,spotify:track:6Th15XMQ1UIuPrE2y3qKav,34,2009-09-24,0.423,0.63,11.0,-4.953,1.0,0.0258,0.0884,1.27e-05,0.142,0.21600000000000003,142.11,audio_features,6Th15XMQ1UIuPrE2y3qKav,spotify:track:6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/tracks/6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/audio-analysis/6Th15XMQ1UIuPrE2y3qKav,226600.0,4.0
27,Virginia,Virginia,Big Wreck,West Virginia,spotify:track:4nTy6tPOA9mxVauIqaH4rC,16,2001-06-05,0.428,0.9690000000000001,4.0,-3.932,1.0,0.157,0.0297,0.000679,0.0641,0.136,110.836,audio_features,4nTy6tPOA9mxVauIqaH4rC,spotify:track:4nTy6tPOA9mxVauIqaH4rC,https://api.spotify.com/v1/tracks/4nTy6tPOA9mxVauIqaH4rC,https://api.spotify.com/v1/audio-analysis/4nTy6tPOA9mxVauIqaH4rC,282267.0,4.0
28,Virginia,Virginia,Marissa Nadler,Virginia,spotify:track:1OUqAexO38P63H9wPt7Qz7,9,2004,0.285,0.18100000000000002,9.0,-21.109,1.0,0.0333,0.94,0.0874,0.106,0.11800000000000001,150.86,audio_features,1OUqAexO38P63H9wPt7Qz7,spotify:track:1OUqAexO38P63H9wPt7Qz7,https://api.spotify.com/v1/tracks/1OUqAexO38P63H9wPt7Qz7,https://api.spotify.com/v1/audio-analysis/1OUqAexO38P63H9wPt7Qz7,159387.0,3.0
29,Virginia,Virginia,Clutch,Son of Virginia,spotify:track:7wygMtZZfWatJnD5NkPALn,35,2015-10-02,0.37,0.789,9.0,-7.734,1.0,0.0547,0.14,0.00168,0.259,0.0909,75.634,audio_features,7wygMtZZfWatJnD5NkPALn,spotify:track:7wygMtZZfWatJnD5NkPALn,https://api.spotify.com/v1/tracks/7wygMtZZfWatJnD5NkPALn,https://api.spotify.com/v1/audio-analysis/7wygMtZZfWatJnD5NkPALn,435358.0,4.0
30,Virginia,Virginia,Mike Aiken,Virginia,spotify:track:4MogU2OnQLWsmrRxQS9crj,0,2013-04-22,0.6409999999999999,0.73,7.0,-6.5889999999999995,1.0,0.0271,0.0222,2.4e-05,0.354,0.44299999999999995,75.994,audio_features,4MogU2OnQLWsmrRxQS9crj,spotify:track:4MogU2OnQLWsmrRxQS9crj,https://api.spotify.com/v1/tracks/4MogU2OnQLWsmrRxQS9crj,https://api.spotify.com/v1/audio-analysis/4MogU2OnQLWsmrRxQS9crj,190173.0,4.0
31,Virginia,Virginia,Clipse,Famlay Freestyle,spotify:track:4Q59zRTLtgIPQy7AVdoXk2,26,2002-04-01,0.861,0.9490000000000001,1.0,-3.4010000000000002,1.0,0.261,0.0109,5.73e-06,0.32899999999999996,0.831,164.015,audio_features,4Q59zRTLtgIPQy7AVdoXk2,spotify:track:4Q59zRTLtgIPQy7AVdoXk2,https://api.spotify.com/v1/tracks/4Q59zRTLtgIPQy7AVdoXk2,https://api.spotify.com/v1/audio-analysis/4Q59zRTLtgIPQy7AVdoXk2,117200.0,4.0
32,Virginia,Virginia,The Rembrandts,Sweet Virginia,spotify:track:3kaXuT8wcPwvsUIHpIqlpS,4,1992-08-25,0.547,0.795,1.0,-6.808,0.0,0.0326,0.0908,4.5799999999999995e-05,0.0647,0.47,90.65899999999999,audio_features,3kaXuT8wcPwvsUIHpIqlpS,spotify:track:3kaXuT8wcPwvsUIHpIqlpS,https://api.spotify.com/v1/tracks/3kaXuT8wcPwvsUIHpIqlpS,https://api.spotify.com/v1/audio-analysis/3kaXuT8wcPwvsUIHpIqlpS,247227.0,4.0
33,Virginia,Virginia,Gin Blossoms,Virginia,spotify:track:5AvRmtCIvU3fe68RqWLhSy,14,1996-01-01,0.45399999999999996,0.9179999999999999,4.0,-8.252,1.0,0.0646,0.0014199999999999998,0.0,0.11599999999999999,0.6409999999999999,146.747,audio_features,5AvRmtCIvU3fe68RqWLhSy,spotify:track:5AvRmtCIvU3fe68RqWLhSy,https://api.spotify.com/v1/tracks/5AvRmtCIvU3fe68RqWLhSy,https://api.spotify.com/v1/audio-analysis/5AvRmtCIvU3fe68RqWLhSy,242240.0,4.0
34,Virginia,Virginia,Johnny Reid,Here I Am,spotify:track:6hl5OrVaqjwWvbz2aSrqe2,0,1991,0.731,0.258,0.0,-16.005,1.0,0.0461,0.503,0.134,0.12300000000000001,0.515,106.79,audio_features,6hl5OrVaqjwWvbz2aSrqe2,spotify:track:6hl5OrVaqjwWvbz2aSrqe2,https://api.spotify.com/v1/tracks/6hl5OrVaqjwWvbz2aSrqe2,https://api.spotify.com/v1/audio-analysis/6hl5OrVaqjwWvbz2aSrqe2,459267.0,4.0
35,Virginia,Virginia,Hermes House Band,Country Roads,spotify:track:6BKOBYeTXMQtMRshLprSbS,63,2015-12-02,0.35700000000000004,0.99,2.0,-4.914,1.0,0.354,0.27899999999999997,0.0,0.604,0.599,196.988,audio_features,6BKOBYeTXMQtMRshLprSbS,spotify:track:6BKOBYeTXMQtMRshLprSbS,https://api.spotify.com/v1/tracks/6BKOBYeTXMQtMRshLprSbS,https://api.spotify.com/v1/audio-analysis/6BKOBYeTXMQtMRshLprSbS,193453.0,4.0
36,Virginia,Virginia,Alan Menken,The Virginia Company,spotify:track:6NWI67PReLBT9JF3lRISIx,2,1996-07-01,0.838,0.299,2.0,-10.82,1.0,0.0628,0.674,0.000535,0.081,0.7709999999999999,81.90100000000001,audio_features,6NWI67PReLBT9JF3lRISIx,spotify:track:6NWI67PReLBT9JF3lRISIx,https://api.spotify.com/v1/tracks/6NWI67PReLBT9JF3lRISIx,https://api.spotify.com/v1/audio-analysis/6NWI67PReLBT9JF3lRISIx,260027.0,4.0
37,Virginia,Virginia,Graham Parker,Disney's America,spotify:track:2LawzxhFoCyaMBlSlIqvrQ,1,1995,0.55,0.32899999999999996,1.0,-12.585999999999999,1.0,0.0266,0.71,2.9199999999999998e-05,0.10099999999999999,0.26899999999999996,97.24700000000001,audio_features,2LawzxhFoCyaMBlSlIqvrQ,spotify:track:2LawzxhFoCyaMBlSlIqvrQ,https://api.spotify.com/v1/tracks/2LawzxhFoCyaMBlSlIqvrQ,https://api.spotify.com/v1/audio-analysis/2LawzxhFoCyaMBlSlIqvrQ,287307.0,4.0
38,Virginia,Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country",spotify:track:0YdcBZ6CdpD3ycT4Ju6CNM,36,2020-05-22,0.209,0.8340000000000001,9.0,-4.743,1.0,0.0757,0.00884,0.276,0.285,0.759,205.132,audio_features,0YdcBZ6CdpD3ycT4Ju6CNM,spotify:track:0YdcBZ6CdpD3ycT4Ju6CNM,https://api.spotify.com/v1/tracks/0YdcBZ6CdpD3ycT4Ju6CNM,https://api.spotify.com/v1/audio-analysis/0YdcBZ6CdpD3ycT4Ju6CNM,143411.0,4.0
39,Virginia,Virginia,"Gary ""U.S."" Bonds",Not Me,spotify:track:7rRaW36LSFpojlt6Euejdz,8,1998-01-01,0.359,0.807,1.0,-7.154,1.0,0.215,0.486,0.0,0.107,0.872,164.701,audio_features,7rRaW36LSFpojlt6Euejdz,spotify:track:7rRaW36LSFpojlt6Euejdz,https://api.spotify.com/v1/tracks/7rRaW36LSFpojlt6Euejdz,https://api.spotify.com/v1/audio-analysis/7rRaW36LSFpojlt6Euejdz,157667.0,4.0
