,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Wisconsin,Wisconsin,Tim Angsten,A Girl from Wisconsin,spotify:track:6vqeBsBC2RBAPp4AyPNwEb,1,2018-06-17,0.527,0.616,9.0,-9.495,1.0,0.0365,0.152,0.0,0.139,0.365,159.798,audio_features,6vqeBsBC2RBAPp4AyPNwEb,spotify:track:6vqeBsBC2RBAPp4AyPNwEb,https://api.spotify.com/v1/tracks/6vqeBsBC2RBAPp4AyPNwEb,https://api.spotify.com/v1/audio-analysis/6vqeBsBC2RBAPp4AyPNwEb,198750.0,3.0
1,Wisconsin,Wisconsin,Joan Baez,The River in the Pines,spotify:track:63fsRxSx8FXyoF52RUuwHg,19,1965,0.51,0.0213,11.0,-20.72,1.0,0.037000000000000005,0.9359999999999999,0.0,0.10800000000000001,0.322,142.149,audio_features,63fsRxSx8FXyoF52RUuwHg,spotify:track:63fsRxSx8FXyoF52RUuwHg,https://api.spotify.com/v1/tracks/63fsRxSx8FXyoF52RUuwHg,https://api.spotify.com/v1/audio-analysis/63fsRxSx8FXyoF52RUuwHg,218093.0,3.0
2,Wisconsin,Wisconsin,Lil Wayne,Can't Believe It,spotify:track:3xQCXDHNJXSVxECjTJCHFu,59,2008-11-11,0.648,0.516,10.0,-8.869,0.0,0.049,0.00179,0.0,0.0772,0.0756,89.82799999999999,audio_features,3xQCXDHNJXSVxECjTJCHFu,spotify:track:3xQCXDHNJXSVxECjTJCHFu,https://api.spotify.com/v1/tracks/3xQCXDHNJXSVxECjTJCHFu,https://api.spotify.com/v1/audio-analysis/3xQCXDHNJXSVxECjTJCHFu,273827.0,4.0
3,Wisconsin,Wisconsin,T-Pain,Can't Believe It,spotify:track:3xQCXDHNJXSVxECjTJCHFu,59,2008-11-11,0.648,0.516,10.0,-8.869,0.0,0.049,0.00179,0.0,0.0772,0.0756,89.82799999999999,audio_features,3xQCXDHNJXSVxECjTJCHFu,spotify:track:3xQCXDHNJXSVxECjTJCHFu,https://api.spotify.com/v1/tracks/3xQCXDHNJXSVxECjTJCHFu,https://api.spotify.com/v1/audio-analysis/3xQCXDHNJXSVxECjTJCHFu,273827.0,4.0
4,Wisconsin,Wisconsin,Art Paul Schlosser,Madison,spotify:track:2eGSGAikfSOqFMfQCLF6Z7,0,1996-01-01,0.5539999999999999,0.303,7.0,-8.734,1.0,0.0365,0.871,1.29e-06,0.109,0.308,135.786,audio_features,2eGSGAikfSOqFMfQCLF6Z7,spotify:track:2eGSGAikfSOqFMfQCLF6Z7,https://api.spotify.com/v1/tracks/2eGSGAikfSOqFMfQCLF6Z7,https://api.spotify.com/v1/audio-analysis/2eGSGAikfSOqFMfQCLF6Z7,236333.0,4.0
5,Wisconsin,Wisconsin,The Velvet Underground,The Gift,spotify:track:6xst1yRHJ2IkMQE0ebeU11,33,1968-01-30,0.5429999999999999,0.568,0.0,-11.922,1.0,0.0849,0.122,0.59,0.27399999999999997,0.65,112.649,audio_features,6xst1yRHJ2IkMQE0ebeU11,spotify:track:6xst1yRHJ2IkMQE0ebeU11,https://api.spotify.com/v1/tracks/6xst1yRHJ2IkMQE0ebeU11,https://api.spotify.com/v1/audio-analysis/6xst1yRHJ2IkMQE0ebeU11,499747.0,4.0
6,Wisconsin,Wisconsin,Static-X,Wisconsin Death Trip,spotify:track:5ctRbSANfjfqVeNGPI7oau,43,1999-03-19,0.39799999999999996,0.96,5.0,-4.841,1.0,0.0593,0.0018800000000000002,0.0208,0.14800000000000002,0.682,129.944,audio_features,5ctRbSANfjfqVeNGPI7oau,spotify:track:5ctRbSANfjfqVeNGPI7oau,https://api.spotify.com/v1/tracks/5ctRbSANfjfqVeNGPI7oau,https://api.spotify.com/v1/audio-analysis/5ctRbSANfjfqVeNGPI7oau,189293.0,4.0
7,Wisconsin,Wisconsin,David Allan Coe,Juanita,spotify:track:3jzFEV0NC8IeQUEnGz1oMi,12,1981-08-01,0.831,0.657,4.0,-10.193,1.0,0.05,0.514,0.0,0.21600000000000003,0.856,111.839,audio_features,3jzFEV0NC8IeQUEnGz1oMi,spotify:track:3jzFEV0NC8IeQUEnGz1oMi,https://api.spotify.com/v1/tracks/3jzFEV0NC8IeQUEnGz1oMi,https://api.spotify.com/v1/audio-analysis/3jzFEV0NC8IeQUEnGz1oMi,210000.0,4.0
8,Wisconsin,Wisconsin,Mohan Zhang,Promontory,spotify:track:2VuoAqWKuWs7vZ6h8QZh6V,0,2015-10-23,0.614,0.40299999999999997,10.0,-12.18,1.0,0.0272,0.473,0.0,0.147,0.308,96.03299999999999,audio_features,2VuoAqWKuWs7vZ6h8QZh6V,spotify:track:2VuoAqWKuWs7vZ6h8QZh6V,https://api.spotify.com/v1/tracks/2VuoAqWKuWs7vZ6h8QZh6V,https://api.spotify.com/v1/audio-analysis/2VuoAqWKuWs7vZ6h8QZh6V,238900.0,4.0
9,Wisconsin,Wisconsin,Esperanza Norteña,Evencio Delgado,spotify:track:0azqoPtHb0OOriBpokWE4Z,10,2020-05-15,0.55,0.858,0.0,-3.2889999999999997,1.0,0.0374,0.243,1.27e-06,0.5589999999999999,0.904,126.866,audio_features,0azqoPtHb0OOriBpokWE4Z,spotify:track:0azqoPtHb0OOriBpokWE4Z,https://api.spotify.com/v1/tracks/0azqoPtHb0OOriBpokWE4Z,https://api.spotify.com/v1/audio-analysis/0azqoPtHb0OOriBpokWE4Z,225142.0,4.0
