,city,state,artist,song
0,Alaska,Alaska,John Denver,Alaska and Me
1,Alaska,Alaska,John Denver,Alaska & Me
2,Alaska,Alaska,Shawn Mullins,Talkin' Goin' to Alaska Blues
3,Alaska,Alaska,Hank Snow,When It's Springtime in Alaska (It's Forty Below)
4,Alaska,Alaska,Johnny Horton,North to Alaska
5,Alaska,Alaska,John Denver,American Child
6,Alaska,Alaska,John Denver,Postcard from Paris
7,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska (It's Forty Below)
8,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska
9,Alaska,Alaska,Lou Reed,Caroline Says II
10,Alaska,Alaska,The Velvet Underground,Stephanie Says
11,Alaska,Alaska,The Velvet Underground,Stephanie Says
12,Alaska,Alaska,Archers of Loaf,Distance Comes in Droves
13,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska (It's Forty Below)
14,Alaska,Alaska,Casper,Alaska
15,Alaska,Alaska,Johnny Horton,North to Alaska
16,Alaska,Alaska,Jerry Lee Lewis,North to Alaska
17,Alaska,Alaska,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track]
18,Alaska,Alaska,Bee Gees,Road to Alaska
19,Alaska,Alaska,Johnny Horton,North to Alaska [From North to Alaska]
20,Alaska,Alaska,Frankie Laine,North To Alaska
21,Alaska,Alaska,Johnny Horton,North to Alaska
22,Alaska,Alaska,Brenner,Richtung Alaska
23,Alaska,Alaska,Casper,Alaska
24,Alaska,Alaska,Johnny Horton,North to Alaska
25,Alaska,Alaska,"Hank Williams, Jr.",North to Alaska
26,Alaska,Alaska,Johnny Cash,North to Alaska
27,Alaska,Alaska,Dan Bern,Alaska Highway
28,Alaska,Alaska,Marie Bothmer,Alaska
29,Alaska,Alaska,Johnny Horton,North to Alaska
30,Alaska,Alaska,Dwight Yoakam,North to Alaska
31,Alaska,Alaska,NRBQ,North to Alaska [Live]
32,Alaska,Alaska,Ted Hawkins,North to Alaska
33,Alaska,Alaska,Human Drama,Caroline Says II
34,Alaska,Alaska,Ellis Paul,Alice's Champagne Palace
35,Alaska,Alaska,Eyes Adrift,Alaska
36,Alaska,Alaska,Elif,ALASKA
37,Alaska,Alaska,Johnny Cash,When It's Springtime in Alaska (It's Forty Below)
38,Alaska,Alaska,Johnny Cash,When It's Springtime in Alaska (It's Forty Below) [Mono Version]
39,Alaska,Alaska,Claude King,North to Alaska
40,Alaska,Alaska,Johnnie Allan,South to Louisiana (North to Alaska)
41,Alaska,Alaska,Rose Maddox,North to Alaska
42,Alaska,Alaska,Relative Ways,Alaska
43,Alaska,Alaska,Mozart La Para,Cola
44,Alaska,Alaska,Lady & Bird,Stephanie Says
45,Alaska,Alaska,Boxcar Willie,North to Alaska
46,Alaska,Alaska,Amanda Palmer,Blake Says
47,Alaska,Alaska,"Millyz, Doble Porción",Alaska
48,Alaska,Alaska,Banks,Alaska
49,Alaska,Alaska,Casper,Alaska
50,Alaska,Alaska,Mantra,Alaska
51,Alaska,Alaska,Darrell McCall,North to Alaska
52,Alaska,Alaska,Softies,Alaska
53,Alaska,Alaska,Big Joe Duskin,North to Alaska
54,Alaska,Alaska,Jack Cooke,North to Alaska
55,Alaska,Alaska,Unlinked Artist,North to Alaska
56,Alaska,Alaska,Little Hurt,Alaska
57,Alaska,Alaska,Connie & Babe,North to Alaska
58,Alaska,Alaska,Wee Willie Harris,North To Alaska
59,Alaska,Alaska,David Houston,My Elusive Dreams
60,Alaska,Alaska,Tammy Wynette,My Elusive Dreams
61,Alaska,Alaska,Peter Gabriel,Excuse Me
62,Alaska,Alaska,George Jones,Saginaw Michigan
63,Alaska,Alaska,Bobby Bare,Saginaw Michigan
64,Alaska,Alaska,Charlie Rich,On My Knees
65,Alaska,Alaska,Perry Como,Delaware
66,Alaska,Alaska,George Jones,My Elusive Dreams
67,Alaska,Alaska,George Jones,My Elusive Dreams
