,city,state,artist,song
0,American Samoa,American Samoa,Clutch,How to Shake Hands
1,American Samoa,American Samoa,Jedi Mind Tricks,Shadow Business
2,Pago Pago,American Samoa,Jake La Furia,Zombie
3,Pago Pago,American Samoa,Santi DJ,"El Cubanito, Pt. 2"
4,Pago Pago,American Samoa,Santi DJ,El Cubanito
5,Pago Pago,American Samoa,Banda Corona del Rey,Mañana Te Pago
6,Pago Pago,American Samoa,Japanese,Govana
7,Pago Pago,American Samoa,Atahualpa Yupanqui,Cantor del Sur
8,Pago Pago,American Samoa,Sharlene,Yo Pago Lo Mío
9,Pago Pago,American Samoa,R.Cela,Si Algo Te Debo (Radio Version)
10,Pago Pago,American Samoa,Biagio Antonacci,Pago Il Conto
11,Pago Pago,American Samoa,Bugo,Che Ci Vuole
12,Pago Pago,American Samoa,Speranza,Modalità (feat. Barracano)
13,Pago Pago,American Samoa,El Canto del Loco,Fin de Semana
14,Pago Pago,American Samoa,Puerto Candelaria,Pegatina
15,Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera de Las Piedras
16,Pago Pago,American Samoa,Alex Sant'Anna,Cansado
17,Pago Pago,American Samoa,Sofiane,Ça bicrave la mort
18,Pago Pago,American Samoa,Atahualpa Yupanqui,Chacarera De Las Peidras
19,Pago Pago,American Samoa,Marina Noélia,Encontro
20,Pago Pago,American Samoa,Trabalhadores do Comércio,Chamem A Polícia
21,Pago Pago,American Samoa,Grupo Vocal Argentino,Añorando
22,Pago Pago,American Samoa,"Duki, Khea, C.R.O., Lucho SSJ",Jimmy Fallon [Remix]
23,Pago Pago,American Samoa,Marcelo Nova,Brincando Com A Vida Alheia
24,Pago Pago,American Samoa,"MC Igu, Klyn, Derek",Nicole Bahls
25,Pago Pago,American Samoa,Fabrizio De André,Canzone del Padre
26,Pago Pago,American Samoa,Ozuna,Yo Tengo Una Gata
27,Pago Pago,American Samoa,Grupo Niche,Verdades Que Saben
28,Pago Pago,American Samoa,Noyz Narcos,Street Advisor
29,Pago Pago,American Samoa,Salomé Camargo,Karma
30,Pago Pago,American Samoa,Los Rude Boys,Despertador
31,Pago Pago,American Samoa,Messiah,No Gratis
32,Pago Pago,American Samoa,Sergio Dalma,La Mujer de Mi Vida
33,Pago Pago,American Samoa,"MC Kevin, MC Menor Da VG, MC Rodolfinho, Mc Don Juan, DJ Pedro, MC Ryan SP",Set do DJ Pedro 2.0
34,Pago Pago,American Samoa,The Andrè,Canzone Dell'Affitto
35,Pago Pago,American Samoa,Pole.,Camerino
36,Pago Pago,American Samoa,J-Smoke BBRG,Villano
37,Pago Pago,American Samoa,"VillaBanks, Linch",Chupa Chupa
38,Pago Pago,American Samoa,Zucchero,Un' Orgia Di Anime Perse
39,Pago Pago,American Samoa,Ligabue,Male Non Farà
40,Pago Pago,American Samoa,"BK', Drik Barbosa",Correria [(Remix)]
41,Pago Pago,American Samoa,Danti,Enjoy (Un Caxxo)
42,Pago Pago,American Samoa,Projota,Tão Muleque
43,Pago Pago,American Samoa,Gabrielz,Fique Com Seu Mundo
44,Pago Pago,American Samoa,JazzWoman,Humo Denso
45,Pago Pago,American Samoa,"Vacca, Jamil, Skioffi",Porco
46,Pago Pago,American Samoa,Francesco Guccini,Canzone Quasi D'Amore
47,Pago Pago,American Samoa,Francesco Guccini,Canzone Quasi D'Amore
48,Pago Pago,American Samoa,Achille Lauro,BVLGARI
49,Pago Pago,American Samoa,Anitta,Atención [KISSES]
50,Pago Pago,American Samoa,Alex Sant'Anna,Cansado
51,Pago Pago,American Samoa,MC Buzzz,Todo Os Dias
52,Pago Pago,American Samoa,Rels B,Tienes el Don
53,Pago Pago,American Samoa,Mariah,Blah
54,Pago Pago,American Samoa,Dani Faiv,Pollo (Intro)
55,Pago Pago,American Samoa,Nitro,Pollo [RMX]
56,Pago Pago,American Samoa,"Deejay Telio, Apollo G, Supa Squad, Elji Beatzkilla",Aleluia
57,Pago Pago,American Samoa,Maiara e Maraisa,Show Completo
58,Pago Pago,American Samoa,Jeito Moleque,De Cara Pro Gol
59,Pago Pago,American Samoa,"Musicologo El Libro, Shelow Shaq, El Cherry Scom, One-Z",A-170
60,Pago Pago,American Samoa,X-Tense,O Re$To
61,Pago Pago,American Samoa,"MC GW, MC 7Belo",Cavucada
62,Pago Pago,American Samoa,Nejo,Prepago
