,city,state,artist,song
0,Arizona,Arizona,The Beach Boys,Arizona
1,Arizona,Arizona,Mark Lindsay,Arizona
2,Arizona,Arizona,Mark Lindsay,Arizona
3,Arizona,Arizona,Leslie Clio,"Arizona Man [Sing meinen Song, Vol. 5]"
4,Arizona,Arizona,Mark Lindsay,Arizona
5,Arizona,Arizona,Mark Lindsay,Arizona
6,Arizona,Arizona,Hey Monday,Arizona
7,Arizona,Arizona,"TaiMO, Shadow030",Arizona
8,Arizona,Arizona,Mark Lindsay,Arizona
9,Arizona,Arizona,Mark Lindsay,Arizona
10,Arizona,Arizona,Rich Brian,Arizona
11,Arizona,Arizona,3 of Hearts,Arizona Rain
12,Arizona,Arizona,Randy Newman,Rider in the Rain
13,Arizona,Arizona,Mark Lindsay,Arizona
14,Arizona,Arizona,Mark Lindsay,Arizona
15,Arizona,Arizona,"Milo Winter, Tunetailor",Arizona
16,Arizona,Arizona,Mano Negra,Indios de Barcelona
17,Arizona,Arizona,Mano Negra,Indios de Barcelona
18,Arizona,Arizona,George Strait,Ocean Front Property
19,Arizona,Arizona,George Strait,Ocean Front Property
20,Arizona,Arizona,Kota the Friend,Sedona
21,Arizona,Arizona,Eddy Mitchell,Arizona
22,Arizona,Arizona,"Robert Earl Keen, Jr.",Furnace Fan
23,Arizona,Arizona,Everclear,Your Arizona Room
24,Arizona,Arizona,Josh Kerr,Arizona
25,Arizona,Arizona,Alejandro Escovedo,Arizona
26,Arizona,Arizona,"Now, Now",AZ
27,Arizona,Arizona,Jamie O'Neal,There Is No Arizona
28,Arizona,Arizona,Steve Martin,King Tut
29,Arizona,Arizona,Dr. Demento,King Tut
30,Arizona,Arizona,Steve Martin,King Tut
31,Arizona,Arizona,"Steve Winwood, Eric Clapton",Voodoo Chile [Live]
32,Arizona,Arizona,"Steve Winwood, Eric Clapton",Voodoo Chile [Live]
33,Arizona,Arizona,Unlinked Artist,There Is No Arizona
34,Arizona,Arizona,Hit Crew,There Is No Arizona
35,Arizona,Arizona,Sybersound,There Is No Arizona
36,Arizona,Arizona,Eric Slingo,Sweet Arizona
37,Arizona,Arizona,Hit Crew,There Is No Arizona
38,Arizona,Arizona,Hit Crew,There Is No Arizona
39,Arizona,Arizona,The Sidekicks,There Is No Arizona
40,Arizona,Arizona,Rednext Level,Get lit
41,Arizona,Arizona,Guy Clark,Arizona Star
42,Arizona,Arizona,Pusha T,Got 'Em Covered
43,Arizona,Arizona,Dave East,Arizona
44,Arizona,Arizona,Saliva,Here with You
45,Arizona,Arizona,Drew Nack,Backhaul
46,Arizona,Arizona,MCI Players (1956-60),Arizona Bank 2
47,Arizona,Arizona,Conversing with Oceans,Arizona (feat. AJ Perdomo)
48,Arizona,Arizona,Megadeth,Coming Home [Bonus Track]
49,Arizona,Arizona,The Orb,Little Fluffy Clouds
50,Arizona,Arizona,Doug Sahm,(Is Anybody Goin' to) San Antone
