,city,state,artist,song
0,Arkansas,Arkansas,Glen Campbell,"Too Late to Worry, Too Blue to Cry"
1,Arkansas,Arkansas,Glen Campbell,Arkansas
2,Arkansas,Arkansas,Roger Miller,Arkansas
3,Arkansas,Arkansas,Don Williams,Where the Arkansas River Leaves Oklahoma
4,Arkansas,Arkansas,Johnny Cash,Arkansas Lovin' Man
5,Arkansas,Arkansas,"Robert Earl Keen, Jr.",Here in Arkansas
6,Arkansas,Arkansas,Malin Pettersen,Arkansas
7,Arkansas,Arkansas,The Almanac Singers,State of Arkansas
8,Arkansas,Arkansas,Anne Murray,I Can See Arkansas
9,Arkansas,Arkansas,Damien Jurado,Arkansas
10,Arkansas,Arkansas,The Tony Rice Unit,Blackberry Blossom
11,Arkansas,Arkansas,Norman Blake,Blackberry Blossom
12,Arkansas,Arkansas,Norman Blake,Blackberry Blossom
13,Arkansas,Arkansas,James House and The Blues Cowboys,Arkansas Woman
14,Arkansas,Arkansas,John Linnell,Arkansas
15,Arkansas,Arkansas,Jimmy McCracklin,Arkansas
16,Arkansas,Arkansas,Loretta Lynn,We've Come a Long Way Baby
17,Arkansas,Arkansas,Blind Willie McTell,Hillbilly Willie's Blues
18,Arkansas,Arkansas,George Strait,Arkansas Dave
19,Arkansas,Arkansas,The String Cheese Incident,Blackberry Blossom
20,Arkansas,Arkansas,Sylvia Rose Novak,Arkansas
21,Arkansas,Arkansas,Goose Gossett,Arkansas
22,Arkansas,Arkansas,Waylon Jennings,Up in Arkansas
23,Arkansas,Arkansas,Carly Simon,Coming to Get You
24,Arkansas,Arkansas,Michelle Shocked,Blackberry Blossom
25,Arkansas,Arkansas,The Marshall Tucker Band,24 Hours at a Time
26,Arkansas,Arkansas,Buddy Jewell,Dyess Arkansas
27,Arkansas,Arkansas,Melissa Etheridge,Stranger Road
28,Arkansas,Arkansas,Bruce Springsteen,Mary Queen of Arkansas
29,Arkansas,Arkansas,Johnny Cash,Joe Bean [Previously Unreleased Track; Bonus Track]
30,Arkansas,Arkansas,Skip James,Illinois Blues
31,Arkansas,Arkansas,Merle Haggard,Grandma Harp
32,Arkansas,Arkansas,Irving Berlin,"I'm a Bad, Bad Man"
33,Arkansas,Arkansas,Johnny Cash,Joe Bean
34,Arkansas,Arkansas,Harry Belafonte,Cotton Fields
35,Arkansas,Arkansas,Johnny Cash,Joe Bean
36,Arkansas,Arkansas,Don Gibson,Tennessee Stud
37,Arkansas,Arkansas,Johnny Cash,Tennessee Stud
38,Arkansas,Arkansas,Johnny Cash,Tennessee Stud
39,Arkansas,Arkansas,Etta James,Really Part 1 [Live]
40,Arkansas,Arkansas,Porter Wagoner,Tennessee Stud
41,Arkansas,Arkansas,Hayes Carll,Arkansas Blues
42,Arkansas,Arkansas,Rissi Palmer,Country Girl
43,Arkansas,Arkansas,Arlo Guthrie,Tennessee Stud
44,Arkansas,Arkansas,Ramblin' Jack Elliott,Tennessee Stud
45,Arkansas,Arkansas,Merle Haggard & the Strangers,Grandma Harp
46,Arkansas,Arkansas,Leadbelly,Cotton Fields
47,Arkansas,Arkansas,Alvin Youngblood Hart,Hillbilly Willie's Blues
48,Arkansas,Arkansas,glee cast,Home
49,Arkansas,Arkansas,Skip James,Illinois Blues
50,Arkansas,Arkansas,The Nitty Gritty Dirt Band,Tennessee
51,Arkansas,Arkansas,Lucero,Sometimes
52,Arkansas,Arkansas,Cole Deggs & the Lonesome,Out of Alabama
53,Arkansas,Arkansas,Hot Apple Pie,Annabelle (Arkansas Is Callin' You)
54,Arkansas,Arkansas,Luther Allison,All the King's Horses
55,Arkansas,Arkansas,Michael Martin Murphey,Tennessee Stud
56,Arkansas,Arkansas,Punch Brothers,"Hang Me, Oh Hang Me"
57,Arkansas,Arkansas,Chris LeDoux,Tennessee Stud
58,Arkansas,Arkansas,Son Volt,Methamphetamine
59,Arkansas,Arkansas,Ariel Pink,Plastic Raincoats in the Pig Parade
60,Arkansas,Arkansas,Pat Green,The Ballad of Arkansas Dave Rudebaugh
61,Arkansas,Arkansas,Edward Sharpe & the Magnetic Zeros,Home
62,Arkansas,Arkansas,Edward Sharpe & the Magnetic Zeros,Home
63,Arkansas,Arkansas,Capone-N-Noreaga,All We Got Is Us
64,Arkansas,Arkansas,The Royal Me,Meow
65,Arkansas,Arkansas,The Drive Band,Illinois Blues
66,Arkansas,Arkansas,Country Joe McDonald,Tennessee Stud
67,Arkansas,Arkansas,Alvin Youngblood Hart,Illinois Blues
68,Arkansas,Arkansas,Said the Whale,"Jesse, AR"
69,Arkansas,Arkansas,Punch Brothers,"Hang Me, Oh Hang Me"
70,Arkansas,Arkansas,Tom Ovans,Mama Went to Arkansas
71,Arkansas,Arkansas,Rednex,Nowhere in Idaho
72,Arkansas,Arkansas,Merle Haggard,Shade Tree (Fix-It-Man)
73,Arkansas,Arkansas,Stevie Wonder,"Somebody Knows, Somebody Cares"
74,Arkansas,Arkansas,Ray Charles,"What'd I Say, Pt. 1"
75,Arkansas,Arkansas,Merle Haggard,Peach Picking Time in Georgia
76,Arkansas,Arkansas,Johnny Cash,Mean Eyed Cat
77,Arkansas,Arkansas,"Hank Williams, Jr.",If the South Woulda Won
78,Arkansas,Arkansas,Johnny Cash,Greystone Chapel
79,Arkansas,Arkansas,Mississippi John Hurt,"Pinebluff, Arkansas"
80,Arkansas,Arkansas,Jerry Lee Lewis,What'd I Say
81,Arkansas,Arkansas,Hank Snow,Peach Picking Time Down in Georgia
