,city,state,artist,song
0,California,California,"Young Thug, Future, Problem, Mike WiLL Made It",California Rari
1,California,California,Slim,California
2,California,California,Vampire Weekend,"California English, Pt. 2"
3,California,California,Bilal,Cali Sunshine
4,California,California,"Snoop Dogg, Ray J",Hallelujah
5,California,California,T.I.,California
6,California,California,Tyga,It Neva Rains
7,California,California,Tyga,It Neva Rains
8,California,California,Tyga,It Neva Rains
9,California,California,Joey McIntyre,California
10,California,California,Chilliwack,California Girl
11,California,California,Rob Zombie,(Go to) California
12,California,California,Rob Zombie,(Go To) California
13,California,California,Rob Zombie,Go to California
14,California,California,Brian Wilson,California Girls
15,California,California,Roy Orbison,California Blue
16,California,California,Brian Wilson,California Girls
17,California,California,Snoop Dogg,California Dreaming
18,California,California,Amen,California's Bleeding
19,California,California,Ear Candy,California Sun
20,California,California,Baaldo,Barcelona Is My California
21,California,California,Tony! Toni! Toné!,It Never Rains in Southern California
22,California,California,Cleavage,So California
23,California,California,Tony! Toni! Toné!,It Never Rains (In Southern California)
24,California,California,Lenny Kravitz,Leaves
25,California,California,Kid Ink,Cali Dreamin'
26,California,California,Rihanna,California King Bed [Album Version; Version]
27,California,California,Rihanna,California King Bed [Album Version; Version]
28,California,California,The Beach Boys,California Girls
29,California,California,The Beach Boys,California Girls
30,California,California,The Beach Boys,California Girls
31,California,California,Hollywood Undead,California
32,California,California,Hollywood Undead,California [Live]
33,California,California,Sugar Ray,Speed Home California
34,California,California,pre)Thing,Staay Alive
35,California,California,Meat Loaf,California Dreamin'
36,California,California,Eddie Floyd,California Girl
37,California,California,The Beach Boys,California Dreaming
38,California,California,Too Short,California Girls
39,California,California,Marvin Gaye,California Soul
40,California,California,Marvin Gaye,California Soul
41,California,California,Smile Empty Soul,California's Lonely
42,California,California,Mario Joy,California
43,California,California,monobright,"California Sun, California Rain"
44,California,California,Snoop Dogg,California Gurls
45,California,California,Snoop Dogg,California Gurls
46,California,California,Phantom Planet,California [Tchad Blake Mix]
47,California,California,Phantom Planet,California
48,California,California,David Lee Roth,California Girls
49,California,California,David Lee Roth,California Girls
50,California,California,Lil Rob,California
51,California,California,Kidz Bop Kids,California Girls
52,California,California,Roy Orbison,California Sunshine Woman
53,California,California,Dada,California Gold
54,California,California,Dr. Dre,California Love
55,California,California,Chuck Berry,California
56,California,California,Bob Seger,California Stars
57,California,California,Bob Seger,California Stars
58,California,California,Cheap Trick,California Man
59,California,California,Cheap Trick,California Man
60,California,California,Beth Hart,My California
61,California,California,Smokey Robinson & the Miracles,California Soul
62,California,California,Marvin Gaye,California Soul
