,city,state,artist,song
0,Colorado,Colorado,"Justin Timberlake, Lil Wayne",Light Up
1,Colorado,Colorado,CJ Vana,Colorado
2,Colorado,Colorado,CJ Vana,Colorado
3,Colorado,Colorado,Henri Salvador,COLORADO
4,Colorado,Colorado,Jimmie Dale Gilmore,Another Colorado
5,Colorado,Colorado,Dierks Bentley,My Religion
6,Colorado,Colorado,Tech N9ne,Colorado [Bonus Track]
7,Colorado,Colorado,Steve Earle & the Dukes,News From Colorado
8,Colorado,Colorado,Mr. Big,Colorado Bulldog
9,Colorado,Colorado,John Denver,Rocky Mountain High
10,Colorado,Colorado,John Denver,I Guess He'd Rather Be in Colorado
11,Colorado,Colorado,John Denver,Rocky Mountain High
12,Colorado,Colorado,Chris LeDoux,Colorado
13,Colorado,Colorado,Johnny Paycheck,Colorado Cool-Aid
14,Colorado,Colorado,Sons of the Desert,Colorado
15,Colorado,Colorado,Brett Dennen,Rocky Mountain High
16,Colorado,Colorado,Allen Stone,Rocky Mountain High
17,Colorado,Colorado,Mary Chapin Carpenter,I Guess He'd Rather Be in Colorado
18,Colorado,Colorado,Stephen Stills,Colorado
19,Colorado,Colorado,Merle Haggard,Colorado
20,Colorado,Colorado,Hank Snow,Colorado Country Morning
21,Colorado,Colorado,Judy Collins,The Blizzard
22,Colorado,Colorado,3OH!3,Colorado Sunrise
23,Colorado,Colorado,3OH!3,Coloradosunrise
24,Colorado,Colorado,Keith Curtis,Colorado Line (2008 Version)
25,Colorado,Colorado,Mr. Sancho,In My Eyes
26,Colorado,Colorado,Linda Ronstadt,Colorado
27,Colorado,Colorado,Townes Van Zandt,Colorado Girl
28,Colorado,Colorado,Ray LaMontagne,Rocky Mountain Healin'
29,Colorado,Colorado,Mike Manuel,His Colorado
30,Colorado,Colorado,Genuine Joy,Ken Caryl Colorado
31,Colorado,Colorado,The Vegabonds,Colorado Evergreen
32,Colorado,Colorado,"Donny BeatMaker, Leo Jery",Loquita y Zata
33,Colorado,Colorado,Grupo Encinos,La del Moño Colorado
34,Colorado,Colorado,Gamado,La del Moño Colorado
35,Colorado,Colorado,Jimmy Buffett,Rocky Mountain High [Live]
36,Colorado,Colorado,Tech N9ne,Fire in AC
37,Colorado,Colorado,Corb Lund,Goodbye Colorado
38,Colorado,Colorado,The Flying Burrito Brothers,Colorado
39,Colorado,Colorado,Banda Cuisillos,La Del Moño Colorado
40,Colorado,Colorado,Banda Cuisillos,La del Moño Colorado
41,Colorado,Colorado,Steve Holy,A Cliff in Colorado
42,Colorado,Colorado,Steve Earle,Colorado Girl
43,Colorado,Colorado,Antonio Aguilar,El Caballo Mojino
44,Colorado,Colorado,Grupo Salvaje,La del Moño Colorado
45,Colorado,Colorado,George Strait,Baby Blue
46,Colorado,Colorado,Nanci Griffith,You Can't Go Home Again
47,Colorado,Colorado,The Platters,Have Mercy
48,Colorado,Colorado,Florida Georgia Line,Colorado
49,Colorado,Colorado,The Beach Boys,The Little Old Lady from Pasadena
50,Colorado,Colorado,Reba McEntire,The Great Divide
51,Colorado,Colorado,Blake Shelton,Came Here to Forget
52,Colorado,Colorado,Johnny Cash,Restless Kid [Previously Unreleased Track; Demo Version]
53,Colorado,Colorado,Pedernales,La del Moño Colorado
54,Colorado,Colorado,El Poder del Norte,La del Moño Colorado
55,Colorado,Colorado,The Bluetones,Colorado Beetle
56,Colorado,Colorado,Reckless Kelly,Goodbye Colorado
57,Colorado,Colorado,"Travis Scott, Rich Homie Quan, Young Thug",Mamacita
58,Colorado,Colorado,Townes Van Zandt,My Proud Mountains
59,Colorado,Colorado,Disney,The Little Old Lady from Pasadena
60,Colorado,Colorado,Tech N9ne,Don't Tweet This
61,Colorado,Colorado,"Colorado Do Brás, Chitão Martins",Que Rei Sou Eu?
62,Colorado,Colorado,SayWeCanFly,Colorado
63,Colorado,Colorado,Jan & Dean,The Little Old Lady from Pasadena
64,Colorado,Colorado,Jan & Dean,The Little Old Lady (From Pasadena)
65,Colorado,Colorado,Julio Ade,Life Of Pablo [Studio Version]
66,Colorado,Colorado,Jan & Dean,The Little Old Lady from Pasadena
67,Colorado,Colorado,Dan + Shay,Tequila
68,Colorado,Colorado,Sawyer Brown,Smokin' in the Rockies
69,Colorado,Colorado,Big Kenny,Trip
70,Colorado,Colorado,Shannon McNally,Colorado
71,Colorado,Colorado,Lagwagon,Drag
72,Colorado,Colorado,Oscar Chávez,La Mariguana
73,Colorado,Colorado,Carry Me Ohio,Colorado Love [Album Version]
74,Colorado,Colorado,Jan & Dean,The Little Old Lady from Pasadena
75,Colorado,Colorado,Craig Morgan,Being Alive and Livin'
76,Colorado,Colorado,Rebelution,Inhale Exhale
77,Colorado,Colorado,Jan & Dean,The Little Old Lady from Pasadena
78,Colorado,Colorado,"Lee Greenwood, Country Christmas",Tender Tennessee Christmas [Live]
79,Colorado,Colorado,Amy Grant,Tennessee Christmas
80,Colorado,Colorado,"Hank Williams, Jr.",California Zephyr
81,Colorado,Colorado,Rod Stewart,Man of Constant Sorrow
82,Colorado,Colorado,Rod Stewart,Man of Constant Sorrow
83,Colorado,Colorado,Amy Grant,Tennessee Christmas
84,Colorado,Colorado,The Kingston Trio,Colorado Trail
85,Colorado,Colorado,Alabama,Tennessee Christmas
86,Colorado,Colorado,Johnny Cash,She Came from the Mountains
87,Colorado,Colorado,Willie Nelson,Texas on a Saturday Night
88,Colorado,Colorado,Alabama,Tennessee Christmas
89,Colorado,Colorado,Bob Dylan,Man of Constant Sorrow
90,Colorado,Colorado,Zac Brown Band,Colder Weather
91,Colorado,Colorado,Rod Stewart,Man of Constant Sorrow
92,Colorado,Colorado,Zac Brown Band,Colder Weather
93,Colorado,Colorado,Bob Dylan,Man of Constant Sorrow
94,Colorado,Colorado,Gilberto Santa Rosa,Fulana
95,Colorado,Colorado,Arlo Guthrie,Uncle Jeff
96,Colorado,Colorado,Emmylou Harris,Ft. Worth Blues
97,Colorado,Colorado,Los Tigres del Norte,El Rengo del Gallo Giro
98,Colorado,Colorado,Jimmy Buffett,A Mile High in Denver
99,Colorado,Colorado,Amy Grant,Tennessee Christmas
100,Colorado,Colorado,The Nitty Gritty Dirt Band,Colorado Christmas
101,Colorado,Colorado,John Denver,The Harder They Fall
102,Colorado,Colorado,Reba McEntire,Great Divide
103,Colorado,Colorado,Jimmy Buffett,A Mile High in Denver
104,Colorado,Colorado,Eddie from Ohio,Old Dominion
105,Colorado,Colorado,Chris LeDoux,Silence on the Line
106,Colorado,Colorado,Amy Grant,Tennessee Christmas
107,Colorado,Colorado,Willie Nelson,We Are the Cowboys
108,Colorado,Colorado,Kidz Bop Kids,Good Life
109,Colorado,Colorado,Nav,My Business
110,Colorado,Colorado,Porter Wagoner,Tennessee Christmas
111,Colorado,Colorado,Jim Lauderdale,Love's Voice
112,Colorado,Colorado,Doug Dillard,The Radio Song
113,Colorado,Colorado,David Olney,The Colorado Kid
114,Colorado,Colorado,Unlinked Artist,The Little Old Lady from Pasadena
115,Colorado,Colorado,Bowling for Soup,Surf Colorado
116,Colorado,Colorado,Joni Mitchell,My Secret Place
117,Colorado,Colorado,David Allan Coe,Just To Prove My Love For You
118,Colorado,Colorado,Joni Mitchell,My Secret Place
119,Colorado,Colorado,David Allan Coe,Just To Prove My Love For You
120,Colorado,Colorado,"Zakk Wylde, Morgan Wallen, Hardy",Turn You Down
121,Colorado,Colorado,Rich Owen,Colorado Sunshine
122,Colorado,Colorado,Will Dakota,Love on Fire
123,Colorado,Colorado,ORQUESTRA E CORO CID,HINO DO INTERNACIONAL
124,Colorado,Colorado,Blondie,Under the Gun
125,Colorado,Colorado,Townes Van Zandt,Colorado Bound
126,Colorado,Colorado,Lee Ann Womack,Songs for Sale
127,Colorado,Colorado,Trace Adkins,When I Stop Loving You
128,Colorado,Colorado,"B.o.B, OneRepublic",Good Life
129,Colorado,Colorado,Dixie Chicks,She'll Find Better Things to Do
130,Colorado,Colorado,Nana Mouskouri,Apples Won't Grow
131,Colorado,Colorado,Dixie Chicks,West Texas Wind
132,Colorado,Colorado,The Freshmen,Go Granny Go (The Little Old Lady from Pasadena)
133,Colorado,Colorado,Alela Diane,Colorado Blue
134,Colorado,Colorado,OneRepublic,Good Life
135,Colorado,Colorado,Blondie,Under the Gun (For Jeffery Lee Pierce)
136,Colorado,Colorado,B.J. Thomas,Tennessee Christmas
137,Colorado,Colorado,OneRepublic,Good Life [Demolition Crew Remix]
138,Colorado,Colorado,OneRepublic,Good Life
139,Colorado,Colorado,Atahualpa Yupanqui,Chacarera de Las Piedras
140,Colorado,Colorado,Modest Mouse,Truckers Atlas
141,Colorado,Colorado,Steve Earle,Ft. Worth Blues
142,Colorado,Colorado,Pepe Aguilar,Juan Colorado/Chaparrita
143,Colorado,Colorado,The Vamps,Tequila
144,Colorado,Colorado,Chris LeDoux,Silence on the Line [DVD]
145,Colorado,Colorado,Los Capos de Mexico,El Parrandero
146,Colorado,Colorado,Johnny Socko,Rocks in My Head
147,Colorado,Colorado,J.J. Cale,Teardrops in My Tequila
148,Colorado,Colorado,Guy Clark,Fort Worth Blues
149,Colorado,Colorado,Terence Trent D'Arby,Sayin' About You
150,Colorado,Colorado,Steve Earle,Rex's Blues/Ft. Worth Blues
151,Colorado,Colorado,Terence Trent D'Arby,Sayin' About You
152,Colorado,Colorado,Steve Earle,The Gringo's Tale
153,Colorado,Colorado,Mel Tillis,Texas on a Saturday Night
154,Colorado,Colorado,Young Thug,Might Not Give Up
155,Colorado,Colorado,Patrulla 81,Que Bonita Es Mi Tierra
156,Colorado,Colorado,Steve Wariner,Tennessee Christmas
157,Colorado,Colorado,Kalash Criminel,Pronostic
158,Colorado,Colorado,Endless Summer,Tequila
159,Colorado,Colorado,Dillard & Clark,Radio Song
160,Colorado,Colorado,Dillard & Clark,The Radio Song
161,Colorado,Colorado,Kevin Gates,100it Gang (Marijuana Time)
162,Colorado,Colorado,Lee Greenwood,Tennessee Christmas
163,Colorado,Colorado,Terri Clark,I Just Called to Say Goodbye
164,Colorado,Colorado,Marina and the Diamonds,Gold
165,Colorado,Colorado,Jalopy Five,The Little Old Lady from Pasadena
166,Colorado,Colorado,Jimmy Rankin,Cool Car
167,Colorado,Colorado,Matt Stell ,Everywhere But On
168,Colorado,Colorado,Zenet,Yo Que un Día Te Quise Siempre
169,Colorado,Colorado,Ice Nine Kills,What I Should Have Learned in Study Hall
170,Colorado,Colorado,Atahualpa Yupanqui,Chacarera De Las Peidras
171,Colorado,Colorado,Greg Bates,Lost In Caroline
172,Colorado,Colorado,Blue October,Colorado 5591
173,Colorado,Colorado,The Flatlanders,Rose from the Mountain
174,Colorado,Colorado,Chris LeDoux,The Buckskin Lady
175,Colorado,Colorado,Night Ranger,Night Ranger
176,Colorado,Colorado,Butch Walker,Joan
177,Colorado,Colorado,Le Tigre,New Kicks
178,Colorado,Colorado,Devendra Banhart,Carmensita
179,Colorado,Colorado,Jaden Smith,The Passion
180,Colorado,Colorado,Nicolas Peyrac,So far away from L.A.
181,Colorado,Colorado,Patrulla 81,Que Bonita Es Mi Tierra
