,city,state,artist,song
0,Connecticut,Connecticut,Gilberto Gil,Pela Internet
1,Connecticut,Connecticut,Gilberto Gil,Pela Internet [Ao Vivo No YouTube Space]
2,Connecticut,Connecticut,Eminem,Ken Kaniff (Skit) [The Slim Shady LP]
3,Connecticut,Connecticut,Michael Feinstein,Connecticut
4,Connecticut,Connecticut,Ben Folds,Kylie from Connecticut
5,Connecticut,Connecticut,Cyndi Lauper,The Wives Are in Connecticut
6,Connecticut,Connecticut,Carly Simon,The Wives Are in Connecticut
7,Connecticut,Connecticut,Glambat,Cole Gate (Demo)
8,Connecticut,Connecticut,Allan Sherman,When I Was a Lad
9,Connecticut,Connecticut,William Daniels,"But, Mr. Adams"
10,Connecticut,Connecticut,Coheed and Cambria,The Camper Velourium II: Backend of Forever
11,Connecticut,Connecticut,Coheed and Cambria,The Camper Velourium II: Backend of Forever
12,Connecticut,Connecticut,Jared Morris,Salinger (feat. Rx139)
13,Connecticut,Connecticut,Missing Joe,Countdown
14,Connecticut,Connecticut,Chris Webby,Best In The Burbs
15,Connecticut,Connecticut,Eminem,Cum on Everybody
16,Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still
17,Connecticut,Connecticut,André Previn,I Like the Likes of You
18,Connecticut,Connecticut,Vic Damone,I Like the Likes of You
19,Connecticut,Connecticut,Liza Minnelli,I Like the Likes of You
20,Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still
21,Connecticut,Connecticut,Vic Damone,I Like the Likes of You
22,Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still
23,Connecticut,Connecticut,Nicki Minaj,Beez In The Trap
24,Connecticut,Connecticut,Apathy,The Grand Leveler
25,Connecticut,Connecticut,Snoop Dogg,What's Ya Point
26,Connecticut,Connecticut,Wu-Tang Clan,Incarcerated Scarfaces
27,Connecticut,Connecticut,Jason Derulo,Be Careful
28,Connecticut,Connecticut,LL Cool J,Fa Ha
29,Connecticut,Connecticut,Digital Underground,Doowutchyalike [Radio Mix]
30,Connecticut,Connecticut,Digital Underground,Doowutchyalike
31,Connecticut,Connecticut,Liza Minnelli,I Like the Likes of You
32,Connecticut,Connecticut,B.o.B,The Elephant
33,Connecticut,Connecticut,Allan Sherman,Holiday for States
34,Connecticut,Connecticut,Dick Haymes,I Like the Likes of You
35,Connecticut,Connecticut,Tony Scott,I Like the Likes of You
36,Connecticut,Connecticut,Busta Rhymes,Everybody Rise Again
37,Connecticut,Connecticut,Nas,Take It In Blood
38,Connecticut,Connecticut,Nas,Take It in Blood
39,Connecticut,Connecticut,Redman,What U Lookin' 4
40,Connecticut,Connecticut,Ian Hunter,All American Alien Boy [Clean Album Version; Version]
41,Connecticut,Connecticut,Gucci Mane,More
42,Connecticut,Connecticut,Game,Mr. Potato Head
43,Connecticut,Connecticut,Frank Sinatra,My Heart Stood Still
44,Connecticut,Connecticut,Snoop Dogg,Checkmate
45,Connecticut,Connecticut,Naughty by Nature,The Shivers
46,Connecticut,Connecticut,Eydie Gorme,I Like the Likes of You
47,Connecticut,Connecticut,Grant Green,I Like the Likes of You
48,Connecticut,Connecticut,Gang Starr,The Place Where We Dwell
49,Connecticut,Connecticut,Bobby Short,I Like the Likes of You
50,Connecticut,Connecticut,Bobby Short,I Like the Likes of You [From Ziegfield Follies of 1934]
51,Connecticut,Connecticut,Clark Kent,Finest Ones
52,Connecticut,Connecticut,Little Feat,Blue Jean Blues
53,Connecticut,Connecticut,Kool Keith,Black Elvis
54,Connecticut,Connecticut,Mabel Mercer,I Like the Likes of You
55,Connecticut,Connecticut,Natalie Merchant,Indian Names
56,Connecticut,Connecticut,They Might Be Giants,Too Tall Girl
57,Connecticut,Connecticut,Mac Miller,Put It On
58,Connecticut,Connecticut,Eydie Gorme,I Like the Likes of You
59,Connecticut,Connecticut,Jadakiss,Checkmate
60,Connecticut,Connecticut,Fred Hersch,I Like the Likes of You
61,Connecticut,Connecticut,Raekwon,Forecast
62,Connecticut,Connecticut,Armand Van Helden,Blakpeoplez
63,Connecticut,Connecticut,Debbie Reynolds,I Like the Likes of You
64,Connecticut,Connecticut,Prince Paul,The World's a Stage (A Dramady)
65,Connecticut,Connecticut,"MellowHigh, Remy Banks, Earl Sweatshirt",Cold World
66,Connecticut,Connecticut,Animaniacs,Wakko's America
67,Connecticut,Connecticut,Ian Hunter,All American Alien Boy
68,Connecticut,Connecticut,Jeri Southern,I Like the Likes of You
69,Connecticut,Connecticut,Pato Banton,Go Pato
70,Connecticut,Connecticut,Joanie Sommers,I Like the Likes of You
71,Connecticut,Connecticut,Spice 1,Bounce
72,Connecticut,Connecticut,Cella Dwellas,Advance to Boardwalk
73,Connecticut,Connecticut,Fefe Dobson,Stupid Little Love Song
74,Connecticut,Connecticut,MF Doom,Guinnesses
75,Connecticut,Connecticut,MF Doom,Guinnesses
76,Connecticut,Connecticut,Ian Hunter,All American Alien Boy [Early Single Version]
77,Connecticut,Connecticut,Bad Bunny,Kemba Walker
78,Connecticut,Connecticut,Kurupt,It Ain't About You
79,Connecticut,Connecticut,Killarmy,Originators
80,Connecticut,Connecticut,Leaders of the New School,Daily Reminder
81,Connecticut,Connecticut,Body Count,Momma's Gotta Die Tonight
82,Connecticut,Connecticut,G.G. Allin,Shove That Warrant Up Your Ass
83,Connecticut,Connecticut,Dilated Peoples,Rapid Transit
84,Connecticut,Connecticut,Kane & Abel,The Possibility
85,Connecticut,Connecticut,All,Ratchet
86,Connecticut,Connecticut,Joanna Perricone,Past Life
87,Connecticut,Connecticut,Danny Evans,Try Me
88,Connecticut,Connecticut,King of August,Wrist Lock (feat. Curzon)
89,Connecticut,Connecticut,Kids Learning Tube ,50 States Of America
90,Connecticut,Connecticut,Arcángel,Feliz Navidad 7
91,Connecticut,Connecticut,Joey Nato,New England Boy
92,Connecticut,Connecticut,Starcrossed Losers,Downright Down
93,Connecticut,Connecticut,Danny Evans,Over Here
94,Connecticut,Connecticut,Danny Evans,Fuck About You (feat. Chris Webby)
95,Connecticut,Connecticut,King of August,Wrist Lock (feat. Curzon)
96,Connecticut,Connecticut,Your Ex's Pets,"Hartford, CT"
97,Connecticut,Connecticut,Vic DiBitetto,These Are the Jokes Folks
98,Connecticut,Connecticut,Sue Jeffers,So Here We Go
99,Connecticut,Connecticut,Kitty,R.R.E.a.M
100,Connecticut,Connecticut,"E.Y. ""Yip"" Harburg",I Like the Likes of You
101,Connecticut,Connecticut,Princess Superstar,We Got Panache
102,Connecticut,Connecticut,Jacy Parker,I Like the Likes of You
103,Connecticut,Connecticut,Show & A.G.,Hard to Kill
104,Connecticut,Connecticut,Dan Barrett,I Like the Likes of You
105,Connecticut,Connecticut,Rasputina,The 2 Miss Leavens
106,Connecticut,Connecticut,K'NAAN,Fatima
107,Connecticut,Connecticut,Kutt Calhoun,Hello And Goodbye
108,Connecticut,Connecticut,Chris Webby,Nice 2 Be Back
109,Connecticut,Connecticut,Krizz Kaliko,Thank God
110,Connecticut,Connecticut,Chris Webby,Aww Naww
111,Connecticut,Connecticut,Chris Webby,Blunt Ride Cypher (Interlude)
112,Connecticut,Connecticut,Klea Blackhurst,I Like the Likes of You
113,Connecticut,Connecticut,K'NAAN,Fatima
114,Connecticut,Connecticut,Hoodie Allen,Where Do We Go Now
115,Connecticut,Connecticut,Webster,Ateliers
116,Connecticut,Connecticut,Sandy Rapp,Everyone Was at Stonewall (Final Update)
117,Connecticut,Connecticut,"Cee-Rock """"The Fury""""",Anderson Iz Nice
118,Connecticut,Connecticut,Renald Francoeur,Tour The States
119,Connecticut,Connecticut,Deadsy,Lake Waramaug
120,Connecticut,Connecticut,A Static Lullaby,Radio Flyer's Last Journey
121,Connecticut,Connecticut,Trigger Alpert,I Like the Likes of You
122,Connecticut,Connecticut,Slaine,Take Me Home
123,Connecticut,Connecticut,Chris Webby,Bounce
124,Connecticut,Connecticut,Chris Webby,Until I Die
125,Connecticut,Connecticut,Chris Webby,Church (Intro)
126,Connecticut,Connecticut,Two Man Advantage,Ya Ya Yo
127,Connecticut,Connecticut,Pouya,MFG
128,Connecticut,Connecticut,Pacewon,You
129,Connecticut,Connecticut,Heltah Skeltah,Gang's All Here
130,Connecticut,Connecticut,Chris Webby,Skyline 2
131,Connecticut,Connecticut,"Chris Webby, ANoyd",2001
132,Connecticut,Connecticut,Saskia Laroo,Hartford is My Home
133,Connecticut,Connecticut,"Brian Dee, Elaine Delmar",I Like the Likes of You
134,Connecticut,Connecticut,David Allyn,I Like the Likes of You
135,Connecticut,Connecticut,Tom Theabo,I Like the Likes of You
136,Connecticut,Connecticut,Robert Clary,I Like the Likes of You
137,Connecticut,Connecticut,Large Professor,Uncut Raw
138,Connecticut,Connecticut,Chris Lowe,Hurt It
139,Connecticut,Connecticut,Chris Lowe,Never Heard It Like This Before
140,Connecticut,Connecticut,Judy Barron,I Like the Likes of You
141,Connecticut,Connecticut,Chris Webby,Passport
142,Connecticut,Connecticut,Vivian Blaine,I Like the Likes of You
143,Connecticut,Connecticut,Wild Strawberries,Jackie Got Married
144,Connecticut,Connecticut,Kate Baldwin,I Like the Likes of You
145,Connecticut,Connecticut,Murubutu,Linee Di Libeccio
146,Connecticut,Connecticut,Ambassador,Oh Wretched Man
147,Connecticut,Connecticut,Nancy Stearns,I Like the Likes of You
148,Bridgeport,Connecticut,Zizi,Current
149,Bridgeport,Connecticut,The Notorious B.I.G.,Everday Struggle
150,Bridgeport,Connecticut,Elvis Costello,She Was No Good
151,Bridgeport,Connecticut,Nas,I Really Want to Show You
152,Bridgeport,Connecticut,Al Jarreau,Yo Jeans
153,Bridgeport,Connecticut,REO Speedwagon,157 Riverside Avenue
154,Bridgeport,Connecticut,REO Speedwagon,157 Riverside Avenue [Stereo Version]
155,Bridgeport,Connecticut,Toto,157 Riverside Avenue
156,Bridgeport,Connecticut,Styx,157 Riverside Avenue
157,Bridgeport,Connecticut,REO Speedwagon,157 Riverside Avenue
158,Bridgeport,Connecticut,Beenie Man,Goodas Gal
159,Bridgeport,Connecticut,REO Speedwagon,157 Riverside Avenue
160,Bridgeport,Connecticut,REO Speedwagon,157 Riverside Avenue
161,Bridgeport,Connecticut,Fountains of Wayne,Laser Show
162,Bridgeport,Connecticut,Vybz Kartel,Most Wanted
163,Bridgeport,Connecticut,"Damian ""Junior Gong"" Marley",Set Up Shop
164,Bridgeport,Connecticut,Sketch Tha Cataclysm,The Venue
165,Bridgeport,Connecticut,Laura Jane Grace & the Devouring Mothers,I Hate Chicago
166,Bridgeport,Connecticut,Brian Burns,I've Been Everywhere (In Texas)
167,New Haven,Connecticut,The Living End,We Want More
168,New Haven,Connecticut,John Vanderslice,Letter to the East Coast
169,New Haven,Connecticut,John Vanderslice,Plymouth Rock
170,New Haven,Connecticut,Dear and the Headlights,Bad News
171,New Haven,Connecticut,Wyclef Jean,Gunpowder
172,New Haven,Connecticut,Lost FM Radio Band,Sitting on the Top of the World
173,New Haven,Connecticut,The Doors,Peace Frog
174,New Haven,Connecticut,The Doors,Peace Frog
175,New Haven,Connecticut,The Doors,Peace Frog [New Stereo Mix Advanced Resolution GH Edit]
176,New Haven,Connecticut,Volbeat,The Lonesome Rider
177,New Haven,Connecticut,Volbeat,Lonesome Rider
178,New Haven,Connecticut,Busta Rhymes,Everybody Rise
179,New Haven,Connecticut,Porter Wagoner,Haven't You Heard
180,New Haven,Connecticut,Cyndi Lauper,The Wives Are in Connecticut
181,New Haven,Connecticut,Jim Morrison,Dawn's Highway
182,New Haven,Connecticut,Carly Simon,Film Noir
183,New Haven,Connecticut,Kid Rock,I Wanna Go Back
184,New Haven,Connecticut,Carly Simon,The Wives Are in Connecticut
185,New Haven,Connecticut,Jermaine Dupri,We Both Frontin'
186,New Haven,Connecticut,Linkin Park,Waiting for the End
187,New Haven,Connecticut,Linkin Park,Waiting For The End [(Live In Madrid)]
188,New Haven,Connecticut,Widespread Panic,Let's Get the Show on the Road
189,New Haven,Connecticut,Collective Soul,You
190,New Haven,Connecticut,Swollen Members,Counterparts
191,New Haven,Connecticut,Planetary,Battle Hymn
192,New Haven,Connecticut,Sun Kil Moon,Third and Seneca
193,New Haven,Connecticut,G.G. Allin,Shove That Warrant Up Your Ass
194,New Haven,Connecticut,Bette Midler,Comic Relief
195,New Haven,Connecticut,Betty Carter,Why Him? / Where or When / What's New?
196,New Haven,Connecticut,Fountains of Wayne,Acela
