,city,state,artist,song
0,Delaware,Delaware,Perry Como,Delaware
1,Delaware,Delaware,Kate & Anna McGarrigle,Schooldays
2,Delaware,Delaware,Capital Lights,His Favorite Christmas Story
3,Delaware,Delaware,A Tribe Called Quest,Award Tour [LP Version]
4,Delaware,Delaware,A Tribe Called Quest,Award Tour
5,Delaware,Delaware,A Tribe Called Quest,Award Tour
6,Delaware,Delaware,A Tribe Called Quest,Award Tour
7,Delaware,Delaware,A Tribe Called Quest,Award Tour
8,Delaware,Delaware,The Kinks,Kentucky Moon
9,Delaware,Delaware,The Kinks,Kentucky Moon [Bonus Track]
10,Delaware,Delaware,A Tribe Called Quest,Award Tour
11,Delaware,Delaware,A Tribe Called Quest,Award Tour
12,Delaware,Delaware,A Tribe Called Quest,Award Tour
13,Delaware,Delaware,A Tribe Called Quest,Award Tour
14,Delaware,Delaware,Red Hot Chili Peppers,We Turn Red
15,Delaware,Delaware,A Tribe Called Quest,Award Tour
16,Delaware,Delaware,Fleetwood Mac,Bermuda Triangle
17,Delaware,Delaware,A Tribe Called Quest,Award Tour [Radio Version]
18,Delaware,Delaware,A Tribe Called Quest,Award Tour
19,Delaware,Delaware,A Tribe Called Quest,Award Tour
20,Delaware,Delaware,James McMurtry,Down Across the Delaware
21,Delaware,Delaware,Steve Forbert,The Oil Song
22,Delaware,Delaware,Timbuk 3 ,The Little Things
23,Delaware,Delaware,Everything In Waves,Oak Grove and Hues
24,Delaware,Delaware,Undercover,Award Tour
25,Delaware,Delaware,Ian Fidance,Last of a Dying Breed
26,Delaware,Delaware,The Promise Ring,Is This Thing On?
27,Delaware,Delaware,Harold Arlen,"Lydia, The Tattooed Lady"
28,Delaware,Delaware,Chuck Berry,Back In The U.S.A.
29,Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba)
30,Delaware,Delaware,Chuck Berry,Back in the U.S.A.
31,Delaware,Delaware,Chuck Berry,Back in the U.S.A.
32,Delaware,Delaware,Johnny Cash,Ragged Old Flag
33,Delaware,Delaware,The Muppets,"Lydia, the Tattooed Lady"
34,Delaware,Delaware,Lou Reed,New Sensations
35,Delaware,Delaware,Linda Ronstadt,Back in the U.S.A.
36,Delaware,Delaware,The Rolling Stones,Hold Back
37,Delaware,Delaware,LL Cool J,My Rhyme Ain't Done
38,Delaware,Delaware,Bing Crosby,"Lydia, the Tattooed Lady"
39,Delaware,Delaware,James Taylor,Sailing to Philadelphia
40,Delaware,Delaware,Nas,Street Dreams [Remix]
41,Delaware,Delaware,James Taylor,Sailing to Philadelphia
42,Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba )
43,Delaware,Delaware,Chicago,Vote for Me
44,Delaware,Delaware,Perry Como,Dig You Later (A Hubba-Hubba-Hubba)
45,Delaware,Delaware,Nicki Minaj,Beez In The Trap
46,Delaware,Delaware,Robin Williams,Evening Out [Includes Lydia the Tattooed Lady]
47,Delaware,Delaware,Eminem,Remember the Name
48,Delaware,Delaware,Nas,Street Dreams [Bonus Track]
49,Delaware,Delaware,John Gorka,Promnight in Pigtown
50,Delaware,Delaware,Underworld,Moaner
51,Delaware,Delaware,Allan Sherman,Holiday for States
52,Delaware,Delaware,Underworld,Moaner
53,Delaware,Delaware,The Roots,In the Music
54,Delaware,Delaware,The Roots,In the Music
55,Delaware,Delaware,The Roots,In the Music
56,Delaware,Delaware,Dire Straits,Sailing to Philadelphia
57,Delaware,Delaware,Busta Rhymes,Everybody Rise Again
58,Delaware,Delaware,The Roots,No Alibi
59,Delaware,Delaware,Nas,Street Dreams
60,Delaware,Delaware,Nas,Street Dreams
61,Delaware,Delaware,Nas,Street Dreams [Bonus Verse]
62,Delaware,Delaware,The Roots,No Alibi
63,Delaware,Delaware,Nas,Street Dreams
64,Delaware,Delaware,Public Enemy,Here I Go
65,Delaware,Delaware,The Goo Goo Dolls,No Way Out
66,Delaware,Delaware,Wu-Block,Stella
67,Delaware,Delaware,Fetty Wap,$ave Dat Money
68,Delaware,Delaware,Rich Homie Quan,$ave Dat Money
69,Delaware,Delaware,Wu-Block,Stella
70,Delaware,Delaware,Method Man,Criminology 2.5
71,Delaware,Delaware,Seal,America's Song
72,Delaware,Delaware,DJ Drama,Get Dis Money
73,Delaware,Delaware,Salt-N-Pepa,I Desire
74,Delaware,Delaware,The Hollies,Delaware Taggett and the Outlaw Boys
75,Delaware,Delaware,MC5,Back in the U.S.A.
76,Delaware,Delaware,Mott the Hoople,Walkin' with a Mountain
77,Delaware,Delaware,MC5,Back in the USA
78,Delaware,Delaware,Ted Nugent,Hammerdown
79,Delaware,Delaware,Wreckx-N-Effect,Rump Shaker
80,Delaware,Delaware,Bobby Short,"Lydia, the Tatooed Lady"
81,Delaware,Delaware,Bobby Short,Lydia the Tattooed Lady
82,Delaware,Delaware,Pusha T,Numbers on the Boards
83,Delaware,Delaware,Wreckx-N-Effect,Rump Shaker
84,Delaware,Delaware,Michael Feinstein,"Lydia, the Tattooed Lady"
85,Delaware,Delaware,De La Soul,Eye Patch
86,Delaware,Delaware,T-Pain,Mix'd Girl
87,Delaware,Delaware,Wreckx-N-Effect,Rump Shaker
88,Delaware,Delaware,Cam'ron,Bubble Music
89,Delaware,Delaware,Cam'ron,Bubble Music
90,Delaware,Delaware,Wreckx-N-Effect,Rump Shaker
91,Delaware,Delaware,Pusha T,Numbers on the Boards
92,Delaware,Delaware,Jonathan Richman & the Modern Lovers,Back in the USA
93,Delaware,Delaware,Julie Wilson,"Lydia the Tattooed Lady, song (for the film ""At the Circus"")"
94,Delaware,Delaware,Pusha T,Numbers on the Boards
95,Delaware,Delaware,Animaniacs,Wakko's America
96,Delaware,Delaware,Blackalicious,Do This My Way
97,Delaware,Delaware,Pato Banton,Go Pato
98,Delaware,Delaware,Pete Rock & C.L. Smooth,All Souled Out
99,Delaware,Delaware,Fish,Chasing Miss Pretty
100,Delaware,Delaware,Ian Hunter,Walkin' With a Mountain
101,Delaware,Delaware,"Sean Price, Vic Spencer, Rim P",Lord Have Mercy
102,Delaware,Delaware,Clutch,The Incomparable Mr. Flannery
103,Delaware,Delaware,Unlinked Artist,Roof Is on Fire
104,Delaware,Delaware,The Marx Brothers,"Lydia, the Tattooed Lady [At the Circus]"
105,Delaware,Delaware,Ray Wylie Hubbard,"Screw You, We're From Texas"
106,Delaware,Delaware,Above & Beyond,Northern Soul
107,Delaware,Delaware,Above & Beyond,Northern Soul
108,Delaware,Delaware,Ellis Paul,Hurricane Angel
109,Delaware,Delaware,Tru,Stay Real
110,Delaware,Delaware,Kane & Abel,The Possibility
111,Delaware,Delaware,Joey Bada$$,Killuminati Pt. 2
112,Delaware,Delaware,黄莺莺,Dong Dikki Dikki Dong
113,Delaware,Delaware,Kollegah,"Drogen, Cash & Gangstersound"
114,Delaware,Delaware,John Dartnell,Gasoline Cowboy
115,Delaware,Delaware,DJ Homewreckr & Player 4,Flights (feat. P$ychii)
116,Delaware,Delaware,Kids Learning Tube ,50 States Of America
117,Delaware,Delaware,Kenny Raye,Atlantic City
118,Delaware,Delaware,DJ Homewreckr & Player 4,Flights (feat. P$ychii)
119,Delaware,Delaware,Herald Powers,85 Pennons
120,Delaware,Delaware,Paul Etch,This is a Test
121,Delaware,Delaware,Driftwood Soldier,If It's Not Obvious
122,Delaware,Delaware,Don Gavin,Fall Back
123,Delaware,Delaware,Peter Sivo Band ,New Jersey
124,Delaware,Delaware,The Consolation,Tennessee Chair
125,Delaware,Delaware,The NERV,Alternative Facts
126,Delaware,Delaware,Avenue Army,Runner
127,Delaware,Delaware,"E.Y. ""Yip"" Harburg","Lydia, the Tattooed Lady"
128,Delaware,Delaware,Gary Lucas,"Lydia, the Tattooed Lady"
129,Delaware,Delaware,"Nathan Lane, Matthew Broderick",We Can Do It
130,Delaware,Delaware,Steve Earle & the Dukes,Fastest Man Alive
131,Delaware,Delaware,Richard Shindell,Transit
132,Delaware,Delaware,Rock Master Scott & the Dynamic Three,The Roof Is on Fire [Club DJ]
133,Delaware,Delaware,Rock Master Scott & the Dynamic Three,The Roof Is on Fire [Club DJ]
134,Delaware,Delaware,Tru,I'm the Funkiest
135,Delaware,Delaware,Orrin Tucker,"Lydia, the Tattooed Lady"
136,Delaware,Delaware,Fruit Bats,Magic Hour
137,Delaware,Delaware,Valencia,The Space Between
138,Delaware,Delaware,Shovels & Rope,Mary Ann & One Eyed Dan
139,Delaware,Delaware,mewithoutYou,Blue Hen
140,Delaware,Delaware,Unlinked Artist,"Lydia, the Tattooed Lady/Daddy"
141,Delaware,Delaware,Josh Ritter,Hotel Song
142,Delaware,Delaware,John Dartnell,Gasoline Cowboy
143,Delaware,Delaware,Sandy Rapp,Everyone Was at Stonewall (Final Update)
144,Wilmington,Delaware,Boogie,Roped Off
145,Wilmington,Delaware,"J3, Payso B, The Game",Support Compton
146,Wilmington,Delaware,The Game,Freeway
147,Wilmington,Delaware,Lucky Boys Confusion,Mr. Wilmington
148,Wilmington,Delaware,Erykah Badu,On Me
149,Wilmington,Delaware,Lil Wayne,From Adam
150,Wilmington,Delaware,The Game,True Colors / It's On
151,Wilmington,Delaware,The Game,Bompton
152,Wilmington,Delaware,"Lil Wayne, The Game",From Adam
153,Wilmington,Delaware,Game,Mr. Potato Head
154,Wilmington,Delaware,"DJ Quik, Problem, Candice Boyd, The Game",Rosecrans
155,Wilmington,Delaware,Justin Townes Earle,Over Alameda
156,Wilmington,Delaware,Cracker,Time Machine
157,Wilmington,Delaware,The Flirtations,Biko
158,Wilmington,Delaware,Jay Picante,Big Baller
159,Wilmington,Delaware,Mighty Moulz,FYI
160,Wilmington,Delaware,Left Alone,New York City
161,Wilmington,Delaware,Left Alone,Justino
162,Wilmington,Delaware,Chiddy Bang,All Over
163,Wilmington,Delaware,Royal Crown Revue,Watts Local
164,Wilmington,Delaware,Fuerza Regida,18 Llantas
165,Wilmington,Delaware,Joe Firstman,Get Your Kisses From Me
166,Wilmington,Delaware,Byron Bank,"Hello, Goodbye"
