,city,state,artist,song
0,District of Columbia,District of Columbia,アメリカ (小西克幸),W・D・C ～World Dancing～
1,District of Columbia,District of Columbia,Wale,Chillin'
2,District of Columbia,District of Columbia,Wale,Chillin'
3,District of Columbia,District of Columbia,Allan Sherman,Holiday for States
4,District of Columbia,District of Columbia,Swollen Members,Counterparts
5,District of Columbia,District of Columbia,Blackalicious,Passion
6,District of Columbia,District of Columbia,Shy Glizzy,Crew
7,District of Columbia,District of Columbia,GoldLink,Crew
8,District of Columbia,District of Columbia,Professor X,Close the Crackhouse
9,District of Columbia,District of Columbia,Jay-Z,Tom Ford
10,District of Columbia,District of Columbia,"GoldLink, Gucci Mane, Shy Glizzy, Brent Faiyaz",Crew (Remix)
11,District of Columbia,District of Columbia,GoldLink,Opening Credit
12,District of Columbia,District of Columbia,Wale,Right Here
13,Washington,District of Columbia,Woody Guthrie,Lindbergh
14,Washington,District of Columbia,Bay City Rollers,Washington's Birthday
15,Washington,District of Columbia,Woody Guthrie,Baltimore to Washington
16,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie
17,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie
18,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie
19,Washington,District of Columbia,Christopher Jackson,One Last Time
20,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie
21,Washington,District of Columbia,John Mellencamp,To Washington
22,Washington,District of Columbia,Lin-Manuel Miranda,Washington On Your Side
23,Washington,District of Columbia,They Might Be Giants,Violin
24,Washington,District of Columbia,Grupo Revelde,Violin [DVD; Bonus Track]
25,Washington,District of Columbia,Counting Crows,Washington Square
26,Washington,District of Columbia,Bitch & Animal,Feminist Housewives
27,Washington,District of Columbia,The Hooters,Washington's Day
28,Washington,District of Columbia,Guided by Voices,Calling Up Washington
29,Washington,District of Columbia,Magnetic Fields,"Washington, D.C."
30,Washington,District of Columbia,Johnny Horton,Battle of Bull Run
31,Washington,District of Columbia,Kenny Rogers,My Washington Woman
32,Washington,District of Columbia,Kenny Rogers,My Washington Woman
33,Washington,District of Columbia,Craig Morgan,Money
34,Washington,District of Columbia,Johnny Cash,As Long as the Grass Shall Grow
35,Washington,District of Columbia,The Clash,Washington Bullets
36,Washington,District of Columbia,Johnny Cash,As Long as the Grass Shall Grow
37,Washington,District of Columbia,BeBe Winans,One Last Time [44 Remix]
38,Washington,District of Columbia,Wiz Khalifa,Washingtons by Your Side
39,Washington,District of Columbia,disappear fear,Washington Work Song
40,Washington,District of Columbia,Iris DeMent,There's a Wall in Washington
41,Washington,District of Columbia,"Migos, Young Thug, Peewee Longway",Quarterback
42,Washington,District of Columbia,Pur,Planet der Affen
43,Washington,District of Columbia,Weird Al Yankovic,The Hamilton Polka
44,Washington,District of Columbia,Jim Jones,Harlem
45,Washington,District of Columbia,Simon & Garfunkel,Roving Gambler [Bonus Track; Demo Version]
46,Washington,District of Columbia,Shel Silverstein,Bury Me in My Shades
47,Washington,District of Columbia,Grandson,Stick Up
48,Washington,District of Columbia,Matt Nathanson,Washington State Fight Song
49,Washington,District of Columbia,Joni Mitchell,Otis and Marlena
50,Washington,District of Columbia,Joni Mitchell,Otis and Marlena
51,Washington,District of Columbia,Megadeth,Washington Is Next!
52,Washington,District of Columbia,Townes Van Zandt,If I Was Washington
53,Washington,District of Columbia,Damien Jurado,Working Titles
54,Washington,District of Columbia,Lin-Manuel Miranda,The Room Where It Happens
55,Washington,District of Columbia,Uriah Heep,Simon the Bullet Freak [Bonus Track]
56,Washington,District of Columbia,Supertramp,A Soapbox Opera
57,Washington,District of Columbia,Tori Amos,Garlands
58,Washington,District of Columbia,アメリカ (小西克幸),W・D・C ～World Dancing～
59,Washington,District of Columbia,Lutricia McNeal,Washington
60,Washington,District of Columbia,Sicko,Washington My Home
61,Washington,District of Columbia,Crucifucks,Washington
62,Washington,District of Columbia,Jonathan Groff,I Know Him
63,Washington,District of Columbia,Sandy Rapp,Ten Percent
64,Washington,District of Columbia,James Brown,Night Train
65,Washington,District of Columbia,B.B. King,Recession Blues
66,Washington,District of Columbia,Bill Monroe,White House Blues
67,Washington,District of Columbia,Paul Simon,Armistice Day
68,Washington,District of Columbia,James Brown,Night Train
69,Washington,District of Columbia,Irving Berlin,The Hostess With the Mostes' on the Ball
70,Washington,District of Columbia,James Brown,Night Train
71,Washington,District of Columbia,The Everly Brothers,Roving Gambler
72,Washington,District of Columbia,Ludacris,Interactive Skit
73,Washington,District of Columbia,Pete Seeger,Bourgeois Blues
74,Washington,District of Columbia,Arlo Guthrie,Alice's Restaurant
75,Washington,District of Columbia,James Brown,Night Train
76,Washington,District of Columbia,Irving Berlin,The Hostess With the Mostes' on the Ball
77,Washington,District of Columbia,Jello Biafra,Full Metal Jackoff
78,Washington,District of Columbia,Ethel Merman,The Hostess With the Mostes' on the Ball
79,Washington,District of Columbia,Neil Young,Johnny Magic
80,Washington,District of Columbia,"Hank Williams, Jr.",Who's Taking Care of Number One
81,Washington,District of Columbia,(hed) p.e.,Flesh and Blood
82,Washington,District of Columbia,Lin-Manuel Miranda,In the Heights
83,Washington,District of Columbia,Kobo,Nouveau départ
84,Washington,District of Columbia,Ice Cube,Where Ya At?
85,Washington,District of Columbia,Leadbelly,The Bourgeois Blues
86,Washington,District of Columbia,Nas,Life's a B****
87,Washington,District of Columbia,Nas,Life's a B***
88,Washington,District of Columbia,The Brothers Four,St. James Infirmary
89,Washington,District of Columbia,Ethel Merman,The Hostess With the Mostes' On the Ball
90,Washington,District of Columbia,The Chipmunks,Alvin for President
91,Washington,District of Columbia,Blind Lemon Jefferson,Bourgeois Blues
92,Washington,District of Columbia,Leadbelly,The Bourgeois Blues
93,Washington,District of Columbia,The Almighty Terribles,Bomb in the Bedroom
94,Washington,District of Columbia,Fadah,Merch
95,Washington,District of Columbia,Fadah,Merch
96,Washington,District of Columbia,Andrea Wright,Riverside
97,Washington,District of Columbia,Fadah,Merch
98,Washington,District of Columbia,"Gregory Palencia, L Reyes",Palo & Cash
99,Washington,District of Columbia,The Coup,Piss on Your Grave
100,Washington,District of Columbia,Jay-Z,Dead Presidents III
101,Washington,District of Columbia,Boogie Down Productions,Exhibit B
102,Washington,District of Columbia,Don Omar,Sexy Robotica
103,Washington,District of Columbia,Atom and His Package,If You Own the Washington Redskins You're a Cock
104,Washington,District of Columbia,Blackie & the Rodeo Kings,Jackie Washington
105,Washington,District of Columbia,Merchant,Where Ya At? [Extended Version]
106,Washington,District of Columbia,Merchant,Where Ya At?
107,Washington,District of Columbia,Lin-Manuel Miranda,A  Winter's Ball
108,Washington,District of Columbia,Pavement,Billie
109,Washington,District of Columbia,Heidi Berry,Washington Square
110,Washington,District of Columbia,Wale,Miracle On U Street
111,Washington,District of Columbia,Cameo,"Fast, Fierce & Funny"
112,Washington,District of Columbia,Buchanan & Goodman,Flying Saucer
113,Washington,District of Columbia,B.G.,The Second Line
114,Washington,District of Columbia,Fler,PUBLIC ENEMIES
115,Washington,District of Columbia,Big Daddy Kane,No Damn Good
116,Washington,District of Columbia,Ministry,Ass Clown
117,Washington,District of Columbia,Dream Theater,Finally Free
118,Washington,District of Columbia,The Troggs,Disco Kid
119,Washington,District of Columbia,Hard-Fi,We Need Love
120,Washington,District of Columbia,Carman,America Again
121,Washington,District of Columbia,The Rogues,Corruption
122,Washington,District of Columbia,Zach Bryan,Washington Lilacs
123,Washington,District of Columbia,Lin-Manuel Miranda,What'd I Miss
124,Washington,District of Columbia,Jonathan Richman,Walter Johnson
125,Washington,District of Columbia,GANGgajang,American Money
126,Washington,District of Columbia,Dead Kennedys,Stars and Stripes of Corruption
127,Washington,District of Columbia,Rebelution,Inhale Exhale
128,Washington,District of Columbia,Leo Sayer,Occupy
129,Washington,District of Columbia,Charles Trénet,AMERICAN SOUVENIRS
130,Washington,District of Columbia,Pat Green,Washington Avenue
131,Washington,District of Columbia,The Fixx,The Strain
132,Washington,District of Columbia,Greg Brown,Down in the Valley
133,Washington,District of Columbia,Boxcar Willie,Wreck of Old 97
134,Washington,District of Columbia,Animaniacs,Wakko's America
135,Washington,District of Columbia,Aswad,Gotta Find a Way
136,Washington,District of Columbia,Animaniacs,The Presidents
137,Washington,District of Columbia,The Last Poets,E Pluribus Unum
138,Washington,District of Columbia,Domino,Money Is Everything
139,Washington,District of Columbia,Born Jamericans,Yardcore
140,Washington,District of Columbia,Jello Biafra,Grow More Pot
141,Washington,District of Columbia,American Music Club,Patriot's Heart
142,Washington,District of Columbia,Manu Chao,Tristeza Maleza
143,Washington,District of Columbia,Clutch,The Elephant Riders
144,Washington,District of Columbia,Jimmy Barnes,Boys Cry out for War
145,Washington,District of Columbia,Bruce Dickinson,Breeding House [Bonus Track]
146,Washington,District of Columbia,Don McDermott,My American Home
147,Washington,District of Columbia,Jay Ducharme,Everybody Laugh
148,Washington,District of Columbia,Jay Ducharme,Everybody Laugh
149,Washington,District of Columbia,Tha Team,Wave
150,Washington,District of Columbia,The Nuclears,Montana Motel Massacre
151,Washington,District of Columbia,Chiki Lora,Por Ti
152,Washington,District of Columbia,BLITTO,Manhattan
153,Washington,District of Columbia,El Sepulcro,Cielo
154,Washington,District of Columbia,We Believe,We'll Be the First Ones
155,Washington,District of Columbia,Caeser Pink & The Imperial Orgy,The Daily Grind
156,Washington,District of Columbia,Sick Balloons,Washington Bride
157,Washington,District of Columbia,Sleepover,Oregon
158,Washington,District of Columbia,Washington Brasileiro,Bora
159,Washington,District of Columbia,Washington Brasileiro,Bora
160,Washington,District of Columbia,Esham,If This Ain't Hell
161,Washington,District of Columbia,Sole,Our Dirty Big Secret
162,Washington,District of Columbia,Buchanan & Goodman,The Flying Saucer
163,Washington,District of Columbia,Cool Breeze,Cre-A-Tine
164,Washington,District of Columbia,The Long Winters,Scared Straight
165,Washington,District of Columbia,James Brown & His Famous Flames,Night Train [Bonus Track]
166,Washington,District of Columbia,Skindred,State of Emergency
167,Washington,District of Columbia,Sarah Harmer,Washington
