song_city,song_state,song_artist,song_name
Florida,Florida,Animal Collective,FloriDada
Florida,Florida,"T-Pain, Rick Ross, Kodak Black",Florida Boy
Florida,Florida,Butthole Surfers,Moving to Florida
Florida,Florida,The-Dream,Florida University
Florida,Florida,Birdman,No More
Florida,Florida,Chumbawamba,"Celebration, Florida"
Florida,Florida,Tom T. Hall,Lost in Florida
Florida,Florida,Jaheim,Florida
Florida,Florida,Vic Chesnutt,Florida
Florida,Florida,Grandaddy,Florida
Florida,Florida,Muddy Waters,Deep Down in Florida
Florida,Florida,Eric Clapton,Mainline Florida
Florida,Florida,Montgomery Gentry,Your Tears Are Comin'
Florida,Florida,"Pouya, Danny Towers",Florida's Finest
Florida,Florida,Van Morrison,Playhouse
Florida,Florida,Jorge Ben,O Homem da Gravata Florida
Florida,Florida,Lynyrd Skynyrd,Sweet Mama
Florida,Florida,The Rocket Summer,"FL, CA"
Florida,Florida,Flor De Sal,Borboletas
Florida,Florida,Dar Williams,Closer to Me
Florida,Florida,Solange,Almeda
Florida,Florida,Less than Jake,The State of Florida
Florida,Florida,Clay Walker,I'd Say That's Right
Florida,Florida,Modest Mouse,Florida
Florida,Florida,Johnny Cash,Orange Blossom Special
Florida,Florida,Bill Monroe,Orange Blossom Special
Florida,Florida,Johnny Cash,Orange Blossom Special [#[]
Florida,Florida,Bill Monroe & His Bluegrass Boys,Orange Blossom Special
Florida,Florida,Charlie Daniels,Orange Blossom Special
Florida,Florida,Master P,"Bout It, Bout It II"
Florida,Florida,Master P,"I'm Bout It, Bout It"
Florida,Florida,Lana Del Rey,Florida Kilos
Florida,Florida,Dolly Parton,Orange Blossom Special
Florida,Florida,Fat Joe,Go Ahead
Florida,Florida,Mudhoney,Orange Ball-Peen Hammer
Florida,Florida,Santiano,Rolling The Woodpile
Florida,Florida,Johnny Cash,Orange Blossom Special [Live]
Florida,Florida,DJ Khaled,Bitch I'm from Dade County
Florida,Florida,Dierks Bentley,The South
Florida,Florida,Osborne Brothers,Orange Blossom Special
Florida,Florida,A Day to Remember,Another Song About The Weekend
Florida,Florida,A Day to Remember,Another Song About The Weekend [Acoustic]
Florida,Florida,Glen Campbell,Orange Blossom Special
Florida,Florida,The Highwaymen,Orange Blossom Special [Live]
Florida,Florida,Johnny Cash,Orange Bloosom Special
Florida,Florida,Johnny Cash,Orange Blossom Special [DVD]
Florida,Florida,Pouya,Aftershock
Florida,Florida,The Carter Family,Orange Blossom Special
Florida,Florida,Hank Thompson,Orange Blossom Special
Florida,Florida,Kodak Black,I Get The Bag [Remix]
Florida,Florida,A Day to Remember,In Florida
Florida,Florida,Charlie McCoy,Orange Blossom Special
Florida,Florida,Patty Griffin,Don't Let Me Die in Florida
Florida,Florida,Buddy Greene,Orange Blossom Special
Florida,Florida,The Almost,The Florida Sun
Florida,Florida,Wesley Smith,Driving to Florida
Florida,Florida,Stevie E,Da Heart
Florida,Florida,Push Kings,Florida
Florida,Florida,As Fast As,Florida Sunshine
Florida,Florida,Nanci Griffith,Shaking Out the Snow
Florida,Florida,Chase Rice,Country in Ya
Florida,Florida,Drive-By Truckers,Life In the Factory
Florida,Florida,Copeland,California
Florida,Florida,Van Zant,Sweet Mama
Florida,Florida,Hey Monday,Arizona
Florida,Florida,The New Basement Tapes,Florida Key
Florida,Florida,The Dangerous Summer,Everyone Left
Florida,Florida,"Pouya, Boobie Lootaveli",Muddy Waters
Florida,Florida,Robin Zoot,Česká Floriida
Florida,Florida,Pouya,FIVE FIVE
Florida,Florida,Pouya,Florida Thang
Florida,Florida,James Brown,Night Train
Florida,Florida,Lynyrd Skynyrd,Four Walls of Raiford [Undubbed Demo; Previously Unreleased Track; Version]
Florida,Florida,Lynyrd Skynyrd,Four Walls of Raiford
Florida,Florida,Bobby Darin,Ace in the Hole
Florida,Florida,Neil Young,Florida
Florida,Florida,The Beach Boys,Goin' South
Florida,Florida,Master P,"I'm 'Bout It, 'Bout It"
Florida,Florida,James Brown,Night Train [Live]
Florida,Florida,Nat King Cole,Love Is Sweeping the Country
Florida,Florida,P!nk,(Hey Why) Miss You Sometime
Florida,Florida,Superchunk,Florida's on Fire [Acoustic Demo]
Florida,Florida,Luke Bryan,This Is How We Roll (Remix)
Florida,Florida,The Bellamy Brothers,You Ain't Just Whistlin' Dixie
Florida,Florida,Jamie Foxx,Georgia
Florida,Florida,Field Mob,Georgia
Florida,Florida,Less than Jake,Goodbye in Gasoline
Florida,Florida,Trina,B**** I'm from Dade County
Florida,Florida,Drake,From Florida With Love
Florida,Florida,Cracker,Don't Bring Us Down
Florida,Florida,The Statler Brothers,Streets of San Francisco
Florida,Florida,Sun Kil Moon,Day in America
Florida,Florida,Brandy,Sirens [Non-Album Track]
Florida,Florida,Lil Duke,I Bought Her
Florida,Florida,Unlinked Artist,Orange Blossom Special
Florida,Florida,Rich Homie Quan,Around The World
Florida,Florida,T-Pain & Lil Wayne,Heavy Chevy
Florida,Florida,David Allan Coe,Blue Grass Morning
Florida,Florida,Ricardo Arjona,Puente [Caribe; Version]
Florida,Florida,Ricardo Arjona,Puente [Acústico; Version]
Florida,Florida,Luke Bryan,This Is How We Roll [Remix]
