,city,state,artist,song
0,Georgia,Georgia,Jamie Foxx,Georgia
1,Georgia,Georgia,Field Mob,Georgia
2,Georgia,Georgia,Jamie Foxx,Georgia
3,Georgia,Georgia,Lil Wayne,Georgia... Bush
4,Georgia,Georgia,Count Basie,Sweet Georgia Brown [DVD]
5,Georgia,Georgia,The Coasters,Sweet Georgia Brown
6,Georgia,Georgia,Matt Monro,Georgia on My Mind
7,Georgia,Georgia,Field Mob,Georgia
8,Georgia,Georgia,Blind Willie McTell,Georgia Rag
9,Georgia,Georgia,Louie Bellson,Sweet Georgia Brown
10,Georgia,Georgia,Ray Charles,Georgia on My Mind
11,Georgia,Georgia,Ray Charles,Georgia on My Mind
12,Georgia,Georgia,Têtes Raides,Georgia
13,Georgia,Georgia,"Pearl Bailey, Louie Bellson",Sweet Georgia Brown
14,Georgia,Georgia,Maxine Sullivan,Sweet Georgia Brown
15,Georgia,Georgia,Lil Wayne,Outro
16,Georgia,Georgia,Alberta Hunter,Sweet Georgia Brown
17,Georgia,Georgia,Big K.R.I.T.,Miss Georgia Fornia
18,Georgia,Georgia,Georgia Bill,Georgia Rag
19,Georgia,Georgia,Louis Armstrong,Georgia Grind
20,Georgia,Georgia,Louis Armstrong,Georgia on My Mind
21,Georgia,Georgia,Frankie Laine,Georgia on My Mind
22,Georgia,Georgia,Dean Martin,Georgia on My Mind
23,Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia
24,Georgia,Georgia,Glenn Miller,Georgia on My Mind
25,Georgia,Georgia,Louis Armstrong,Georgia on My Mind
26,Georgia,Georgia,Michael Bolton,Georgia on My Mind
27,Georgia,Georgia,Michael Bolton,Georgia on My Mind
28,Georgia,Georgia,Kasey Chambers,Georgia Brown
29,Georgia,Georgia,Anita O'Day,Sweet Georgia Brown
30,Georgia,Georgia,Mel Tormé,Sweet Georgia Brown
31,Georgia,Georgia,Nat King Cole,Sweet Georgia Brown
32,Georgia,Georgia,Louis Armstrong,Sweet Georgia Brown
33,Georgia,Georgia,Ray Charles,Georgia on My Mind
34,Georgia,Georgia,Willie Nelson,Georgia on My Mind
35,Georgia,Georgia,James Brown,Georgia on My Mind
36,Georgia,Georgia,Willie Nelson,Georgia on My Mind
37,Georgia,Georgia,Drama,Outro
38,Georgia,Georgia,Ray Charles,Sweet Georgia Brown
39,Georgia,Georgia,Jackie Gleason,Sweet Georgia Brown [Previously Unreleased Track; Bonus Track]
40,Georgia,Georgia,Johnny Mercer,Sweet Georgia Brown
41,Georgia,Georgia,The Mills Brothers,Sweet Georgia Brown
42,Georgia,Georgia,"Bing Crosby, Isham Jones",Sweet Georgia Brown
43,Georgia,Georgia,Bing Crosby,Sweet Georgia Brown
44,Georgia,Georgia,Louis Armstrong,Georgia Grind
45,Georgia,Georgia,"Bing Crosby, Paul Whiteman, Paul Whiteman & His Orchestra",Sweet Georgia Brown
46,Georgia,Georgia,Lou Rawls,Georgia on My Mind
47,Georgia,Georgia,Cole Porter,Sweet Georgia Brown
48,Georgia,Georgia,Ray Charles,Georgia on My Mind
49,Georgia,Georgia,Eddy Arnold,Georgia on My Mind
50,Georgia,Georgia,James Brown,Georgia on My Mind
51,Georgia,Georgia,Frank Sinatra,Sweet Georgia Brown
52,Georgia,Georgia,Billie Holiday,Georgia on My Mind
53,Georgia,Georgia,Hoagy Carmichael,Georgia On My Mind
54,Georgia,Georgia,Billie Holiday,Georgia on My Mind
55,Georgia,Georgia,Elmer Bernstein,Sweet Georgia Brown
56,Georgia,Georgia,Louis Armstrong,Sweet Georgia Brown
57,Georgia,Georgia,Brenda Lee,Georgia On My Mind
58,Georgia,Georgia,Ella Fitzgerald,Georgia on My Mind
59,Georgia,Georgia,Billy Vaughn,Sweet Georgia Brown
60,Georgia,Georgia,Bad Company,"Oh, Atlanta"
61,Georgia,Georgia,Charley Pride,Georgia Keeps Pulling on My Ring
62,Georgia,Georgia,J.J. Cale,Heads in Georgia
63,Georgia,Georgia,Hoagy Carmichael,Georgia On My Mind
64,Georgia,Georgia,Ella Fitzgerald,Georgia on My Mind
65,Georgia,Georgia,Roberta Flack,Sweet Georgia Brown
66,Georgia,Georgia,Brittany Howard,Georgia
67,Georgia,Georgia,Tanya Tucker,Blood Red and Goin' Down
68,Georgia,Georgia,Tanya Tucker,Blood Red and Going Down
69,Georgia,Georgia,Ethel Waters,Sweet Georgia Brown
70,Georgia,Georgia,Ray Charles,Georgia on My Mind
71,Georgia,Georgia,Nat Gonella & His New Georgians,Georgia on My Mind
72,Georgia,Georgia,Bing Crosby,Georgia on My Mind
73,Georgia,Georgia,Steve Winwood,Georgia on My Mind
74,Georgia,Georgia,Steve Winwood,Georgia on My Mind
75,Georgia,Georgia,Harry Gold And His Pieces Of Eight,Sweet Georgia Brown
76,Georgia,Georgia,Billy Eckstine,Sweet Georgia Brown
77,Georgia,Georgia,Roberta Flack,Sweet Georgia Brown
78,Georgia,Georgia,Malcolm Lockyer,Georgia On My Mind
79,Georgia,Georgia,Conway Twitty,Georgia Keeps Pulling on My Ring
80,Georgia,Georgia,The Band,Georgia on My Mind
81,Georgia,Georgia,Diahann Carroll,Sweet Georgia Brown
82,Georgia,Georgia,Peggy Lee,Georgia on My Mind
83,Georgia,Georgia,Jerry Lee Lewis,Sweet Georgia Brown
84,Georgia,Georgia,Dukes of Dixieland,Sweet Georgia Brown
85,Georgia,Georgia,Conway Twitty,Georgia Keeps Pulling on My Ring
86,Georgia,Georgia,Garth Brooks,Midnight Train to Georgia
87,Georgia,Georgia,Aretha Franklin,Midnight Train To Georgia [Live]
88,Georgia,Georgia,Annie Lennox,Georgia On My Mind
89,Georgia,Georgia,Annie Lennox,Georgia On My Mind
90,Georgia,Georgia,Tanya Tucker,Blood Red and Goin' Down
91,Georgia,Georgia,The Nields,Georgia O
92,Georgia,Georgia,Nat Gonella & His Georgians,Georgia on My Mind
93,Georgia,Georgia,Jools Holland,Georgia on My Mind
94,Georgia,Georgia,Gladys Knight & the Pips,Midnight Train To Georgia
95,Georgia,Georgia,Gladys Knight & the Pips,Midnight Train To Georgia [Single Version]
96,Georgia,Georgia,Steve Tyrell,Georgia on My Mind
97,Georgia,Georgia,Elton John,Georgia
98,Georgia,Georgia,Gladys Knight & the Pips,Midnight Train To Georgia
99,Georgia,Georgia,Alison Krauss,"Oh, Atlanta"
100,Georgia,Georgia,Crystal Gayle,Georgia on My Mind
101,Georgia,Georgia,Lynyrd Skynyrd,Georgia Peaches
102,Georgia,Georgia,Sophie B. Hawkins,Georgia
103,Georgia,Georgia,Nancy Sinatra,Sweet Georgia Brown
104,Georgia,Georgia,The Beatles,Sweet Georgia Brown
105,Georgia,Georgia,Queen Latifah,Georgia Rose
106,Georgia,Georgia,Indigo Girls,Midnight Train to Georgia
107,Georgia,Georgia,Tiggs Da Author,Georgia
108,Georgia,Georgia,Egert Milder,Georgia (On My Mind)
109,Georgia,Georgia,Boz Scaggs,Georgia
110,Georgia,Georgia,Boz Scaggs,Georgia
111,Georgia,Georgia,Boz Scaggs,Georgia
112,Georgia,Georgia,George Melly,Georgia on My Mind
113,Georgia,Georgia,Ernie K-Doe,Tell Me
114,Georgia,Georgia,Pete Best,Sweet Georgia Brown
115,Georgia,Georgia,Jim Croce,Walkin' Back to Georgia
116,Georgia,Georgia,Frankie Trumbauer,Georgia on My Mind
117,Georgia,Georgia,Shenandoah,The Moon over Georgia
118,Georgia,Georgia,Trisha Yearwood,Georgia Rain
119,Georgia,Georgia,夏韶声,Georgia On My Mind
120,Georgia,Georgia,Dick Haymes,Georgia on My Mind
121,Georgia,Georgia,The Four Knights,Georgia on My Mind
122,Georgia,Georgia,Van Morrison,Georgia on My Mind
123,Georgia,Georgia,Miranda Lambert,What About Georgia?
124,Georgia,Georgia,Joan Baez,San Francisco Mabel Joy
125,Georgia,Georgia,Doug Stone,Georgia on My Mind
126,Georgia,Georgia,Josh Kelley,20 Miles to Georgia
127,Georgia,Georgia,John Denver,San Francisco Mabel Joy
128,Georgia,Georgia,Mel Tillis,Guide Me Home My Georgia Moon
129,Georgia,Georgia,Gentle Giant,Sweet Georgia Brown [Breakdown in Brussels]
130,Georgia,Georgia,G. Love & Special Sauce,Georgia Brown
131,Georgia,Georgia,Pavement,Unseen Power of the Picket Fence
132,Georgia,Georgia,Bobby Solo,Georgia on My Mind
133,Georgia,Georgia,"Offenbach, Gerry Boulet, Le Vic Vogel Jazz Big Band",Georgia on My Mind (feat. Gerry Boulet & Le Vic Vogel Jazz Big Band)
134,Georgia,Georgia,Nanci Griffith,Going Back to Georgia
135,Georgia,Georgia,Rory Partin,Georgia on My Mind
136,Georgia,Georgia,Jason Aldean,Talk About Georgia
137,Georgia,Georgia,David Allan Coe,San Francisco Mabel Joy
138,Georgia,Georgia,David Allan Coe,San Francisco Mable Joy
139,Georgia,Georgia,Lynn Anderson,Midnight Train to Georgia
140,Georgia,Georgia,Phil Vassar,Athens Grease
141,Georgia,Georgia,方大同,Georgia On My Mind
142,Georgia,Georgia,Brook Benton,Rainy Night In Georgia
143,Georgia,Georgia,Hank Snow,Miller's Cave
144,Georgia,Georgia,Ella Fitzgerald,Sweet Georgia Brown
145,Georgia,Georgia,Waylon Jennings,San Francisco Mabel Joy
146,Georgia,Georgia,Wayne Bergeron,Georgia
147,Georgia,Georgia,Bill Henderson,Sweet Georgia Brown
148,Georgia,Georgia,Sarah Vaughan,Sweet Georgia Brown
149,Georgia,Georgia,"Buck Clayton, Ben Webster",Sweet Georgia Brown
150,Georgia,Georgia,Conway Twitty,Rainy Night in Georgia
151,Georgia,Georgia,Kenny Rogers,San Francisco Mabel Joy
152,Georgia,Georgia,Edward Kennedy Ellington,Sweet Georgia Brown
153,Georgia,Georgia,Lionel Hampton,Sweet Georgia Brown
154,Georgia,Georgia,Ray Charles,Rainy Night in Georgia
155,Georgia,Georgia,Memphis Minnie,Georgia Skin Blues
156,Georgia,Georgia,John Holt,Rainy Night in Georgia
157,Georgia,Georgia,Tete Montoliu,Sweet Georgia Brown
158,Georgia,Georgia,Kris Kristofferson,San Francisco Mabel Joy [Bonus Track]
159,Georgia,Georgia,Alabama,Burn Georgia Burn
160,Georgia,Georgia,Count Basie,Sweet Georgia Brown
161,Georgia,Georgia,张岭,Georgia On My Mind
162,Georgia,Georgia,Boo Ray,Gone Back Down to Georgia
163,Georgia,Georgia,The Crusaders,Rainy Night in Georgia
164,Georgia,Georgia,Brook Benton,Rainy Night In Georgia
165,Georgia,Georgia,2 Chainz,Georgia
166,Georgia,Georgia,Isham Jones,Sweet Georgia Brown
167,Georgia,Georgia,Surfer Blood,Slow Jabroni
168,Georgia,Georgia,Nat King Cole Trio,Sweet Georgia Brown
169,Georgia,Georgia,The Skatalites,Rainy Night in Georgia
170,Georgia,Georgia,Dean Martin,If I Ever Get Back to Georgia
171,Georgia,Georgia,Herbie Mann,Rainy Night in Georgia
172,Georgia,Georgia,Al Hirt,Rainy Night in Georgia
173,Georgia,Georgia,Alison Krauss & Union Station,"Oh, Atlanta"
174,Georgia,Georgia,Kicks Band,Georgia on My Mind
175,Georgia,Georgia,Boz Scaggs,Rainy Night in Georgia
176,Georgia,Georgia,Nelson Riddle & His Orchestra,Rainy Night in Georgia
177,Georgia,Georgia,Conway Twitty,Burn Georgia Burn
178,Georgia,Georgia,Rod Stewart,Rainy Night In Georgia
179,Georgia,Georgia,k.d. lang,Georgia Stars
180,Georgia,Georgia,"Hank Williams, Jr.",Rainy Night in Georgia
181,Georgia,Georgia,Tennessee Ernie Ford,Rainy Night in Georgia
182,Georgia,Georgia,Otis Rush,Rainy Night in Georgia
183,Georgia,Georgia,Arthur Prysock,Rainy Night in Georgia
184,Georgia,Georgia,B.J. Thomas,Rainy Night in Georgia
185,Georgia,Georgia,B.J. Thomas,Rainy Night in Georgia
186,Georgia,Georgia,B.J. Thomas,Rainy Night in Georgia
187,Georgia,Georgia,Chris Young,Rainy Night in Georgia
188,Georgia,Georgia,Dave Dudley,Through Hell and Half of Georgia
189,Georgia,Georgia,Carmen McRae,Sweet Georgia Brown
190,Georgia,Georgia,Arthur Prysock,Rainy Night in Georgia
191,Georgia,Georgia,Deep Purple,Georgia on My Mind
192,Georgia,Georgia,Rosemary Clooney,Peachtree Street
193,Georgia,Georgia,Little Milton,A Rainy Night in Georgia
194,Georgia,Georgia,Johnny Rivers,Rainy Night in Georgia
195,Georgia,Georgia,Reba McEntire,The Night the Lights Went Out in Georgia
196,Georgia,Georgia,John Hiatt,Georgia Rae
197,Georgia,Georgia,Wynn Stewart,Rainy Night in Georgia
198,Georgia,Georgia,Ethel Waters,Georgia Blues
199,Georgia,Georgia,Shelby Lynne,Track 12
200,Georgia,Georgia,Ryan Bingham,Long Way from Georgia
201,Georgia,Georgia,Lauren Alaina ,Georgia Peaches
202,Georgia,Georgia,Tom Waits,Georgia Lee
203,Georgia,Georgia,Aaron Neville,Rainy Night in Georgia
204,Georgia,Georgia,Neil Diamond,Midnight Train to Georgia
205,Georgia,Georgia,B.J. Thomas,Rainy Night in Georgia
206,Georgia,Georgia,JJ Grey,Georgia Warhorse
207,Georgia,Georgia,Eddie Floyd,Rainy Night in Georgia
208,Georgia,Georgia,Gary Allan,Songs About Rain
209,Georgia,Georgia,Chuck Jackson,Rainy Night in Georgia
210,Georgia,Georgia,The Lone Bellow,Heaven Don't Call Me Home
211,Georgia,Georgia,Gary Allan,Songs About Rain
212,Georgia,Georgia,Acker Bilk,A Rainy Night in Georgia
213,Georgia,Georgia,Zoot Sims,Georgia
214,Georgia,Georgia,B.J. Thomas,Gonna Send You Back to Georgia
215,Georgia,Georgia,Bill Hearne,Going Back to Georgia
216,Georgia,Georgia,Unlinked Artist,Midnight Train to Georgia
217,Georgia,Georgia,Joe Purdy,You Can Tell Georgia
218,Georgia,Georgia,Knight,Midnight Train to Georgia
219,Georgia,Georgia,Randy Crawford,Rainy Night in Georgia
220,Georgia,Georgia,Acker Bilk,A Rainy Night in Georgia
221,Georgia,Georgia,Acker Bilk,A Rainy Night in Georgia
222,Georgia,Georgia,Lynn Anderson,Night the Lights Went Out in Georgia
223,Georgia,Georgia,"Speech, The Vagabond Family",Seeing for the First Time
224,Georgia,Georgia,Diamond Rio,Meet in the Middle
225,Georgia,Georgia,Diamond Rio,Meet in the Middle
226,Georgia,Georgia,Montgomery Gentry,Your Tears Are Comin'
227,Georgia,Georgia,The Beatles,Back In The U.S.S.R.
228,Georgia,Georgia,Bobby Bare,Miller's Cave
229,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
230,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
231,Georgia,Georgia,The Beatles,Back In The U.S.S.R.
232,Georgia,Georgia,Don Williams,Miller's Cave
233,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
234,Georgia,Georgia,Dennis Edwards,Rainy Night In Georgia
235,Georgia,Georgia,Hank Snow,If I Ever Get Back to Georgia
236,Georgia,Georgia,Charley Pride,Miller's Cave
237,Georgia,Georgia,Lynyrd Skynyrd,Call Me The Breeze
238,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze [Mono Version; Live; Multimedia Track]
239,Georgia,Georgia,Tony Joe White,Rainy Night in Georgia
240,Georgia,Georgia,David Ruffin,Rainy Night in Georgia
241,Georgia,Georgia,Johnny Cash,Call Me the Breeze [Bonus Track]
242,Georgia,Georgia,Phish,Back in the U.S.S.R.
243,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
244,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze [Live]
245,Georgia,Georgia,Jason Aldean,My Kinda Party
246,Georgia,Georgia,Billy Joel,Back in the U.S.S.R.
247,Georgia,Georgia,Paul McCartney,Back in the U.S.S.R. (Reprise) [DVD]
248,Georgia,Georgia,Jason Aldean,My Kinda Party
249,Georgia,Georgia,Blake Shelton,God's Country
250,Georgia,Georgia,The Persuasions,Rainy Night in Georgia
251,Georgia,Georgia,Kevin Abstract,Georgia
252,Georgia,Georgia,Santiano,Rolling The Woodpile
253,Georgia,Georgia,Rasheeda,Georgia Peach
254,Georgia,Georgia,Tony Sheridan,Sweet Georgia Brown
255,Georgia,Georgia,Elizabeth Cook,Thick Georgia Woman
256,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
257,Georgia,Georgia,Webb Pierce,Georgia Town Blues
258,Georgia,Georgia,2Pac,Crooked Nigga Too [Raphael Saadiq Remix]
259,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
260,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze [Live; Bonus Track]
261,Georgia,Georgia,Diamond Rio,Meet Me in the Middle
262,Georgia,Georgia,Willie Mabon,Rainy Night in Georgia
263,Georgia,Georgia,Amos Garrett,Rainy Night in Georgia
264,Georgia,Georgia,Bonfire,Down to Atlanta
265,Georgia,Georgia,Eddie Shaw,Rainy Night in Georgia
266,Georgia,Georgia,Tyler Carter,Georgia
267,Georgia,Georgia,Jerry Reed,Miller's Cave
268,Georgia,Georgia,Paul McCartney,Back in the USSR
269,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
270,Georgia,Georgia,Ramsey Lewis,Back in the U.S.S.R.
271,Georgia,Georgia,B.J. Thomas,Miller's Cave
272,Georgia,Georgia,Unlinked Artist,Rainy Night in Georgia
273,Georgia,Georgia,Nicky Thomas,Rainy Night in Georgia
274,Georgia,Georgia,David Allan Coe,Call Me the Breeze
275,Georgia,Georgia,Brantley Gilbert,My Kinda Party
276,Georgia,Georgia,Eric Essix,Rainy Night in Georgia
277,Georgia,Georgia,Louis Armstrong,Miller's Cave
278,Georgia,Georgia,Elton John,Back in the U.S.S.R.
279,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
280,Georgia,Georgia,Paul McCartney,Back in the U.S.S.R. [DVD]
281,Georgia,Georgia,Lynyrd Skynyrd,Call Me the Breeze
282,Georgia,Georgia,Ken Parker,Rainy Night in Georgia
283,Georgia,Georgia,Gil Parris,A Rainy Night in Georgia
284,Georgia,Georgia,Yuck,Georgia
285,Georgia,Georgia,Ciara,Stuck on You
286,Georgia,Georgia,The International Submarine Band,Miller's Cave
287,Georgia,Georgia,Kenny Price,San Francisco Mabel Joy
288,Georgia,Georgia,White Plains,Julie Do Ya Love Me
289,Georgia,Georgia,Vance Gilbert,Rainy Night in Georgia
290,Georgia,Georgia,Hem,Rainy Night in Georgia
291,Georgia,Georgia,Kacey Jones,San Francisco Mabel Joy
292,Georgia,Georgia,Black Lips,Georgia
293,Georgia,Georgia,The International Submarine Band,I Still Miss Someone
294,Georgia,Georgia,Tony Joe White,Rainy Night in Georgia [Boozoo Bajou's Georgia Dub]
295,Georgia,Georgia,Billy Scott,Rainy Night in Georgia
296,Georgia,Georgia,Billy Lee Riley,Rainy Night in Georgia
297,Georgia,Georgia,Zora Young,Rainy Night in Georgia
298,Georgia,Georgia,Dave Dudley,Cold Wind Through Georgia
299,Georgia,Georgia,Hanson,Georgia
300,Georgia,Georgia,Chubby Checker,Back in the USSR
301,Georgia,Georgia,Eric Essex,Rainy Night in Georgia
302,Georgia,Georgia,Jeff Healey,Macon Georgia Blue
303,Georgia,Georgia,Ramsey Lewis,Back in the U.S.S.R. [Album Version]
304,Georgia,Georgia,Nick Colionne,Rainy Night in Georgia
305,Georgia,Georgia,The Bee's Knees,Rainy Night in Georgia
306,Georgia,Georgia,Hearts of Stone,Rainy Night in Georgia
307,Georgia,Georgia,Earl Van Dyke,Rainy Night in Georgia
308,Georgia,Georgia,Blues Boy Willie,Rainy Night in Georgia
309,Georgia,Georgia,Macavine Hayes,Rainy Night in Georgia/King Bee/Snatch That Thing [DVD]
310,Georgia,Georgia,Liane Carroll,Rainy Night in Georgia
311,Georgia,Georgia,Hank Snow,The Atlantic Coastal Line
312,Georgia,Georgia,James Brown,Night Train
313,Georgia,Georgia,Charlie Daniels,Georgia
314,Georgia,Georgia,Charlie Daniels,Georgia
315,Georgia,Georgia,Django Reinhardt,Sweet Georgia Brown
316,Georgia,Georgia,Vince Gill,Sweet Augusta Darlin'
317,Georgia,Georgia,James Brown,Night Train
318,Georgia,Georgia,Blind Willie McTell,Low Down Blues
319,Georgia,Georgia,Blind Willie McTell,"Lord, Send Me an Angel"
320,Georgia,Georgia,James Brown,Night Train
321,Georgia,Georgia,Willie Nelson,Columbus Stockade Blues
322,Georgia,Georgia,Toby Keith,Sweet
323,Georgia,Georgia,Keith Urban,Who Wouldn't Wanna Be Me [Multimedia Track]
324,Georgia,Georgia,Hit Crew,Rainy Night in Georgia
325,Georgia,Georgia,John Mayer,Why Georgia
326,Georgia,Georgia,James Brown,Night Train
327,Georgia,Georgia,Willie Nelson,I Been to Georgia on a Fast Train
328,Georgia,Georgia,John Mayer,Why Georgia
329,Georgia,Georgia,Django Reinhardt,Sweet Georgia Brown
330,Georgia,Georgia,Atlanta Rhythm Section,Georgia Rhythm
331,Georgia,Georgia,Dead Kennedys,Back in the U.S.S.R.
332,Georgia,Georgia,Them,I'm Gonna Dress in Black
333,Georgia,Georgia,Atlanta Rhythm Section,Georgia Rhythm
334,Georgia,Georgia,Home Free,Meet in the Middle
335,Georgia,Georgia,Keith Urban,Who Wouldn't Wanna Be Me
336,Georgia,Georgia,Jason Aldean,I Took It with Me
337,Georgia,Georgia,Jason Aldean,Country Boy's World
338,Georgia,Georgia,K. Michelle,Pay My Bills
339,Georgia,Georgia,Elliott Smith,"Georgia, Georgia"
