,city,state,artist,song
0,Hawaii,Hawaii,The Beach Boys,Hawaii
1,Hawaii,Hawaii,The Queers,Hawaii
2,Hawaii,Hawaii,Luciano,Hawaii
3,Hawaii,Hawaii,The Strokes,Hawaii
4,Hawaii,Hawaii,Böri W 232,Hawaii Gömleğim
5,Hawaii,Hawaii,The Beach Boys,Kona Coast
6,Hawaii,Hawaii,The Beach Boys,Melekalikimaka [Previously Unreleased Track]
7,Hawaii,Hawaii,Elvis Presley,"Paradise, Hawaiian Style"
8,Hawaii,Hawaii,The Beach Boys,Melekalikimaka [Previously Unreleased Track]
9,Hawaii,Hawaii,Elvis Presley,Paradise
10,Hawaii,Hawaii,Bing Crosby,Hawaiian Paradise
11,Hawaii,Hawaii,Bing Crosby,Mele Kalikimaka [2:57]
12,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka [Merry Christmas]
13,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka [2:53]
14,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka
15,Hawaii,Hawaii,Ziggy Marley,Beach In Hawaii
16,Hawaii,Hawaii,The Andrews Sisters,Mele Kalikimaka [Merry Christmas]
17,Hawaii,Hawaii,Katy Perry,Harleys in Hawaii
18,Hawaii,Hawaii,Jake Owen,Mele Kalikimaka
19,Hawaii,Hawaii,Ziggy Marley,Beach In Hawaii
20,Hawaii,Hawaii,Ziggy Marley,Beach In Hawaii
21,Hawaii,Hawaii,Zooey Deschanel,Mele Kalikimaka
22,Hawaii,Hawaii,TUBE,憧れのハワイ航路
23,Hawaii,Hawaii,Brian Wilson,In Blue Hawaii
24,Hawaii,Hawaii,Bijou Phillips,Hawaii
25,Hawaii,Hawaii,John Anderson,Hawaia in Hawaii
26,Hawaii,Hawaii,Asleep at the Wheel,Mele Kalikimaka
27,Hawaii,Hawaii,Hank Snow,Everybody Does It in Hawaii
28,Hawaii,Hawaii,ABBA,Happy Hawaii
29,Hawaii,Hawaii,ABBA,Happy Hawaii
30,Hawaii,Hawaii,ABBA,Happy Hawaii [Bonus Track]
