,city,state,artist,song
0,Idaho,Idaho,The B-52's,Private Idaho
1,Idaho,Idaho,The B-52's,Private Idaho
2,Idaho,Idaho,The B-52's,Private Idaho
3,Idaho,Idaho,"Pato Fu, Giramundo",Private Idaho [Ao Vivo]
4,Idaho,Idaho,Josh Ritter,Idaho
5,Idaho,Idaho,Eddy Arnold,Idaho
6,Idaho,Idaho,Rednex,Get the Truck Loaded
7,Idaho,Idaho,Gorillaz,Idaho
8,Idaho,Idaho,Train,Idaho
9,Idaho,Idaho,Nerina Pallot,Idaho
10,Idaho,Idaho,Feeder,Idaho
11,Idaho,Idaho,Félix Dyotte,Stop Idaho
12,Idaho,Idaho,Bryan Lanning,Idaho
13,Idaho,Idaho,Hannah Fury,Idaho
14,Idaho,Idaho,Dick Haymes,Idaho
15,Idaho,Idaho,June Christy,Idaho
16,Idaho,Idaho,Benny Goodman,Idaho
17,Idaho,Idaho,John Linnell,Idaho
18,Idaho,Idaho,Reckless Kelly,Idaho
19,Idaho,Idaho,Sandy Rapp,Ten Percent
20,Idaho,Idaho,Brenn Hill,Lady Idaho
21,Idaho,Idaho,Merle Haggard,Amber Waves of Grain
22,Idaho,Idaho,Merle Haggard,Amber Waves of Grain
23,Idaho,Idaho,Foo Fighters,Danny Says
24,Idaho,Idaho,Grant Lee Buffalo,Halloween
25,Idaho,Idaho,ADOY,Domino
26,Idaho,Idaho,Benny Goodman & His Orchestra,Idaho
27,Idaho,Idaho,The New Amsterdams,Idaho
28,Idaho,Idaho,Liz Phair,Johnny Sunshine
29,Idaho,Idaho,Ronnie Ronalde,Sweetwater Mountain
30,Idaho,Idaho,Delta Spirit,Idaho
31,Idaho,Idaho,Sonny James,Don't Cut Timber on a Windy Day
32,Idaho,Idaho,Built to Spill,Twin Falls
33,Idaho,Idaho,Gregory Alan Isakov,Idaho
34,Idaho,Idaho,RuPaul,Queens Everywhere
35,Idaho,Idaho,Tenacious D,City Hall
36,Idaho,Idaho,Chris LeDoux,Sons of the Pioneers
37,Idaho,Idaho,The Refreshments,Interstate
38,Idaho,Idaho,Matt Takiff,Mexican Paintbrush
39,Idaho,Idaho,Juan Pablo,2040
40,Idaho,Idaho,mewithoutYou,D-Minor
41,Idaho,Idaho,Brad,Lift
42,Idaho,Idaho,Guttermouth,What If?
43,Idaho,Idaho,Rednex,Nowhere in Idaho
44,Idaho,Idaho,Caamp,All the Debts I Owe
45,Idaho,Idaho,Hank Snow,I've Been Everywhere [Live]
46,Idaho,Idaho,Bing Crosby,Dear Hearts and Gentle People
47,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name
48,Idaho,Idaho,Bing Crosby,Dear Hearts and Gentle People
49,Idaho,Idaho,Stan Kenton,Tampico
50,Idaho,Idaho,Charlie Daniels,Cowboy Hat in Dallas
51,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name?
52,Idaho,Idaho,The Notorious B.I.G.,Who Shot Ya
53,Idaho,Idaho,The Notorious B.I.G.,Who Shot Ya
54,Idaho,Idaho,Marty Robbins,Saddle Tramp [Bonus Track]
55,Idaho,Idaho,Johnny Horton,The First Train Headin' South
56,Idaho,Idaho,"Emmylou Harris, Gillian Welch",Elvis Presley Blues
57,Idaho,Idaho,Marty Robbins,Saddle Tramp
58,Idaho,Idaho,Weird Al Yankovic,Addicted to Spuds
59,Idaho,Idaho,Marty Robbins,Old Red
60,Idaho,Idaho,Johnny Cash,Austin Prison
61,Idaho,Idaho,Judy Collins,Secret Gardens
62,Idaho,Idaho,Bob Dylan,Let Me Die in My Footsteps [outtake]
63,Idaho,Idaho,Dinah Shore,Dear Hearts and Gentle People
64,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name [Live; Previously Unreleased Track]
65,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name [Live at the Selland Arena]
66,Idaho,Idaho,Lynyrd Skynyrd,"What's Your Name [Live (1987/Reunion Arena, Dallas)]"
67,Idaho,Idaho,Marty Robbins,Saddle Tramp
68,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name
69,Idaho,Idaho,Lynyrd Skynyrd,T for Texas
70,Idaho,Idaho,George Jones,Ain't Love a Lot Like That
71,Idaho,Idaho,The Kingston Trio,Dogie's Lament
72,Idaho,Idaho,The Nitty Gritty Dirt Band,Santa Rosa
73,Idaho,Idaho,The Supremes,He's My Sunny Boy
74,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name
75,Idaho,Idaho,Dinah Shore,Dear Hearts and Gentle People
76,Idaho,Idaho,Diana Ross & the Supremes,He's My Sunny Boy
77,Idaho,Idaho,Lynn Anderson,I've Been Everywhere
78,Idaho,Idaho,The Supremes,He's My Sunny Boy
79,Idaho,Idaho,Anita O'Day,Special Delivery
80,Idaho,Idaho,Lynyrd Skynyrd,What's Your Name?
81,Idaho,Idaho,Johnny Cash,I've Been Everywhere
82,Idaho,Idaho,T.I.,Ready for Whatever
83,Idaho,Idaho,T.I.,Ready for Whatever
84,Idaho,Idaho,Game,Ali Bomaye
85,Idaho,Idaho,The Game,Ali Bomaye
86,Idaho,Idaho,Eminem,Speedom (WWC2)
87,Idaho,Idaho,Logic,Thank You
88,Idaho,Idaho,Johnny Cash,I've Been Everywhere
89,Idaho,Idaho,David LaMotte,Northbound
90,Idaho,Idaho,The Classic Crime,City of Orphans
91,Idaho,Idaho,The Kingston Trio,Aspen Gold
92,Idaho,Idaho,Snoop Dogg,Groupie
93,Idaho,Idaho,The Notorious B.I.G.,Who Shot Ya
94,Idaho,Idaho,Frank Ocean,Thinkin Bout You
95,Idaho,Idaho,The Weavers,The Gandy Dancer's Ball
96,Idaho,Idaho,Frank Ocean,Thinkin Bout You
97,Idaho,Idaho,Willie Nelson,I've Been Everywhere
98,Idaho,Idaho,Frankie Laine,The Gandy Dancer's Ball
99,Idaho,Idaho,Willie Nelson,I've Been Everywhere
100,Idaho,Idaho,Frankie Laine,The Gandy Dancer's Ball
101,Idaho,Idaho,The Game,Ali Bomaye
102,Idaho,Idaho,"KXNG CROOKED, The Game, Forever M.C., it's different",My Way
103,Idaho,Idaho,Lynn Anderson,I've Been Everywhere
104,Idaho,Idaho,Asleep at the Wheel,I've Been Everywhere
105,Idaho,Idaho,Allan Sherman,Holiday for States
106,Idaho,Idaho,Frank Zappa,Camarillo Brillo
107,Idaho,Idaho,Busta Rhymes,Everybody Rise Again
108,Idaho,Idaho,David Allan Coe,Mississippi River Queen
109,Idaho,Idaho,Lonestar,When Cowboys Didn't Dance
110,Idaho,Idaho,Tom Russell,Claude Dallas
111,Idaho,Idaho,June Christy,Tampico
112,Idaho,Idaho,Mos Def,Ms. Fat Booty
113,Idaho,Idaho,Kacey Musgraves,My House
114,Idaho,Idaho,Kid Rock,3 CATT Boogie
115,Idaho,Idaho,Kid Rock,3 CATT Boogie
116,Idaho,Idaho,Jake Owen,VW Van
117,Idaho,Idaho,Jake Owen,Anywhere With You
118,Idaho,Idaho,Frankie Laine,The Gnady Dancer's Ball
119,Idaho,Idaho,Dinah Shore,Dear Hearts and Gentle People
120,Idaho,Idaho,Frankie Laine,The Gandy Dancers' Ball
121,Idaho,Idaho,Bing Crosby,Dear Hearts and Gentle People
122,Idaho,Idaho,Stan Kenton,Tampico
123,Idaho,Idaho,Ice Cube,On Them Pills
124,Idaho,Idaho,Cheryl Wheeler,Potato
125,Idaho,Idaho,Audio Adrenaline,Let Love
126,Idaho,Idaho,E-40,Lieutenant Roast a Botch
127,Idaho,Idaho,Geto Boys,What?
128,Idaho,Idaho,Jake Owen,Anywhere with You
129,Idaho,Idaho,Mos Def,Ms. Fat Booty
130,Idaho,Idaho,Liz Phair,Six Dick Pimp
131,Idaho,Idaho,Mos Def,Ms. Fat Booty
132,Idaho,Idaho,Lynn Anderson,I've Been Everywhere
133,Idaho,Idaho,Sublime,"April 29, 1992 (Miami)"
134,Idaho,Idaho,Randy Newman,I Miss You
135,Idaho,Idaho,Link Wray,Soul Train
136,Idaho,Idaho,Blues Traveler,Just for Me
137,Idaho,Idaho,Ramones,Danny Says [Previously Unreleased Track; Bonus Track; Demo Version]
138,Idaho,Idaho,Harry Chapin,W*O*L*D
139,Idaho,Idaho,Mark Chesnutt,Old Flames Have New Names
140,Idaho,Idaho,John Fogerty,Somebody Help Me
141,Idaho,Idaho,John Fogerty,Somebody Help Me
142,Idaho,Idaho,Shawn Colvin,Secret Gardens
143,Idaho,Idaho,Tom Waits,Danny Says
144,Idaho,Idaho,Sublime,"April 29, 1992 (Miami)"
145,Idaho,Idaho,Dr. Dooom,Side Line
146,Idaho,Idaho,Mandy Patinkin,Rhode Island Is Famous for You
147,Idaho,Idaho,C.W. McCall,I've Trucked All Over This Land
148,Idaho,Idaho,Michael Feinstein,Rhode Island Is Famous for You
149,Idaho,Idaho,Ramones,Zero Zero UFO
150,Idaho,Idaho,Colt Ford,What I Call Home
151,Idaho,Idaho,Macklemore & Ryan Lewis,"White Privilege, Pt. 2"
152,Idaho,Idaho,John Prine,Lonesome Friends of Science
153,Idaho,Idaho,Devo,Red-Eye Express
154,Idaho,Idaho,John Prine,Taking a Walk
155,Idaho,Idaho,Devo,Red Eye
156,Idaho,Idaho,Randy Newman,I Miss You
157,Idaho,Idaho,Jewel,Here When Gone
158,Idaho,Idaho,Dick Haymes,Rhode Island Is Famous for You
159,Idaho,Idaho,Frank Ocean,Thinking About You
160,Idaho,Idaho,Ramones,Zero Zero U.F.O.
161,Idaho,Idaho,Young MC,Got More Rhymes
162,Idaho,Idaho,Young MC,Got More Rhymes
163,Idaho,Idaho,Lil Yachty,So Many People
164,Idaho,Idaho,Saint Etienne,Wood Cabin
165,Idaho,Idaho,Claude King,First Train Headin' South
166,Idaho,Idaho,Blossom Dearie,Rhode Island Is Famous for You
167,Idaho,Idaho,Blossom Dearie,Rhode Island is Famous For You
168,Idaho,Idaho,Ray Davies,A Place in Your Heart
169,Idaho,Idaho,Aimee Mann,Pavlov's Bell [Bonus Track]
170,Idaho,Idaho,Aimee Mann,Pavlov's Bell
171,Idaho,Idaho,Murs,Road Is My Religion
172,Idaho,Idaho,Cheryl Wheeler,Potato
173,Idaho,Idaho,Deacon Blue,James Joyce Soles
174,Idaho,Idaho,Deacon Blue,James Joyce Soles
175,Idaho,Idaho,A$AP Ferg,$pice Girls (2011)
176,Idaho,Idaho,Animaniacs,Wakko's America
177,Idaho,Idaho,Ian Tyson,Claude Dallas
178,Idaho,Idaho,"Timbuk 3 , Stan Ridgway",Salesman
179,Idaho,Idaho,Gillian Welch,"April the 14th, Pt. 1"
180,Idaho,Idaho,Gillian Welch,Elvis Presley Blues
181,Idaho,Idaho,Pato Banton,Go Pato
182,Idaho,Idaho,Chris LeDoux,Old Red
183,Idaho,Idaho,Fred Small,The Heart of the Appaloosa
184,Idaho,Idaho,Mary-Kate and Ashley Olsen,Ida Know
185,Idaho,Idaho,Kinky Friedman,Dear Abbie
186,Idaho,Idaho,Chris LeDoux,The Buckskin Lady
187,Idaho,Idaho,Gillian Welch,"April the 14th, Pt. 1"
188,Idaho,Idaho,Felt,Rain of Crystal Spires
189,Idaho,Idaho,The Click,Mr. Flamboyant
190,Idaho,Idaho,Iris DeMent,Easy's Gettin' Harder Every Day
191,Idaho,Idaho,Tha Alkaholiks,Sickness
192,Idaho,Idaho,Dr. Hook,What a Way to Go
193,Idaho,Idaho,Wesla Whitfield,Rhode Island Is Famous for You
194,Idaho,Idaho,Sun Kil Moon,Third and Seneca
195,Idaho,Idaho,The Groovie Ghoulies,Ghoulies Are Go!
196,Idaho,Idaho,Frank Black,Demon Girl
197,Idaho,Idaho,Calexico,Better and Better
198,Idaho,Idaho,Bubba Sparxxx,Wicked World
199,Idaho,Idaho,Living Colour,Who Shot Ya?
200,Idaho,Idaho,Lil Durk,When I Was Little
201,Idaho,Idaho,Christine McVie,Bad Journey
202,Idaho,Idaho,Faster Pussycat,Tattoo
203,Idaho,Idaho,Chris LeDoux,Horses and Cattle
204,Idaho,Idaho,YNW Melly,Rolling Loud
205,Idaho,Idaho,Savoy Brown,Everybody Says They Want It
206,Idaho,Idaho,Theory of a Deadman,What's Your Name [Bonus Track]
207,Idaho,Idaho,Bloodhound Gang,Ralph Wiggum [Snippet]
208,Idaho,Idaho,Stan Kenton & His Orchestra,Tampico
