,city,state,artist,song
0,Illinois,Illinois,Skip James,Illinois Blues
1,Illinois,Illinois,Skip James,Illinois Blues
2,Illinois,Illinois,Frank Zappa,The Illinois Enema Bandit [Incomplete Take]
3,Illinois,Illinois,Brett Eldredge,Illinois
4,Illinois,Illinois,The Drive Band,Illinois Blues
5,Illinois,Illinois,Alvin Youngblood Hart,Illinois Blues
6,Illinois,Illinois,Dan Fogelberg,Illinois
7,Illinois,Illinois,Brett Eldredge,Illinois
8,Illinois,Illinois,Wesley Willis,Illinois State Police
9,Illinois,Illinois,Jack Larsen,Ugly
10,Illinois,Illinois,Vermont,"These Dudes, They Got a Band"
11,Illinois,Illinois,John Hartford,Long Hot Summer Days
12,Illinois,Illinois,Old 97's,"Champaign, Illinois"
13,Illinois,Illinois,Lupe Fiasco,Made In The USA
14,Illinois,Illinois,REO Speedwagon,Ballad of the Illinois Opry
15,Illinois,Illinois,Luke Combs,Blue Collar Boys
16,Illinois,Illinois,Lil B,Cowboy Riding Horses in Illinois
17,Illinois,Illinois,Sara Watkins,Long Hot Summer Days
18,Illinois,Illinois,Andrew Bird,First Song
19,Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door
20,Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door
21,Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door
22,Illinois,Illinois,The Doobie Brothers,Long Train Runnin'
23,Illinois,Illinois,Creedence Clearwater Revival,Lookin' Out My Back Door
24,Illinois,Illinois,The Doobie Brothers,Long Train Runnin'
25,Illinois,Illinois,The Doobie Brothers,Long Train Runnin'
26,Illinois,Illinois,Doris Day,Just Blew in from the Windy City
27,Illinois,Illinois,Perry Como,Route 66
28,Illinois,Illinois,Richie Havens,Long Train Running
29,Illinois,Illinois,Logic,Thank You
30,Illinois,Illinois,Jim Croce,"Box, No. 10"
31,Illinois,Illinois,Jim Croce,Box #10
32,Illinois,Illinois,Mary Chapin Carpenter,John Doe No. 24
33,Illinois,Illinois,"Rich Homie Quan, Rocko",Driveway
34,Illinois,Illinois,ชาตรี ศรีชล,จดหมายจากผัวฝรั่ง
35,Illinois,Illinois,Haddie Jane,Windy City Boy
36,Illinois,Illinois,Bjølsen Valsemølle,Barber Greene
37,Illinois,Illinois,Suck Brick Kid,"I Put the """"Ill"""" In Illinois"
38,Illinois,Illinois,Slobberbone,"Springfield, IL"
39,Illinois,Illinois,Creedence Clearwater Revival,Looking' Out My Back Door
40,Illinois,Illinois,Creedence Clearwater Revival,Looking out My Back Door
41,Illinois,Illinois,The Lumineers,Sleep On The Floor
42,Illinois,Illinois,Clem Snide,I Got High
43,Illinois,Illinois,Stray Cats,Looking out My Back Door
44,Illinois,Illinois,Gretchen Wilson,Pocahontas Proud
45,Illinois,Illinois,John Fogerty,Lookin' Out My Back Door
46,Illinois,Illinois,Gretchen Wilson,Pocahontas Proud
47,Illinois,Illinois,Brett Eldredge,Paris Illinois
48,Illinois,Illinois,Sufjan Stevens,The Henney Buggy Band
49,Illinois,Illinois,Car Seat Headrest,Beach Life-In-Death
50,Illinois,Illinois,Car Seat Headrest,Beach Life-In-Death
51,Illinois,Illinois,Janiva Magness,Lookin’ Out My Back Door
52,Illinois,Illinois,Jody Miller,Lookin' Out My Back Door
53,Illinois,Illinois,Jack Larsen,Bubba
54,Illinois,Illinois,Tracks,Long Train Runnin'
55,Illinois,Illinois,Children of Bodom,Lookin' Out My Back Door
56,Illinois,Illinois,Hookslide,Long Train Running
57,Illinois,Illinois,The Cerny Brothers,The Kid
58,Illinois,Illinois,Creedence Clearwater Revisited,Lookin' Out My Back Door
59,Illinois,Illinois,Michel Jonasz,MISS MOLLY
60,Illinois,Illinois,Brian Cline,Long Train Runnin
61,Illinois,Illinois,Elvis Presley,Jailhouse Rock
62,Illinois,Illinois,Jerry Lee Lewis,Jailhouse Rock
63,Illinois,Illinois,B.B. King,It's My Own Fault
64,Illinois,Illinois,Elvis Presley,Jailhouse Rock: Don't Be Cruel
65,Illinois,Illinois,Elvis Presley,Jailhouse Rock
66,Illinois,Illinois,B.B. King,It's My Own Fault
67,Illinois,Illinois,Alabama,Roll On (Eighteen Wheeler)
68,Illinois,Illinois,Willie Nelson,City of New Orleans
69,Illinois,Illinois,Willie Nelson,City Of New Orleans
70,Illinois,Illinois,Elvis Presley,Jailhouse Rock
71,Illinois,Illinois,John Mellencamp,Rooty Toot Toot
72,Illinois,Illinois,John Mellencamp,Jailhouse Rock
73,Illinois,Illinois,Bob Dylan,Slow Train
74,Illinois,Illinois,Elvis Presley,Jailhouse Rock
75,Illinois,Illinois,John Denver,City of New Orleans
76,Illinois,Illinois,Johnny Cash,My Cowboy's Last Ride
77,Illinois,Illinois,Johnny Cash,City of New Orleans
78,Illinois,Illinois,John Mellencamp,Jailhouse Rock
79,Illinois,Illinois,Judy Collins,City of New Orleans
80,Illinois,Illinois,Elvis Presley,Jailhouse Rock [Movie Version]
81,Illinois,Illinois,Toby Keith,I Ain't Already There
82,Illinois,Illinois,Johnny Cash,Nobody Cared [Live]
83,Illinois,Illinois,Toby Keith,Drive It on Home
84,Illinois,Illinois,"Bobby ""Blue"" Bland",It's My Own Fault
85,Illinois,Illinois,Arlo Guthrie,City of New Orleans
86,Illinois,Illinois,Arlo Guthrie,City of New Orleans
87,Illinois,Illinois,R. Kelly,When a Woman's Fed Up
88,Illinois,Illinois,Da Brat,Party Continues [Video Version]
89,Illinois,Illinois,Master P,There Dey Go
90,Illinois,Illinois,Etta James,Don't Let My Baby Ride
91,Illinois,Illinois,Hank Snow,City of New Orleans
92,Illinois,Illinois,Conway Twitty,Jailhouse Rock
93,Illinois,Illinois,Johnny Cash,City of New Orleans [Live]
94,Illinois,Illinois,Merle Haggard,Jailhouse Rock
95,Illinois,Illinois,Los Tigres del Norte,El Mojado Acaudalado
96,Illinois,Illinois,Los Tigres del Norte,Mojado Acaudalado [Acustico]
97,Illinois,Illinois,The Supremes,He's My Sunny Boy
98,Illinois,Illinois,Arlo Guthrie,City of New Orleans
99,Illinois,Illinois,Leiber & Stoller,Jailhouse Rock
100,Illinois,Illinois,Queen,Jailhouse Rock
101,Illinois,Illinois,Joan Baez,Day After Tomorrow
102,Illinois,Illinois,Diana Ross & the Supremes,He's My Sunny Boy
103,Illinois,Illinois,The Supremes,He's My Sunny Boy
104,Illinois,Illinois,Toby Keith,Hope on the Rocks
105,Illinois,Illinois,Master P,How Ya Do Dat
106,Illinois,Illinois,Johnny Cash,City of New Orleans [Live]
107,Illinois,Illinois,R. Kelly,When a Woman's Fed Up
108,Illinois,Illinois,Doris Day,The Deadwood Stage (Whip Crack-Away)
109,Illinois,Illinois,Jimmy Buffett,Life Is Just a Tire Swing
