,city,state,artist,song
0,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana
1,Indiana,Indiana,Lyle Lovett,Up in Indiana
2,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana
3,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana
4,Indiana,Indiana,The Jackson 5,Goin' Back to Indiana
5,Indiana,Indiana,Hombres G,Indiana
6,Indiana,Indiana,Sawyer Brown,Going Back to Indiana
7,Indiana,Indiana,Hombres G,Indiana [En Vivo]
8,Indiana,Indiana,Straight No Chaser,Indiana Christmas
9,Indiana,Indiana,James Last,Indiana Wants Me
10,Indiana,Indiana,Meg & Dia,Indiana
11,Indiana,Indiana,Joe Simon,Indiana Wants Me
12,Indiana,Indiana,Eddy Arnold,(Back Home Again In) Indiana
13,Indiana,Indiana,The Frampton Brothers,Indiana Wants Me
14,Indiana,Indiana,R. Dean Taylor,Indiana Wants Me
15,Indiana,Indiana,R. Dean Taylor,Indiana Wants Me
16,Indiana,Indiana,R. Dean Taylor,Indiana Wants Me
17,Indiana,Indiana,Brantley Gilbert,Indiana's Angel
18,Indiana,Indiana,Melissa Etheridge,Indiana
19,Indiana,Indiana,Nat King Cole,Indiana
20,Indiana,Indiana,Lester Young,Indiana
21,Indiana,Indiana,Oscar Peterson,Indiana
22,Indiana,Indiana,Tom Waits,Gun Street Girl
23,Indiana,Indiana,Tom Waits,Gun Street Girl
24,Indiana,Indiana,Johnny Mercer,Indiana
25,Indiana,Indiana,John Mellencamp,Peaceful World
26,Indiana,Indiana,Count Basie,Indiana (#1)
27,Indiana,Indiana,Bobby Darin,Indiana
28,Indiana,Indiana,Okkervil River,Comes Indiana Through The Smoke
29,Indiana,Indiana,Jennifer Kimball,East of Indiana
30,Indiana,Indiana,"Vaughn Monroe, The Moon Maids",Kokomo Indiana
31,Indiana,Indiana,Miles Davis,Indiana
32,Indiana,Indiana,John Mellencamp,Peaceful World
33,Indiana,Indiana,MC Lan,"Fila Indiana Sentou, Próxima Ih Fora"
34,Indiana,Indiana,Phil Ochs,Jim Dean of Indiana
35,Indiana,Indiana,The Hi-Lo's,Indiana (Back Home Again In Indiana)
36,Indiana,Indiana,Kate Smith,Can't get Indiana off my mind
37,Indiana,Indiana,Bill Crosby,Can't Get Indiana Off My Mind
38,Indiana,Indiana,The Samples,Indiana [Live]
39,Indiana,Indiana,David Mead,Indiana
40,Indiana,Indiana,Bing Crosby,Can't Get Indiana off My Mind
41,Indiana,Indiana,The Samples,Indiana
42,Indiana,Indiana,Kate Smith,Can't Get Indiana off My Mind
43,Indiana,Indiana,Lee Wiley,Indiana [Flawed-Take 3]
44,Indiana,Indiana,The Samples,Indiana
45,Indiana,Indiana,Fred Eaglesmith,Indiana Road
46,Indiana,Indiana,Jeff Healey,Indiana
47,Indiana,Indiana,X Ambassadors,Hang On
48,Indiana,Indiana,m.o.v.e,Extasy ～In My Dream～
49,Indiana,Indiana,Tom Petty,Mary Jane's Last Dance
50,Indiana,Indiana,Tom Petty,Mary Jane's Last Dance
51,Indiana,Indiana,Tom Petty,Mary Jane's Last Dance
52,Indiana,Indiana,Johnny Cash,Michigan City Howdy Do
53,Indiana,Indiana,Lost Mary,"Laney, Indiana"
54,Indiana,Indiana,King Leer,indiana
55,Indiana,Indiana,Rich Mullins,First Family
56,Indiana,Indiana,Chief Keef,Racist
57,Indiana,Indiana,Heart,Mary
