,city,state,artist,song
0,Kansas,Kansas,Van Morrison,The Eternal Kansas City
1,Kansas,Kansas,Tech N9ne,Kansas City
2,Kansas,Kansas,The Wolfgang Press,Kansas
3,Kansas,Kansas,Paul McCartney,Kansas City
4,Kansas,Kansas,Frank Zappa,It Can't Happen Here
5,Kansas,Kansas,John Denver,Matthew [Alternate Version; Previously Unreleased Track; Bonus Track]
6,Kansas,Kansas,Tech N9ne,Kansas City King
7,Kansas,Kansas,Chris Barber,Kansas City
8,Kansas,Kansas,Alexis Korner,Kansas City Blues
9,Kansas,Kansas,Muddy Waters,Kansas City
10,Kansas,Kansas,The New Basement Tapes,Six Months In Kasas City (Liberty Street)
11,Kansas,Kansas,Jimmy Reed,Kansas City
12,Kansas,Kansas,Lightnin' Slim,Kansas City
13,Kansas,Kansas,Buck Owens,The Kansas City Song
14,Kansas,Kansas,Brenda Lee,Kansas City
15,Kansas,Kansas,Albert King,Kansas City
16,Kansas,Kansas,The Everly Brothers,Kansas City
17,Kansas,Kansas,Louis Prima,Kansas City
18,Kansas,Kansas,Tom Jones,Kansas City
19,Kansas,Kansas,Big Country,We're Not in Kansas
20,Kansas,Kansas,Trini Lopez,Kansas City
21,Kansas,Kansas,Peggy Lee,Kansas City
22,Kansas,Kansas,"Sammy Davis, Jr.",Kansas City
23,Kansas,Kansas,Jimmy Witherspoon,Kansas City
24,Kansas,Kansas,Big Joe Turner,Kansas City on My Mind
25,Kansas,Kansas,Memphis Slim,Kansas City
26,Kansas,Kansas,Julie London,Kansas City
27,Kansas,Kansas,Merle Haggard,Kansas City
28,Kansas,Kansas,Por Phyre,Kansas City Wolves
29,Kansas,Kansas,Willie Nelson,Kansas City
30,Kansas,Kansas,Roy Clark,Kansas City
31,Kansas,Kansas,Big Joe Turner,Kansas City
32,Kansas,Kansas,Chris Connor,Kansas City
33,Kansas,Kansas,George Jones,Kansas City
34,Kansas,Kansas,Mark Murphy,Kansas City
35,Kansas,Kansas,Lou Rawls,Kansas City
36,Kansas,Kansas,Roy Drusky,Kansas City
37,Kansas,Kansas,Steve Lawrence,Kansas City
38,Kansas,Kansas,Gerry Mulligan,Kansas City
39,Kansas,Kansas,Fred Eaglesmith,Kansas
40,Kansas,Kansas,Wanda Jackson,Kansas City
41,Kansas,Kansas,James Brown,Kansas City ['75]
42,Kansas,Kansas,Bill Haley,Kansas City
43,Kansas,Kansas,James Brown,Kansas City
44,Kansas,Kansas,Fats Domino,Kansas City
45,Kansas,Kansas,Jan & Dean,Kansas City
46,Kansas,Kansas,Grand Canyon,Kansas City
47,Kansas,Kansas,Joe Williams,Kansas City
48,Kansas,Kansas,Keely Smith,Kansas City
49,Kansas,Kansas,Tech N9ne,It's Alive
50,Kansas,Kansas,Wilbert Harrison,Kansas City
51,Kansas,Kansas,Wilbert Harrison,Kansas City
52,Kansas,Kansas,Frank Zappa,"Help, I'm a Rock"
53,Kansas,Kansas,Frank Zappa,"Help, I'm a Rock"
54,Kansas,Kansas,Frank Sinatra,Sunflower
55,Kansas,Kansas,Little Richard,Kansas City
56,Kansas,Kansas,Sneaky Sound System,Kansas City
57,Kansas,Kansas,The Les Humphries Singers,Kansas City
58,Kansas,Kansas,Wilbert Harrison,Kansas City
59,Kansas,Kansas,Wilbert Harrison,Kansas City
60,Kansas,Kansas,Wilbert Harrison,Kansas City
61,Kansas,Kansas,Wilbert Harrison,Kansas City
62,Kansas,Kansas,Dennis Coffey,Kansas City
63,Kansas,Kansas,Little Willie Littlefield,Kansas City
64,Kansas,Kansas,Kacey Musgraves,Kansas City Star
