,city,state,artist,song
0,Kentucky,Kentucky,Dolly Parton,Kentucky Gambler
1,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler
2,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler
3,Kentucky,Kentucky,Bill Monroe,I'm Going Back to Old Kentucky
4,Kentucky,Kentucky,Merle Haggard,Kentucky Gambler
5,Kentucky,Kentucky,Deep Purple,Kentucky Woman [30th Anniversary Remaster; Version]
6,Kentucky,Kentucky,Fast Food Rockers,Fast Food Song [Festive Version]
7,Kentucky,Kentucky,The Move,Kentucky Woman
8,Kentucky,Kentucky,Bing Crosby,My Old Kentucky Home
9,Kentucky,Kentucky,Elvis Presley,Kentucky Rain [Bonus Track]
10,Kentucky,Kentucky,Elvis Presley,Kentucky Rain
11,Kentucky,Kentucky,Glen Campbell,Bowling Green
12,Kentucky,Kentucky,The Everly Brothers,Bowling Green [Bonus Track]
13,Kentucky,Kentucky,Michael W. Smith,Kentucky Rose
14,Kentucky,Kentucky,The Everly Brothers,Bowling Green [Demo Version]
15,Kentucky,Kentucky,Sarah Brightman,Bowling Green
16,Kentucky,Kentucky,Johnny Cash,Kentucky Straight
17,Kentucky,Kentucky,The Kingston Trio,Old Kentucky Land
18,Kentucky,Kentucky,Dolly Parton,"Blackie, Kentucky"
19,Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live]
20,Kentucky,Kentucky,Waylon Jennings,Kentucky Woman
21,Kentucky,Kentucky,Neil Diamond,Kentucky Woman
22,Kentucky,Kentucky,John Prine,"My Old Kentucky Home, Goodnight"
23,Kentucky,Kentucky,Neil Diamond,Kentucky Woman
24,Kentucky,Kentucky,Neil Diamond,Kentucky Woman [Live; Bonus Track]
25,Kentucky,Kentucky,Deep Purple,Kentucky Woman
26,Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version]
27,Kentucky,Kentucky,Deep Purple,Kentucky Woman
28,Kentucky,Kentucky,Deep Purple,Kentucky Woman [Single Version; Version]
29,Kentucky,Kentucky,Del McCoury,I'm Going Back to Old Kentucky
30,Kentucky,Kentucky,Kate Smith,My Old Kentucky Home
31,Kentucky,Kentucky,The Everly Brothers,Kentucky
32,Kentucky,Kentucky,Bill Monroe,Blue Moon of Kentucky
33,Kentucky,Kentucky,Elvis Presley,Blue Moon of Kentucky
34,Kentucky,Kentucky,Patsy Cline,Blue Moon of Kentucky
35,Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,Blue Moon of Kentucky
36,Kentucky,Kentucky,Bill Monroe,Blue Moon of Kentucky
37,Kentucky,Kentucky,Elvis Presley,Blue Moon of Kentucky
38,Kentucky,Kentucky,Bill Monroe & His Bluegrass Boys,Blue Moon of Kentucky
39,Kentucky,Kentucky,Johnny Cash,New Cut Road
40,Kentucky,Kentucky,Johnny Cash,My Old Kentucky Home (Turpentine and Dandelion Wine)
