,city,state,artist,song
0,Louisiana,Louisiana,George Strait,Down Louisiana Way
1,Louisiana,Louisiana,Dave Matthews Band,Louisiana Bayou
2,Louisiana,Louisiana,Dave Matthews,Louisiana Bayou
3,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
4,Louisiana,Louisiana,Conway Twitty,"Louisiana Woman, Mississippi Man"
5,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
6,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
7,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
8,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
9,Louisiana,Louisiana,New Riders of the Purple Sage,Louisiana Lady
10,Louisiana,Louisiana,New Riders of the Purple Sage,Louisiana Lady
11,Louisiana,Louisiana,Alabama,Louisiana Moon
12,Louisiana,Louisiana,New Riders of the Purple Sage,Louisiana Lady
13,Louisiana,Louisiana,Diane Schuur,Louisiana Sunday Afternoon
14,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
15,Louisiana,Louisiana,Conway Twitty,"Louisiana Woman, Mississippi Man"
16,Louisiana,Louisiana,Chuck Berry,Oh Louisiana
17,Louisiana,Louisiana,Charlie Daniels,Sweet Louisiana
18,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
19,Louisiana,Louisiana,Johnny Cash,Louisiana Man [Previously Unreleased Track]
20,Louisiana,Louisiana,The Seekers,Louisiana Man
21,Louisiana,Louisiana,Doug Kershaw,Louisiana Man
22,Louisiana,Louisiana,Bobbie Gentry,Louisiana Man
23,Louisiana,Louisiana,Doug Kershaw,Louisiana Man
24,Louisiana,Louisiana,Doug Kershaw,Louisiana Man
25,Louisiana,Louisiana,Jerry Reed,Amos Moses
26,Louisiana,Louisiana,Jerry Reed,Amos Moses
27,Louisiana,Louisiana,Martina McBride,"Louisiana Woman, Mississippi Man"
28,Louisiana,Louisiana,Donovan,Lazy Daze
29,Louisiana,Louisiana,Willie Nelson,Louisiana
30,Louisiana,Louisiana,Loretta Lynn,"Louisiana Woman, Mississippi Man"
31,Louisiana,Louisiana,Porter Wagoner,Louisiana Saturday Night
32,Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain [2018 Remaster]
33,Louisiana,Louisiana,Jerry Reed,Amos Moses
34,Louisiana,Louisiana,Old Crow Medicine Show,Louisiana Woman Mississippi Man
35,Louisiana,Louisiana,Tom Petty,Louisiana Rain
36,Louisiana,Louisiana,Randy Newman,Louisiana 1927
37,Louisiana,Louisiana,Randy Newman,Louisiana 1927
38,Louisiana,Louisiana,Randy Newman,Louisiana 1927
39,Louisiana,Louisiana,Connie Smith,Louisiana Man
40,Louisiana,Louisiana,Aaron Neville,Louisiana Christmas Day
41,Louisiana,Louisiana,Aaron Neville,Louisiana 1927
42,Louisiana,Louisiana,George Jones,Louisiana Mama
43,Louisiana,Louisiana,"Hank Williams, Jr.",Amos Moses
44,Louisiana,Louisiana,Conway Twitty,Amos Moses
45,Louisiana,Louisiana,Neville Brothers,Louisiana 1927
46,Louisiana,Louisiana,Sammy Kershaw,Louisiana Hot Sauce
47,Louisiana,Louisiana,Delbert McClinton,Heartbreak Radio
48,Louisiana,Louisiana,Gene Pitney,Louisiana Mama
49,Louisiana,Louisiana,Delbert McClinton,Going Back to Louisiana
50,Louisiana,Louisiana,Marcia Ball,Louisiana 1927
51,Louisiana,Louisiana,The Church,Louisiana
52,Louisiana,Louisiana,Creedence Clearwater Revival,Cotton Fields
53,Louisiana,Louisiana,Rodney Crowell,Leaving Louisiana in the Broad Daylight
54,Louisiana,Louisiana,Creedence Clearwater Revival,Cotton Fields
55,Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain
56,Louisiana,Louisiana,Rick Nelson ,Louisiana Man
57,Louisiana,Louisiana,Harry Belafonte,Cotton Fields [Live]
58,Louisiana,Louisiana,Joe Dassin,Louisiana
59,Louisiana,Louisiana,Dave Dudley,Louisiana Saturday Night
60,Louisiana,Louisiana,Steven Tyler,Sweet Louisiana
61,Louisiana,Louisiana,Bonnie Tyler,Louisiana Rain
62,Louisiana,Louisiana,Primus,Amos Moses
63,Louisiana,Louisiana,The Seekers,Louisiana Man
64,Louisiana,Louisiana,Lou Rawls,Cotton Fields
65,Louisiana,Louisiana,Martin Simpson,Louisiana 1927
66,Louisiana,Louisiana,Eddy Arnold,Cotton Fields
67,Louisiana,Louisiana,Hurricane Chris,New Fashion
68,Louisiana,Louisiana,Tim Russ,Louisiana 1927
69,Louisiana,Louisiana,Dr. Bekken,Louisiana 1927
70,Louisiana,Louisiana,Dan Turèll & Halfdan E,Andy Warhol på Louisiana
71,Louisiana,Louisiana,Waylon Jennings,Louisiana Women
72,Louisiana,Louisiana,The Beach Boys,Cotton Fields (The Cotton Song)
73,Louisiana,Louisiana,Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)
74,Louisiana,Louisiana,Bill Haley,Cotton Fields
75,Louisiana,Louisiana,Randy Houser,Evangeline
76,Louisiana,Louisiana,Emmylou Harris,Leaving Louisiana in the Broad Daylight
77,Louisiana,Louisiana,The Oak Ridge Boys,Leaving Louisiana in the Broad Daylight
78,Louisiana,Louisiana,Johnny Cash,My Cowboy's Last Ride
79,Louisiana,Louisiana,Charlie Daniels,Sweet Louisiana
80,Louisiana,Louisiana,Don Williams,Louisiana Saturday Night
81,Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band) [Live]
82,Louisiana,Louisiana,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band)
83,Louisiana,Louisiana,Litfiba,Louisiana
84,Louisiana,Louisiana,Kyle Park,Louisiana Boy
85,Louisiana,Louisiana,Gary Brown,Louisiana 1927
86,Louisiana,Louisiana,Dave Holt,Louisiana 1927
87,Louisiana,Louisiana,Dr. Bekken,Louisiana 1927
88,Louisiana,Louisiana,Connie Guy,Louisiana 1927
89,Louisiana,Louisiana,Kenny Sara,Louisiana 1927
