,city,state,artist,song
0,Maine,Maine,"Asha Bhosle, Anand Bakshi",Maine Kitne Dil Liye
1,Maine,Maine,"Anjaan, Alisha Chinai, Vijay Benedict",Maine Maine Tujhe Tujhe
2,Maine,Maine,"Asha Bhosle, Anjaan",Ghungroo Bandh Liye
3,Maine,Maine,"Kishore Kumar, Asha Bhosle, Anand Bakshi",Wo To Maine Jhooth Bola Tha
4,Maine,Maine,"Lata Mangeshkar, Suresh Wadkar, Anand Bakshi",Na Tum Ne Kiya
5,Maine,Maine,"Sonu Nigam, Alka Yagnik",Jaana Nahin Tha
6,Maine,Maine,Himesh Reshammiya,Jaana Nahin Tha
7,Maine,Maine,"Shreya Ghoshal, Udit Narayan, Sameer",Maine Chun Liya
8,Maine,Maine,Priyanka Chopra,Exotic
9,Maine,Maine,"Abhijeet, Shreya Ghoshal",Tumhe Jo Maine Dekha
10,Maine,Maine,"Nasir Nizami, Raja Mushtaq",Aankh Lagaee
11,Maine,Maine,"Asha Bhosle, Majrooh Sultanpuri, Shabbir Kumar",Ghunghat Mera Jane Kya Hua
12,Maine,Maine,"Suresh Wadkar, Asha Bhosle, Anand Bakshi",Maine Kaha Tumne Suna
13,Maine,Maine,"Anuradha Paudwal, Anand Bakshi",Tu Kya Pyar Karega
14,Maine,Maine,"Sonu Nigam, Anuradha Paudwal, Sameer",Woh Ho Tum
15,Maine,Maine,"Anuradha Paudwal, Udit Narayan, Anand Bakshi, Mohammed Aziz",Na Na Karte
16,Maine,Maine,"Vishal Dadlani, Rochak Kohli, Shivi",Lalla Lalla Lori
17,Maine,Maine,Raghav,Teri Baaton (Your Words)
18,Maine,Maine,"Lata Mangeshkar, Anand Bakshi",Mehboob Mere
19,Maine,Maine,Mohammed Rafi,Maine Poochha Chand Se
20,Maine,Maine,Tim McGraw,"Portland, Maine"
21,Maine,Maine,"Shreya Ghoshal, Abhijeet, Javed Akhtar",Tumhe Jo Maine Dekha
22,Maine,Maine,Rudy Vallée,The Stein Song
23,Maine,Maine,Rudy Vallée,Stein Song (University of Maine)
24,Maine,Maine,"Lata Mangeshkar, Anand Bakshi, Mohammed Aziz",Bali Umar Ne Mera Haal
25,Maine,Maine,"K.K., Suzanne, Shakeel Azmi",Tum Ho Mera Pyar
26,Maine,Maine,"Ali Khan, Rahat Fateh",Tum Jo Aaye Zindagi Mein
27,Maine,Maine,Pitbull,Exotic [Aylen Remix]
28,Maine,Maine,Pitbull,Exotic [Popeska Remix]
29,Maine,Maine,Jet Life ,No Sleep
30,Maine,Maine,John Linnell,Maine
31,Maine,Maine,"Ronkini Gupta, Santanu Ghatak",Rafu
32,Maine,Maine,"Asha Bhosle, Prem Dhawan, S.P. Balasubrahmanyam",Woh To Bana Apna
33,Maine,Maine,"Shankar Mahadevan, Sukhwinder Singh, Sameer",Mahiya
34,Maine,Maine,"Anuradha Paudwal, Anand Bakshi, Mohammed Aziz",Tune Bechain Itna Ziada Kiya
35,Maine,Maine,"Javed Akhtar, Siddharth Mahadevan, Sukriti Kakar",Pehli Baar
