,city,state,artist,song
0,Maryland,Maryland,Nelly,"Maryland, Massachusetts"
1,Maryland,Maryland,Nelly,"Maryland, Massachusetts"
2,Maryland,Maryland,Pink Elefants,Maryland
3,Maryland,Maryland,Trinidad James,M.M.M.
4,Maryland,Maryland,Jesus Jones,Maryland
5,Maryland,Maryland,Good Charlotte,There She Goes
6,Maryland,Maryland,Logic,Last Call
7,Maryland,Maryland,"Elephanz, Eugénie",Maryland
8,Maryland,Maryland,Logic,100 Miles and Running
9,Maryland,Maryland,Future,Just Like Bruddas
10,Maryland,Maryland,Boys Of Fall,My Promise to Maryland
11,Maryland,Maryland,Lake Malawi,Maryland
12,Maryland,Maryland,James Brown,Night Train
13,Maryland,Maryland,James Brown,Night Train
14,Maryland,Maryland,James Brown,Night Train
15,Maryland,Maryland,James Brown,Night Train
16,Maryland,Maryland,Logic,Take It Back
17,Maryland,Maryland,Vonda Shepard,Maryland
18,Maryland,Maryland,Logic,Thank You
19,Maryland,Maryland,Underworld,Push Downstairs
20,Maryland,Maryland,Oddisee,NNGE (Never Not Getting Enough)
21,Maryland,Maryland,Oddisee,NNGE (Never Not Getting Enough)
22,Maryland,Maryland,Kevin Gates,Tomorrow
23,Maryland,Maryland,Kevin Gates,Tomorrow
24,Maryland,Maryland,Hamilton Bohannon,Disco Stomp
25,Maryland,Maryland,Farosty,Lonzo
26,Maryland,Maryland,Bohannon,Disco Stomp
27,Maryland,Maryland,James Brown & His Famous Flames,Night Train [Bonus Track]
28,Maryland,Maryland,Missing Joe,Countdown
29,Maryland,Maryland,"LeBron James, Kevin Durant",It Ain't Easy
30,Maryland,Maryland,Sam Lee,The Jew's Garden
31,Maryland,Maryland,Jay-Z,Blueprint (Momma Loves Me)
32,Maryland,Maryland,Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing ta F' Wit
33,Maryland,Maryland,A Tribe Called Quest,Award Tour [LP Version]
34,Maryland,Maryland,Bob Dylan,The Lonesome Death of Hattie Carroll
35,Maryland,Maryland,A Tribe Called Quest,Vibes and Stuff
36,Maryland,Maryland,A Tribe Called Quest,Award Tour
